,regulator-target,adj_importance
0,"('Caspase-8', 'IKK')",0.0383687287927
1,"('JNK', 'MEK')",0.0374768526849
2,"('MK2', 'IRS1-Tyr')",0.0354544525006
3,"('MK2', 'ERK')",0.0297117938182
4,"('Akt', 'EGFR')",0.0293133442567
5,"('MK2', 'JNK')",0.0276413593113
6,"('JNK', 'MK2')",0.024516689028
7,"('EGFR', 'Akt')",0.0231672284504
8,"('MEK', 'FKHR')",0.0224268593423
9,"('IRS1-Tyr', 'IRS1-Ser')",0.0166355435527
10,"('JNK', 'ERK')",0.015943247997
11,"('MK2', 'IRS1-Ser')",0.0140104735098
12,"('ERK', 'IRS1-Ser')",0.0114906541878
13,"('IRS1-Ser', 'MK2')",0.0111066706435
14,"('Caspase-8', 'EGFR')",0.010591428834
15,"('EGFR', 'IKK')",0.00996847063778
16,"('MK2', 'Caspase-8')",0.00960095322846
17,"('Caspase-8', 'JNK')",0.0095352348687
18,"('MEK', 'JNK')",0.00939052867016
19,"('MK2', 'MEK')",0.00906932032567
20,"('ERK', 'JNK')",0.00892701904362
21,"('Akt', 'JNK')",0.00890988931341
22,"('Caspase-8', 'IRS1-Ser')",0.00890358664357
23,"('IKK', 'ERK')",0.0088808226879
24,"('MK2', 'FKHR')",0.00873796887316
25,"('ERK', 'IKK')",0.00857420011178
26,"('Akt', 'MEK')",0.00850546482144
27,"('IRS1-Ser', 'IKK')",0.00844886925873
28,"('Akt', 'ERK')",0.00843790480042
29,"('JNK', 'Caspase-8')",0.00841649369918
30,"('IRS1-Tyr', 'MEK')",0.00834351308206
31,"('MEK', 'ERK')",0.00827711020965
32,"('ERK', 'MEK')",0.00819766105941
33,"('MK2', 'IKK')",0.0081892645839
34,"('JNK', 'IKK')",0.00805417802929
35,"('EGFR', 'ERK')",0.00802551277082
36,"('IRS1-Tyr', 'FKHR')",0.00800064320186
37,"('FKHR', 'IKK')",0.00794723059066
38,"('IRS1-Tyr', 'ERK')",0.00791345673451
39,"('FKHR', 'ERK')",0.00791136117385
40,"('FKHR', 'JNK')",0.00783178959257
41,"('IRS1-Ser', 'ERK')",0.00780633095407
42,"('Caspase-8', 'ERK')",0.00768559675253
43,"('MK2', 'EGFR')",0.00768441504728
44,"('ERK', 'EGFR')",0.00755595250335
45,"('IRS1-Ser', 'MEK')",0.00746695340026
46,"('ERK', 'Caspase-8')",0.00743875211818
47,"('IRS1-Ser', 'JNK')",0.00743390637972
48,"('IKK', 'EGFR')",0.0074046460424
49,"('IKK', 'Akt')",0.00726757941455
50,"('FKHR', 'EGFR')",0.00723818832904
51,"('IRS1-Ser', 'EGFR')",0.00717328260207
52,"('IRS1-Tyr', 'IKK')",0.00712939903555
53,"('Akt', 'IKK')",0.00711002487215
54,"('JNK', 'EGFR')",0.00692279850951
55,"('ERK', 'MK2')",0.00690866558049
56,"('IRS1-Ser', 'Caspase-8')",0.00690119190899
57,"('MEK', 'Akt')",0.0068805972968
58,"('Akt', 'IRS1-Ser')",0.00686125648689
59,"('EGFR', 'JNK')",0.00680899970921
60,"('MEK', 'MK2')",0.00678397941652
61,"('FKHR', 'Caspase-8')",0.00677805311454
62,"('Caspase-8', 'Akt')",0.00671286672698
63,"('Caspase-8', 'MK2')",0.00670321754194
64,"('IRS1-Tyr', 'JNK')",0.00666172728359
65,"('IKK', 'JNK')",0.00661630985967
66,"('JNK', 'IRS1-Ser')",0.00655491580632
67,"('IRS1-Tyr', 'EGFR')",0.00654881488362
68,"('Akt', 'Caspase-8')",0.00653107441494
69,"('ERK', 'FKHR')",0.00652434523822
70,"('EGFR', 'IRS1-Ser')",0.00645381529761
71,"('JNK', 'IRS1-Tyr')",0.0064092596118
72,"('MEK', 'IKK')",0.00639604072034
73,"('Caspase-8', 'MEK')",0.00628571153684
74,"('IKK', 'Caspase-8')",0.00626743317792
75,"('EGFR', 'MEK')",0.00618432908132
76,"('IRS1-Ser', 'FKHR')",0.00613081387184
77,"('MK2', 'Akt')",0.00590415282411
78,"('IKK', 'IRS1-Ser')",0.00585809725006
79,"('IRS1-Tyr', 'Caspase-8')",0.00582832490729
80,"('IKK', 'FKHR')",0.00580745999654
81,"('MEK', 'IRS1-Ser')",0.00580522952775
82,"('FKHR', 'IRS1-Tyr')",0.00578636736946
83,"('Akt', 'FKHR')",0.00574663963198
84,"('FKHR', 'MK2')",0.00572307633014
85,"('Akt', 'IRS1-Tyr')",0.00568613772783
86,"('EGFR', 'FKHR')",0.00566457609004
87,"('FKHR', 'IRS1-Ser')",0.00565376947291
88,"('FKHR', 'MEK')",0.00555631135265
89,"('Caspase-8', 'IRS1-Tyr')",0.00554564706114
90,"('MEK', 'EGFR')",0.0055203303935
91,"('IRS1-Tyr', 'Akt')",0.00545693158325
92,"('EGFR', 'IRS1-Tyr')",0.0054176670105
93,"('IRS1-Ser', 'Akt')",0.00531696891172
94,"('FKHR', 'Akt')",0.00512883757225
95,"('ERK', 'Akt')",0.00505122652495
