Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0	0.5995222	0.1194115	0.39576609999999995	0.28004029999999996	0.2879387	0.20921689999999998	0.3089176	0.2455288	0.5774009	0.6792826999999999
100	0.5249538	0.016672299999999998	0.39648049999999996	0.1775088	0.28096259999999995	0.2731906	0.4352992	0.2391739	0.4852857	0.590087
200	0.6854564000000001	0.010108200000000001	0.21754229999999997	0.1607537	0.3794901	0.24067979999999997	0.4862079000000001	0.21893739999999998	0.5172088	0.6402545000000001
300	0.6480661999999999	0.0007665	0.1942797	0.2390144	0.3676491	0.33467790000000003	0.44054840000000006	0.26094629999999996	0.5209832999999999	0.6522485
400	0.6016667	0.007287999999999999	0.3200037	0.0936737	0.263154	0.3044615	0.2447354	0.1343376	0.6507932	0.5964995
500	0.6544840999999999	0.0019019000000000002	0.332097	0.1145453	0.2751566	0.204973	0.37458309999999995	0.2608214	0.47920109999999994	0.6042195
600	0.6209892	0.1187343	0.4024528	0.1472569	0.29089879999999996	0.1433046	0.3781139	0.3823469	0.44541210000000003	0.7115600000000001
700	0.5843726	0.09797389999999999	0.5032929	0.1582565	0.4240157	0.3446282	0.400927	0.313155	0.6123042	0.7624613
800	0.5454439999999999	0.1095589	0.4298258	0.12308689999999999	0.3742842	0.2777949	0.4706255999999999	0.27448190000000006	0.5515533	0.6510944000000001
900	0.6768512	0.12245819999999999	0.6300024999999999	0.1084816	0.35935159999999994	0.1452184	0.42735270000000003	0.3557563	0.5027901	0.6776962
1000	0.6047491	0.08040089999999998	0.5307573	0.1611366	0.38717740000000006	0.1773378	0.4370871	0.4452380999999999	0.6011384	0.658692
0	0.5656386	0.0908788	0.34706859999999995	0.2230964	0.3520835	0.1816128	0.34435229999999994	0.1812312	0.5699524	0.7261469
100	0.6034203	0.14728429999999998	0.2092549	0.0966148	0.26377249999999997	0.31525970000000003	0.5566428000000001	0.44422170000000005	0.5675857	0.6653434
200	0.6075802	0.1252331	0.3257335	0.1154002	0.2771106	0.4235847	0.47614049999999997	0.4332522	0.5907251	0.6221629
300	0.6677221999999999	0.085842	0.35308449999999997	0.050594599999999997	0.2096114	0.3871611	0.5048289	0.44776990000000005	0.5654905	0.693886
400	0.5006932	0.1136684	0.332592	0.0642495	0.20358270000000003	0.5063739	0.5896685	0.47184960000000004	0.4920434	0.7473996
500	0.6063818	0.08891	0.41546350000000004	0.022876	0.1692984	0.5398710999999999	0.5329351	0.4216689	0.5401268	0.6022116
600	0.5750963000000001	0.1295021	0.7469806	0.0163413	0.11808540000000001	0.46808940000000004	0.5021524	0.38693330000000004	0.4636252	0.5656845
700	0.5542394	0.1292471	0.7668279	0.0220805	0.23829589999999998	0.3628387	0.5240590999999999	0.3457017	0.5557807	0.7050409000000001
800	0.6809926	0.1000448	0.7373516	0.10320330000000001	0.21841570000000002	0.24635120000000002	0.38551040000000003	0.43372959999999994	0.5679009	0.6025647
900	0.47330150000000004	0.13295389999999999	0.6491085999999999	0.1641985	0.34582979999999997	0.2790308	0.4904209	0.4235684	0.4433236	0.6674158
1000	0.6158223	0.0491551	0.5260203	0.12236780000000001	0.374006	0.2276151	0.42832259999999994	0.352161	0.5544597	0.6525419
0	0.5559163	0.10823219999999999	0.42678130000000003	0.2434187	0.40706440000000005	0.20701599999999998	0.3431784	0.24105	0.5713925	0.7084088000000001
