Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
450	0.0163264	0.5988200	0.0154560	0.0020541	0.2737116	0.0062405	0.0580613	0.1847209	0.2451046	0.0017392	0.2306307	0.2529678	0.2995691	0.3880172	0.2765543	0.0051127	0.0001497	0.1453970	0.3393990	0.1614425	0.3142157	0.2950680	0.1534515	0.0343785	0.0040739	0.1985877	0.1010687	0.2473492	0.2703426	0.1246888	0.0860733	0.3015943	0.0224536	0.0060380	0.1019138	0.1052388	0.0017980	0.2260634	0.0559274	0.3329245	0.1651271	0.1074879	0.0184940	0.0967118	0.1503406	0.1588603	0.2462824	0.2455814	0.1653185	0.2515833	0.3039363	0.0460066	0.0563869	0.1709267	0.4484715	0.0466368	0.6196982	0.4998625	0.6657118	0.3096214	0.6764168	0.7631703	0.4546932	0.6360592	0.6987093	0.7140225	0.6620895	0.3219825	0.4911501	0.7373710	0.6503697	0.3096061	0.3510404	0.2482075	0.0856207	0.7162963	0.2353150	0.7305300	0.0106271	0.6007675	0.2726539	0.2080772	0.3336285	0.5611292	0.6648621	0.5465200	0.1997106	0.2948601	0.0284864	0.0019885	0.5736776	0.6399033	0.1569006	0.1462736	0.4425473	0.7487549	0.3047628	0.4942440	0.5873169	0.3582673
500	0.0143319	0.7182913	0.0241738	0.0055417	0.2574526	0.0096096	0.0720939	0.1196571	0.2251991	0.0004344	0.1553933	0.2844157	0.2730573	0.2286786	0.4065839	0.0016669	0.0001253	0.1486621	0.2165334	0.2413418	0.3014699	0.3262639	0.0969626	0.0590904	0.0004123	0.1544703	0.1404366	0.2297619	0.2103978	0.1328476	0.1096338	0.3652087	0.0600235	0.0066459	0.0700267	0.1154785	0.0064543	0.2315796	0.0292828	0.3923184	0.0635236	0.0829777	0.0176243	0.1172004	0.1413943	0.1231426	0.2271040	0.2229147	0.2217905	0.3002965	0.5481173	0.0334672	0.0464145	0.2613011	0.5202245	0.0418447	0.6164464	0.6476004	0.6480423	0.3777861	0.6063230	0.7935506	0.4828077	0.5213809	0.6563005	0.6038738	0.5792100	0.3321498	0.5702985	0.7648991	0.6975631	0.2800943	0.2741355	0.2821103	0.0582327	0.6602858	0.2402205	0.6451166	0.0072705	0.6312709	0.2058151	0.2141978	0.3265796	0.6326061	0.5765800	0.4689924	0.2303494	0.3215857	0.0174898	0.0040169	0.6867262	0.7032791	0.2420914	0.2378020	0.5034605	0.4990478	0.2468422	0.6954884	0.4737432	0.3096723
550	0.0311028	0.6752531	0.0587035	0.0031680	0.2058896	0.0027013	0.1490178	0.1501814	0.1591880	0.0005191	0.2331523	0.2364264	0.3151548	0.2644997	0.3353407	0.0102013	0.0098793	0.1448259	0.2274246	0.1926131	0.3552667	0.3865957	0.0853328	0.0559650	0.0146994	0.2200704	0.1382001	0.2396815	0.3155344	0.1405021	0.1013586	0.3075977	0.1039156	0.0105316	0.0935223	0.1693770	0.0118406	0.2756234	0.0092950	0.2841246	0.0531347	0.0895872	0.0310810	0.1351620	0.0765345	0.1424130	0.2426126	0.3425017	0.2058887	0.3710869	0.3193779	0.0199839	0.0448705	0.1884877	0.4901894	0.0291698	0.7254951	0.5225591	0.5077057	0.2976903	0.7183131	0.7372563	0.6048012	0.6331044	0.6027359	0.6328984	0.6061045	0.3676391	0.6356298	0.8023540	0.5659671	0.3452047	0.3331579	0.3516214	0.0974762	0.6271869	0.1764903	0.7830134	0.1192295	0.6457538	0.3017679	0.1119611	0.3508069	0.5974588	0.7720623	0.3886709	0.2508669	0.3185389	0.0341440	0.0063867	0.5716358	0.6836650	0.2300175	0.1920983	0.4650201	0.5342167	0.2395482	0.6469071	0.5046116	0.3271295
600	0.0250355	0.5382317	0.0261622	0.0424603	0.1778581	0.0070025	0.1069577	0.1532081	0.2071622	0.0003433	0.2240951	0.2320210	0.1749048	0.2759183	0.3124678	0.0038121	0.0350879	0.0655390	0.2223810	0.2449075	0.3580287	0.2923732	0.1047481	0.0505248	0.0280864	0.2025094	0.2203947	0.1793907	0.3764579	0.1105301	0.1049523	0.2836673	0.0779148	0.0079167	0.1296436	0.0848878	0.0216173	0.3460683	0.0264945	0.2092435	0.0611847	0.0829270	0.0313360	0.1144705	0.0557499	0.1181468	0.2383455	0.2881142	0.1771920	0.4082918	0.3600785	0.0340007	0.0271731	0.1574840	0.5920362	0.0189412	0.7134505	0.6511623	0.6600727	0.2774884	0.6767245	0.6430718	0.5033302	0.4800678	0.6858276	0.6000418	0.6057329	0.4922860	0.4943818	0.6582885	0.6258836	0.3009673	0.3077746	0.3026347	0.1043973	0.6365469	0.0822160	0.7241490	0.1583228	0.8030009	0.2721967	0.1884300	0.2965974	0.6427525	0.6669637	0.4228985	0.2517326	0.2813008	0.0435005	0.0179557	0.5305828	0.7543544	0.1763814	0.1484595	0.4864935	0.5839941	0.3036210	0.6152284	0.5418265	0.3753053
650	0.0278904	0.6122195	0.0424029	0.0363495	0.2443715	0.0150246	0.1469367	0.1792838	0.2079651	0.0000955	0.1956921	0.3203347	0.2062681	0.3276443	0.4058588	0.0403790	0.0219818	0.1422961	0.1546897	0.2422124	0.3828595	0.3370600	0.1290737	0.0742121	0.0113122	0.2084640	0.2187699	0.1998380	0.3370279	0.1778019	0.1277701	0.3328527	0.0820981	0.0453647	0.1979398	0.1233758	0.0137184	0.2229247	0.0548479	0.2867993	0.0987969	0.0520507	0.0221976	0.0762419	0.1105044	0.1840258	0.2531971	0.3171292	0.2291831	0.4240450	0.3591137	0.0280606	0.0721212	0.0694614	0.4966288	0.0637403	0.6515273	0.6278783	0.5075343	0.3332968	0.6008516	0.6921222	0.4739274	0.5004338	0.7119421	0.5991718	0.5495974	0.3563864	0.3997573	0.7307049	0.6350661	0.3549032	0.2515809	0.3310761	0.1902764	0.8389400	0.0979444	0.6391850	0.2849980	0.5680530	0.2913669	0.2323637	0.3599250	0.5592879	0.6315227	0.4699642	0.1944004	0.2386777	0.0358882	0.0200720	0.4858121	0.6891599	0.1926820	0.2089024	0.4750096	0.6984113	0.3440189	0.5277151	0.5058216	0.3398975
700	0.0140278	0.6687454	0.0163929	0.0618270	0.3189189	0.0170466	0.1110294	0.1625381	0.1905330	0.0082104	0.3364978	0.2579529	0.2517916	0.3033914	0.3441446	0.0236215	0.0158070	0.1070654	0.2949311	0.2376622	0.3803424	0.3675978	0.1300825	0.0536676	0.0126771	0.3266307	0.1952967	0.2681381	0.2482427	0.1894380	0.1557369	0.4035820	0.0984925	0.0087007	0.1637049	0.1515099	0.0434405	0.2736009	0.0943537	0.2190645	0.0959242	0.0481671	0.0301586	0.1193228	0.1178449	0.1440812	0.2696371	0.3624903	0.3119915	0.3816765	0.2612190	0.0231396	0.0903952	0.0451961	0.6067508	0.0622972	0.6355756	0.5977205	0.5816699	0.3751915	0.6189312	0.6834643	0.4484016	0.4956624	0.7041279	0.6123234	0.6003869	0.3915180	0.6864649	0.6058141	0.6285140	0.3086457	0.3324104	0.2769378	0.1802965	0.7086016	0.0992723	0.7426129	0.2933268	0.8137525	0.3975279	0.2268980	0.3614707	0.6304513	0.6568851	0.4227480	0.1676648	0.2006994	0.0230709	0.0609179	0.5238732	0.5757026	0.2252562	0.1489647	0.5053978	0.5801242	0.2652062	0.5788233	0.6652638	0.4327615
750	0.0199926	0.6868404	0.0289660	0.0597811	0.2510338	0.0092089	0.1027329	0.1889268	0.2871574	0.0007957	0.1891448	0.2926272	0.2758519	0.2747609	0.3795352	0.0316972	0.0121323	0.1337033	0.2521346	0.1824224	0.3183350	0.3666244	0.1553338	0.0525901	0.0171912	0.3806531	0.2331821	0.2557143	0.2717336	0.1830549	0.1420949	0.3696498	0.0857650	0.0354260	0.1621331	0.1196015	0.0397605	0.3492014	0.0495478	0.3918008	0.1747407	0.1193149	0.0257808	0.1545286	0.0746989	0.1559194	0.2759510	0.2717927	0.1867117	0.4058152	0.2659962	0.0106681	0.1035397	0.0736859	0.5411611	0.0403025	0.7689931	0.5351232	0.5075377	0.2624357	0.6259737	0.5941332	0.4158091	0.4997183	0.7301521	0.6367025	0.5968621	0.3811109	0.5683568	0.6323296	0.7839755	0.2396279	0.3368632	0.3212228	0.1984169	0.6196772	0.0815197	0.5464715	0.3994001	0.7801145	0.2965797	0.2119645	0.3325423	0.7042000	0.6683422	0.4290626	0.1563971	0.1391142	0.0163541	0.0182665	0.6566605	0.6415652	0.1725315	0.1531612	0.4473766	0.6079403	0.2592159	0.6500802	0.5779363	0.4135913
800	0.0264709	0.5690963	0.0219425	0.0489975	0.2233505	0.0120338	0.1774138	0.1179621	0.2819008	0.0026880	0.1190872	0.3377933	0.2773237	0.2922969	0.3714850	0.0071382	0.0124077	0.1323305	0.2407654	0.2278011	0.3092605	0.3364945	0.1474182	0.0632455	0.0367111	0.1952707	0.1696573	0.2500864	0.2556237	0.1794234	0.0956263	0.3958909	0.0853568	0.0216376	0.2496553	0.1327432	0.0122807	0.2996665	0.0426432	0.2892298	0.0718476	0.0796274	0.0289583	0.1265463	0.0610184	0.1720213	0.2730384	0.2324482	0.1537427	0.4953750	0.3180667	0.0124320	0.0822220	0.0420091	0.5995768	0.0659546	0.7308338	0.5357435	0.5890632	0.2862068	0.6539177	0.6584414	0.4810876	0.5379335	0.6570387	0.5862333	0.5308086	0.2826260	0.6049372	0.6659728	0.8422217	0.3389754	0.3549763	0.3181249	0.1248918	0.6771854	0.1037161	0.5324743	0.3471673	0.6731618	0.3790494	0.2130599	0.2797576	0.6610109	0.5823562	0.5138824	0.1863053	0.2119754	0.0404023	0.0337489	0.6088901	0.6931372	0.1460739	0.1714858	0.3860296	0.5745883	0.3385253	0.6314742	0.6030231	0.4393386
850	0.0240622	0.7291505	0.0313351	0.0459823	0.1837850	0.0021852	0.1034312	0.1443792	0.1902986	0.0032044	0.1759610	0.3158581	0.2506793	0.2704240	0.3182397	0.0093555	0.0142925	0.1291823	0.2513854	0.2162988	0.2249669	0.3892856	0.1116921	0.0242662	0.0186803	0.1913690	0.1623239	0.3258680	0.2392930	0.1873283	0.1177620	0.2556778	0.1267342	0.0307431	0.1886952	0.1566737	0.0073272	0.2829526	0.0196851	0.2420120	0.0686816	0.0992783	0.0169372	0.1039116	0.1123688	0.1630334	0.2611001	0.2456524	0.1770550	0.4690124	0.3217415	0.0238651	0.0498719	0.0339346	0.6817800	0.0509947	0.6444678	0.5673845	0.6052713	0.2302566	0.6564341	0.7362948	0.5392677	0.4399449	0.6912817	0.5081739	0.5621311	0.3708377	0.5303054	0.6651272	0.6894262	0.3104574	0.3676340	0.2633562	0.2406854	0.6787019	0.0775578	0.5768920	0.3778585	0.7181449	0.2716475	0.2452377	0.2936213	0.6450517	0.6782845	0.4487140	0.1814465	0.2258527	0.0193137	0.0120751	0.5958687	0.6781886	0.2110011	0.1597684	0.4887661	0.5815603	0.3292462	0.7756498	0.6154416	0.3194242
900	0.0347363	0.7383938	0.0291510	0.0480328	0.1480805	0.0009924	0.1367509	0.2015391	0.2247771	0.0001645	0.1913483	0.2961939	0.2232760	0.1996892	0.2944197	0.0189111	0.0220770	0.1056697	0.2647817	0.1937958	0.2650682	0.3114198	0.1115940	0.0218752	0.0093494	0.3141657	0.1754484	0.3055418	0.2980938	0.1094274	0.0721478	0.3357696	0.1235428	0.0377624	0.1606302	0.1596652	0.0244640	0.2356169	0.0315298	0.3113785	0.0607670	0.0793241	0.0270072	0.1348772	0.0815113	0.1546245	0.1734665	0.1961978	0.1915627	0.4071995	0.3512820	0.0178070	0.0628780	0.0430216	0.6666824	0.0577638	0.6657688	0.5797074	0.6252633	0.2746205	0.6253126	0.6689178	0.5465608	0.4702143	0.5527984	0.5848811	0.5191085	0.4241128	0.5275456	0.6007027	0.5209967	0.3983853	0.2606625	0.2702239	0.1317873	0.6750303	0.1118319	0.7144561	0.3800690	0.5668967	0.2999064	0.2305797	0.3098476	0.6000477	0.7273395	0.4066354	0.2339950	0.2693801	0.0134229	0.0148784	0.6421292	0.6324916	0.1946148	0.1584711	0.3731601	0.5796078	0.2372749	0.6664256	0.4817761	0.3397089
