cluster_id	lag_mean	lag_median
0.0	0.24264392324093814	0.208955223880597
2.0	0.4273550724637681	0.3695652173913043
6.0	0.0	0.0
9.0	0.0	0.0
12.0	0.33666666666666667	0.38333333333333336
14.0	0.5632091780606633	0.5792079207920792
16.0	0.08	0.0
21.0	0.6583874458874459	0.6363636363636364
22.0	1.1170821114369502	1.064516129032258
23.0	0.33809523809523806	0.35714285714285715
27.0	0.06011904761904762	0.0625
29.0	0.1	0.1111111111111111
38.0	0.07368421052631578	0.10526315789473684
42.0	0.24355273052456153	0.1619718309859155
46.0	0.2398809523809524	0.25
48.0	0.33810924369747897	0.32941176470588235
55.0	0.3847222222222222	0.4375
60.0	0.1611111111111111	0.2037037037037037
