baseline_aupr	baseline_auroc	cluster_id	lagged_edges	lagged_edges2	nan_edges	percent_lagged	percent_lagged2	swing_aupr	swing_aupr2	swing_aupr3	swing_aupr4	swing_aupr5	swing_auroc	swing_auroc2	swing_auroc3	swing_auroc4	swing_auroc5	total_edges
0.17555126862049494	0.468505859375	0.0	3.0	0.0	25.0	0.09375	0.0	0.16456913640470908	0.16358276896869955	0.15909845932867384	0.1734584317802669	0.17279710028297676	0.420654296875	0.402587890625	0.41796875	0.440673828125	0.44775390625	32.0
0.21235702683287594	0.1915680473372781	1.0	12.0	12.0	8.0	0.46153846153846156	0.46153846153846156	0.24338759321475284	0.25496923819183814	0.30814782604595337	0.23508563070834393	0.3552969401717307	0.31804733727810647	0.3217455621301775	0.4090236686390534	0.29807692307692313	0.5517751479289942	26.0
0.09653538265220153	0.6179527421878849	2.0	87.0	76.0	178.0	0.3041958041958042	0.26573426573426573	0.1482925565099672	0.10717201513745275	0.10802280223655236	0.14402373459300188	0.14226218805308868	0.7234889236637458	0.6197552447552468	0.6002387036040896	0.7253991637732918	0.6785715377280147	286.0
0.31983919719822557	0.5645956607495068	3.0	2.0	2.0	14.0	0.07692307692307693	0.07692307692307693	0.32024725836034695	0.3090875206724669	0.2744739294577073	0.2833836083006919	0.18417875472224893	0.5428994082840238	0.5951676528599603	0.5675542406311636	0.5054240631163709	0.3530571992110453	26.0
0.025706159152101782	0.5123411336528244	6.0	135.0	45.0	234.0	0.28969957081545067	0.09656652360515021	0.027811461872926473	0.023551770138456052	0.021551813545098695	0.03144064006007638	0.037234736440198604	0.5689340337102808	0.5132868402124378	0.47348056853811477	0.6050227351451393	0.6138249944178581	466.0
0.19075471083454146	0.6253758579930739	10.0	15.0	10.0	114.0	0.09036144578313253	0.060240963855421686	0.12439971074092643	0.13961770647831204	0.14975431634792408	0.12220815727439321	0.14026234033798216	0.5099330195135092	0.5539472865645017	0.5606090454762239	0.5030276009373115	0.5484208780042703	166.0
0.14697309462411035	0.5375362212969044	12.0	1.0	1.0	108.0	0.008547008547008548	0.008547008547008548	0.13094867013426956	0.1605958034204668	0.1482037627209481	0.13051921225777574	0.10557949383534926	0.49954951664353303	0.5755959773053787	0.5420897557649678	0.49905033238366503	0.37860082304526704	117.0
0.4425277291894331	0.41486068111455104	17.0	4.0	0.0	13.0	0.21052631578947367	0.0	0.5288663567947953	0.42715924095176416	0.4757483156217181	0.5050426184561879	0.5969557646518798	0.5696594427244581	0.36532507739938086	0.436532507739938	0.4829721362229103	0.6718266253869969	19.0
0.39702766520920624	0.503125	28.0	2.0	0.0	9.0	0.125	0.0	0.6436248751303815	0.491865706026884	0.4963392914475503	0.6276426070081998	0.40065634188164484	0.76875	0.6124999999999999	0.63125	0.721875	0.4906249999999999	16.0
0.2058243117946439	0.39150507848568794	31.0	4.0	1.0	12.0	0.21052631578947367	0.05263157894736842	0.22897320002055965	0.2401109244041471	0.23594033530162223	0.22121749607427504	0.17671165961467367	0.4312096029547553	0.43767313019390575	0.42936288088642655	0.443213296398892	0.30563250230840266	19.0
0.26973930899289145	0.38666666666666666	34.0	1.0	0.0	14.0	0.06666666666666667	0.0	0.32047634542220454	0.3019937103805137	0.40210505083161013	0.32401074039824096	0.32099528776205477	0.5355555555555556	0.4466666666666667	0.5511111111111112	0.5555555555555555	0.5377777777777778	15.0
0.2390956020015631	0.17291666666666666	35.0	7.0	7.0	11.0	0.2916666666666667	0.2916666666666667	0.24382156545710126	0.26505656123678856	0.25653028150059753	0.24900960233612993	0.26269278231960186	0.18958333333333333	0.28020833333333334	0.27604166666666663	0.2229166666666667	0.2760416666666667	24.0
0.43408314545089904	0.7256944444444445	37.0	1.0	1.0	0.0	0.08333333333333333	0.08333333333333333	0.36835387515534573	0.43009566176646535	0.4281193453558715	0.49148457498662645	0.5045507952145389	0.6354166666666667	0.6458333333333335	0.6215277777777778	0.65625	0.6597222222222223	12.0
0.22844203693831922	0.4376620370370371	38.0	5.0	3.0	83.0	0.041666666666666664	0.025	0.20833365872247034	0.2475172645517552	0.2358395410548086	0.20253590733891874	0.17079140843492344	0.4365277777777777	0.4740509259259261	0.45701388888888855	0.4185648148148146	0.2924074074074076	120.0
0.2286305101177898	0.4138528138528139	41.0	1.0	0.0	14.0	0.047619047619047616	0.0	0.3265838055242544	0.3066431909148634	0.2933017871415583	0.30953615553678704	0.19963084473922935	0.5515151515151515	0.4935064935064934	0.5004329004329005	0.5593073593073594	0.3359307359307359	21.0
0.25715713140464486	0.35076664566267596	43.0	5.0	5.0	52.0	0.07246376811594203	0.07246376811594203	0.213412262904265	0.2466972276345513	0.2520645416249985	0.20663710854838604	0.21354270782622908	0.20730938878386904	0.3275572358748161	0.35055660575509345	0.16845200588111742	0.20657424910733038	69.0
0.33056504544948623	0.5384615384615387	49.0	1.0	1.0	10.0	0.058823529411764705	0.058823529411764705	0.27241311408273733	0.32285502876993816	0.34750048369227093	0.29931626311734105	0.4407047056768907	0.49170437405731526	0.5113122171945704	0.5369532428355958	0.5294117647058824	0.7224736048265461	17.0
0.4815120265720596	0.5991851285968934	50.0	0.0	0.0	39.0	0.0	0.0	0.3712114288616264	0.40605814722351546	0.362814073163138	0.34606008532917387	0.34582783442899634	0.4823020117137766	0.5474917239623124	0.4723707664884136	0.44181308887191245	0.4570919276801631	51.0
