name,__glayCluster
acrr,0
mara,0
marr,23
soxr,1
soxs,0
ada,12
aidb,12
adiy,15
gadx,15
arca,5
beti,5
fnr,5
gade,36
lldr,5
puur,5
xylr,23
argp,16
dnaa,16
ascg,8
prpr,8
basr,36
csgd,36
puta,36
qseb,36
crp,23
arac,21
caif,5
chbr,21
cytr,23
dcur,5
fear,12
fis,23
flhc,36
flhd,36
fucr,22
fur,1
gals,27
glcc,7
glng,23
glpr,23
gutm,30
hupa,23
hupb,23
hyfr,25
idnr,24
laci,23
lsrr,26
mali,23
malt,9
melr,23
mhpr,28
mtlr,23
nagc,21
ompr,36
oxyr,2
pdhr,7
rbsr,6
rhar,3
rhas,3
srlr,30
tdca,31
uxur,2
yiaj,34
zrar,4
cpxr,36
baer,36
fliz,36
cspa,15
hns,15
cysb,38
cbl,38
evga,32
ydeo,46
exur,2
cadc,15
fhla,25
gadw,15
nac,12
narl,5
nikr,5
yeil,12
yqji,1
fadr,43
accb,43
iclr,43
mlra,36
metj,9
purr,6
lrp,12
rcsa,36
galr,27
gntr,24
hdfr,12
hipb,43
hipa,43
leuo,15
bglj,15
yjjq,36
lexa,7
dinj,7
uvry,32
yafq,7
lrha,36
stpa,23
rob,0
metr,9
mode,25
asnc,12
creb,21
bola,36
mraz,7
phob,8
cusr,8
ydfh,8
phop,9
rsta,36
trer,9
rcsb,15
relb,10
rele,10
sdia,7
tdcr,31
torr,15
yedw,8
yefm,11
yoeb,11
accc,43
acra,0
acrb,0
marb,23
micf,0
alka,12
alkb,12
adia,15
gada,15
gadb,15
gadc,15
gltb,12
gltd,12
gltf,12
agar,13
agaa,13
agab,13
agac,13
agad,13
agai,13
agas,13
agav,13
agaw,13
kbay,13
kbaz,13
allr,14
alla,14
allb,14
gcl,14
glxk,14
glxr,14
hyi,14
ybbw,14
ybby,14
appy,46
appa,46
appb,46
appc,46
hyaa,46
hyab,46
hyac,46
hyad,46
hyae,46
hyaf,46
araa,21
arab,21
arad,21
arae,21
araf,21
arag,21
arah,21
araj,21
xyla,23
xylb,23
ydem,21
yden,21
ygea,21
acea,43
aceb,43
acee,7
acef,7
acek,43
acka,5
acna,0
acnb,23
alda,16
beta,5
betb,5
bett,5
cada,15
cadb,15
caia,5
caib,5
caic,5
caid,5
caie,5
cait,5
citc,5
citd,5
cite,5
citf,5
citg,5
citx,5
cyda,5
cydb,5
cydc,5
cydd,5
cyoa,8
cyob,8
cyoc,8
cyod,8
cyoe,8
dcta,5
dcuc,5
fada,43
fadb,43
fadd,43
fade,43
fadh,43
fadl,36
foca,5
fuma,5
fumb,5
fumc,1
gata,5
gatb,5
gatc,5
gatd,5
gaty,5
gatz,5
glcb,7
glcd,7
glce,7
glcf,7
glcg,7
glpa,23
glpb,23
glpc,23
glpd,23
glta,5
hema,5
hyba,5
hybb,5
hybc,5
hybd,5
hybe,5
hybf,5
hybg,5
hybo,5
icd,5
lldd,5
lldp,5
lpd,23
mdh,5
moea,5
moeb,5
ndh,1
nuoa,5
nuob,5
nuoc,5
nuoe,5
nuof,5
nuog,5
nuoh,5
nuoi,5
nuoj,5
nuok,5
nuol,5
nuom,5
nuon,5
oppa,12
oppb,25
oppc,25
oppd,25
oppf,25
pflb,5
prfa,5
