cluster_id	lag_mean	lag_median
0.0	1.2505494505494505	1.0769230769230769
2.0	1.7871212121212119	1.5454545454545454
6.0		
9.0		
12.0	1.6833333333333333	1.9166666666666667
14.0	1.834971838197645	1.8870967741935485
16.0	1.2	0.0
21.0	1.4484523809523808	1.4
22.0	1.871867321867322	1.7837837837837838
23.0	0.8875	0.9375
27.0	1.4428571428571428	1.5
29.0	1.8	2.0
38.0	1.4	2.0
42.0	0.5085954078601138	0.3382352941176471
46.0	1.2212121212121212	1.2727272727272727
48.0	1.1495714285714285	1.12
55.0	2.051851851851852	2.3333333333333335
60.0	2.175	2.75
