regulator-target	rank_importance	Rank	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	auroc
('rob', 'soxs')	0.0	0	False												rob	soxs	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'ompn')	1.0	1	False												soxr	ompn	0	5	0	0	68	0.427438065822622	0.5463917525773198
('puta', 'pqia')	2.0	2	False												puta	pqia	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxs', 'soda')	3.0	3	True	2737.0	('soxs', 'soda')	0.0	[(0, 0.48523433071597455, 4.8885041447131445e-09), (10, 0.24393798280792564, 0.060344180883863008), (20, 0.18852861961751258, 0.16018312322099329), (30, 0.046359781538601451, 0.70104720592761061), (60, 0.22188773160263248, 0.21459086565657823), (90, 0.31239097382490277, 0.23880691112210586)]	['+']	soxs	soda	soxs	0.0	soda	0.0	soxs	soda	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'mara')	4.0	4	False												soxr	mara	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'nfo')	5.0	5	False												soxr	nfo	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'nfsa')	6.0	6	True	2078.0	('mara', 'nfsa')	0.0	[(0, 0.47465797661982273, 1.1609808919058504e-08), (10, 0.24138329187257362, 0.063169992982148052), (20, 0.23945160494924408, 0.072818542765899011), (30, 0.35710469794862948, 0.0022349893544978561), (60, 0.058331653055962406, 0.74711633936855359), (90, 0.80617911244304585, 0.00016223820817609264)]	['+']	mara	nfsa	mara	0.0	nfsa	0.0	mara	nfsa	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'rimk')	7.0	7	True	2083.0	('mara', 'rimk')		[(0, 0.33180343322475747, 0.00011504963858091014), (10, -0.10578893923950732, 0.42113083418830544), (20, -0.088660086741997574, 0.51193172941239595), (30, 0.34143379475650126, 0.003568051342468358), (60, 0.2180517250986406, 0.2228261560990836), (90, 0.70166644131661926, 0.0024502730492933799)]	['+']	mara	rimk	mara	0.0	rimk	0.0	mara	rimk	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxs', 'rob')	8.0	8	True	196.0	('soxs', 'rob')		[(0, 0.25629065986808319, 0.0032477106264373282), (10, 0.25871586515626821, 0.04593691137672265), (20, 0.096600907559573332, 0.47470949587245981), (30, 0.028277010162660335, 0.81491986056854859), (60, -0.34655961813400993, 0.048179508093957053), (90, -0.36284852804748513, 0.16719255979714065)]	['-']	soxs	rob	soxs	0.0	rob	0.0	soxs	rob	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'tolc')	9.0	9	True	2689.0	('rob', 'tolc')	0.0	[(0, 0.41680879151547523, 8.1041642371685549e-07), (10, 0.09608851429880326, 0.46518616589402495), (20, 0.0051154143836115796, 0.96987494194570667), (30, 0.5067705279134791, 6.4972173743826166e-06), (60, 0.27354316011706598, 0.12347680627250929), (90, -0.081467385651047955, 0.7642272673784859)]	['+']	rob	tolc	rob	0.0	tolc	0.0	rob	tolc	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'ybjc')	10.0	10	True	2088.0	('mara', 'ybjc')	0.0	[(0, 0.40092777524210554, 2.278828956414048e-06), (10, 0.127260751208814, 0.33256103138413262), (20, 0.14568501948583415, 0.27955852396940128), (30, 0.2892451433147239, 0.014424952663450114), (60, 0.065799937149865553, 0.71599855243047761), (90, 0.84448964334832177, 3.8690835517978714e-05)]	['+']	mara	ybjc	mara	0.0	ybjc	0.0	mara	ybjc	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'poxb')	11.0	11	False												rob	poxb	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'zwf')	12.0	12	True	2694.0	('rob', 'zwf')	0.0	[(0, 0.4572823168823027, 4.5185054499940188e-08), (10, 0.29134221775369762, 0.023914909101933515), (20, 0.28549734117540393, 0.03133996561766253), (30, 0.17730627961709461, 0.13907652725598724), (60, 0.20129284684904125, 0.26131084219894513), (90, 0.0045500048341145134, 0.98665713008869471)]	['+']	rob	zwf	rob	0.0	zwf	0.0	rob	zwf	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'ybao')	13.0	13	False												rob	ybao	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'pqib')	14.0	14	False												rob	pqib	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'inaa')	15.0	15	True	2682.0	('rob', 'inaa')	0.0	[(0, 0.38407926632734457, 6.4477706660049082e-06), (10, 0.24658849806871802, 0.057521135280135971), (20, 0.15405225416296928, 0.25256253325401568), (30, 0.18375167004662615, 0.12504691157679301), (60, -0.051171325067673044, 0.77732430113501272), (90, -0.26471647727567876, 0.32178430266931879)]	['+']	rob	inaa	rob	0.0	inaa	0.0	rob	inaa	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxs', 'soxr')	16.0	16	False												soxs	soxr	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'acna')	17.0	17	True	2677.0	('rob', 'acna')	0.0	[(0, 0.4955959645568796, 2.0350586083754835e-09), (10, 0.056511384608753844, 0.66801775425509502), (20, -0.037596379391089237, 0.78127637057425359), (30, 0.23288417230808411, 0.050648072899478834), (60, 0.68322137452511167, 1.1779530090336208e-05), (90, 0.55914742509710325, 0.024336181515147323)]	['+']	rob	acna	rob	0.0	acna	0.0	rob	acna	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'ydbk')	18.0	18	False												rob	ydbk	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'ygic')	19.0	19	False												soxr	ygic	0	5	0	0	68	0.427438065822622	0.5463917525773198
('puta', 'rob')	20.0	20	False												puta	rob	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'fpr')	21.0	21	False												rob	fpr	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'micf')	22.0	22	False												soxr	micf	0	5	0	0	68	0.427438065822622	0.5463917525773198
('puta', 'flda')	23.0	23	False												puta	flda	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'aslb')	24.0	24	False												soxr	aslb	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'soxr')	25.0	25	False												mara	soxr	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxs', 'mara')	26.0	26	True	194.0	('soxs', 'mara')		[(0, 0.037735744553790446, 0.6699256203069599), (10, -0.083816131764618176, 0.52431932717602825), (20, -0.080460593418130277, 0.55186221678942804), (30, -0.01529069400669978, 0.89928699241397669), (60, -0.05705788576225309, 0.75246459127088883), (90, -0.029133744767139029, 0.91470673035114181)]	['+']	soxs	mara	soxs	0.0	mara	0.0	soxs	mara	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'ybjn')	27.0	27	True	2089.0	('mara', 'ybjn')		[(0, 0.25587638259042955, 0.0032997319119671006), (10, -0.1764370046930348, 0.17748723399594102), (20, -0.20331388751052618, 0.12929914897418274), (30, 0.017429934081471091, 0.88528626710418012), (60, -0.077168681965131047, 0.66949229922846831), (90, 0.50136160651796668, 0.047873470564588155)]	['+']	mara	ybjn	mara	0.0	ybjn	0.0	mara	ybjn	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'ygib')	28.0	28	False												soxr	ygib	0	5	0	0	68	0.427438065822622	0.5463917525773198
