cluster_id	lag_mean	lag_median
0.0	0.33690476190476193	0.26785714285714285
1.0	0.17888418079096044	0.1440677966101695
2.0	0.40739247311827964	0.3709677419354839
6.0	0.03636363636363637	0.0
7.0	0.2661047619047619	0.272
9.0	0.0	0.0
11.0	0.2535273368606702	0.17592592592592593
12.0	0.23469387755102042	0.25510204081632654
14.0	0.5376948376948377	0.5540540540540541
16.0	0.3034722222222222	0.2916666666666667
19.0	0.0	0.0
21.0	0.6035218253968254	0.5833333333333334
22.0	0.676427418735111	0.6479289940828402
23.0	0.29583333333333334	0.3125
27.0	0.08770292207792207	0.09375
29.0	0.09473684210526316	0.10526315789473684
30.0	0.48687074829931976	0.5142857142857142
33.0	0.0	0.0
36.0	0.5511498337142114	0.4957081545064378
38.0	0.07368421052631578	0.10526315789473684
42.0	0.30653565356535656	0.2524752475247525
46.0	0.2086064425770308	0.18823529411764706
48.0	0.4062352663837813	0.4207920792079208
55.0	0.3847222222222222	0.4375
60.0	0.11599999999999999	0.14666666666666667
61.0	0.5586403114705002	0.6226415094339622
