baseline_aupr	baseline_auroc	cluster_id	lagged_edges	lagged_edges2	nan_edges	percent_lagged	percent_lagged2	swing_aupr	swing_aupr2	swing_auroc	swing_auroc2	total_edges
0.41814073707328514	0.4909035779260159	0.0	5.0	2.0	50.0	0.07352941176470588	0.029411764705882353	0.3781071804684075	0.3890492677568255	0.43435415403274713	0.47104305639781685	68.0
0.3251349051866088	0.502286445948418	2.0	2.0	2.0	66.0	0.025974025974025976	0.025974025974025976	0.3091525643203939	0.4093570501042881	0.4661605999634168	0.587616608743369	77.0
0.3460401127109237	0.4744418331374852	3.0	15.0	15.0	28.0	0.32608695652173914	0.32608695652173914	0.4369554329601242	0.35627611520627567	0.5646298472385428	0.46886016451233836	46.0
0.6123593655463478	0.7617710795902278	8.0	9.0	2.0	52.0	0.09574468085106383	0.02127659574468085	0.6437708397207761	0.5169671493637717	0.7688632781717876	0.7021276595744678	94.0
0.21370341969362897	0.5221987315010568	11.0	15.0	8.0	24.0	0.3409090909090909	0.18181818181818182	0.29896316331991246	0.2563810414717864	0.5927589852008457	0.5438689217758985	44.0
0.24264149742500868	0.5475306879817297	15.0	0.0	0.0	24.0	0.0	0.0	0.2537018127176662	0.2458406597825876	0.5315443905224096	0.5189837282329435	31.0
0.26038003888853695	0.5171075330649799	21.0	2.0	1.0	26.0	0.0425531914893617	0.02127659574468085	0.2288232162117384	0.26446463133072257	0.48806785508913175	0.5718803910293273	47.0
0.49414997804967814	0.5780000000000001	22.0	3.0	1.0	13.0	0.15	0.05	0.6215423766547867	0.5968909257911716	0.728	0.64	20.0
0.47536002551338224	0.7170551950652888	27.0	7.0	2.0	29.0	0.12280701754385964	0.03508771929824561	0.4762827864452009	0.3702305453774243	0.71032604341905	0.7095249539373548	57.0
0.1346177213129356	0.4702588352414134	28.0	13.0	5.0	47.0	0.15853658536585366	0.06097560975609756	0.17019767086920565	0.15051572027999152	0.5122946739671472	0.49927824788451974	82.0
0.42885150934595756	0.5884773662551439	30.0	1.0	1.0	11.0	0.05555555555555555	0.05555555555555555	0.5232935186139182	0.4327967180410707	0.6481481481481483	0.6090534979423868	18.0
0.46018078820354547	0.51875	34.0	2.0	0.0	9.0	0.125	0.0	0.44077193346213933	0.44504245998236464	0.56875	0.515625	16.0
0.506639571260615	0.5947727272727271	37.0	2.0	1.0	24.0	0.045454545454545456	0.022727272727272728	0.4684960071407251	0.4613680278714996	0.6229545454545453	0.6554545454545454	44.0
0.36739683271062906	0.6427015250544666	45.0	5.0	1.0	35.0	0.07936507936507936	0.015873015873015872	0.2818782916266496	0.2429652230447414	0.6004357298474947	0.5577964519140997	63.0
0.5084390719534231	0.6060371517027867	48.0	0.0	0.0	54.0	0.0	0.0	0.4051804582613276	0.42015760787047346	0.5381191950464398	0.558533281733746	76.0
0.4863658561392343	0.3542199488491048	49.0	7.0	7.0	25.0	0.20588235294117646	0.20588235294117646	0.5754999783496249	0.5492333705496034	0.4961636828644502	0.469309462915601	34.0
0.32736250811713097	0.5713166144200629	57.0	1.0	0.0	15.0	0.045454545454545456	0.0	0.5138790465369406	0.3919761624509442	0.6739811912225706	0.5188087774294673	22.0
0.6967439231232903	0.7032967032967031	58.0	3.0	2.0	63.0	0.03614457831325301	0.024096385542168676	0.7520122533055623	0.5899622557799776	0.7885608367536074	0.6558983185489207	83.0
0.34765658817296596	0.45220588235294107	59.0	8.0	7.0	21.0	0.2	0.175	0.3454786260762915	0.3121722797226315	0.44595588235294115	0.34375	40.0
0.46398905241830535	0.4365325077399381	62.0	4.0	0.0	13.0	0.21052631578947367	0.0	0.4488425372829336	0.42152144065085584	0.4365325077399381	0.3622291021671827	19.0
