G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.0188633	0.3292891	0.6207178	0.8755378	0.7202366	0.6223718	0.6869563	0.6003402	0.6661151
0.0202055	0.0000000	0.3022101	0.6574991	0.8792939	0.7975083	0.6465905	0.5948714	0.8739209	0.7062465
0.4639014	0.6284751	0.0000000	0.7942942	0.4754767	0.6074465	0.5583661	0.7808055	0.7110517	0.7404994
0.0162162	0.0103856	0.5027565	0.0000000	0.5928895	0.7049223	0.6000389	0.6160451	0.4904446	0.7015549
0.0310488	0.0155116	0.4157563	0.1754595	0.0000000	0.3198872	0.6949542	0.7541866	0.7000953	0.5604354
0.0244246	0.0119524	0.3250370	0.6952181	0.6915812	0.0000000	0.5959242	0.7486458	0.6426668	0.8780600
0.0437947	0.0258703	0.3791467	0.5991966	0.7435025	0.6016870	0.0000000	0.7504951	0.7071182	0.6282763
0.0204702	0.0258821	0.4000664	0.6758199	0.7080595	0.7969389	0.0281568	0.0000000	0.6607141	0.7518415
0.0069086	0.1111504	0.0915791	0.4697226	0.6211586	0.6108176	0.5833536	0.7573394	0.0000000	0.6761517
0.0373560	0.0081620	0.6784748	0.6517185	0.6231902	0.7404792	0.6491019	0.6537569	0.6661187	0.0000000
