G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0261628	0.1199834	0.9935226	1.0805032	1.0530717	0.2473643	0.7632588	1.1069750	0.2859107	0.8045493
0.0795228	0.0183730	0.9848208	0.7124093	0.7768962	0.4486640	0.4324200	1.0194851	0.3450871	0.8088391
0.0641799	0.0578637	0.9445391	0.7400629	0.9952980	0.2626163	0.6490566	0.8512335	0.0737755	0.8451796
0.0883519	0.0512109	0.9843511	0.9801130	0.7623069	0.2882851	0.5798966	1.0777651	0.3281026	0.7673442
0.1246471	0.1095909	0.9582804	0.6952411	0.5173414	0.3554390	0.4469457	1.0519063	0.2853946	0.7586667
0.0765143	0.1582760	0.9894037	0.6881395	0.9553321	0.3410926	0.6307999	1.1617357	0.2514505	1.1552366
0.0099885	0.0942011	1.0522404	1.1529530	0.9952194	0.8072250	0.1532086	0.9803732	0.2167387	1.0182561
0.0224918	0.0196851	1.0196382	1.0388610	1.0106834	0.4515439	0.5771281	1.0081077	0.0855881	0.6239497
0.0396774	0.1548707	1.0635066	0.7320242	0.9079879	0.4534700	0.6674324	0.9686230	0.2019312	1.0513668
0.0240100	0.0459822	1.0369825	0.6953655	0.9608568	0.4465028	0.5511479	0.9376971	0.3069697	0.8328209
