G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.2315634	0.2081722	0.2120590	0.5874487	0.4854877	1.0148157	0.9147225	0.2866098	0.2489694	0.2113249
0.6944256	1.0291680	0.0047584	0.1577615	0.7642514	0.9230486	0.7570265	0.3099511	0.0751967	0.1481808
0.7220960	0.6762713	0.1471024	0.5057567	0.4075184	0.8668170	0.7025685	0.3119186	0.3441208	0.4651642
0.1085089	0.0898959	0.3186455	0.5078280	0.4529838	0.9503200	0.9983427	0.1546381	0.4421699	0.4027266
0.5812555	0.9448808	0.0272041	0.2643636	0.6589611	0.9754414	0.7346836	0.2965010	0.1177576	0.1645842
0.2870516	0.5759437	0.1317146	0.2196756	0.5936410	1.0032954	0.7382390	0.2995221	0.0335262	0.1884229
0.0396614	0.0890970	0.4231856	0.7294553	0.3303486	0.5910053	0.7794519	0.1932404	0.4351047	0.5389688
0.5074396	0.8133401	0.1267081	0.4416522	0.6908126	0.9719538	0.7253171	0.3014535	0.1073791	0.1041085
0.2797691	0.5298853	0.2321900	0.3199178	0.4522925	1.0555320	0.7733188	0.2216988	0.2517047	0.3387809
0.4646349	0.0240635	0.5169734	0.2937286	0.6104940	0.9098003	0.7969857	0.2103767	0.4214777	0.2700645
