"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
400	0.4227417	0.5898746	0.0915345	0.0504424	0.5379277	0.1375276	0.4435826	0.1440367	0.2296111	0.8189482
450	0.5092468	0.7636277	0.2563498	0.1153971	0.4036842	0.2116863	0.4697678	0.1196662	0.2276769	0.6644261
500	0.5958582	0.7729356	0.2074520	0.1780731	0.3531769	0.3359058	0.4589844	0.1120660	0.3000515	0.6878327
550	0.4888013	0.4922912	0.2334548	0.1732866	0.2078979	0.2059872	0.6205040	0.2611312	0.3604317	0.7999780
600	0.6099600	0.2062883	0.1414004	0.1876176	0.3253197	0.3024400	0.8031721	0.2912257	0.3272638	0.8122764
650	0.6279675	0.1213058	0.2001000	0.3373462	0.2657601	0.2104573	0.5340620	0.3953811	0.3563668	0.7617351
700	0.6046141	0.1200131	0.3066984	0.2138930	0.3281699	0.2762751	0.6592491	0.2879750	0.2783197	0.8654339
750	0.5669532	0.1045964	0.2236556	0.2699535	0.2566525	0.3829717	0.4731795	0.3841342	0.3232253	0.7437897
800	0.6348834	0.1348622	0.2287037	0.3171627	0.2010140	0.2610757	0.5275663	0.4042494	0.3697167	0.8350617
850	0.5295801	0.0793239	0.2329755	0.3365305	0.2064584	0.2660426	0.3986106	0.4282495	0.3381475	0.8304723
900	0.4385434	0.1488048	0.2592976	0.3213912	0.2788241	0.1987151	0.5149710	0.4629052	0.3863443	0.8485714
950	0.5241797	0.0576746	0.1702000	0.2700298	0.2393780	0.2089596	0.3945498	0.3786017	0.3145351	0.6587362
1000	0.6004861	0.1091158	0.2400638	0.1639874	0.4079080	0.1508147	0.4888569	0.2702398	0.3544547	0.7324972

0	0.5952829	0.1167352	0.1545396	0.2010239	0.2490974	0.3520009	0.5881357	0.4732203	0.3928083	0.7772690
50	0.5441189	0.1254280	0.2106435	0.3961662	0.1525674	0.2303795	0.4321082	0.4471124	0.3435137	0.6955300
100	0.6486858	0.0959636	0.2737301	0.4488195	0.1449525	0.2548381	0.5263454	0.3069567	0.3493576	0.6194938
150	0.6097297	0.1457206	0.1924384	0.4552615	0.2716956	0.2486875	0.5233062	0.1890620	0.3410355	0.8835890
200	0.5701695	0.0614369	0.1666836	0.2439615	0.3218269	0.1777916	0.6061403	0.1357883	0.3403291	0.9146631
250	0.6659360	0.0894941	0.1662765	0.2727557	0.2988951	0.3056505	0.6945985	0.1230899	0.2574421	0.6362922
300	0.5813093	0.0534603	0.1827160	0.3102480	0.3290277	0.2297179	0.4792340	0.0839051	0.3094790	0.7070645
350	0.6239927	0.1247797	0.2085916	0.2497337	0.2183415	0.2470453	0.4601302	0.1876071	0.3630770	0.7143539
400	0.5811690	0.0592040	0.2505748	0.3530372	0.1881341	0.2978476	0.5372087	0.1370246	0.4032610	0.6730500
450	0.7333550	0.0736455	0.1969493	0.5064133	0.1869152	0.3789513	0.6185764	0.1457175	0.3584875	0.6983645
500	0.6967803	0.0941805	0.1642239	0.5742296	0.2544628	0.3172827	0.6450640	0.1198164	0.3067226	0.6661385
550	0.8349160	0.0577495	0.2709751	0.3058098	0.1747607	0.3294285	0.6141879	0.2706046	0.3591813	0.7218657
600	0.7431336	0.0949930	0.2054505	0.3322632	0.2195065	0.3706489	0.5356614	0.3264718	0.3810022	0.8426298
