G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.1061032	0.4657749	0.5465649	0.7514949	0.7735279	0.2502517	0.9091452	0.0016132	0.3274449
0.8160274	0.0000000	0.5867098	0.2960203	0.9094146	0.6457137	0.1624720	0.6521993	0.0046419	0.2612108
0.0613420	0.7371306	0.0000000	0.3668178	0.7780582	0.7036007	0.1665063	0.6942444	0.0018235	0.2568408
0.6627977	0.0511387	0.7880456	0.0000000	0.7008646	0.7054575	0.1664744	0.7985798	0.0466899	0.3197596
0.0437411	0.2275330	0.1723263	0.7586111	0.0000000	0.8349881	0.1526489	0.7477795	0.0005120	0.4001816
0.3083915	0.1009563	0.5572684	0.4188064	0.8758727	0.0000000	0.5528344	0.7371310	0.0031337	0.3733414
0.2758214	0.0543909	0.6035788	0.2854128	0.7540277	0.9165547	0.0000000	0.8197251	0.0059960	0.3915528
0.3726383	0.0533613	0.5549032	0.3464538	0.8711941	0.6411309	0.0047548	0.0000000	0.0010642	0.8760819
0.4121344	0.0805577	0.7839998	0.2618964	0.7356588	0.7891978	0.1510580	0.6157563	0.0000000	0.4438300
0.4132927	0.0948830	0.7047176	0.3327952	0.7606577	0.9386628	0.1031580	0.4421595	0.2548224	0.0000000
