G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.3673598	0.3660385	0.6681623	0.2432825	0.0049676	0.3151231	0.0003385	0.6391653	0.6863329	0.8558658
0.3418485	0.4122491	0.7822230	0.0492702	0.0275569	0.2108630	0.0015689	0.5646159	0.7655709	0.8082838
0.3873485	0.4156401	0.6218872	0.3734801	0.0181797	0.2879590	0.1329849	0.6457635	0.4601111	0.6918420
0.5491167	0.5260214	0.5600441	0.2105745	0.0025104	0.2684633	0.1460437	0.3008163	0.7338384	0.6129031
0.3127253	0.4586417	0.7430060	0.1079795	0.0087939	0.4363746	0.0012046	0.4760709	0.8961224	0.5862496
0.5399711	0.4914136	0.3141190	0.2992048	0.0531940	0.4342217	0.1999104	0.2253096	0.6749850	0.2353060
0.5186907	0.7410450	0.4115873	0.4437536	0.0597070	0.5024049	0.1837088	0.4359492	0.5664385	0.7217630
0.4225532	0.5579412	0.3711581	0.3839571	0.0429293	0.3934620	0.1328476	0.4905630	0.7022882	0.5379091
0.4226384	0.4087490	0.5661608	0.1135574	0.0910808	0.1699224	0.1505647	0.3648133	0.6186139	0.7385069
0.4164559	0.3004388	0.5193068	0.3522680	0.0144431	0.4716254	0.1204658	0.4255413	0.7988014	0.7732054
