G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.2002059	0.6322768	0.7007008	0.6650903	0.7144563	0.8014256	0.6533581	0.3487870	0.0513258	0.2830743
0.2585182	0.3349216	0.7335938	0.7201523	0.7548409	0.4384457	0.6930835	0.3309968	0.0490022	0.1636947
0.4361887	0.5852959	0.3362484	0.7717635	0.7963601	0.6183949	0.6808206	0.2993710	0.0443840	0.1540255
0.3397260	0.4890781	0.6000291	0.3815582	0.7452002	0.5991682	0.7339255	0.3439179	0.0443214	0.1903737
0.3785470	0.5902402	0.7726150	0.8237519	0.3582326	0.6405625	0.6575390	0.2577843	0.0467608	0.1992722
0.3554060	0.6574084	0.8437699	0.8597652	0.7501412	0.4336569	0.7723926	0.3273192	0.0226405	0.1919968
0.4783320	0.5773403	0.6645552	0.5761178	0.7285544	0.6761015	0.3549337	0.4444187	0.2380460	0.5228834
0.4534301	0.5252611	0.6753543	0.6095466	0.7541315	0.5661776	0.6745397	0.2316200	0.0377398	0.2064740
0.3954670	0.5972879	0.7080624	0.7645797	0.6629308	0.7571419	0.7059112	0.2568688	0.0155605	0.2124044
0.3093724	0.6643803	0.6014526	0.8604380	0.6356579	0.7187004	0.7156281	0.2900242	0.0486040	0.1417150
