"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G63A	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.0900759	0.4572933	0.2505315	0.6766303	0.8775158	0.9821165	0.4838091	0.0281004	0.2371908	0.7627270	0.4941542	0.6867014	0.5189249	0.3742609	0.5267258	0.0153341	0.7196119	0.2301399	0.4267066	0.9271803	0.7953530	0.6140140	0.4450798	0.3491845	1.0666322	0.8323027	0.3116342	1.0789702	0.0477693	1.0069418	0.1339479	0.8371891	0.4298116	0.7634874	0.8851417	0.7592373	1.0097909	0.1476569	0.5665588	0.8815486	0.8444218	0.4028500	0.0928907	0.2050954	0.0294332	0.1339373	0.9643997	0.5292919	0.2750610	1.0435370	0.1895235	0.2256046	0.2487142	0.0008864	0.1026187	0.1609062	0.1534804	0.6034327	0.4778664	0.9039939	0.6472396	0.2619237	0.9700164	0.8583238	0.5142027	0.3108159	0.9261591	0.9904846	0.8730587	0.4290671	0.3633771	0.7043548	0.8168470	0.3403630	1.0122572	0.5004716	0.5761236	0.3304826	1.0551811	1.0371428	0.9596286	0.1303348	0.1653823	0.7549219	0.5382335	0.6998856	0.0102184	0.1610517	0.1658566	1.0116333	0.0524790	1.0275945	0.3734865	0.5022527	0.8219531	0.4472486	0.5513220	0.6705688	0.9091686	0.0367435
50	0.5256322	0.1762414	0.2692133	0.7051799	0.9396324	1.0395037	0.4632223	0.0829722	0.3205868	0.6142185	0.4704986	0.7702857	0.0769650	0.3723898	0.4895689	0.0082728	0.7392069	0.1844297	0.5240550	0.9721000	0.8751239	0.6487941	0.5015709	0.2837900	0.5737026	0.7621109	0.3409278	0.6929121	0.0359976	0.9108194	0.0717977	0.8055515	0.4167580	0.8457794	1.0121619	0.8346791	0.9973290	0.1218653	0.5669554	0.9463856	0.8157955	0.3919188	0.0791953	0.2561082	0.2213174	0.1382272	1.0759890	0.6052821	0.3095362	1.0359624	0.1351046	0.1656995	0.2349306	0.0350486	0.0763688	0.2347706	0.2854165	0.5280877	0.6581059	0.9304569	0.5231421	0.2123816	0.9586427	0.7766274	0.2465518	0.2366995	0.9231513	0.8877516	0.8337412	0.4466419	0.2645046	0.5370381	0.9035689	0.0576457	0.9722813	0.2976441	0.5735047	0.3653619	0.9004491	0.7848386	1.0547330	0.0975606	0.1540951	0.3474114	0.5607077	0.4495057	0.0085677	0.3113017	0.0586184	1.0617410	0.0382397	0.9361047	0.2584081	0.5296621	0.8047295	0.3436062	0.5635097	0.3883076	0.9367279	0.0734273
100	0.6996207	0.1002556	0.3212587	0.7559071	0.9851262	1.0804284	0.3123979	0.2899667	0.5276601	0.6189880	0.4772795	0.8875434	0.0456095	0.3244424	0.4422672	0.0077665	0.6241200	0.2217747	0.3290985	0.9457835	0.7987506	0.6645964	0.4270533	0.4198908	0.3610823	0.8157763	0.5305800	0.5564411	0.0528804	0.9522611	0.0317903	0.7791583	0.4848170	0.8037265	1.0601535	0.7222758	1.0593918	0.1392092	0.5628494	0.9538557	0.7925024	0.3871156	0.0677465	0.3487625	0.3204177	0.1138227	1.0380899	0.5635912	0.3086022	1.1021852	0.1737066	0.2085681	0.2526650	0.0792743	0.0747170	0.3583592	0.3569721	0.4791011	0.7127367	1.0418815	0.5794644	0.2081194	1.0117215	0.8541795	0.1264104	0.2152527	0.9672081	0.7235317	0.8223651	0.3907053	0.3249442	0.3951965	0.8621555	0.0266692	0.9574564	0.1313174	0.5950763	0.2554152	1.0037350	0.7660822	0.8538845	0.1187422	0.1305312	0.2436781	0.5138961	0.4705052	0.0107819	0.3542280	0.0208336	1.0218973	0.0311186	0.9158160	0.3224161	0.6854281	0.9007062	0.2882966	0.5394219	0.3362326	0.8546070	0.0600046
150	0.6569508	0.0960120	0.3316465	0.6340167	0.8873044	0.8858351	0.3126714	0.2766697	0.6119014	0.5041611	0.4256181	0.8486035	0.0632445	0.3322894	0.3814517	0.0125852	0.5155468	0.3707737	0.1576337	0.9110589	0.8852090	0.6824079	0.4705235	0.5045280	0.3789006	0.9106360	0.8406478	0.5253377	0.0738431	0.9276415	0.0249109	0.8455635	0.3720143	0.8980503	0.9572109	0.7103727	1.0327346	0.1857373	0.5607863	0.9112660	0.8107769	0.5773199	0.1468083	0.4012621	0.3672207	0.1340644	1.0295590	0.5108925	0.2618438	1.0608704	0.1469834	0.1895447	0.2968817	0.1315954	0.1155547	0.4291927	0.2900534	0.3428362	0.6956328	1.0041905	0.6109279	0.2015461	0.8958035	0.9214186	0.0607876	0.2209747	0.9176650	0.7316957	0.8406599	0.4136581	0.4172308	0.2866052	0.8338351	0.0241091	0.9245310	0.0963254	0.5788274	0.1704525	1.0083638	0.6813574	0.8342454	0.1148182	0.1567653	0.2118752	0.4115234	0.5210746	0.0031100	0.2885916	0.0166439	0.9849456	0.0565842	0.9230056	0.3173095	0.9216692	0.9581992	0.2695147	0.6571013	0.3922123	0.7991439	0.0300466
200	0.6794356	0.1025756	0.2430000	0.6612233	0.8196894	0.8958290	0.2131779	0.1987921	0.5935740	0.4880775	0.4407221	0.8578484	0.1000850	0.3370549	0.3799801	0.0156719	0.4033489	0.4866104	0.1124543	0.8619230	0.9323505	0.6846303	0.4502137	0.5406231	0.3607059	0.9600764	0.8800224	0.4875175	0.0740850	1.0017607	0.0407651	0.8848381	0.4162912	0.9015007	0.9742203	0.8485415	1.0780200	0.2044315	0.5163174	0.9774339	0.9258405	0.5473071	0.1592095	0.4293573	0.3130598	0.1206525	1.0178906	0.5260611	0.3132532	1.0486730	0.1889026	0.1488469	0.3826607	0.1833120	0.0769042	0.4594531	0.3366363	0.3658991	0.7114659	1.0161972	0.6852377	0.3053917	0.7448594	0.9200534	0.0324269	0.2162003	0.8586816	0.6372370	0.8594010	0.4101465	0.4378639	0.2707148	0.9534770	0.0183471	0.7606982	0.1267040	0.5556714	0.1143776	0.9776245	0.6750557	0.7936793	0.1225005	0.1894334	0.2281970	0.3312720	0.4510630	0.0134384	0.3145760	0.0157589	0.9623391	0.1191742	0.9650184	0.3920246	0.9046398	0.9963385	0.3295558	0.7758654	0.3579575	0.8002162	0.0433065
250	0.5866956	0.0664594	0.2311424	0.5902121	0.7100741	0.8678651	0.2537936	0.1405437	0.6432718	0.4522805	0.4385308	0.8850444	0.0632845	0.3296078	0.3453712	0.0157074	0.3737538	0.4961816	0.0802707	0.8034773	0.9672429	0.5277282	0.4412827	0.5266367	0.2642036	0.9325052	0.9254802	0.4986191	0.1233334	0.8854239	0.0182962	0.8505049	0.4396526	0.9270939	1.0106536	0.8024529	1.0183073	0.1645880	0.4590132	0.8207887	0.8761956	0.4642346	0.1546119	0.3654235	0.2989653	0.1104292	0.9748269	0.5452049	0.3336111	0.9682333	0.2176846	0.1515462	0.4294774	0.1601066	0.0602546	0.4752846	0.3363093	0.4002284	0.7572746	1.0269086	0.7119198	0.3591747	0.6063749	0.9021226	0.0419594	0.2441705	0.9316179	0.6852185	0.8996537	0.4015028	0.3653280	0.2048079	0.9382058	0.0008177	0.7745044	0.1066398	0.5019825	0.1502355	1.0199871	0.7289094	0.8785400	0.1238369	0.2299069	0.1333669	0.2726166	0.4886140	0.0052749	0.4599238	0.0084587	0.8864748	0.1155126	0.8802029	0.3890683	0.8209128	0.9513344	0.3367882	0.7301683	0.4787860	0.8359305	0.0494829
300	0.6462833	0.0529260	0.2369690	0.5514518	0.6319204	0.8824725	0.2866852	0.1093501	0.6631930	0.5082232	0.4148321	0.8133456	0.0681465	0.3277226	0.3094712	0.0148642	0.3358423	0.4583822	0.0964631	0.7220505	0.9333596	0.6112241	0.5358059	0.6022226	0.3166599	0.8970910	0.9024252	0.5446862	0.0924226	0.9176471	0.0170009	0.8260609	0.3624485	0.8357368	1.0270383	0.8360815	1.0010401	0.1391504	0.4292312	1.0184439	0.8992832	0.3984491	0.2014671	0.4317205	0.3301768	0.1293979	1.0254490	0.5657659	0.3771030	1.0329394	0.2171850	0.1342078	0.4497510	0.1784185	0.0834822	0.4818757	0.2442421	0.4133346	0.8365733	0.9472263	0.6745190	0.3928979	0.5762190	0.9494362	0.0515066	0.1817775	0.9250545	0.7346249	0.8854835	0.3797282	0.3098796	0.2187017	0.9255397	0.0085239	0.8025698	0.1058801	0.4935458	0.1780296	1.0135897	0.7435985	0.7702767	0.1098470	0.2370056	0.1171019	0.2908523	0.4094910	0.0029720	0.5451349	0.0131851	0.9540535	0.1657725	0.8823472	0.3770561	0.8064315	0.9739705	0.3196418	0.6898163	0.5448088	0.8399112	0.0538509
350	0.6643139	0.0537768	0.2066721	0.5589936	0.6118249	0.9475891	0.2346845	0.1175621	0.6763913	0.3779252	0.4732163	0.7548224	0.0487376	0.3857743	0.3374511	0.0073619	0.3600375	0.5271796	0.0772672	0.5797259	0.8903465	0.6832482	0.5585277	0.6565545	0.3096991	0.9259229	0.8777856	0.5491313	0.1241366	0.8723203	0.0226470	0.7650821	0.4269488	0.9419851	0.9692239	0.8021166	0.9841655	0.1434258	0.4099441	1.0281609	0.9036210	0.3325770	0.2053161	0.4264041	0.3376779	0.1441118	0.9400453	0.4874564	0.3914665	1.0395634	0.1522280	0.1183817	0.4453072	0.1926630	0.0710454	0.5065237	0.3407691	0.3644981	0.7730917	0.9558704	0.7345051	0.3046487	0.6334361	0.8795230	0.0291751	0.1675951	0.8949777	0.8348779	0.8907837	0.3587284	0.2759701	0.2096930	0.9874921	0.0182834	0.9681809	0.0905166	0.5518553	0.1504205	1.0202621	0.6859517	0.7238048	0.1018151	0.2150679	0.1031492	0.3008776	0.4630348	0.0028820	0.4673750	0.0039083	0.9630076	0.2237530	0.9507747	0.4358617	0.8514134	0.9897595	0.3247028	0.7654054	0.4468368	0.8313445	0.0861888
400	0.5823968	0.0458292	0.1987380	0.5533654	0.5560482	0.9345076	0.2920430	0.0983422	0.6657525	0.4990458	0.4514950	0.8382285	0.0613507	0.3954244	0.3818291	0.0037874	0.4288089	0.4758688	0.0955587	0.5503623	1.0179662	0.7780398	0.6026623	0.6158465	0.3348106	0.9450471	0.7738758	0.5392570	0.1072228	0.9925600	0.0137750	0.7761034	0.4169478	0.9132798	1.0587448	0.7244754	0.9893434	0.1494973	0.4416089	0.9919186	0.9086615	0.2829844	0.1917195	0.4007423	0.2837508	0.1367388	0.9565704	0.5181886	0.3403611	0.9255487	0.1515248	0.0947492	0.5549362	0.1846343	0.1265865	0.4839044	0.4404275	0.3548607	0.7979080	0.9222631	0.7231393	0.3317207	0.6133679	0.8687651	0.0512052	0.1972936	0.9307518	0.8321443	1.0095890	0.3679377	0.2813473	0.2892140	0.9535351	0.0165402	0.9492329	0.1007248	0.4649355	0.1980824	0.9715720	0.6841720	0.8080253	0.1070560	0.2187961	0.0728582	0.2647486	0.3399120	0.0009354	0.4911643	0.0137931	0.9500090	0.2118908	1.0317719	0.3828247	0.8776022	0.9847474	0.2892396	0.7498468	0.4186692	0.7619729	0.0687838
