"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G71A	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.3922647	0.7969035	0.9021484	0.2424766	0.4868332	0.3803114	0.4928136	0.2509468	0.4007994	0.0885952	0.3028770	0.9950216	0.0531070	0.7248601	0.9076520	0.2080878	0.9855051	0.0766610	0.1115347	0.8861491	0.5000255	0.9908141	0.0061358	0.1775428	0.8203035	0.7246657	0.0609295	0.0386196	0.4889694	0.4183072	0.7488074	0.8156854	0.6625600	0.3682763	0.3142313	0.4974676	0.5516127	0.7003807	0.2515524	0.4877148	0.1435894	0.9886418	0.1650218	0.8922248	0.4676403	0.1391755	0.4015150	0.0710828	0.5296600	0.1656848	0.9897618	0.6591609	0.8187360	0.9488344	0.9293540	0.6015174	0.2791615	0.0709371	0.7349337	0.4211790	0.0736426	0.2910429	0.3731161	0.5384496	0.4479937	0.0983064	0.3979039	0.0591067	0.0327384	0.7306052	0.9900690	0.7549113	0.1236819	0.0023553	0.9773247	0.9847599	0.8381181	0.6433247	0.1740955	0.9881551	0.5568945	0.2863619	0.5337236	0.3329014	0.2875378	0.6579602	0.0015452	0.1146080	0.4399263	0.8680264	0.3174834	0.1721574	0.4738144	1.0000000	0.9361853	0.8145407	0.4183730	0.5695990	0.3811591	0.0002382
50	0.3994003	0.7970037	0.9022639	0.2376527	0.4721726	0.3632470	0.4602109	0.1188727	0.7248238	0.0787790	0.3114560	0.2755521	0.0531472	0.6375335	0.9156989	0.2276333	0.9791361	0.0901813	0.1298547	0.8852613	0.4994358	0.9901243	0.0061869	0.1774184	0.8361104	0.9121209	0.0609295	0.0386801	0.1091710	0.4184267	0.7490093	0.8152479	0.6615346	0.2492536	0.3154754	0.4978856	0.5530819	0.6752027	0.5773865	0.4868205	0.1973254	0.9709978	0.1651393	0.8905002	0.4780488	0.3844115	0.2431910	0.0709264	0.5298248	0.1859991	0.9882920	0.6359362	0.9087549	0.9494260	0.8962795	0.4414461	0.3863493	0.0881241	0.7325716	0.4250619	0.0752817	0.2898617	0.3420832	0.6799968	0.5412716	0.1051586	0.3819068	0.0749385	0.6846004	0.7277677	0.9952372	0.5675149	0.1378546	0.0025071	0.9766737	0.9849132	0.5011960	0.6430624	0.1488326	0.5760424	0.5583484	0.3535441	0.6930093	0.2021827	0.3230678	0.3446491	0.0024010	0.3479492	0.6657619	0.6876836	0.3391135	0.1770505	0.4723618	1.0000000	0.9330799	0.8003368	0.1042101	0.5694112	0.3802889	0.0002162
100	0.3983188	0.7970714	0.9024380	0.2293690	0.4624838	0.4003524	0.3084244	0.0417222	0.8533197	0.0784281	0.3477651	0.1554171	0.0532830	0.4989998	0.9282287	0.2360278	0.9685740	0.1252312	0.1681053	0.8847281	0.4993752	0.9897291	0.0062186	0.1771924	0.8643957	0.9692399	0.0609295	0.0387519	0.0707837	0.4185298	0.7491341	0.8128910	0.6639907	0.2370164	0.3155282	0.4999649	0.5546297	0.5476174	0.6813242	0.4787887	0.3520924	0.8978081	0.1617834	0.8749290	0.5214445	0.4486821	0.1690266	0.0690638	0.5301381	0.2012526	0.9850722	0.5810895	0.9414537	0.9511325	0.8820004	0.5066920	0.5762093	0.1320915	0.7355760	0.4605732	0.0767344	0.2857427	0.3025247	0.7111818	0.5667856	0.1849371	0.3096030	0.1108703	0.8320821	0.6983765	0.9972130	0.5132716	0.1589650	0.0026443	0.9688465	0.9850952	0.3715567	0.6426333	0.1302277	0.5003428	0.5656097	0.4230737	0.7512808	0.1484581	0.3885802	0.2601078	0.0066268	0.4641826	0.6704646	0.6504285	0.3961020	0.2030564	0.4702370	1.0000000	0.9258535	0.7686583	0.0348485	0.5696705	0.3711471	0.0001165
150	0.3900390	0.7971383	0.9028238	0.2225671	0.4859707	0.5101726	0.1668426	0.0151166	0.9042809	0.1145530	0.4029524	0.1353884	0.0539952	0.4413426	0.9362805	0.2407516	0.9430798	0.1573108	0.1907443	0.8844778	0.4993594	0.9918365	0.0062346	0.1769030	0.8811274	0.9869854	0.0609295	0.0386768	0.0567622	0.4185911	0.7489813	0.8084275	0.6719685	0.2416490	0.3146756	0.5023331	0.5551074	0.5490862	0.7145572	0.4537788	0.4454928	0.8206029	0.1511808	0.8512470	0.5596203	0.4632115	0.1342119	0.0671812	0.5303419	0.1752763	0.9828863	0.5487762	0.9526499	0.9525945	0.8939822	0.5667515	0.6905999	0.1780440	0.7557333	0.5219920	0.0695862	0.2763911	0.2851881	0.7173710	0.5728405	0.3143700	0.2543463	0.1338173	0.8660181	0.5808974	0.9980169	0.4820704	0.1691672	0.0025927	0.9501270	0.9850611	0.3202304	0.6423100	0.1466539	0.4867445	0.5761340	0.5369629	0.7801592	0.1508725	0.4416139	0.2375749	0.0158269	0.5499209	0.6744298	0.6427452	0.4398513	0.2493220	0.4689747	1.0000000	0.9192999	0.7461812	0.0193700	0.5707955	0.3440327	0.0000658
200	0.3804010	0.7972459	0.9034993	0.2287251	0.5443004	0.5921782	0.1028828	0.0068398	0.9244864	0.1774999	0.4513074	0.1320808	0.0561928	0.4201763	0.9408104	0.2443919	0.9101292	0.1666984	0.1997107	0.8843340	0.4986406	0.9945905	0.0062486	0.1766329	0.8887541	0.9934103	0.0609295	0.0385112	0.0397552	0.4185436	0.7484112	0.7997760	0.6802913	0.2285290	0.3136748	0.5019011	0.5501963	0.6313340	0.7251870	0.4199495	0.4859919	0.7719274	0.1462630	0.8310272	0.5789034	0.4669210	0.1178866	0.0660414	0.5300278	0.1242024	0.9814826	0.5385844	0.9543032	0.9521543	0.9017456	0.5897940	0.7497524	0.2188376	0.7897017	0.5731183	0.0688954	0.2605992	0.2848375	0.7296963	0.5754109	0.3968148	0.2417835	0.1441546	0.8742001	0.3707368	0.9983442	0.4537488	0.1502923	0.0024700	0.9344093	0.9848192	0.2984085	0.6420936	0.1807380	0.4844274	0.5811931	0.6415324	0.7984738	0.1640852	0.4768721	0.2318111	0.0231499	0.6150453	0.6890639	0.6412050	0.4623925	0.2891194	0.4683631	1.0000000	0.9171645	0.7350074	0.0159414	0.5723698	0.3255145	0.0000366
250	0.3821910	0.7974096	0.9039467	0.2538683	0.6033147	0.6210467	0.0834285	0.0042554	0.9324603	0.2202153	0.4796127	0.1315564	0.0603573	0.4129420	0.9440258	0.2488047	0.8917319	0.1566001	0.2025694	0.8840655	0.4973175	0.9964385	0.0062690	0.1763886	0.8921058	0.9960308	0.0609295	0.0384014	0.0295986	0.4183442	0.7476656	0.7872387	0.6823605	0.1897275	0.3143597	0.4922635	0.5364539	0.6758910	0.7285342	0.3915199	0.5036994	0.7465650	0.1504498	0.8187412	0.5843886	0.4695632	0.1104425	0.0654660	0.5296627	0.0883806	0.9803033	0.5372319	0.9515729	0.9488515	0.9052940	0.6048774	0.7784337	0.2632414	0.8242928	0.6030246	0.0802721	0.2383238	0.2985494	0.7493896	0.5787293	0.4410684	0.2507361	0.1502562	0.8767642	0.1819984	0.9984790	0.4243125	0.1179400	0.0023556	0.9293566	0.9846626	0.2875275	0.6419060	0.2140325	0.4841381	0.5781120	0.6962383	0.8080333	0.1713113	0.4955599	0.2303855	0.0260918	0.6575716	0.7045490	0.6409799	0.4723640	0.3107413	0.4680922	1.0000000	0.9183687	0.7301441	0.0149504	0.5736882	0.3239433	0.0000200
300	0.4061678	0.7975492	0.9035527	0.2911796	0.6475599	0.6285444	0.0785101	0.0034187	0.9355520	0.2393601	0.4922079	0.1314874	0.0660004	0.4116844	0.9471726	0.2538611	0.8942518	0.1430970	0.2030791	0.8835956	0.4959085	0.9975655	0.0062960	0.1762057	0.8936433	0.9971398	0.0609295	0.0383517	0.0254566	0.4180624	0.7472722	0.7755907	0.6705030	0.1446780	0.3198642	0.4684236	0.5145618	0.6942020	0.7295749	0.3727344	0.5117397	0.7337108	0.1563921	0.8130766	0.5790168	0.4713949	0.1075529	0.0651939	0.5295008	0.0706755	0.9794289	0.5346933	0.9473394	0.9424029	0.9066279	0.6158197	0.7909214	0.3127296	0.8515642	0.6172806	0.0944878	0.2183767	0.3238974	0.7666761	0.5829947	0.4670353	0.2637459	0.1538336	0.8786957	0.0868028	0.9985368	0.3931100	0.0945097	0.0022684	0.9295469	0.9849601	0.2825848	0.6416712	0.2359612	0.4841179	0.5699387	0.7142237	0.8096239	0.1722040	0.5041018	0.2298829	0.0268556	0.6813556	0.7154390	0.6410581	0.4765405	0.3199317	0.4679970	1.0000000	0.9201400	0.7282475	0.0145370	0.5745343	0.3271075	0.0000117
350	0.4506985	0.7975330	0.9022501	0.3299793	0.6773530	0.6303628	0.0773271	0.0031351	0.9366979	0.2468841	0.4970800	0.1314881	0.0719408	0.4138293	0.9503343	0.2587148	0.9058669	0.1351485	0.2026440	0.8830081	0.4947190	0.9982705	0.0063215	0.1761639	0.8943482	0.9976078	0.0609295	0.0383331	0.0240217	0.4178964	0.7480156	0.7659263	0.6342151	0.1108886	0.3334584	0.4309881	0.4888595	0.7003688	0.7298994	0.3618010	0.5154800	0.7270200	0.1607516	0.8117913	0.5658169	0.4723994	0.1071690	0.0650681	0.5294472	0.0631019	0.9790708	0.5287432	0.9433510	0.9332250	0.9068657	0.6219602	0.7945478	0.3552203	0.8703269	0.6219024	0.1052053	0.2068284	0.3532387	0.7775900	0.5873127	0.4811210	0.2752604	0.1543031	0.8813632	0.0505709	0.9985623	0.3621237	0.0830049	0.0022019	0.9309121	0.9857707	0.2841108	0.6413738	0.2484649	0.4840787	0.5611598	0.7169785	0.8064993	0.1702763	0.5087420	0.2294323	0.0264861	0.6923856	0.7224246	0.6411943	0.4783418	0.3233920	0.4679929	1.0000000	0.9213991	0.7277272	0.0143895	0.5749908	0.3295581	0.0000077
400	0.5042972	0.7972868	0.9004237	0.3633124	0.6962146	0.6308346	0.0770271	0.0030352	0.9370804	0.2497104	0.4985974	0.1314967	0.0770735	0.4184215	0.9531588	0.2627225	0.9162852	0.1317285	0.2018163	0.8824221	0.4938212	0.9987209	0.0063311	0.1763163	0.8946595	0.9978012	0.0609295	0.0383276	0.0235568	0.4181745	0.7508971	0.7503753	0.5754435	0.0918783	0.3571525	0.3867468	0.4647054	0.7011598	0.7300030	0.3558847	0.5172497	0.7234915	0.1632700	0.8131847	0.5491402	0.4728639	0.1080644	0.0650104	0.5294305	0.0601054	0.9790991	0.5209596	0.9403305	0.9226527	0.9066058	0.6248305	0.7936677	0.3834977	0.8823193	0.6207390	0.1113565	0.2020833	0.3772999	0.7833013	0.5909190	0.4876197	0.2864550	0.1525047	0.8849453	0.0367970	0.9985736	0.3378190	0.0784837	0.0021479	0.9322569	0.9868414	0.2940760	0.6410506	0.2572701	0.4839698	0.5543799	0.7164699	0.8012776	0.1678200	0.5130771	0.2286919	0.0258102	0.6951754	0.7271873	0.6412739	0.4792158	0.3245735	0.4680255	1.0000000	0.9221606	0.7278351	0.0144281	0.5752004	0.3306790	0.0000059
