"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G73A	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.5310409	0.5819503	0.9949139	0.3543704	0.4687790	0.2209006	0.2536663	0.5309395	0.7765949	0.5853528	0.9847554	0.3612033	0.8632614	0.0311291	0.0795759	0.9895849	0.0986416	0.0364369	0.1355782	0.0151023	0.1727558	1.0384010	0.5223429	0.8581768	0.1331224	0.0904750	0.1808390	0.0115868	0.0715037	0.0745327	0.0680105	0.0036861	0.8496682	0.0376613	0.6015739	0.9842436	0.9777700	0.1211756	0.1714285	0.3641293	0.8515273	0.6306800	0.3834076	0.9133431	0.0249206	0.1542964	0.9923593	0.6807657	0.6584106	0.4320689	1.0916567	0.4600485	0.8890724	0.5574345	0.0014113	0.3405699	0.0033142	0.1471197	0.7844742	0.2697166	0.0391811	0.4380419	0.0397481	0.0226470	0.4135021	0.4163922	0.9392471	0.1782708	0.8897648	0.1651298	0.0015802	0.0991963	0.4876340	0.3785775	0.3224373	0.5407384	0.3966986	0.6199348	0.7324910	0.0045842	0.5490133	0.6942281	0.6950158	0.7277186	0.8831637	0.3254525	0.9071044	0.6358387	0.8927673	0.7753641	0.7712153	0.0838362	0.9642456	0.0046683	0.6751104	0.8281935	0.9325053	0.5527149	1.0065079	0.2187082
50	0.4056918	0.5295003	0.7602765	0.3832029	0.5421019	0.1939956	0.2460680	0.1371612	0.8098424	0.5504232	0.9532761	0.2354403	0.8382816	0.2501648	0.0801778	0.9778448	0.1972444	0.2855299	0.2054277	0.0341746	0.1266366	1.0736694	0.3195137	0.8184015	0.1194726	0.2032679	0.1849841	0.5746238	0.0898925	0.0853013	0.0224247	0.2000607	0.8362566	0.0974667	0.5123701	0.9308577	0.9154289	0.3590038	0.1319568	0.7527787	0.9518140	0.8154495	0.0865379	1.0057851	0.0171801	0.1555901	0.8312746	1.0012557	0.5777649	0.4466646	0.9891002	0.3167202	0.9936055	0.6888336	0.0002208	0.2523394	0.0038843	0.1265227	0.7330255	0.2771364	0.0551115	0.5322301	0.0275286	0.0129417	0.2563818	0.6067439	0.5165728	0.2021185	0.8403474	0.0782475	0.0027900	0.0997762	0.4240531	0.4013169	0.2183090	0.5665570	0.6703221	0.6136023	0.6897843	0.0037010	0.5254778	0.8266444	0.8101386	0.7704282	0.9117329	0.2459299	0.8132172	0.5804321	0.9245594	0.8263103	0.6695103	0.0630270	1.0122908	0.0135182	0.3921841	0.8284947	0.9864549	0.5689945	0.8538035	0.2659031
100	0.4731073	0.5217279	0.6371067	0.3281497	0.5455992	0.1629828	0.2345391	0.0285870	0.6975029	0.5399667	0.9582765	0.3697763	0.8265071	0.3063744	0.1155147	0.9730587	0.2203836	0.8387818	0.3698258	0.0421847	0.1369164	1.0347170	0.2719962	0.9117095	0.1580636	0.2008016	0.2591217	0.8304077	0.0622775	0.2473842	0.0428443	0.2718800	0.8824971	0.0941735	0.5456087	0.8870813	0.9430594	0.4595093	0.1249281	0.9090996	1.0215152	0.8564462	0.0212084	0.9738055	0.0345937	0.1504984	0.7915811	0.9169699	0.5608942	0.4094409	1.0145258	0.2667260	0.9259132	0.7255301	0.0012987	0.2248112	0.0035618	0.1461239	0.8322249	0.2703844	0.0334872	0.6266399	0.0732036	0.0101934	0.1300972	0.5733653	0.3019597	0.2344712	0.8675086	0.1998540	0.0115954	0.1004608	0.4396323	0.3950595	0.1368298	0.3285060	0.7075360	0.5592145	0.7105662	0.0013806	0.5723835	0.8178271	0.5954893	0.8456827	0.9618122	0.2573000	0.6262685	0.5435269	0.9387880	0.8267226	0.6805644	0.0776465	0.9629016	0.0139828	0.1505380	0.7685889	0.7751695	0.6657445	0.7916848	0.2212267
150	0.5235161	0.7075103	0.6925275	0.3561994	0.4131790	0.1571340	0.2436263	0.0157173	0.7741237	0.4409731	0.9212578	0.4549923	0.6550971	0.3288621	0.1234900	1.0480987	0.2369402	1.0379142	0.5600795	0.0419586	0.1124303	1.0107917	0.2688987	1.0088760	0.2130659	0.2671346	0.3873452	0.9176512	0.0734289	0.3953350	0.1452160	0.4260794	0.8899669	0.2630893	0.3008748	0.9975912	0.8776970	0.4146991	0.1312828	1.0014552	1.0494968	0.8313020	0.0179386	0.9679654	0.0174452	0.1790700	0.7389898	0.9775314	0.5797307	0.4474168	1.0736496	0.2981267	0.9261356	0.8487217	0.0005999	0.2369457	0.0021457	0.2015049	0.8098139	0.3473803	0.0558618	0.5712452	0.1297243	0.0125419	0.1028056	0.4494991	0.1538725	0.3067786	0.7932147	0.4039593	0.0173011	0.0793146	0.4871794	0.2953808	0.0651507	0.2383135	0.8677036	0.4199839	0.7366798	0.0030725	0.5909793	0.7673061	0.3875798	0.9465344	0.9083722	0.1978661	0.4301433	0.4782500	0.9444010	0.7764612	0.7012933	0.2152825	0.9413738	0.0213994	0.0637660	0.7481640	0.5657813	0.7437270	0.6479088	0.2037763
200	0.4711236	0.5646078	0.7527431	0.3660929	0.3771224	0.2255877	0.3083826	0.0159074	0.6980628	0.4044898	0.8671795	0.5165194	0.6653855	0.3433543	0.1450277	1.0775406	0.1840456	1.0509050	0.6875062	0.0673993	0.1796078	1.0154021	0.2872192	0.9839371	0.3546512	0.5207686	0.5684494	0.8872591	0.0852904	0.4186142	0.2211583	0.5726687	0.9495368	0.3269610	0.1635773	0.9303451	0.8938900	0.4434493	0.1972718	0.9526398	1.0672168	0.8596335	0.0575834	0.8840461	0.0088366	0.1619398	0.6337876	0.8881621	0.6708631	0.4605348	0.9563166	0.2929229	0.9971006	0.7878901	0.0000042	0.2242680	0.0000000	0.2558256	0.8070413	0.3633183	0.0735086	0.5953846	0.1968520	0.0091546	0.1007663	0.4544049	0.0676442	0.3893521	0.9335390	0.5122024	0.0328381	0.0333414	0.4402345	0.1961916	0.0343325	0.1993238	0.9012188	0.2491830	0.7659883	0.0023002	0.6161345	0.8416568	0.2842993	0.8772804	1.0158931	0.3264907	0.3075305	0.4626774	0.9747038	0.7758763	0.7379264	0.2252997	0.9062154	0.0245290	0.0467481	0.8082132	0.3437336	0.7974752	0.5453360	0.2253546
250	0.5918093	0.3389801	0.6423572	0.4411607	0.3491192	0.1741373	0.2510355	0.0081006	0.7009421	0.3691756	0.9395833	0.5597063	0.5310995	0.3979932	0.2469172	1.0024596	0.2534015	0.9681273	0.7749215	0.0907393	0.2010027	0.8648692	0.3402056	1.0530058	0.5238283	0.7927472	0.6445565	0.8743649	0.1807771	0.4376334	0.2057978	0.6666272	0.8996497	0.4931729	0.1142778	0.9165851	0.8490915	0.5617137	0.3738542	1.0328660	1.0846232	0.8581050	0.1004770	0.8159181	0.0170835	0.2248081	0.5738646	0.9436097	0.6683722	0.3981454	0.9731212	0.3266576	0.8830891	0.8168774	0.0007759	0.2205003	0.0040691	0.2453621	0.7596966	0.4748751	0.1780284	0.6364340	0.2886136	0.0062587	0.1155578	0.4512280	0.0366497	0.5485614	0.9835983	0.5590076	0.0642415	0.0144989	0.4766090	0.1739583	0.0231103	0.1720760	0.8145973	0.2297076	0.6825605	0.0035330	0.5739279	0.8362639	0.2642039	0.7664346	0.9903534	0.3140306	0.2872634	0.5978208	0.9326442	0.7081347	0.8193296	0.1864689	1.0533109	0.0499520	0.0374618	0.7811440	0.1888104	0.8212032	0.5282799	0.2013627
300	0.7502625	0.4318044	0.5063826	0.4390345	0.2786009	0.1679765	0.2305094	0.0002951	0.7539106	0.3500976	0.9124996	0.7149731	0.4530955	0.4382865	0.3443919	0.9124951	0.2423423	0.9774951	0.8295676	0.1283677	0.3289037	0.5448228	0.2447974	0.9744458	0.7564765	0.8458579	0.6294109	0.8540014	0.2332425	0.4514925	0.2268744	0.7584635	0.9374098	0.5327522	0.0963434	0.9495908	0.7378355	0.7358681	0.4986631	1.0653437	1.0150950	0.8989682	0.1081665	0.7924485	0.0100873	0.3125935	0.4859703	0.9663103	0.7651065	0.4181854	0.9485873	0.4571402	0.8441353	0.8040860	0.0001780	0.2066942	0.0096212	0.2458350	0.8035384	0.5031408	0.3384615	0.6622069	0.2984993	0.0094824	0.0812857	0.4467571	0.0269977	0.7500191	0.8210662	0.5482482	0.0812112	0.0049367	0.4430448	0.1625383	0.0128725	0.1557211	0.8048315	0.2502520	0.8081320	0.0098002	0.5477847	0.8642100	0.2429000	0.7846888	0.9230970	0.2291053	0.2870068	0.6373862	0.8938517	0.6395182	0.7688905	0.1096413	0.9602575	0.0754145	0.0342505	0.7929653	0.1572121	0.8099007	0.4165878	0.1843761
350	0.7932462	0.6446951	0.4001695	0.3985103	0.2115298	0.1539944	0.2159718	0.0051742	0.7799583	0.3809922	0.8620219	0.7823423	0.3982957	0.4339749	0.4451238	1.0011681	0.2050608	0.9553106	0.8590123	0.1417147	0.4362202	0.3628370	0.2007886	1.0100500	0.8782067	0.8376534	0.6978048	0.8523004	0.2436216	0.4476878	0.2338003	0.8185170	1.0094172	0.5047979	0.1012683	0.8357917	0.7791057	0.8882510	0.6438455	1.0090999	1.1083620	0.9587871	0.0984096	0.7766213	0.0316699	0.3220317	0.5042561	0.9756698	0.8331492	0.4731072	1.0713381	0.5191043	0.8323853	0.6263685	0.0001505	0.1938200	0.0313802	0.2447779	0.8251003	0.5496918	0.4645106	0.6470484	0.2290065	0.0050607	0.0832093	0.3826574	0.0088764	0.8408348	0.8376091	0.5694521	0.0991350	0.0089411	0.4587001	0.1588398	0.0047198	0.0899250	0.7204168	0.2665926	0.7085925	0.0017477	0.5371426	0.9300002	0.3051641	0.7904711	0.9217706	0.2037408	0.2779626	0.6053417	0.9399718	0.6704653	0.7053533	0.0472982	0.9058660	0.0934435	0.0336796	0.7619524	0.1282320	0.8400946	0.2658205	0.1653287
400	0.7029098	0.7604777	0.4164897	0.5164607	0.1416831	0.1810692	0.2170227	0.0035649	0.7930069	0.4065514	0.8624186	0.7669315	0.4066992	0.5137249	0.5000785	0.9739040	0.1978230	0.9942324	0.8643247	0.1736040	0.4472804	0.2647534	0.2673588	0.9711817	0.9826502	0.7963752	0.6756784	0.9587338	0.4757683	0.5585719	0.1926279	0.8381610	0.9746986	0.4809121	0.0972428	0.8294722	0.7813339	0.9891480	0.6405456	0.9568213	1.0296930	0.9381465	0.1079866	0.7339422	0.0275169	0.3977932	0.5481753	0.9200166	0.8145068	0.4789077	1.0244544	0.5693571	0.7879012	0.6008802	0.0005273	0.1864594	0.0461447	0.2059091	0.8741799	0.5368523	0.5030967	0.7127075	0.1789991	0.0107897	0.0706077	0.3832146	0.0123943	0.8630970	0.8289014	0.6268574	0.1141333	0.0053034	0.5016419	0.1400606	0.0026284	0.0688453	0.6872697	0.2708581	0.7385930	0.0006547	0.5619089	0.8851998	0.3737605	0.7667854	0.9227111	0.2557767	0.2752172	0.7113641	0.9013366	0.6316441	0.7271605	0.0637565	0.9323366	0.1387322	0.0459757	0.6887093	0.0496771	0.7471178	0.2699352	0.1869590
