Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G71A	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.2445923	0.6290079	0.6460274	0.1462324	0.2763884	0.1932026	0.4172931	0.2299158	0.2051021	0.0699087	0.2456819	0.7377830	0.0223157	0.5063013	0.5308527	0.1085531	0.6474794	0.0951766	0.0470847	0.5260410	0.3835280	0.6398043	0.0046749	0.1373930	0.5523536	0.4861874	0.0780393	0.0316407	0.4146431	0.3190039	0.5094912	0.5333886	0.5534304	0.3025910	0.2504618	0.3539558	0.4240038	0.4927491	0.1900875	0.3853899	0.1092909	0.6250446	0.0984585	0.6131907	0.2457226	0.0988298	0.2200899	0.0654409	0.3761181	0.1715156	0.5401139	0.4719956	0.5542365	0.5613801	0.6828357	0.3522830	0.1627102	0.0232443	0.4257973	0.2110721	0.0560449	0.1599347	0.2256216	0.3760759	0.3115171	0.0641107	0.2181992	0.0422841	0.0178479	0.4217578	0.6297544	0.4043723	0.0624923	0.0010759	0.6578530	0.7672741	0.5542278	0.3824334	0.1082229	0.6761026	0.3691489	0.1939314	0.3736262	0.2570247	0.1405231	0.3946318	0.0003846	0.1154256	0.3032470	0.5164269	0.1451049	0.1583426	0.3383693	0.7784001	0.6851290	0.5664733	0.2627850	0.3665374	0.2963980	0.0004732
50	0.1563089	0.5140040	0.5715555	0.0776929	0.2264539	0.1532348	0.3744419	0.1544764	0.3591830	0.0628472	0.2526175	0.3933295	0.0307197	0.6085742	0.5816060	0.1866696	0.5017014	0.1147548	0.0826524	0.5467690	0.2280138	0.6977508	0.0200852	0.1282915	0.5433071	0.4533601	0.0482766	0.0262778	0.2499571	0.2090260	0.5482351	0.5088281	0.3900456	0.2918192	0.2426775	0.2937200	0.2782770	0.3574533	0.2850885	0.3196370	0.1123074	0.6286418	0.0902884	0.5325577	0.2436247	0.1716846	0.1592188	0.0629490	0.3579160	0.3284309	0.5557869	0.3797063	0.5330061	0.6681601	0.5474228	0.3273015	0.2441695	0.0138200	0.4958853	0.2398930	0.0629220	0.2063983	0.3598203	0.3449150	0.3527809	0.0582309	0.2773959	0.0382020	0.2722534	0.4179071	0.7093677	0.4557107	0.2043807	0.0005073	0.6848615	0.5543771	0.5372479	0.4365739	0.1294699	0.5066725	0.4501937	0.2311194	0.3785040	0.1621632	0.3148442	0.3692878	0.0151785	0.1845672	0.4363007	0.5140248	0.2002964	0.1100209	0.3685981	0.6763194	0.6569192	0.5738592	0.1681389	0.4735616	0.2465408	0.0003770
100	0.1212353	0.6110254	0.5917330	0.0816062	0.2639479	0.1836234	0.3348926	0.1234200	0.6072028	0.0571943	0.2879325	0.1610205	0.0264769	0.4076100	0.6002029	0.1260102	0.5081587	0.1707222	0.1363635	0.4574686	0.2945428	0.6451240	0.0022503	0.1354780	0.5107727	0.4777555	0.0301970	0.0247210	0.1400330	0.3076513	0.4838503	0.5871031	0.4714686	0.3247896	0.2377042	0.3065937	0.3230564	0.3438244	0.4134985	0.3163690	0.1747310	0.6007792	0.1527082	0.5923677	0.4177716	0.2939830	0.0874791	0.0726034	0.3302509	0.3220371	0.7069308	0.4207213	0.5147508	0.5938720	0.5190005	0.3544602	0.3565804	0.0160198	0.4585713	0.3053389	0.0484322	0.1751476	0.3291354	0.3512751	0.2876633	0.0856320	0.2597322	0.0443000	0.4420776	0.4125193	0.7063815	0.3630440	0.1747008	0.0001413	0.6275921	0.6413430	0.3989450	0.3788341	0.0952260	0.4665759	0.4050453	0.3841544	0.5345404	0.0674188	0.2400713	0.2720365	0.0456727	0.2589473	0.3758431	0.3920747	0.2034207	0.1367508	0.2828863	0.6293335	0.5572220	0.4101495	0.0482391	0.3822468	0.2190635	0.0000000
150	0.1726263	0.6042133	0.4604484	0.0784915	0.2555982	0.1982504	0.1683936	0.0640427	0.6323143	0.0366947	0.3140921	0.1833734	0.0293164	0.3304692	0.5752467	0.2113528	0.6149435	0.2258914	0.1334602	0.5097154	0.3824762	0.6103199	0.0050618	0.0670947	0.6553239	0.6615669	0.0400939	0.0158467	0.0783735	0.2810488	0.4948108	0.4482578	0.4932082	0.2642378	0.2201077	0.2204729	0.3530361	0.2684327	0.4478587	0.3531452	0.2530543	0.4417399	0.1019661	0.5679985	0.4017637	0.3235377	0.0779244	0.0220002	0.3453838	0.2581152	0.7104258	0.3700671	0.7491624	0.5737651	0.5209930	0.4454390	0.3744482	0.0117606	0.4721852	0.3439388	0.0293870	0.1431383	0.2599659	0.4202363	0.2648573	0.1340733	0.1720698	0.0857442	0.5735379	0.4013508	0.6756167	0.3175844	0.1473628	0.0021532	0.6394302	0.6326755	0.2624615	0.4282836	0.1287760	0.3508960	0.4320704	0.3617026	0.5011687	0.0589130	0.2411292	0.1334141	0.0456128	0.2990314	0.4450228	0.4362688	0.2464878	0.1254461	0.3499443	0.6892961	0.5427428	0.4818297	0.0618224	0.3402898	0.2119405	0.0009106
200	0.1351199	0.4419217	0.5790929	0.0830299	0.2366034	0.3906564	0.1285659	0.0212559	0.5549372	0.0298856	0.3185635	0.0924640	0.0480492	0.3065109	0.5515150	0.1474140	0.5103882	0.1636845	0.1781985	0.5841718	0.4036335	0.6020181	0.0007169	0.1533747	0.6488036	0.5727217	0.0435156	0.0148554	0.0394341	0.2672565	0.6036067	0.4387055	0.4882378	0.2269648	0.2469097	0.2538290	0.4318239	0.3266967	0.5317998	0.3036476	0.2352210	0.5783347	0.0917318	0.4890412	0.4647566	0.2459110	0.0796835	0.0506647	0.3667309	0.1481926	0.6033636	0.3927772	0.6462232	0.6067253	0.4554265	0.4286630	0.4817218	0.0257634	0.4375792	0.3155997	0.0321915	0.2001481	0.2494248	0.2664864	0.4120129	0.2693245	0.1371427	0.0663943	0.5385268	0.2837708	0.7081250	0.3310263	0.1658858	0.0070235	0.6778140	0.6068266	0.2026917	0.3702368	0.1066583	0.3494912	0.4301521	0.4185711	0.6198884	0.1691796	0.2897050	0.1795236	0.0634926	0.3543890	0.4032371	0.5181822	0.3450446	0.1944155	0.3285920	0.5958420	0.5248939	0.5436088	0.0135325	0.3745442	0.1764683	0.0035652
250	0.1797028	0.4577311	0.5684037	0.0532938	0.3288980	0.2958195	0.1056270	0.0018208	0.6362749	0.1182528	0.3042348	0.0957379	0.0278781	0.2103995	0.6173511	0.1378665	0.6000462	0.1101461	0.1464254	0.5891236	0.3360242	0.5559818	0.0029561	0.1124783	0.5054394	0.6583731	0.0566533	0.0089940	0.0410916	0.2687526	0.5122810	0.5586079	0.4765605	0.2659585	0.2527529	0.5129906	0.3584029	0.4401457	0.5078237	0.2485759	0.3535082	0.4274088	0.0677908	0.5788956	0.4218326	0.4003867	0.0869548	0.0265720	0.3711764	0.0617460	0.5359682	0.3700244	0.6010028	0.5581293	0.6297184	0.4662994	0.4850267	0.0703875	0.5318451	0.3242472	0.0598285	0.1172551	0.2279228	0.3734503	0.3440955	0.2328686	0.1896732	0.1268604	0.6041768	0.1131990	0.6394458	0.3056169	0.1853187	0.0015192	0.6083467	0.6138654	0.2189044	0.4168279	0.1945983	0.2597653	0.4441914	0.4698693	0.5775039	0.1331361	0.2922426	0.1369561	0.0597125	0.3861459	0.5428144	0.4858809	0.3035274	0.1903778	0.2438379	0.6662113	0.6265863	0.4777844	0.0224981	0.3444396	0.2343861	0.0013534
300	0.0958796	0.4756501	0.4681058	0.0593197	0.3457636	0.4231492	0.0361515	0.0014382	0.7195764	0.1074070	0.3021452	0.1096263	0.0289154	0.2428380	0.7127114	0.2117478	0.6158331	0.0976847	0.1619135	0.6087348	0.3026750	0.5732964	0.0083736	0.1122061	0.5729774	0.6208048	0.0425638	0.0104153	0.0308466	0.2348434	0.4332386	0.4124653	0.5012044	0.2127858	0.1877791	0.3303380	0.3164052	0.4384898	0.4690425	0.3378654	0.3612632	0.4771894	0.1325426	0.5826476	0.4246824	0.3056051	0.0414788	0.0555056	0.3148115	0.0723275	0.6195468	0.3673114	0.6094565	0.5791380	0.6763402	0.3669922	0.5076754	0.0492769	0.4676144	0.2973155	0.0305285	0.1514953	0.1898016	0.4016583	0.3966064	0.2595318	0.2030235	0.0826343	0.5434930	0.0676707	0.6649206	0.2831821	0.1626491	0.0010538	0.5842981	0.6838911	0.1780972	0.3890738	0.1799948	0.3646962	0.3543491	0.5042927	0.5854633	0.1212997	0.3505185	0.1234127	0.0422781	0.4827952	0.5690196	0.4216368	0.3556378	0.2598592	0.3385897	0.6712151	0.4965077	0.4904573	0.0126602	0.3630693	0.1989547	0.0023304
350	0.1424300	0.5097857	0.4831845	0.1476568	0.3577491	0.4459906	0.0641957	0.0148943	0.4780960	0.2158400	0.3013228	0.1055101	0.0360124	0.3511452	0.6260194	0.1843417	0.5288506	0.0950326	0.1253272	0.6328472	0.3615436	0.6950868	0.0041497	0.1082973	0.6724884	0.6261782	0.0222452	0.0223907	0.0100533	0.2568550	0.4255651	0.4164980	0.4390828	0.1560020	0.2293255	0.4248685	0.3750566	0.4484760	0.4648893	0.2430284	0.3413661	0.4638084	0.1156457	0.6873331	0.3665010	0.3229217	0.0488829	0.0592307	0.3547119	0.0618994	0.6797642	0.2732481	0.5843390	0.6455968	0.5502425	0.4341450	0.4167381	0.0841552	0.6318636	0.4548940	0.0549875	0.0916165	0.2161781	0.5245193	0.4394985	0.2980034	0.1904792	0.0672653	0.5500503	0.0177644	0.5344133	0.1660712	0.1139208	0.0039014	0.7190528	0.6855325	0.1379147	0.4280299	0.1371341	0.2512375	0.3250883	0.4325473	0.5581565	0.1439636	0.3189261	0.1287685	0.0420063	0.4700961	0.4796635	0.4046134	0.3196829	0.2205248	0.3313990	0.6397823	0.5589875	0.3975150	0.0033929	0.3719492	0.2046390	0.0150555
400	0.1220129	0.4692820	0.5592406	0.1503467	0.4694079	0.4500132	0.0446165	0.0043626	0.5175942	0.1454729	0.2742021	0.0788858	0.0629116	0.2477778	0.6815147	0.1285211	0.5550340	0.0601084	0.1659509	0.4779402	0.3966754	0.5093556	0.0010320	0.1437848	0.6364612	0.6719774	0.0218852	0.0254340	0.0174224	0.3017457	0.5528201	0.3619114	0.5994876	0.1076114	0.2076252	0.2993119	0.2738597	0.4938446	0.5006609	0.3063138	0.3436794	0.4237601	0.0764011	0.5326460	0.2965556	0.3240351	0.0661261	0.0570920	0.3277704	0.0333894	0.4762606	0.2803771	0.6558862	0.6306781	0.6446875	0.3853035	0.6156551	0.1322325	0.5423422	0.4410211	0.0599002	0.1863265	0.1498148	0.5451212	0.4250841	0.3952409	0.1667473	0.1028746	0.6216921	0.0231533	0.6047104	0.1926137	0.0662289	0.0085029	0.7624551	0.5590590	0.2011937	0.4028533	0.1482698	0.3488608	0.3036945	0.5239735	0.6011376	0.1634482	0.4549252	0.0797058	0.0364504	0.4465515	0.4507168	0.4093162	0.3376022	0.1785544	0.3640664	0.7379376	0.6605899	0.5654673	0.0024321	0.3620798	0.2122067	0.0001081
