"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G66A	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.9610654	0.5434907	0.6275842	0.0225380	0.3279876	0.0470403	1.0320195	0.4640271	0.6362815	0.5350008	0.7678913	0.7257850	0.5324200	0.0013055	0.0172308	0.0750036	0.0815517	1.0563268	0.1373114	0.5984218	0.2008274	0.3665854	1.0269676	0.1653866	0.7938366	1.0818918	0.2563890	0.2145763	0.6649088	1.0214821	0.0270427	0.0710689	1.0393309	0.1297035	1.0422575	0.4658029	0.4204072	1.0050200	0.1917799	0.9929346	0.6670170	0.8265620	0.8391493	0.2489029	0.6415935	1.0467353	0.3174423	0.5557918	0.9193627	0.9760071	0.5063356	0.0223676	0.7470311	0.5304551	0.7288830	0.1302305	0.4761768	0.3366418	0.8202451	0.5162890	0.9701614	0.3555787	0.0280229	0.5319393	0.3928867	0.2089535	0.0855279	0.2483384	0.8647362	0.5056331	0.0327666	0.9760991	0.0005794	0.8938759	0.9111432	0.4343074	0.0586559	0.1393255	0.1635854	0.3707398	0.4395714	0.9001026	0.4300421	0.0220859	0.8305415	0.3275731	0.9340566	0.9714166	0.9447839	0.8876814	0.5114161	0.4376298	0.8097854	0.0209503	0.0130479	0.4098692	0.6547607	0.9321221	0.5343861	0.2470019
50	0.8144093	0.2451903	0.6810340	0.0248186	0.5328744	0.0422903	1.0077683	0.6253405	0.9399038	0.4520470	0.7994232	0.7429081	0.6537892	0.0028152	0.0146103	0.0785206	0.1463474	0.9989098	0.3895890	0.8831302	0.1765149	0.3790123	0.9174266	0.3322897	0.9316454	0.9484330	0.3314758	0.3826231	0.6225286	0.8106376	0.0405788	0.0623001	1.0038151	0.1581013	1.0046641	0.4929479	0.4016385	1.0035686	0.2489033	1.0632442	0.7655147	0.7730057	0.5779384	0.2606395	0.6454659	1.0119958	0.3577403	0.5062690	0.7950133	1.0252459	0.4526087	0.0404652	0.9384514	0.6457175	0.6891828	0.1580394	0.5155271	0.3517486	0.9075581	0.4896497	1.0040859	0.2834821	0.0435888	0.5283025	0.4283365	0.1283352	0.0387677	0.1952405	0.8626151	0.5559406	0.0451509	0.9976988	0.0015156	0.8269715	0.8719503	0.3814058	0.0640234	0.1655091	0.1600202	0.4359827	0.3020794	0.8033266	0.4519179	0.0348975	0.8474381	0.2831732	0.8804102	0.8586712	0.9923934	0.8510488	0.4145561	0.3893596	0.7983778	0.0526125	0.0161507	0.3615887	0.5313392	0.9970847	0.4141736	0.1792457
100	0.6826854	0.2262117	0.6935137	0.0225282	0.5039263	0.0441432	0.9239490	0.6723299	0.9673952	0.4753481	0.7975922	0.7360857	0.6905525	0.0005799	0.0117544	0.1030448	0.1728721	1.0393577	0.6204944	0.9133350	0.2148251	0.2940944	1.0448659	0.5072076	0.8192978	1.0100987	0.5586614	0.6974981	0.5257371	0.4979408	0.0508776	0.0617526	0.8545286	0.2203670	1.0436749	0.5227014	0.4088221	1.0345811	0.3282130	1.0835773	0.7545045	0.7030046	0.5537468	0.2537716	0.7201050	0.9899005	0.3620485	0.4829931	0.5867199	0.9802027	0.4773248	0.0418214	0.9509385	0.5833891	0.7245319	0.1620935	0.6799524	0.3700483	0.9300881	0.5067533	1.0117707	0.2367930	0.0560134	0.4301187	0.3110941	0.1608294	0.0580987	0.2469853	0.7837555	0.5702252	0.0563362	1.0136128	0.0021573	0.8956790	0.8794023	0.2624038	0.0830333	0.0988755	0.1543824	0.3465873	0.2976478	0.8854069	0.4539016	0.0361090	0.8151598	0.2607945	0.8145940	0.9427782	0.8731959	0.8790930	0.2303982	0.3648055	0.8309221	0.0534232	0.0134771	0.3120281	0.5065589	1.0375183	0.4199189	0.2708573
150	0.5105247	0.1703684	0.6615804	0.0338339	0.4817273	0.0302376	0.9521238	0.8027626	1.0360177	0.5652079	0.8174295	0.7323588	0.6703148	0.0061587	0.0064259	0.0820985	0.2198119	0.9533396	0.7990001	0.9941665	0.3052517	0.2185474	0.9562340	0.6928163	0.8427522	1.0055702	0.7814808	0.8296588	0.5308427	0.3120017	0.0539492	0.0365073	0.8476990	0.2186356	0.9610267	0.4103258	0.4317455	0.9400761	0.3567495	0.9120946	0.7604664	0.6692825	0.6761563	0.2690301	0.6645662	0.9792868	0.2827724	0.5388226	0.4984011	1.0492443	0.4881995	0.0289818	1.0101096	0.5006949	0.6962548	0.1879642	0.6562393	0.5151006	0.9481917	0.4675950	0.9614742	0.2441125	0.0592351	0.4533230	0.2001689	0.1295762	0.0755073	0.2421250	0.8129422	0.5738323	0.0670732	0.9462061	0.0019384	0.9145126	0.8431467	0.1780752	0.0746085	0.0851048	0.2288633	0.3887976	0.3620009	0.8395747	0.4824122	0.0298479	0.7800271	0.2352634	0.8369515	0.9246020	0.9394188	0.8155253	0.2010763	0.3731628	0.9437791	0.0356493	0.0146155	0.3369053	0.5023422	0.9282225	0.4966258	0.3985330
200	0.4351097	0.1210710	0.5967649	0.0360769	0.4681258	0.0194925	1.1194461	0.8733230	1.0189359	0.6184018	0.9518372	0.7402781	0.5749648	0.0064349	0.0050327	0.0919436	0.2952421	1.0069618	0.6959868	0.8974444	0.5380308	0.1816003	1.0197542	0.8253551	0.8600094	0.8885759	0.9473984	0.8442925	0.5299389	0.2251871	0.0520079	0.0416306	0.9252293	0.2382475	0.9442775	0.4092044	0.4745765	0.9282479	0.4146954	1.1192970	0.8174583	0.7700065	0.6475444	0.3159602	0.6533209	0.9218119	0.2528893	0.6163265	0.3700005	1.0906357	0.5363846	0.0465902	0.9933009	0.4661133	0.7110580	0.1959057	0.6174555	0.6661210	0.8491584	0.4455123	1.0078219	0.2165979	0.0546770	0.4629523	0.1798421	0.2216828	0.1041733	0.2491553	0.8470133	0.5535268	0.0710806	0.9819495	0.0002606	0.8995344	0.8012416	0.1766020	0.1169956	0.0356910	0.2500568	0.3570735	0.3259385	0.7396715	0.4038806	0.0232944	0.6471291	0.2266838	0.7467328	1.0454099	0.9513524	0.8332990	0.1488360	0.4303969	0.9271763	0.0234455	0.0070094	0.3798577	0.4685318	0.9666048	0.5769383	0.5151032
250	0.2299336	0.0947480	0.6202428	0.0433350	0.4258763	0.0103341	1.0984544	0.8842133	1.0400450	0.6772516	0.9631236	0.8319553	0.6874733	0.0026015	0.0068227	0.0606785	0.2748379	0.9990477	0.7054113	0.8484133	0.5938780	0.1628474	0.9056356	0.9345059	0.8386050	0.9023744	0.8236849	0.9255516	0.5119469	0.1714032	0.0410275	0.0520087	0.9351168	0.2083492	0.9659639	0.3717243	0.4548347	0.9220237	0.4647612	0.9294376	0.8789585	0.7255098	0.7785982	0.2661736	0.5828503	1.0029864	0.3215459	0.6167371	0.3075924	1.0004907	0.4868270	0.0374708	0.8986793	0.3966343	0.6730062	0.1798194	0.6263830	0.6925486	0.8801989	0.4397926	0.8685323	0.2341923	0.0369455	0.4508543	0.1495492	0.2361288	0.0648241	0.2545791	0.9998570	0.5355460	0.1010269	1.0230900	0.0025797	0.8234558	0.7424998	0.1411031	0.1248226	0.0286961	0.3048670	0.3345904	0.3918496	0.6889269	0.3771856	0.0213650	0.6137127	0.2755620	0.6820419	0.9536125	0.9484450	0.9726541	0.1173542	0.4112638	0.8832965	0.0212145	0.0421739	0.4582635	0.4834066	0.7977627	0.5821832	0.4649542
300	0.2285550	0.1576365	0.5930465	0.0354019	0.4186160	0.0105034	1.0455803	0.8247704	1.0071534	0.6589576	0.8948468	0.7857941	0.7178591	0.0021989	0.0061048	0.0667487	0.3177509	1.0613248	0.8197485	0.8359268	0.7449211	0.1103034	1.0110795	0.8949212	0.8453504	0.9814860	0.9295793	0.8778639	0.4869746	0.1608862	0.0600861	0.0634143	0.9317168	0.2382828	0.9493691	0.3746196	0.3477017	0.9328461	0.4316954	0.9713613	0.6915593	0.7588827	0.8828129	0.2835306	0.5491335	1.0182746	0.3469165	0.5112084	0.3308012	1.0675173	0.4950354	0.0337269	0.9057997	0.3608892	0.7045645	0.1774834	0.7231583	0.6842928	0.9302807	0.3822464	0.8642233	0.2359950	0.0202468	0.4814950	0.1451467	0.2345436	0.0689344	0.2723078	0.8935906	0.5753814	0.0838373	0.9854604	0.0019813	0.8524084	0.7006363	0.1289114	0.1993021	0.0252035	0.3020244	0.3252439	0.3920666	0.6658442	0.3630039	0.0211350	0.5366771	0.2289477	0.6683714	0.9826588	0.8724547	0.9028830	0.0655343	0.3968957	1.0194924	0.0167439	0.0900284	0.5444552	0.5103511	0.7007571	0.5208690	0.6012754
350	0.2459227	0.1654974	0.5591872	0.0243972	0.4428411	0.0162118	1.1057754	0.9422067	1.0222713	0.6428879	0.9283805	0.7738854	0.6734051	0.0014178	0.0057014	0.0601131	0.2287502	1.0346724	0.8247698	0.8778123	0.7536821	0.1098885	1.0566995	0.9368868	0.9123242	1.0353952	0.9810292	0.9052470	0.4380187	0.1447616	0.0545819	0.0567023	0.8639802	0.2578238	0.9514015	0.3389241	0.4506593	0.9291561	0.4825721	0.9786982	0.7767170	0.7442345	0.7854898	0.2675426	0.5147500	1.0121561	0.2952616	0.5888788	0.3067780	1.0225776	0.4567614	0.0396960	0.9609130	0.3578216	0.6553593	0.2178775	0.6388565	0.6735499	0.8400775	0.3365324	0.8565080	0.2054424	0.0182177	0.5777675	0.1482466	0.2433780	0.0799688	0.2779899	0.8292696	0.5098023	0.0811134	1.0234803	0.0014905	0.7839330	0.6620446	0.1167106	0.1751783	0.0496375	0.3576827	0.3517519	0.4075084	0.6844258	0.3770604	0.0094494	0.4886356	0.1904981	0.8148456	0.9618563	0.8035348	0.8935228	0.0839347	0.4151909	0.9687075	0.0259190	0.1133037	0.5191277	0.4989274	0.5426098	0.5728842	0.5371543
400	0.3191157	0.2135359	0.5041409	0.0176765	0.4272444	0.0115850	1.0246730	0.9032773	0.9133740	0.6151989	0.9374205	0.7775050	0.7509676	0.0014009	0.0059609	0.0598405	0.1547516	0.9790875	0.8406181	0.8857523	0.7611082	0.1359795	0.9915752	1.0654986	0.9123728	0.9399074	0.9160266	0.8887557	0.4604062	0.1073839	0.0459100	0.0535893	0.8819508	0.2223099	0.9923334	0.3704730	0.4661074	0.8863729	0.4591037	1.0496002	0.7934745	0.7256787	0.7696943	0.2478455	0.5024260	1.1197635	0.3922229	0.6289142	0.3301217	0.9597427	0.3632593	0.0382176	0.9619964	0.3488472	0.6733916	0.1848091	0.7495874	0.6671821	0.7793874	0.3428458	0.8727575	0.1705716	0.0103340	0.5339699	0.1222007	0.2228554	0.0874495	0.2583578	0.9461058	0.5059508	0.0715307	0.9608110	0.0009741	0.7806022	0.6301613	0.1297105	0.2111940	0.0507262	0.3891698	0.3775436	0.3932730	0.7803080	0.3961933	0.0067787	0.5106655	0.1916413	0.8015577	0.8961272	0.8648309	0.9290994	0.0636149	0.4073073	0.9856925	0.0287910	0.1427411	0.6737520	0.4302481	0.5657945	0.6465560	0.5801862
450	0.3982563	0.2079140	0.4599016	0.0224874	0.4385851	0.0174594	0.9544493	0.8330720	0.9649785	0.6652034	0.8935811	0.7747434	0.7514343	0.0012027	0.0092095	0.0389842	0.1856155	1.1128151	0.9326689	0.9365041	0.6610668	0.1742260	1.0376662	0.9968953	0.8071424	0.8454952	0.8618323	0.8998566	0.4820893	0.1100353	0.0519596	0.0994529	0.9037974	0.2418119	0.9508511	0.3736977	0.4206409	0.8487156	0.4807338	1.0563568	0.8467684	0.7056576	0.7320898	0.3040346	0.5957472	1.1508216	0.4685015	0.6022686	0.2840904	1.0333384	0.4245488	0.0827326	0.9764954	0.3245874	0.6981369	0.1774910	0.7155198	0.6478795	0.7448320	0.3139212	0.9023957	0.1652100	0.0120978	0.5437832	0.1166855	0.2075846	0.0832987	0.2513048	0.9619918	0.5290902	0.0709764	0.9520528	0.0026390	0.7942108	0.6219361	0.0804996	0.2170312	0.0484474	0.3084678	0.4225073	0.4365095	0.7095541	0.3880469	0.0119463	0.5636513	0.2406839	0.8214525	0.9830879	0.8399859	0.8893077	0.0398876	0.3546271	0.9696401	0.0155070	0.1619735	0.5813871	0.3490442	0.6172411	0.6310427	0.5665182
500	0.4857774	0.2104733	0.5054137	0.0286000	0.4494112	0.0170942	1.0486439	0.8342187	0.9409304	0.5703854	0.8506137	0.6884247	0.7115497	0.0008340	0.0060385	0.0410675	0.1981530	1.0835177	0.9054727	0.9140505	0.7056031	0.1339690	1.0369212	1.0169498	0.8674939	0.9528203	0.9572056	0.7767974	0.5055819	0.1050363	0.0404318	0.0854931	0.8168366	0.2787786	1.0539206	0.3995196	0.4213677	0.8486882	0.4389504	1.0656503	0.8423107	0.7884464	0.7402694	0.2790390	0.5930158	1.0995795	0.4532822	0.6603481	0.2760088	1.0393129	0.4120125	0.0382936	0.9878819	0.3309374	0.6352727	0.2197372	0.7785538	0.6900229	0.7559537	0.2748036	0.8140337	0.1567569	0.0178712	0.4667452	0.1406332	0.2014856	0.0650366	0.2718761	1.1498605	0.4966541	0.0833762	0.9571858	0.0001041	0.8118616	0.7020737	0.0964677	0.2224115	0.0247054	0.3323269	0.4253978	0.3789325	0.8122366	0.4186502	0.0284269	0.4829948	0.2270921	0.7804884	0.9321753	0.8170591	0.8500419	0.0246735	0.3802921	0.9650439	0.0118431	0.1472380	0.7365713	0.4097154	0.6545267	0.6916334	0.5895866
550	0.5523517	0.3517000	0.4288943	0.0202869	0.4276605	0.0138235	1.0023461	0.5948711	0.9626520	0.6079851	0.9104207	0.7759110	0.7747765	0.0019697	0.0054554	0.0460618	0.1849839	1.0113935	0.5755868	0.4412473	0.6440270	0.1618704	1.0422249	1.0104295	0.8484275	0.9253232	1.0704301	0.5281426	0.5471031	0.3757556	0.0228703	0.0532460	0.8900736	0.2552772	1.0237442	0.3880000	0.4485017	0.8799091	0.3885132	0.9973714	0.6769910	0.9044950	0.7910317	0.2581496	0.5460629	0.9671589	0.4287431	0.6715814	0.4055381	1.0084317	0.3972624	0.0335005	0.9999594	0.4125155	0.5568730	0.2018292	0.6299031	0.6866510	0.7210892	0.3534059	0.7465252	0.1879908	0.0206421	0.4624392	0.1460480	0.2227011	0.0748241	0.2307314	1.0208458	0.4884484	0.0659365	1.0012179	0.0004897	0.8529916	0.6988247	0.1760621	0.1725783	0.0289015	0.3565358	0.4015279	0.3787168	0.8278417	0.4015072	0.0175591	0.5451712	0.2534624	0.7658090	0.9982315	0.8747614	0.8145146	0.0735253	0.4511071	1.0302372	0.0162188	0.1283034	0.7183732	0.6086321	0.6899278	0.6784436	0.6044075
600	0.6830358	0.6700304	0.4006813	0.0162256	0.4354833	0.0082486	1.0693097	0.5000147	0.8389800	0.6600990	0.9050896	0.7999716	0.6163870	0.0010392	0.0091218	0.0392645	0.1309247	0.9990206	0.3123455	0.2169719	0.5376925	0.1998899	1.0107692	1.1100730	0.8088295	0.8195462	0.8634909	0.3076153	0.4741187	0.6514766	0.0246820	0.0788711	0.8949539	0.1688137	1.0004285	0.3211880	0.4197720	0.9646958	0.3589036	0.9435129	0.5764448	0.8288221	0.7094276	0.2735987	0.5621073	0.9745260	0.4411231	0.6562402	0.6271409	0.9622422	0.4598579	0.0128715	0.9425559	0.4733831	0.5110707	0.2257405	0.5317365	0.6868103	0.8564786	0.3731377	0.9488542	0.1867734	0.0263694	0.4639610	0.2032686	0.2625177	0.1055154	0.2224950	0.9545844	0.4989832	0.0364543	1.0231797	0.0000304	0.7954706	0.6279488	0.1218603	0.1437962	0.1018738	0.3307570	0.4696071	0.4163204	0.7736448	0.3572139	0.0191060	0.5307565	0.2485704	0.8788598	0.9317845	0.8594641	0.8585172	0.1324823	0.3659891	0.8995006	0.0318443	0.1077573	0.5210965	0.6299954	0.7744929	0.6429533	0.5124113
