"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G76A	G94	G95	G96	G97	G98	G99	G100

0	0.0559685	0.3292680	0.0335955	0.1952432	0.7810529	0.0649809	0.0037906	0.3561372	0.1433507	0.5511307	0.4248799	0.6372839	0.1777678	0.5252517	0.0132526	0.4803816	0.3205560	0.6501892	0.3528645	0.8681851	0.1093782	0.3529794	0.6566791	0.2050807	0.5054745	0.2720687	0.2777813	0.0086097	0.0637058	0.0165154	0.0443975	0.4580413	0.7039459	0.3899713	0.1904999	0.0159626	0.5596050	0.1028304	0.2023015	0.1274965	0.5787295	0.4636152	0.2021060	0.3500754	0.5065564	0.6420262	0.6265017	0.5594107	0.7024163	0.1446506	0.5460536	0.3397246	0.1154879	0.6183953	0.4138072	0.0345839	0.3854189	0.0547430	0.0007270	0.0740906	0.0903276	0.2318858	0.1476850	0.2055245	0.2234786	0.5031606	0.1154562	0.5143047	0.0392370	0.1297173	0.4787765	0.4631365	0.1355880	0.4662977	0.3837212	0.0964441	0.6314610	0.6165730	0.6263232	0.0008633	0.7189365	0.4753724	0.0116437	0.4652564	0.3086396	0.0785684	0.4562548	0.5982392	0.6826805	0.3740450	0.2778917	0.3314137	0.4252741	0.5450596	0.1458293	0.1511600	0.5362778	0.6215101	0.2950502	0.6969594
50	0.0673682	0.4797894	0.1589005	0.3068700	0.7580623	0.0695796	0.0005976	0.2555256	0.1099283	0.4939745	0.1910406	0.6166376	0.1874444	0.4959644	0.0301596	0.5272560	0.2249262	0.4511659	0.4145136	0.6796171	0.1030340	0.4179033	0.6451576	0.2136210	0.3066175	0.2690231	0.2087255	0.0243748	0.0378448	0.0232041	0.3334477	0.4422701	0.5932677	0.3336309	0.2383429	0.0077801	0.5243355	0.1488509	0.1828929	0.0953486	0.3702089	0.4403503	0.2104139	0.3065400	0.6137415	0.7090382	0.7062020	0.5359441	0.8488029	0.1160266	0.5034256	0.3284210	0.0978798	0.4701647	0.3683072	0.0482317	0.3803554	0.0083144	0.0025742	0.0653775	0.1245944	0.1669546	0.1399364	0.1353286	0.2170833	0.5592632	0.0739771	0.4313817	0.0535631	0.1428490	0.4425764	0.5280409	0.1026838	0.4626046	0.3895939	0.1049480	0.5066562	0.7352200	0.6672242	0.0000781	0.6358011	0.4672765	0.0346731	0.4720998	0.2571592	0.0746399	0.4220509	0.4533018	0.4999162	0.5501581	0.4189699	0.3321199	0.4387701	0.6970031	0.0854620	0.1625997	0.6447447	0.4951981	0.4136804	0.7667258
100	0.0596678	0.5203716	0.3549302	0.2252257	0.6634096	0.0778201	0.0010221	0.3156526	0.2028429	0.4920354	0.1293851	0.6852806	0.2852714	0.5528879	0.0383773	0.4958545	0.2550167	0.3976454	0.5033683	0.6267938	0.1223348	0.3822384	0.6471285	0.1739419	0.2297935	0.2999306	0.2583795	0.0288151	0.0285694	0.0079269	0.4026545	0.4750604	0.5906165	0.2726036	0.2694867	0.0027962	0.6674658	0.0795077	0.1661360	0.1499443	0.3800304	0.5084088	0.2234274	0.4298379	0.6650956	0.7878202	0.6926420	0.6652507	0.7134291	0.1628684	0.5066466	0.2749804	0.0715741	0.5796300	0.4662713	0.0390058	0.2610529	0.0069095	0.0078781	0.0314163	0.2280276	0.1093308	0.0621326	0.1321273	0.1989572	0.4591104	0.1757286	0.5581382	0.0184847	0.1083584	0.4125265	0.5871488	0.0424539	0.4708597	0.2755115	0.0605141	0.3326352	0.6890994	0.5360094	0.0057903	0.6215558	0.4626215	0.0111795	0.6067351	0.3301468	0.0416938	0.4175054	0.5590679	0.3955763	0.4748966	0.3404002	0.3677356	0.4525459	0.6763049	0.0787082	0.1896000	0.6516999	0.5959078	0.2986648	0.7544161
150	0.0345895	0.5597046	0.3973018	0.2957307	0.6972075	0.0879555	0.0024090	0.2848305	0.2160572	0.6809778	0.1124772	0.6708566	0.3048516	0.4188735	0.0386348	0.5353380	0.3364143	0.4662368	0.4731728	0.7695749	0.0950358	0.3727173	0.6934608	0.1381286	0.2391474	0.2524876	0.1805817	0.0186547	0.0889040	0.0054794	0.5455813	0.3733844	0.6579646	0.2462344	0.3236522	0.0016352	0.7227317	0.1227131	0.1441345	0.1912803	0.4853328	0.4586359	0.2660105	0.3985883	0.5824989	0.6551119	0.6400804	0.5750318	0.4838690	0.2984962	0.4717071	0.2908891	0.0444594	0.7463585	0.3643846	0.0470535	0.2092277	0.0049026	0.0007352	0.0418710	0.4688441	0.1325838	0.0431483	0.1326298	0.2323606	0.4791895	0.1290551	0.5491892	0.0084647	0.1115125	0.4536948	0.4427152	0.0523040	0.5234230	0.2354408	0.0771588	0.4162029	0.6442780	0.4647788	0.0000000	0.7425640	0.4014126	0.0330326	0.5834487	0.2696274	0.0061313	0.5052796	0.7199846	0.2312401	0.4806277	0.4806959	0.4031387	0.4996176	0.5689441	0.0505253	0.1276606	0.6806620	0.6009920	0.3429529	0.5853693
200	0.0175045	0.5495475	0.6309351	0.2560110	0.7186292	0.0883375	0.0041788	0.2953663	0.0974199	0.5785431	0.0353478	0.5516962	0.3327030	0.4614535	0.0427452	0.5109929	0.3348904	0.4303558	0.4837829	0.7344723	0.0971941	0.3373112	0.6657769	0.1508923	0.2582277	0.2234079	0.2583002	0.0254275	0.0650932	0.0028006	0.4928502	0.4745879	0.7057653	0.2181023	0.2655606	0.0001166	0.5651410	0.1701034	0.1150411	0.1559151	0.4448950	0.4673106	0.1837336	0.3845104	0.5757349	0.6023730	0.6318932	0.5395029	0.5219534	0.4098299	0.5032022	0.2697898	0.0799482	0.6670958	0.4345171	0.0536310	0.1806950	0.0139356	0.0021823	0.0342590	0.3644352	0.2414923	0.0332676	0.1860335	0.1667679	0.5855479	0.0845322	0.5359905	0.0102112	0.1133207	0.4824550	0.3756075	0.0687321	0.4066784	0.3248060	0.0562759	0.3230992	0.6806406	0.3792553	0.0097509	0.5919549	0.4431580	0.0161928	0.7403705	0.4682385	0.0375251	0.4923871	0.7349605	0.3942519	0.5151142	0.5311615	0.3235646	0.3966559	0.6093233	0.0826893	0.2062852	0.5543655	0.5683098	0.2954055	0.6609207
250	0.0320153	0.4981433	0.6307883	0.2956298	0.7938472	0.1147519	0.0003438	0.2016694	0.1541630	0.6212483	0.0352126	0.6018543	0.4389802	0.4478083	0.0112858	0.5787118	0.2579138	0.4377751	0.4771487	0.8126328	0.0897158	0.4521470	0.5973971	0.1402521	0.2292902	0.3161235	0.3158806	0.0305238	0.1175223	0.0029857	0.5573405	0.3622240	0.7106309	0.2821231	0.2744778	0.0001311	0.6432852	0.1249386	0.1176165	0.1501890	0.4930080	0.4995938	0.1970161	0.3239743	0.6910313	0.6656107	0.5582386	0.5701762	0.6139502	0.2527530	0.4357193	0.3758447	0.0961219	0.6287243	0.3945086	0.0600797	0.1287557	0.0017576	0.0001755	0.0225774	0.5855670	0.1941400	0.0547841	0.1341639	0.2043656	0.5664507	0.1212749	0.5257298	0.0167195	0.0739074	0.5184012	0.3970792	0.1089002	0.3782789	0.3197124	0.0943229	0.3491348	0.6297032	0.3989395	0.0019524	0.7570969	0.5344212	0.0206995	0.6666712	0.3877538	0.0286834	0.4019967	0.5695456	0.3988643	0.5340533	0.5860413	0.3768578	0.5052181	0.5151770	0.0660314	0.1573119	0.5877891	0.7046672	0.2795332	0.6413769
300	0.0205318	0.4774809	0.6684156	0.2358821	0.6934067	0.0915799	0.0081290	0.1474311	0.1583609	0.7431547	0.0148674	0.6566155	0.3802495	0.3161552	0.0437046	0.5045879	0.2580504	0.4958953	0.4592198	0.7553915	0.0555912	0.4654233	0.6478854	0.1878119	0.2953452	0.2783847	0.3095430	0.0338524	0.0965071	0.0093164	0.6162837	0.3005120	0.6332878	0.3220439	0.2041034	0.0006577	0.5846117	0.1296831	0.0997583	0.2239420	0.4230099	0.3673903	0.2226864	0.3647567	0.6165566	0.6725100	0.6760250	0.5033058	0.5635782	0.2742429	0.3917150	0.2955278	0.0396054	0.6285053	0.4933573	0.0430486	0.1174808	0.0121476	0.0138623	0.0314402	0.7015764	0.1191395	0.0372088	0.0982461	0.1743881	0.6125625	0.1128524	0.4645954	0.0337711	0.1680143	0.4797913	0.3551562	0.1159322	0.4013499	0.3754414	0.1150396	0.3998966	0.7522021	0.3501157	0.0096756	0.6751247	0.4593368	0.0143436	0.6406175	0.3309455	0.0355002	0.4677834	0.6419943	0.2521296	0.4523320	0.5161054	0.2729972	0.5021255	0.5774115	0.0678982	0.1991153	0.6373520	0.5028748	0.2969294	0.7426060
350	0.0215011	0.3710584	0.6590897	0.1835566	0.6655252	0.0572851	0.0009128	0.1889435	0.1408135	0.6583672	0.0146606	0.7163017	0.4431726	0.4188917	0.0605896	0.5299961	0.2362467	0.4985698	0.3642799	0.6183273	0.0565934	0.5458670	0.6350671	0.2149407	0.3038477	0.2941956	0.2237238	0.0096672	0.1423488	0.0080266	0.5450540	0.3933443	0.6441113	0.3761799	0.1908885	0.0006608	0.6515330	0.1262126	0.1256151	0.1473791	0.4417063	0.4267960	0.2838238	0.3401795	0.4991807	0.7468084	0.6219658	0.5100236	0.6469793	0.2784222	0.3791290	0.2819973	0.1337231	0.6856185	0.3966397	0.0631621	0.1589867	0.0250565	0.0001870	0.0297829	0.5417404	0.1770328	0.0700500	0.1169718	0.2218928	0.5998892	0.1200085	0.5220964	0.0218246	0.1047335	0.5161517	0.3311495	0.1601960	0.4100053	0.3859081	0.1176018	0.4062394	0.6414361	0.3496457	0.0008988	0.7884194	0.5821761	0.0120288	0.5305010	0.2804369	0.0876178	0.4181276	0.6590988	0.3626307	0.3977159	0.5459034	0.3199501	0.5351957	0.6559279	0.1089971	0.2535946	0.7515322	0.5898768	0.3291572	0.6057321
400	0.0522207	0.4561841	0.6778350	0.1899885	0.5610344	0.0431654	0.0000492	0.3175766	0.1378180	0.6082344	0.0129355	0.7245138	0.4077341	0.4427314	0.0346267	0.4945312	0.3428191	0.4930383	0.4288740	0.7529780	0.0660017	0.4508089	0.6327461	0.1902289	0.2879217	0.3668218	0.3180331	0.0105707	0.0849735	0.0234570	0.5872746	0.3354995	0.6264530	0.4418008	0.1862595	0.0000251	0.5701969	0.1315137	0.1450876	0.1544988	0.5107048	0.5098261	0.2764506	0.2482581	0.6600135	0.5843183	0.7112545	0.6078016	0.5990677	0.3147342	0.5547596	0.3367359	0.2493032	0.6649347	0.4809076	0.0568640	0.1718718	0.0095902	0.0001400	0.0528392	0.5625913	0.1601631	0.0390702	0.1047857	0.1600696	0.5534606	0.1984627	0.4359973	0.0164631	0.0647784	0.6035107	0.2280886	0.1312286	0.3557557	0.3016466	0.0791014	0.4184035	0.5732616	0.3625942	0.0018393	0.5927453	0.4390351	0.0064676	0.6577739	0.2960222	0.0611446	0.3965272	0.8407590	0.2711819	0.4838261	0.5357623	0.3442913	0.3477807	0.6910159	0.0931855	0.1979070	0.6172257	0.6281006	0.4015375	0.8224310
