G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G63A	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.4914896	0.2414110	0.7419491	1.0438493	0.9707235	0.5395306	0.0072617	0.0622774	0.6380701	0.4509804	0.7134144	0.5238631	0.4017277	0.5813162	0.0105872	0.7630534	0.2209334	0.4313954	0.9253054	0.7062461	0.6784838	0.4557095	0.3360351	1.0902283	0.8244585	0.3589067	1.0325540	0.0726619	1.0517249	0.1143919	0.8855903	0.4958214	0.8148964	0.8875923	0.7926176	0.9811800	0.1819427	0.4730599	0.8318165	0.7951518	0.4190168	0.1076830	0.2265151	0.0169204	0.1274843	1.1034899	0.5989069	0.2944303	1.0432451	0.1917787	0.2336468	0.2528390	0.0001529	0.0662771	0.3365162	0.1099010	0.5546945	0.5025609	0.8937405	0.5776954	0.2656656	0.9557586	0.8826925	0.5202173	0.3036659	0.9395723	1.0482326	0.8847261	0.3985465	0.3409178	0.6855271	0.8977395	0.4054584	0.9228592	0.5849183	0.5806039	0.2663562	0.9328209	0.9636714	0.9547680	0.1398224	0.1627541	0.8699860	0.5820503	0.7040706	0.0001911	0.0948384	0.1165989	0.9705820	0.0426491	0.9531372	0.2980201	0.5829769	0.3275972	0.4752079	0.6061684	0.7175446	0.9541070	0.0293789
0.0726407	0.0000000	0.2613644	0.6988849	1.0367215	1.0924456	0.4206051	0.0394911	0.1690245	0.6911792	0.4571636	0.6618773	0.4736475	0.2937990	0.5731417	0.0088002	0.6272761	0.2764973	0.4219570	0.8946684	0.6953640	0.7707289	0.4246080	0.3387220	1.0332387	0.9005411	0.4617627	1.0480028	0.0510204	1.0425572	0.1194355	0.7692741	0.5107903	0.8357205	0.8887407	0.8245573	1.1449797	0.1312634	0.5425128	0.8562051	0.7705350	0.4011604	0.0910485	0.2026326	0.0131222	0.1180232	1.0393422	0.5196954	0.2921119	0.9732810	0.0959434	0.2108379	0.6034437	0.0001319	0.1560550	0.1207166	0.1863026	0.4788582	0.4254461	0.9817758	0.5319812	0.3087089	0.9109827	0.7489617	0.4583927	0.3127923	1.0654675	0.9748811	0.8858473	0.4462990	0.3703238	0.6507817	0.8918758	0.4312413	0.9153525	0.2171078	0.5513503	0.3157782	0.9642266	1.0159674	0.9589200	0.1374829	0.1693863	0.7395789	0.2998709	0.6945505	0.0137973	0.1256489	0.1475384	1.0487432	0.0634928	0.9646176	0.2984168	0.4540874	0.3325206	0.4715772	0.7282060	0.6557418	0.8942283	0.0456470
0.0606014	0.3654974	0.0000000	0.7388986	1.0614097	1.0347436	0.4289656	0.0307182	0.2096333	0.6805683	0.4950870	0.7350105	0.4988321	0.3344677	0.4993994	0.0073884	0.7030053	0.1961250	0.8906271	0.8827805	0.7635056	0.5557032	0.5127842	0.3844850	1.1010828	0.8529060	0.3699832	1.0639816	0.0793813	1.0292859	0.0948917	0.8157092	0.4769945	0.7918896	0.9868472	0.9664026	0.9862280	0.1645457	0.5601856	0.9453077	0.7511592	0.3851436	0.1049221	0.2451488	0.0560046	0.1531969	0.9832015	0.5543211	0.3955951	1.0831729	0.1302088	0.2203111	0.6175930	0.0000383	0.1339031	0.1292163	0.1892687	0.5681150	0.2691449	0.8095932	0.5511078	0.2771261	1.0527259	0.7985574	0.5326868	0.3260555	1.0341959	0.8961253	0.8754733	0.4056043	0.2302588	0.6116056	0.4432143	0.3661139	0.9122773	0.3462098	0.2072530	0.7169994	1.0222959	1.0094606	0.6585427	0.1402932	0.1483170	0.4617152	0.7809616	0.4780848	0.0141057	0.3982988	0.1486991	0.9907993	0.0714505	0.9844706	0.7444106	0.4907218	0.7125654	0.4275321	0.4347159	0.6307677	1.0096700	0.0643437
0.0848384	0.4283744	0.2065327	0.0000000	1.0273970	0.9815738	0.4538919	0.0495341	0.2181927	0.6328320	0.4495033	0.7788562	0.5376913	0.3102067	0.5724582	0.0154584	0.6819627	0.2833829	0.4376948	0.9119598	0.8179614	0.6930219	0.4634631	0.3223504	0.9666117	0.7919254	0.4825517	0.9173949	0.0961164	0.9557554	0.1079529	0.6683194	0.4992915	0.8565986	0.4768261	0.3705310	1.0245162	0.1466470	0.4930263	0.8545278	0.7722547	0.4239056	0.0847446	0.1799781	0.0346690	0.1353921	0.9906144	0.5083795	0.4063290	1.0172395	0.2343366	0.2176586	0.3366022	0.0751900	0.5588958	0.2987504	0.1511094	0.5290796	0.7436697	0.9077911	0.5869523	0.2618899	0.9442513	0.9508234	0.4766467	0.2637873	1.0616870	0.8768616	0.6812674	0.5124333	0.2222493	0.6796808	0.9181832	0.3829356	0.9654732	0.4212079	0.4774379	0.5268032	1.0046619	1.0116737	0.9352523	0.1752277	0.2004392	0.5504800	0.5373816	0.6679124	0.0898671	0.2992610	0.2537113	1.0715258	0.0381473	0.2905302	0.2741635	0.4729901	0.7821373	0.4047532	0.8311996	0.8184825	1.0647375	0.0560035
0.0865558	0.4014838	0.2519461	0.8859423	0.0000000	0.9965396	0.4557732	0.0116392	0.1991360	0.8377529	0.4298917	0.6774771	0.5126125	0.3157732	0.5892761	0.0120903	0.6972753	0.2787604	0.4299209	0.9996061	0.8503923	0.7286496	0.5145917	0.3358474	0.9450983	0.8992482	0.3837201	1.0954702	0.0677647	0.9226330	0.1394608	0.8507611	0.4413822	0.7008665	0.8899936	0.8318606	0.9863363	0.1666203	0.5869283	0.9151346	0.8066013	0.3417701	0.0762984	0.2044644	0.0079255	0.1273401	0.9778410	0.6043153	0.3204788	0.9364102	0.0826215	0.2279978	0.2522553	0.0016980	0.3690664	0.1008329	0.0596735	0.6391918	0.3618363	0.9192919	0.6250352	0.2672590	1.0671755	0.8554072	0.4507400	0.3387515	0.8740723	0.9420374	0.9014807	0.4043570	0.3265234	0.7222281	0.8474779	0.3342963	0.9139405	0.3638376	0.5523729	0.3932936	1.0024661	0.9843945	0.9795587	0.1061568	0.1509065	0.7408611	0.5434502	0.7428264	0.0429697	0.2183258	0.1644966	0.9766967	0.0584235	0.9620624	0.2491183	0.5370268	0.8059842	0.4406228	0.5372109	0.6554522	0.7865262	0.0275130
0.0853430	0.4172026	0.3019678	0.6642855	0.9011285	0.0000000	0.4940152	0.0039546	0.2834864	0.6220681	0.4389475	0.7000988	0.4838000	0.3516170	0.5938911	0.0198112	0.5612286	0.3635402	0.4084073	0.9214186	0.7738760	0.5858463	0.3875213	0.3376149	0.9827574	0.8679903	0.5498955	0.9462911	0.0609850	0.8852246	0.1355744	0.7306971	0.4523205	0.8093936	0.9536569	0.7398251	0.9128642	0.1766740	0.4872088	0.9246286	0.8443007	0.5152720	0.1265444	0.1956247	0.0321783	0.1283845	1.0311445	0.5049181	0.3920989	1.0710489	0.2155827	0.1516089	0.2693099	0.0001446	0.0918899	0.4340094	0.4911654	0.8482390	0.4293493	0.8518772	0.6030286	0.3271187	0.9320870	0.9594546	0.5878149	0.3214593	0.7426479	0.9276624	0.9504355	0.4420171	0.4349894	0.5264194	0.9207297	0.3924302	1.0838761	0.6028111	0.5984272	0.2846292	0.5246097	1.0897259	1.0016939	0.1431515	0.1934874	0.7794159	0.5349163	0.8109385	0.0394915	0.3177346	0.1188271	0.9405055	0.0430418	1.0297440	0.2640919	0.5227702	0.8809161	0.4226080	0.5119117	0.7880523	0.8851134	0.0483826
0.1101040	0.4912815	0.2419998	0.8817123	0.9450934	0.9928711	0.0000000	0.0914250	0.3339988	0.7069398	0.0346076	0.3714514	0.5460327	0.3940149	0.5244564	0.0119448	0.8235343	0.2103684	0.5041821	0.9810143	0.9074948	0.6971335	0.5176634	0.4311047	1.0044419	0.8008421	0.3356122	1.0089653	0.0766621	0.9447953	0.0955383	1.0718266	0.5150349	0.7808154	0.9905369	0.8283446	1.0450080	0.1592716	0.5950868	0.8721512	0.8628523	0.4017488	0.0891024	0.2390965	0.0238978	0.1022422	0.9118041	0.5268485	0.2592295	0.9889251	0.1169359	0.2296159	0.0668547	0.0001167	0.1258663	0.1008112	0.2081555	0.6485696	0.3457973	0.8739871	0.6051903	0.2422653	0.9845601	0.8288369	0.1099950	0.2970586	1.0604478	0.9252880	0.8129414	0.4196977	0.4060236	0.5648222	0.8975223	0.6840478	0.2927331	0.1362423	0.3061449	0.1555913	0.9616254	0.9776903	0.9325030	0.1662046	0.1355671	0.9027714	0.5916472	0.7325976	0.0466370	0.0853710	0.1972229	1.0293742	0.0771690	0.3480060	1.0093260	0.4922161	0.8115022	0.4377538	0.4617928	0.4533086	0.9366774	0.0505287
0.0696138	0.4386717	0.3541509	0.7128043	1.0018288	1.0514318	0.4757649	0.0000000	0.2740727	0.7395821	0.4371366	0.7301785	0.5396785	0.3755923	0.5581229	0.0076133	0.7779478	0.2038974	0.4111439	0.9532521	0.7727149	0.6195672	0.4195621	0.3382460	0.9398579	0.8360914	0.2999011	1.0366408	0.0581655	0.8711639	0.1166544	0.7796871	0.4905835	0.8315238	0.9108272	0.8150879	0.9300232	0.1941776	0.5023878	0.9223115	0.8835388	0.3776374	0.0889802	0.1581909	0.0400483	0.1377609	1.0546089	0.5554751	0.3668079	1.0400229	0.1426794	0.2526374	0.1598608	0.0001799	0.0945806	0.4160435	0.0900794	0.6492740	0.4054571	0.7795356	0.5159116	0.2719345	0.9786499	0.7797420	0.5592207	0.2863215	0.9075666	0.9113075	0.8509046	0.4488624	0.3594853	0.5679227	0.9305273	0.3823614	0.9891320	0.5364454	0.5962636	0.2665964	1.0439463	1.0382837	0.9793382	0.0669283	0.1323516	0.8444384	0.6266921	0.7992042	0.0171387	0.1016164	0.1395183	1.0582534	0.0418419	0.9553367	0.3324893	0.4896524	0.7903973	0.4474676	0.5923042	0.7220077	0.9214522	0.0742231
0.0976078	0.5143235	0.2566888	0.7294839	1.0360595	0.9905391	0.4200839	0.0357762	0.0000000	0.6208465	0.4400677	0.7673073	0.5243433	0.4439160	0.5518305	0.0107136	0.7389520	0.2234737	0.4455934	0.9935090	0.7332653	0.7627959	0.4261393	0.3275712	0.9982792	0.8871100	0.4798477	0.9638498	0.0801183	0.9413055	0.1197646	0.7874024	0.5062909	0.7958760	0.8776334	0.7712577	1.0460874	0.1664809	0.4343712	0.9368538	0.7930721	0.4492840	0.0880004	0.2507090	0.0136106	0.1453624	1.0338664	0.6332089	0.2760248	1.0030737	0.1042593	0.2055827	0.2185061	0.0011854	0.0793671	0.1201790	0.0556922	0.5641165	0.4329580	0.8757452	0.5893471	0.2519540	0.8882242	0.8542060	0.6091406	0.3498048	0.9086759	0.8585808	0.8418312	0.3855141	0.3672263	0.5704205	0.9590568	0.4106900	0.9757951	0.1944548	0.5336512	0.2650131	1.0616333	1.0686141	0.9600047	0.1144474	0.1816310	0.8232065	0.5277104	0.6997201	0.0846507	0.1502064	0.1411781	0.9888108	0.0335761	1.0189580	0.3391921	0.6220026	0.7890596	0.4444553	0.5875824	0.6953350	0.9507028	0.0249673
0.0979332	0.4657131	0.1966338	0.7171730	0.9867630	0.9384558	0.4372243	0.0702647	0.1773647	0.0000000	0.4415191	0.7366583	0.5230582	0.3799022	0.5477748	0.0109385	0.6138374	0.2849960	0.4219636	0.8363426	0.7467092	0.7188600	0.4056325	0.4125118	0.9547482	0.8521214	0.4233710	0.9954621	0.0741563	0.9578545	0.1281467	0.8010245	0.5078050	0.7353511	0.9686600	0.8731919	0.9995921	0.1361760	0.3316991	0.9032237	0.8798085	0.4650241	0.1329251	0.2177488	0.0391525	0.1680323	1.0024772	0.6324738	0.3147818	1.0281170	0.1489285	0.2065622	0.2232757	0.0013698	0.1074437	0.1468915	0.1463771	0.4991357	0.4253615	0.9545188	0.4831367	0.2805969	0.9671927	0.7973960	0.5508415	0.2620243	0.9969288	0.9279060	0.8972619	0.3939397	0.3750331	0.6719777	0.8859592	0.4164901	0.9546952	0.1660662	0.5592108	0.2607964	1.0089647	1.0286982	0.9676588	0.1246499	0.6297484	0.9007796	0.5585287	0.7369829	0.0360602	0.0956716	0.0954943	0.9786699	0.0848894	0.9232156	0.0010915	0.4953822	0.7927182	0.4309136	0.5884439	0.7104783	0.8410884	0.0456267
