Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G76A	G94	G95	G96	G97	G98	G99	G100

0	0.0912196	0.6289059	0.0408069	0.2766497	0.9958714	0.1028982	0.0034446	0.4173410	0.2591385	0.8214127	0.4814781	0.8977893	0.2715880	0.7753368	0.0337171	0.7295981	0.4180134	0.6676838	0.6212837	0.9652796	0.1234195	0.6294963	0.9728485	0.2858493	0.6323384	0.3569702	0.3686851	0.0361948	0.0600739	0.0162084	0.1055346	0.5826924	0.9632968	0.4625560	0.3388817	0.0082159	0.8751843	0.1973459	0.2068121	0.1806504	0.6920154	0.6419056	0.3247406	0.5081611	0.8760907	0.9629553	0.9048998	0.7888445	0.9809168	0.1949820	0.8184836	0.5291436	0.1824410	0.7475933	0.6183471	0.0607362	0.6293737	0.0533320	0.0003302	0.0625870	0.0993277	0.3371669	0.2274782	0.2358043	0.2484039	0.8549328	0.1410289	0.7247843	0.0696575	0.1830375	0.6522759	0.7782689	0.1915580	0.6844752	0.5015696	0.1115020	0.8598046	0.9401804	0.8362082	0.0000721	0.9991014	0.6769366	0.0237005	0.8384555	0.4711885	0.0903706	0.6654491	0.7396131	0.9380632	0.6997704	0.5026292	0.5387208	0.6817273	0.9569576	0.1541202	0.2430041	0.9545049	0.6741747	0.4369342	0.9660232
50	0.0809670	0.7966941	0.5676593	0.3251596	0.9961279	0.1025534	0.0033997	0.4173396	0.2589979	0.8311713	0.1970442	0.9020282	0.3014220	0.7600312	0.0337177	0.8263462	0.4179606	0.6653194	0.6222297	0.9828192	0.1234090	0.6293662	0.9747555	0.2613436	0.4480212	0.3592880	0.3686670	0.0361900	0.0607063	0.0162085	0.6789281	0.5844384	0.9780194	0.4625307	0.3386909	0.0035219	0.8752156	0.1973172	0.2067950	0.1806849	0.6895742	0.6765765	0.3242843	0.5087409	0.8761440	0.9640489	0.9565138	0.7892014	0.9807886	0.2137381	0.8167809	0.4548421	0.1540827	0.8983786	0.6238121	0.0619346	0.3922632	0.0211509	0.0003303	0.0625141	0.3220300	0.2312775	0.1125375	0.2290730	0.2498916	0.8457546	0.1416360	0.7183897	0.0534805	0.1826811	0.6533727	0.7591587	0.1801702	0.7160209	0.5015508	0.1135736	0.5753964	0.9681199	0.8341573	0.0000563	0.9991820	0.6769768	0.0236713	0.8798069	0.4695891	0.0767306	0.6669827	0.9163047	0.5150177	0.6997845	0.6419507	0.5419127	0.6736152	0.9570401	0.1524745	0.2408285	0.9550515	0.7931479	0.4371751	0.9663610
100	0.0635757	0.7934643	0.7611449	0.3472634	0.9965380	0.1009457	0.0033470	0.4168657	0.2573521	0.8637660	0.0903493	0.9186870	0.3865055	0.7064895	0.0336967	0.8377686	0.4175464	0.6610828	0.6319711	0.9938897	0.1233073	0.6287774	0.9785699	0.2549703	0.4048943	0.3775318	0.3686526	0.0361862	0.0680007	0.0161996	0.8063679	0.5887536	0.9823602	0.4631751	0.3371673	0.0015097	0.8752405	0.1972945	0.2067813	0.1819722	0.6829705	0.6984009	0.3199498	0.5106449	0.8768471	0.9681499	0.9670578	0.7940918	0.9775010	0.2800125	0.8088526	0.4286468	0.1106124	0.9368209	0.6362212	0.0698836	0.2875881	0.0119441	0.0003303	0.0618938	0.5086678	0.2123224	0.0750974	0.2138560	0.2608563	0.8434806	0.1467935	0.6964144	0.0336125	0.1801197	0.6549042	0.6887668	0.1506326	0.7211982	0.5016478	0.1225370	0.5528579	0.9590424	0.8076330	0.0000356	0.9993095	0.6774555	0.0236511	0.8952500	0.4681431	0.0601188	0.6795266	0.9731145	0.4320141	0.6998199	0.6861611	0.5466605	0.6267637	0.9560605	0.1366370	0.2376119	0.9597052	0.8433206	0.4408272	0.9674923
150	0.0539392	0.7775716	0.8326914	0.3566593	0.9967777	0.0978306	0.0033495	0.4142048	0.2537704	0.8990931	0.0503117	0.9407134	0.4735155	0.6440144	0.0335999	0.8272194	0.4166733	0.6622371	0.6532728	0.9977663	0.1229388	0.6280389	0.9812866	0.2506674	0.3948460	0.4027693	0.3686412	0.0361832	0.0858241	0.0161658	0.8347567	0.5923725	0.9836666	0.4658606	0.3352944	0.0006472	0.8752603	0.1972765	0.2067705	0.1864826	0.6759964	0.7136292	0.3128920	0.5131072	0.8786118	0.9727638	0.9695529	0.8069443	0.9654119	0.3556660	0.7901927	0.4209033	0.0942070	0.9431970	0.6442415	0.0797191	0.2369545	0.0093706	0.0003291	0.0610049	0.6419737	0.2183151	0.0670172	0.1996114	0.2767123	0.8440462	0.1566134	0.6711675	0.0266447	0.1727908	0.6600541	0.5855004	0.1341126	0.6945447	0.5023277	0.1272965	0.5537337	0.9632317	0.7405083	0.0000265	0.9993662	0.6783225	0.0235765	0.8977447	0.4683748	0.0534540	0.6894706	0.9913637	0.4162481	0.6998382	0.7001903	0.5488931	0.5812189	0.9514297	0.1105256	0.2363936	0.9701421	0.8642411	0.4537886	0.9689146
200	0.0502539	0.7777386	0.8593164	0.3594492	0.9969363	0.0939174	0.0033552	0.4083551	0.2498970	0.9246695	0.0352790	0.9598260	0.5348750	0.5984304	0.0334322	0.8173946	0.4156912	0.6695581	0.6763762	0.9990773	0.1224008	0.6277166	0.9830468	0.2463196	0.3925388	0.4207053	0.3686321	0.0361808	0.1076546	0.0161486	0.8412638	0.5945458	0.9841331	0.4701690	0.3337673	0.0002774	0.8752760	0.1972621	0.2067618	0.1934116	0.6704741	0.7222083	0.3080364	0.5150382	0.8806840	0.9756745	0.9707408	0.8234863	0.9449402	0.4083242	0.7621177	0.4207151	0.0955983	0.9419914	0.6453812	0.0872703	0.2094344	0.0087111	0.0003256	0.0603176	0.7180133	0.2298458	0.0695202	0.1883679	0.2844490	0.8461165	0.1701198	0.6498848	0.0255385	0.1609937	0.6784168	0.4780389	0.1415905	0.6640085	0.5037645	0.1292134	0.5567458	0.9711194	0.6595122	0.0000238	0.9993791	0.6791200	0.0231554	0.8941638	0.4691495	0.0509693	0.6905714	0.9972259	0.4143976	0.6998406	0.7046421	0.5496847	0.5611521	0.9427891	0.0905628	0.2378604	0.9814082	0.8727146	0.4781140	0.9702585
250	0.0485601	0.7872986	0.8692163	0.3586977	0.9970885	0.0901114	0.0032559	0.4005584	0.2469155	0.9400886	0.0296288	0.9732452	0.5727192	0.5725064	0.0332636	0.8135158	0.4148898	0.6799090	0.6934845	0.9995025	0.1218937	0.6278582	0.9843517	0.2425386	0.3920361	0.4307780	0.3686249	0.0361789	0.1257235	0.0162309	0.8430273	0.5956909	0.9843993	0.4750326	0.3322314	0.0001189	0.8752884	0.1972507	0.2067550	0.2003095	0.6668190	0.7262629	0.3077273	0.5158738	0.8822684	0.9770967	0.9717311	0.8373793	0.9241294	0.4363725	0.7330560	0.4231474	0.1024425	0.9399406	0.6418120	0.0928758	0.1927327	0.0084195	0.0003196	0.0598979	0.7599497	0.2394856	0.0742209	0.1804158	0.2838774	0.8487637	0.1844256	0.6365366	0.0250872	0.1483956	0.7150482	0.3935081	0.1616666	0.6423635	0.5055355	0.1301996	0.5596496	0.9759335	0.5931918	0.0000227	0.9993840	0.6796776	0.0222186	0.8888462	0.4696816	0.0492911	0.6817437	0.9991089	0.4133106	0.6998349	0.7060548	0.5499903	0.5564028	0.9332041	0.0815807	0.2417465	0.9890275	0.8760446	0.5076455	0.9713451
300	0.0470134	0.7967722	0.8728132	0.3562508	0.9972464	0.0869363	0.0030069	0.3928533	0.2449954	0.9483114	0.0274996	0.9815783	0.5957639	0.5597923	0.0331389	0.8142915	0.4143455	0.6899856	0.7035782	0.9996222	0.1214784	0.6282323	0.9853726	0.2397110	0.3919486	0.4362009	0.3686192	0.0361774	0.1383485	0.0164401	0.8438045	0.5962849	0.9846296	0.4801347	0.3306197	0.0000510	0.8752983	0.1972417	0.2067495	0.2056982	0.6647064	0.7279596	0.3114019	0.5156874	0.8832178	0.9777582	0.9725127	0.8463685	0.9091457	0.4491877	0.7092126	0.4258392	0.1090517	0.9384578	0.6363630	0.0967577	0.1816894	0.0081450	0.0003120	0.0596708	0.7836805	0.2456416	0.0780136	0.1752542	0.2797472	0.8510976	0.1962424	0.6309533	0.0239006	0.1378684	0.7535952	0.3408367	0.1807889	0.6272687	0.5071983	0.1307374	0.5620205	0.9772531	0.5483707	0.0000215	0.9993929	0.6800364	0.0209269	0.8839268	0.4698771	0.0476731	0.6603288	0.9997138	0.4111244	0.6998296	0.7065032	0.5501582	0.5572258	0.9254781	0.0803959	0.2467036	0.9930834	0.8774092	0.5347766	0.9721197
350	0.0454569	0.8032340	0.8740150	0.3532794	0.9973958	0.0845540	0.0026990	0.3865741	0.2438937	0.9520103	0.0266921	0.9863616	0.6100029	0.5542379	0.0330617	0.8172324	0.4140109	0.6981532	0.7086822	0.9996382	0.1211265	0.6286616	0.9861416	0.2377808	0.3919522	0.4392063	0.3686146	0.0361762	0.1469293	0.0167259	0.8444012	0.5966219	0.9848584	0.4854045	0.3291238	0.0000219	0.8753062	0.1972345	0.2067452	0.2093606	0.6636077	0.7286059	0.3169512	0.5147646	0.8837226	0.9781005	0.9730331	0.8513163	0.9005318	0.4545051	0.6919603	0.4279378	0.1145702	0.9376138	0.6310831	0.0991579	0.1740177	0.0078894	0.0003036	0.0595539	0.7972949	0.2491089	0.0803552	0.1721275	0.2752844	0.8525871	0.2040716	0.6305669	0.0224028	0.1302131	0.7801068	0.3128612	0.1940336	0.6145774	0.5086474	0.1309758	0.5637887	0.9764851	0.5210844	0.0000203	0.9994037	0.6802709	0.0195954	0.8800631	0.4699257	0.0463156	0.6321205	0.9999081	0.4087714	0.6998291	0.7066457	0.5502718	0.5593359	0.9203098	0.0827639	0.2513997	0.9950746	0.8781337	0.5560243	0.9726202
400	0.0441252	0.8071535	0.8743156	0.3504660	0.9975217	0.0829074	0.0024258	0.3821065	0.2433327	0.9530784	0.0263812	0.9889661	0.6188976	0.5521218	0.0330193	0.8205752	0.4138118	0.7042101	0.7109777	0.9996228	0.1208160	0.6290863	0.9866874	0.2365281	0.3919722	0.4409411	0.3686110	0.0361752	0.1528940	0.0170108	0.8449804	0.5968486	0.9850889	0.4905727	0.3278813	0.0000094	0.8753124	0.1972287	0.2067418	0.2116579	0.6630829	0.7288278	0.3225806	0.5133803	0.8839867	0.9783082	0.9733349	0.8537647	0.8962652	0.4565627	0.6802686	0.4293187	0.1194650	0.9372347	0.6269190	0.1004893	0.1685419	0.0076833	0.0002950	0.0594925	0.8052228	0.2509913	0.0815715	0.1703596	0.2716550	0.8531572	0.2082853	0.6327169	0.0210742	0.1250960	0.7959823	0.2995799	0.2020111	0.6031995	0.5099823	0.1310232	0.5650259	0.9748913	0.5054444	0.0000193	0.9994131	0.6804311	0.0184588	0.8772601	0.4699524	0.0453305	0.6082507	0.9999705	0.4069520	0.6998332	0.7066911	0.5503471	0.5612839	0.9172009	0.0860491	0.2552762	0.9960596	0.8787021	0.5712479	0.9729231
