Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G71A	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.9332762	0.4344039	0.7554114	0.5732191	0.1039706	0.5671353	0.7822723	0.7362823	0.7850069	0.3403568	0.8698171	0.6595116	0.6011234	0.3356337	0.0742460	0.1104477	0.9964412	0.0345383	0.3308682	0.2131819	0.3256352	0.6435328	0.3006082	0.2674340	0.0362710	0.8890456	0.2303236	0.1889810	0.8755514	0.5611002	0.0547145	0.2318729	0.1333792	0.1508875	0.9270400	0.1032093	0.7116221	0.8906909	0.1409161	0.3716415	0.0104279	0.9837396	0.0361015	0.5653280	0.5039488	0.9238184	0.1037301	0.8007286	0.1302539	1.0549915	0.5217706	0.9672496	0.9574344	0.8423515	0.3405612	0.3528273	0.9919130	0.4942104	0.8087587	0.8885691	0.6293153	0.0229638	0.1413390	0.9861343	0.6094056	0.0442425	0.5265373	0.6832397	0.1935242	0.0438732	0.0069933	1.0014871	1.0036248	0.3816239	0.8284930	0.0285965	0.7976974	0.1662620	0.9089490	0.4865908	0.2934438	0.5309882	0.9115039	0.3127006	0.0009298	0.9563734	1.0284619	0.8305441	1.0066860	0.7318101	0.9339682	0.0451929	0.6809808	0.1741303	0.4908452	0.4105916	0.3906745	1.0902222	0.9950289	0.2442262
50	0.9399380	0.3098226	0.7921666	0.7910815	0.3458743	0.4443887	0.7239165	0.2687988	0.8817395	0.2385321	0.8721748	0.8948248	0.6624154	0.2454470	0.0673646	0.0247729	0.8863264	0.0755828	0.1977113	0.2435952	0.2036072	0.7114614	0.4019472	0.2805882	0.0253477	1.0021057	0.3090132	0.1798386	0.9338249	0.6325559	0.6818885	0.2158325	0.3487841	0.0838697	0.7381851	0.1483021	0.7957766	1.0064394	0.1444690	0.1825999	0.3364290	0.6705743	0.0636395	0.3705652	0.2819786	0.7592365	0.1031280	0.3065862	0.1492325	0.6867946	0.6198533	0.9203926	0.8697553	0.7780131	0.3590155	0.8793727	0.9902246	0.5302197	0.5312843	0.5715730	0.7779846	0.0117291	0.1174025	1.1115109	0.2093041	0.0348178	0.5154266	0.4300045	0.2042054	0.0554580	0.0028254	0.7668607	0.8680760	0.3313542	0.7021180	0.0974270	1.0220331	0.1881512	0.6077604	0.6031946	0.2539309	0.8294453	0.9903449	0.3123718	0.0127140	1.0820578	1.0149692	0.9395113	1.0317132	0.6707371	0.9479900	0.1109678	0.6866751	0.1584699	0.5982034	0.4581121	0.3743896	0.8796207	0.8376628	0.0392977
100	1.0158043	0.3427345	0.6842468	0.8081828	0.4041418	0.3815111	0.6589002	0.1606857	0.9413002	0.2529168	0.8847666	0.9538729	0.6430453	0.2667535	0.0735236	0.0132082	0.7261355	0.0767972	0.1499424	0.2264225	0.1760633	0.7262513	0.4459027	0.2893988	0.0432490	0.9444245	0.3385395	0.2494538	0.9070434	0.6009244	0.9271423	0.0671761	0.4215660	0.0792040	0.6595833	0.2033778	0.7138608	0.9432275	0.0945244	0.2468311	0.6169753	0.5926357	0.0558218	0.4857547	0.2203394	0.7237771	0.1709626	0.2380659	0.1316504	0.5598469	0.4880168	0.9025991	1.0010676	0.4510839	0.4063172	0.9417753	0.9493896	0.5232247	0.4739127	0.6360707	0.7485438	0.0201040	0.0916244	1.0443614	0.1473932	0.0274813	0.5694158	0.3400532	0.1781111	0.0675768	0.0124604	0.6056434	0.9058978	0.3593850	0.5884959	0.0990947	1.0251756	0.2461273	0.4696102	0.5293524	0.2367871	0.7908092	0.9799131	0.3181087	0.0306746	0.8486041	0.9866777	0.9512754	0.9635316	0.6413260	1.0589092	0.2152718	0.6963574	0.2101007	0.5806017	0.3750574	0.3318375	0.8801964	0.9281139	0.0549078
150	0.9216935	0.2065602	0.4980815	0.6891192	0.4001029	0.4069074	0.4796657	0.1365828	0.8440434	0.2091869	0.9287118	0.9246107	0.5350428	0.2736804	0.0982509	0.0218460	0.4923220	0.0836982	0.1850076	0.2389611	0.1789041	0.7224287	0.4125865	0.3240125	0.0252897	1.0064923	0.3709373	0.2205122	0.8666260	0.6406096	0.9587628	0.0293960	0.3901930	0.1293446	0.5121017	0.1914495	0.6826884	0.8353996	0.2089757	0.2840679	0.7509608	0.5472205	0.0691144	0.5419308	0.1771304	0.6554007	0.1589326	0.1834393	0.1402657	0.5490796	0.5666235	0.9568228	0.8871565	0.2545813	0.4615829	0.9697114	0.9498962	0.5972410	0.4910872	0.6973398	0.7127648	0.0454215	0.0549903	0.9525978	0.0961826	0.0379380	0.5909272	0.2706526	0.1188078	0.0745361	0.0524969	0.5796815	0.9756171	0.5819923	0.6391894	0.1299916	0.9433795	0.1806705	0.4546021	0.6460450	0.2756491	0.8018223	0.7712697	0.4782791	0.0605196	0.6909959	0.9285939	0.8049638	0.8549711	0.6312758	1.0144891	0.2960688	0.7029801	0.2606761	0.6400912	0.3570412	0.3807802	0.8576016	0.8683973	0.0838257
200	1.0317282	0.1992155	0.3398445	0.4429440	0.4222371	0.3262858	0.3865844	0.0758216	0.9586163	0.2459687	0.8757318	0.9118781	0.3673330	0.2830107	0.0544055	0.0094162	0.4805136	0.0946310	0.2029988	0.3323130	0.2412356	0.6703232	0.3487479	0.3602276	0.0221509	1.0639568	0.2585804	0.1807209	0.8389080	0.6122006	1.0602001	0.0177450	0.4020549	0.2368785	0.5322088	0.1804909	0.6345704	0.8413290	0.3350563	0.3955663	0.7551454	0.4605602	0.0524092	0.6039880	0.3203764	0.6905595	0.1930950	0.2356224	0.1346143	0.5630178	0.5573581	0.9243585	0.9389557	0.2340415	0.4917671	0.9992158	0.9220248	0.5769965	0.4849308	0.6489246	0.6605293	0.0772679	0.0500732	0.9557216	0.1033022	0.0609719	0.6568764	0.1750015	0.2597102	0.0737563	0.0736113	0.6380510	1.0893404	0.6462544	0.6964100	0.1309652	0.8575767	0.1814950	0.3953784	0.5664134	0.2924295	0.7563653	0.6189620	0.4432730	0.0748000	0.6119435	0.9464203	0.6781343	0.8331728	0.5612542	1.0047362	0.3550802	0.6841522	0.2725507	0.6526731	0.3615703	0.3836649	0.9254061	0.8084216	0.0842281
250	1.0220250	0.1362325	0.2206026	0.2681254	0.4358571	0.3046394	0.2303292	0.1309344	0.9240305	0.2125557	0.8925935	0.9298528	0.3989250	0.2315257	0.0678547	0.0115251	0.4066855	0.0910661	0.1821243	0.4561725	0.2886829	0.7041446	0.2603389	0.4227243	0.0320129	0.9894100	0.1968903	0.1954847	0.8080532	0.5777122	1.0183696	0.0097857	0.4282392	0.2237690	0.6027960	0.1334015	0.6227730	0.6508376	0.4276690	0.4663425	0.8113515	0.3523152	0.0591548	0.6048963	0.3528166	0.6594434	0.1971344	0.1543714	0.1557850	0.5216263	0.6213611	0.9014695	1.0486611	0.2728695	0.4605586	0.9738428	0.9653801	0.5774340	0.4540964	0.6573737	0.7176961	0.1636847	0.1036328	0.9718279	0.1167107	0.0669861	0.6191646	0.1851558	0.2630655	0.0531241	0.1624677	0.6199280	1.0088715	0.7312090	0.7760806	0.1246328	0.9467905	0.1438358	0.4459146	0.6508549	0.3539865	0.7807108	0.5174480	0.3845254	0.0729931	0.4852465	1.0744036	0.5968544	0.8578601	0.5959293	0.9794366	0.4906833	0.6905935	0.3637695	0.6630421	0.2496665	0.3753222	0.8817689	0.9291720	0.1004329
300	0.9492538	0.1600885	0.2837752	0.2459642	0.4070898	0.2780259	0.2505075	0.0989249	0.9533313	0.2150449	0.8173879	0.8289733	0.4100202	0.2858901	0.0497069	0.0402733	0.4331575	0.0929884	0.1650174	0.8219818	0.3243119	0.7099901	0.2020342	0.4116952	0.0202999	0.9484670	0.2117421	0.2249153	0.9081270	0.6317085	0.9806716	0.0092778	0.4907216	0.2357531	0.7466280	0.1037911	0.5692157	0.5549353	0.4839895	0.4240375	0.8159087	0.3447936	0.0504002	0.5777073	0.2974811	0.6428543	0.1633537	0.2124908	0.1705849	0.5146508	0.6306810	0.8205904	1.0230410	0.3772065	0.4312114	1.0510064	0.9208387	0.7388066	0.3159012	0.6908909	0.8213947	0.1965346	0.1659801	0.9263505	0.1752780	0.1281671	0.6738264	0.1865781	0.4481090	0.0571156	0.1426977	0.6124900	1.0094398	0.6972850	0.8029723	0.1563304	1.0051638	0.1128187	0.4206965	0.6355500	0.4928111	0.7831440	0.4980762	0.3464907	0.1180257	0.5243384	0.9262657	0.6831452	0.8047308	0.6168742	0.9518139	0.4684333	0.7352171	0.3824302	0.6526197	0.2269361	0.3618981	0.8748929	0.9204721	0.0870548
350	1.0081129	0.1530263	0.5112285	0.2287677	0.3416492	0.2291175	0.2805923	0.0945147	0.9325283	0.2229276	0.8744322	0.7697509	0.3426860	0.3385654	0.0595972	0.0381432	0.4147437	0.1155948	0.1766982	0.6280654	0.3653771	0.7610163	0.1526025	0.4512489	0.0230740	0.9431659	0.1186687	0.2001555	0.9582977	0.6260842	0.9762567	0.0101015	0.4252207	0.2747280	0.9485165	0.0522719	0.5597122	0.4450547	0.4994027	0.3948527	0.7113259	0.2926609	0.0480104	0.6398175	0.2681792	0.6461840	0.1456124	0.2084005	0.1306645	0.5304369	0.5998857	0.8186760	1.0240883	0.4764438	0.4785349	1.0584302	0.8684182	0.8446056	0.2435897	0.7310502	0.8738207	0.1902207	0.1804705	0.9766718	0.1807351	0.1645109	0.6355429	0.1531347	0.4766594	0.0453976	0.1140878	0.5730013	1.0553583	0.7509668	0.7679850	0.1917161	1.0237969	0.0974378	0.3559707	0.6643228	0.5358383	0.7543428	0.4910758	0.3663254	0.0976389	0.4806042	0.7549636	0.6983230	0.7553246	0.6371179	0.9053587	0.5462215	0.7268475	0.3699739	0.6304329	0.1954918	0.3682278	0.8173327	0.8940819	0.0348064
400	1.0594474	0.1824078	0.5270689	0.2043521	0.3345828	0.2406475	0.2442416	0.0922895	0.9734329	0.2033048	0.8755212	0.8290973	0.3928229	0.2956749	0.0566327	0.0305982	0.5436813	0.0909017	0.1893934	0.5496382	0.3230561	0.6726328	0.1767953	0.4940195	0.0274594	0.9059252	0.1065232	0.1670132	0.9098261	0.7002633	1.0005969	0.0010603	0.4172202	0.3090219	0.9932656	0.0322189	0.5356355	0.4570780	0.3990103	0.4070754	0.6002345	0.3152352	0.0726636	0.6280829	0.3692750	0.6212519	0.1391780	0.1760229	0.0841462	0.4994422	0.5875231	0.7473343	0.9588673	0.4916630	0.5056287	0.9400084	0.7946437	0.7942412	0.1629200	0.6504260	0.9190524	0.1370036	0.1763864	1.0111875	0.1670071	0.2043173	0.6332993	0.1659446	0.4868557	0.0474257	0.0861403	0.6199200	1.0361903	0.8505047	0.7850996	0.1782882	1.0027059	0.0845136	0.2631441	0.6316666	0.5142596	0.6773481	0.4682418	0.2965595	0.0993729	0.5007528	0.7836802	0.7085819	0.7961095	0.6225677	0.9264462	0.5137580	0.7966351	0.3469191	0.5737732	0.1801075	0.3677632	0.8684118	0.9092203	0.0675870
