G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G77A	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
1.0138196	0.0477979	0.9623209	0.8419055	0.0627309	0.4051400	0.9729474	0.9978033	0.2320034	0.2114772	0.9800718	0.8605432	0.8096019	0.9211594	1.0189192	0.3619929	0.4180165	0.2248923	0.4969222	0.4845721	0.5670133	0.3483963	0.7904172	0.8540823	0.4952647	0.7417400	0.9160811	0.6484792	0.7430351	0.5315093	0.8463889	0.8431859	0.1774718	0.7854506	0.6687943	0.1459720	0.8155178	0.8131852	0.8092770	0.8882786	0.9179104	1.1186793	0.8291574	0.3802296	0.6772274	0.8447180	0.5935890	1.0665573	0.7220440	0.9167751	0.3730380	0.1517513	0.0919012	0.4062492	1.0604294	0.9914956	0.0342035	0.3673822	0.0040443	0.1057708	0.7970600	0.8184523	0.0060909	0.7262256	0.9370188	0.5132477	0.6803745	0.5543337	0.8266170	0.0658320	0.2510208	0.5450411	0.7632841	0.8024629	0.3219244	0.6463550	0.0064135	0.4658024	0.0006836	0.9444571	0.2073930	0.5391262	0.8627974	0.4306306	0.0983065	0.7311546	0.0170002	0.6560603	0.8378531	0.5031787	0.9249682	0.0153805	0.5832665	0.1511396	0.4828391	0.7055802	0.1969990	0.4796954	0.1129366	0.2445621
0.7992984	0.0341461	0.8221651	0.9633876	0.0049273	0.4168822	0.7606551	0.5749772	0.0762794	0.1421838	1.1362365	0.8051511	0.6197954	1.0321653	0.9295153	0.2157335	0.2865385	0.2482251	0.9739005	0.0955095	0.3718275	0.5827701	0.7959340	0.4263826	0.5056556	0.4521170	0.9103514	0.5588221	0.9008110	0.3978484	1.0083269	0.7541044	0.0927321	0.8155340	0.6616908	0.1831963	0.5436265	0.8281267	0.6408454	0.5544107	0.9438025	0.7692237	0.8267794	0.0795725	0.5104140	0.9754109	0.2953546	0.9247602	0.2776682	0.9086478	0.5196386	0.4939776	0.5221715	0.1408132	0.9666958	1.1152020	0.0335001	0.6768344	0.0027795	0.1602972	0.9346069	0.2999413	0.1972759	0.7273133	0.8200002	0.2762604	0.8609994	0.2699305	0.6934612	0.1495410	0.2475700	0.1688192	0.5698000	0.4276952	0.2222071	0.4220996	0.0471734	0.0603075	0.0065216	1.0099722	0.3840632	0.9374091	0.1495799	0.4330271	0.0365873	0.8034391	0.1022100	0.5633055	0.4183026	0.6788391	0.5593409	0.0107604	0.8072039	0.2437310	0.0879987	0.9412873	0.0416691	0.7297746	0.1120454	0.2818299
0.9062605	0.0493076	1.0750935	0.6373914	0.3052372	0.5190202	0.8736601	0.3840285	0.1427998	0.2287452	0.9226306	0.7852135	0.4517163	0.3911167	1.0350466	0.3468744	0.2511348	0.4721619	0.8571211	0.5209650	0.8479055	0.0840627	0.3501973	0.4098173	0.5934780	0.7408718	0.9721727	0.6473287	0.9779928	0.3120899	0.9102920	0.6269038	0.0889982	0.8944912	0.9001320	0.5303589	0.3852737	0.9450582	0.8193227	0.6054482	1.0434565	0.7081734	0.4998115	0.3552010	0.5550236	0.8842066	0.2503091	0.9654516	0.3783379	0.8598622	0.6031682	0.5246811	0.0149287	0.1970393	0.7110721	0.9922541	0.0315666	0.1820612	0.1787961	0.0036101	0.7968359	0.1313592	0.0493796	0.3188245	1.0390541	0.3697389	0.4349543	0.9594836	0.9493393	0.5255492	0.0030550	0.1245463	0.4112870	0.8504064	0.0805001	0.7088165	0.1594355	0.3460796	0.0033197	0.4452804	0.1983392	0.9105989	0.6339650	0.3446076	0.0058755	0.0003964	0.0020352	0.6403747	0.4557207	0.4509102	0.4660985	0.4485146	0.7423580	0.4928922	0.0544572	0.7599260	0.2486279	1.0745272	0.3369166	0.8711278
0.8349145	0.3694720	0.5510080	0.7974716	0.0990936	0.7396960	0.8718222	1.0868936	0.3464001	0.2065078	1.0644324	0.9538789	0.6222212	1.0248258	0.9977220	0.1009345	0.2473702	0.7190885	0.8496779	0.4506599	0.3812222	0.7945544	0.3627117	0.8537536	0.9236404	0.7976295	0.9870800	0.7494891	0.8581988	0.6531585	0.6480645	0.8246548	0.8920131	0.1196500	0.0818772	0.0816069	0.8582358	0.8543546	0.9071000	0.4918721	1.0398955	1.0143657	0.7342767	0.5870277	0.9423084	1.0001481	0.2925758	1.0639441	0.7247490	0.6657821	0.3984683	0.6267019	0.1853867	0.4427444	0.8432415	0.4739764	0.0043952	0.6919661	0.3658247	0.6260456	0.7223986	0.3094774	0.3759818	0.5355913	1.0270436	0.4025037	0.5627043	0.1266742	0.7025225	0.4231906	0.6750941	0.9360288	0.9866942	0.5753312	0.6291007	0.7338100	0.1355951	0.4738589	0.0622751	1.0364789	0.3592087	0.1814693	0.7176583	0.5217037	0.1438940	0.0284000	0.2969875	0.1055767	0.7603358	0.4061089	0.6701079	0.0821559	0.7483737	0.1967137	0.2643385	0.9576108	0.2654954	0.8923014	0.6907702	0.0382480
1.0180829	0.0632889	0.9748172	0.7303075	0.1849308	0.8030233	0.9257130	0.8907861	0.4880241	0.4566670	0.6596169	0.9153245	0.5452991	1.0533687	0.5433684	0.1548714	0.3865986	0.5901804	0.8239016	0.4052801	0.3766907	0.2353937	0.8784179	0.5805821	0.4358809	0.3290711	0.9763790	0.7882300	0.5845421	0.5923424	0.6692242	0.5422541	0.1822033	0.9267434	0.9074595	0.5448979	0.3346676	0.8029432	0.5310455	0.4444159	0.8425501	0.6198274	0.4290034	0.5916957	1.0118157	0.9404561	0.2169503	0.9196501	0.5064700	1.0095781	0.3993562	0.2506257	0.1003948	0.1284414	1.0845277	0.9719825	0.2144150	0.5901022	0.0841382	0.5235179	0.8827439	0.6629510	0.0770996	0.2785138	0.4865385	0.5953480	0.6187331	0.1895059	0.8079883	0.4298474	0.1181915	0.2628540	0.9459123	0.6962591	0.0129776	0.4600663	0.0137592	0.4618709	0.0028363	1.0278971	0.4561055	0.4934312	0.5549463	0.4140833	0.4188920	0.4955381	0.0784395	0.0792013	0.7916228	0.6748719	0.6023079	0.1502257	0.9266172	0.6148565	0.5297362	0.9252124	0.2169312	0.7180317	0.5928662	0.3441782
1.0089761	0.0017928	0.5757045	1.0327187	0.0673907	0.2891605	0.8394352	0.6750079	0.0699282	0.2277566	0.9174902	0.9510206	0.5232742	0.9592828	0.8188931	0.7079089	0.1637319	0.8039633	0.6030159	0.4844060	0.1302212	0.1558787	0.5642389	0.2825503	0.4404385	0.8159330	0.8836376	0.6505802	0.5581431	0.4493669	0.9477023	0.5769692	0.1148813	0.9060515	1.0370407	0.3944152	0.3529717	1.0647449	0.9609140	0.8735638	0.9912566	0.7984159	0.8235784	0.4987414	0.7591855	0.9193305	0.2543106	1.1175744	0.4667822	1.0037734	0.2039741	0.2490425	0.1319771	0.6088616	1.1532223	1.0914938	0.3007279	0.0874343	0.0017411	0.0007314	0.5346812	0.4508780	0.1681721	0.7074506	0.5986059	0.7662172	0.7669965	0.3024001	0.9909355	0.6115235	0.1583828	0.3208356	0.8129331	0.9045948	0.0459305	0.9675333	0.2548308	0.7235933	0.0046331	0.8890757	0.5831149	0.8141899	0.5416373	0.5597340	0.0889779	0.0010107	0.0352939	0.3956728	0.6709640	0.8066744	0.3524974	0.0649755	0.5712917	0.3969285	0.1456400	0.7215056	0.0842512	0.7882631	0.4542619	0.1864068
0.7307654	0.0705182	0.9809597	1.0295397	0.0228180	0.4402828	0.8462653	0.7108451	0.2075137	0.2087044	1.0226116	0.8794801	0.7830898	1.0319856	0.9858872	0.2111987	0.1488667	0.3634167	1.0317281	0.3956217	0.2981966	0.2434052	0.9857215	0.7333777	0.5500829	0.7691709	0.9955390	0.5985268	0.8518074	0.5212073	0.9317149	0.6662397	1.0329580	0.2213460	0.1807827	0.0686647	0.8198913	1.0016725	0.8341918	0.7843732	0.8955974	1.0553990	0.7565083	0.8026235	0.8090972	0.9106854	0.2123946	1.0089954	0.7445731	0.9874713	0.5530246	0.5645846	0.1147730	0.9068448	0.6599426	1.0841267	0.0999661	0.3438560	0.0860533	0.5212473	0.6610614	0.8606219	0.0047067	0.5262585	1.0215984	0.8830514	0.6233145	0.5225133	0.6153013	0.2964771	0.4604548	0.8367570	0.5231986	0.0397562	0.1749681	0.8625684	0.0153633	0.4889595	0.0004153	1.0511361	0.2397543	0.7406981	0.9232761	0.3078334	0.0620690	0.6075441	0.3044560	0.0070200	0.8441066	0.3063995	0.6884973	0.0120677	0.9178132	0.4143169	0.4882405	0.9693488	0.2727773	0.7526116	0.1029656	0.1594179
1.0296494	0.1365542	0.7322516	0.5698768	0.0000162	0.4121990	1.1044853	1.1150348	0.1034115	0.2380290	1.0385693	0.8424577	0.5573158	1.0901596	1.0141793	0.2128486	0.3256160	0.2547496	0.9298023	0.4771561	0.5182399	0.3136570	0.7152666	0.0937693	0.3396545	0.8779704	0.9757179	0.6024806	0.5251544	0.9552304	1.1115188	0.3321321	0.0607135	0.9360236	0.8676460	0.3908845	0.2887561	1.0840756	0.8554265	0.6996973	0.9403900	0.3879788	0.6911935	0.0224558	0.7062357	0.7581406	0.2388470	1.0840335	0.6268333	0.8985432	0.3308789	0.3153674	0.4228150	0.5464760	0.8135459	1.0122277	0.0413756	0.2879264	0.0014069	0.7949443	1.0503838	0.3337782	0.1563417	0.8295207	0.9649143	0.2102793	0.8280679	0.4209004	0.8994309	0.6660100	0.4462826	0.3349394	0.4538415	0.9864407	0.0239063	0.8077330	0.0068264	0.5101808	0.2547434	0.6469884	0.1210614	0.3486975	0.1808435	0.4279758	0.6483157	0.6803723	0.0709562	0.5217585	0.5175642	0.5301225	0.4355108	0.3591674	0.7792082	0.4216661	0.4770756	0.7310826	0.0467522	0.7180471	0.5113911	0.0206386
1.0595078	0.0197731	1.0068481	1.0732875	0.0501005	0.2125324	0.9634096	0.6807474	0.4571104	0.4944331	0.7423139	0.5684756	0.2179650	0.9121052	0.9510256	0.1815331	0.4148900	0.7612490	0.9416102	0.4475767	0.5901492	0.9420842	0.0784103	0.2274894	0.4214918	0.2535310	0.8993259	0.6354593	0.7813458	0.6956398	0.9679808	0.5877602	0.1724912	0.9504832	0.9677581	0.8249804	0.2481396	0.8727976	0.5575534	0.4672581	1.0067154	0.9919983	1.0544872	0.1301231	0.9005082	0.9246846	0.5634097	0.9902505	0.4395458	1.0129111	0.6762182	0.0662296	0.0162045	0.0744935	0.7151043	1.0385318	0.3185379	0.4834645	0.0020072	0.1293459	0.3391030	0.6418783	0.4012525	0.8243941	0.5357132	0.4318507	0.9089115	0.6869957	0.9219534	0.0134943	0.5195375	0.3689911	0.4184029	0.1275602	0.5608922	0.7023591	0.0582743	0.2673022	0.0105156	0.1674722	0.5020101	0.5104806	0.5016416	0.2922707	0.5987424	0.4820281	0.1480360	0.2074983	0.7930173	0.3228032	0.4826099	0.3490514	0.4572387	0.6638463	0.1540313	0.9958566	0.0081872	0.4337091	0.3147309	0.7219065
1.0847775	0.0260102	0.7312321	0.6942821	0.0152798	0.1887622	0.9386640	0.8496202	0.3249244	0.2074563	0.8291641	0.8931323	0.5725771	0.9838311	0.8066733	0.4002826	0.3247132	0.2244746	0.9712571	0.4419591	0.5553234	0.0320129	1.0968642	0.8084761	0.5844250	0.7295074	0.9037125	0.5762043	0.7011802	0.5003287	0.7516989	0.5567332	0.0553590	0.9054893	0.7946231	0.3352811	0.6812955	0.7833544	0.9018436	0.7387924	0.8135606	0.5655238	0.2623406	0.0128394	0.8276565	0.9887867	0.3698863	1.0587149	0.3946021	0.6103564	0.7600131	0.6755230	0.0903144	0.1898612	0.7059774	0.9898772	0.1043523	0.5571773	0.1041632	0.6606421	0.7628615	0.3864124	0.4178533	0.4894958	0.9635329	0.4665285	0.9943284	0.8647053	0.6005016	0.4087251	0.3880998	0.7473329	0.8084271	0.8019953	0.0331346	0.6724981	0.5406085	0.2805764	0.0298527	0.9383660	0.1873269	0.5409177	0.3932699	0.5019587	0.5793084	0.6572448	0.1802276	0.6803186	0.7296308	0.2504308	0.6648054	0.2093126	1.0691710	0.7484579	0.2631017	0.8800211	0.0152583	0.3285274	0.4366157	0.0597440
