Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G71A	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0	0.6512670	0.2731660	0.5362084	0.3210662	0.0635466	0.3671282	0.5078475	0.5177071	0.6096098	0.2946804	0.5536190	0.4741461	0.4375518	0.2262546	0.0366697	0.0954033	0.6722748	0.0297074	0.2213231	0.1560664	0.2306610	0.4221289	0.2007560	0.1824265	0.0169018	0.7606308	0.1313731	0.1249783	0.6194017	0.3700885	0.0352733	0.1873601	0.0986057	0.1056931	0.5842234	0.1182270	0.4842467	0.7587494	0.1048671	0.2748562	0.0056045	0.6903128	0.0234907	0.3806313	0.3898345	0.6502747	0.0707199	0.4699713	0.0948398	0.5748963	0.3200057	0.5760051	0.6601009	0.6029732	0.2112052	0.2514285	0.6567919	0.2909732	0.4905803	0.6568726	0.4674494	0.0096672	0.0900925	0.7394753	0.3758674	0.0300971	0.4024687	0.4446496	0.1102452	0.0404026	0.0063517	0.6653374	0.6998068	0.2724364	0.5731250	0.0197729	0.4402274	0.1061670	0.6962408	0.3160749	0.2054857	0.3826061	0.6016278	0.1872639	0.0002055	0.7384141	0.7242959	0.6020037	0.7165047	0.4765192	0.5600060	0.0372356	0.4583945	0.0992591	0.2666796	0.2703962	0.2304875	0.7797051	0.6872537	0.1706464
50	0.6343850	0.1975455	0.5366906	0.7100071	0.2177084	0.2980462	0.5062079	0.1705448	0.5785013	0.1651422	0.5705171	0.6336156	0.4630883	0.1571459	0.0800159	0.0249204	0.6507555	0.0361265	0.1184672	0.1533520	0.1455892	0.4171064	0.3201285	0.1750875	0.0280200	0.5990714	0.2910665	0.0935081	0.5974815	0.3595353	0.5596507	0.1782591	0.1987751	0.0380425	0.4616076	0.1110221	0.5240507	0.7032792	0.0859978	0.1431810	0.2454018	0.4294436	0.0246680	0.1997972	0.2084349	0.5262219	0.0778416	0.2292926	0.1107455	0.4891013	0.4764682	0.6001732	0.6257015	0.5062793	0.2881161	0.5810777	0.6560081	0.3996500	0.3835678	0.5021365	0.4545946	0.0195137	0.0844873	0.7238915	0.1175645	0.0331533	0.3953469	0.3151976	0.1187125	0.0277875	0.0011949	0.5708726	0.6595919	0.2646972	0.5478080	0.0457617	0.6797914	0.1196535	0.4459536	0.3512067	0.2121960	0.5307376	0.7328718	0.1943389	0.0091813	0.7084428	0.6714319	0.5895460	0.7571735	0.5110710	0.7012795	0.0709343	0.5184493	0.0928502	0.3783917	0.3023677	0.2238768	0.6013364	0.5189934	0.0399126
100	0.6208418	0.2836164	0.4650808	0.6563691	0.2726914	0.2466858	0.3708297	0.1181230	0.6631951	0.1963333	0.6134953	0.6755658	0.4423949	0.1776002	0.0398572	0.0063358	0.4774072	0.0290718	0.1331205	0.1471985	0.1508078	0.5084506	0.3161937	0.1743823	0.0249847	0.6040452	0.2452699	0.1687040	0.6422046	0.3443803	0.6554952	0.0497343	0.2403781	0.0393826	0.4144730	0.1259890	0.5281751	0.5926207	0.0427112	0.1263248	0.4123170	0.4113724	0.0536771	0.3375482	0.1827291	0.5697786	0.1206039	0.1438550	0.1033444	0.4245362	0.2952059	0.7036111	0.6831591	0.3203590	0.2928911	0.6674408	0.5472511	0.3482697	0.3620932	0.3868767	0.5025792	0.0127731	0.0713418	0.8083909	0.1252083	0.0227806	0.4577639	0.2213700	0.1304288	0.0434844	0.0109985	0.3446571	0.7494012	0.2485417	0.3936688	0.0437900	0.6338756	0.1659037	0.2817380	0.4126570	0.1585431	0.5373762	0.7380389	0.2265168	0.0170930	0.6411689	0.6682308	0.7311612	0.6293452	0.4658320	0.6424797	0.0905599	0.4680271	0.1355574	0.3753101	0.2607897	0.3186396	0.6025790	0.6238474	0.0365470
150	0.6069953	0.1412825	0.3387516	0.5115362	0.2178307	0.3209481	0.2741759	0.0797066	0.6485059	0.1179193	0.5880360	0.6526837	0.3081305	0.1730899	0.0642895	0.0150203	0.3884239	0.0505054	0.2154456	0.2036285	0.1278573	0.4520090	0.2960229	0.2329913	0.0155334	0.6916574	0.2712486	0.1470992	0.5128877	0.4198902	0.6245417	0.0335532	0.2929329	0.1179301	0.3678176	0.1628020	0.5370263	0.4727309	0.0971605	0.1845951	0.4823838	0.3830776	0.0461877	0.4014363	0.1371054	0.4266281	0.1257861	0.1472577	0.0820435	0.2867002	0.3824451	0.6768890	0.5498502	0.1469045	0.3428816	0.6144140	0.5590269	0.3907090	0.3697855	0.4207965	0.5264337	0.0293361	0.0503133	0.6805163	0.0632466	0.0253508	0.4341293	0.2052951	0.0867524	0.1108952	0.0401338	0.4300489	0.6648861	0.4590148	0.4987498	0.1221265	0.6285379	0.1642622	0.3479408	0.4717273	0.1895543	0.4977674	0.5286647	0.3695224	0.0469993	0.4779246	0.6425986	0.6031112	0.5363611	0.3907898	0.6282927	0.2019116	0.5836322	0.1786085	0.4966560	0.2377623	0.2864947	0.6837524	0.5898462	0.0466880
200	0.6543421	0.1627641	0.1951362	0.2915991	0.3000553	0.2124263	0.2081666	0.0372673	0.5478521	0.1942894	0.5380608	0.5667369	0.2012163	0.1676100	0.0292335	0.0052938	0.3261351	0.0663929	0.1097704	0.1772886	0.1473738	0.4403050	0.2538262	0.2725171	0.0262925	0.7758463	0.1792108	0.1176650	0.5184844	0.4335020	0.6182179	0.0114159	0.2283351	0.1579230	0.3334940	0.0888740	0.4806214	0.5508177	0.2313118	0.2306685	0.5393994	0.3538590	0.0374003	0.4810246	0.2006402	0.5200036	0.1307003	0.2075583	0.0910594	0.3919575	0.3954671	0.6250679	0.6498054	0.1403065	0.4018815	0.5915966	0.6314574	0.3589428	0.2779208	0.4387493	0.4855031	0.0577939	0.0208242	0.6982909	0.0768370	0.0313799	0.4365304	0.1627855	0.1491435	0.0529157	0.0668859	0.3446229	0.8339617	0.4138810	0.5309188	0.0760870	0.6893727	0.1178056	0.2829998	0.3989951	0.1972937	0.5342365	0.4108164	0.3295931	0.0391962	0.3337397	0.5910269	0.4589641	0.5956928	0.4041746	0.6515496	0.2160349	0.4136722	0.2060565	0.4871270	0.2112330	0.3292082	0.6117063	0.6567605	0.0618975
250	0.7125611	0.1006274	0.1117881	0.2269114	0.2155702	0.1742666	0.1575408	0.0921452	0.6923709	0.1167687	0.6754758	0.6299064	0.2794199	0.1571271	0.0336088	0.0100937	0.3089802	0.0558291	0.0890016	0.2989070	0.1771766	0.4483724	0.2041921	0.3026987	0.0202700	0.7271383	0.1468357	0.1111255	0.6025483	0.3982021	0.7666915	0.0042459	0.2859320	0.2030332	0.4354997	0.1364183	0.3730384	0.5201495	0.2950012	0.3170541	0.5284683	0.2633794	0.0603027	0.4760003	0.2748232	0.3787682	0.1539295	0.0867395	0.1092107	0.3343079	0.4480381	0.5906949	0.7361039	0.2300612	0.2478158	0.6507101	0.6589777	0.2955145	0.2530367	0.4843031	0.4722258	0.1220298	0.0699626	0.6388485	0.0776198	0.0555031	0.3997859	0.1601219	0.1387316	0.0537498	0.1335475	0.4258790	0.5674135	0.4573147	0.4460749	0.0986802	0.5538992	0.0899527	0.2652376	0.4603100	0.2347907	0.5490995	0.4261715	0.2477721	0.0299508	0.3352116	0.7484481	0.3429479	0.6123597	0.4618797	0.6549622	0.2762472	0.4197283	0.1713174	0.3574936	0.1387245	0.2732387	0.6213130	0.6365627	0.0492725
300	0.6028699	0.1422881	0.2257477	0.1518305	0.2229558	0.1748489	0.1734025	0.0433530	0.5620030	0.1377674	0.6057685	0.6427410	0.3190434	0.2208835	0.0413842	0.0326834	0.2727911	0.0557187	0.1177612	0.6020484	0.2161030	0.4518369	0.1168705	0.2659473	0.0184766	0.6636519	0.1295838	0.1046435	0.7465660	0.3975098	0.6292499	0.0069957	0.2510883	0.1999665	0.5143901	0.0740722	0.4038781	0.3704232	0.3526473	0.2662376	0.5661359	0.2278985	0.0305816	0.4208898	0.1933003	0.3868890	0.1385310	0.1258497	0.1445170	0.3562612	0.5180969	0.4958282	0.7724428	0.1937281	0.2810877	0.7252759	0.5980557	0.4729462	0.2858311	0.4680917	0.4845108	0.1012954	0.0839918	0.5689097	0.1144453	0.0981692	0.3747293	0.1462607	0.3406203	0.0461130	0.0685540	0.4321145	0.6054895	0.5083551	0.5262841	0.1022695	0.7265460	0.0938601	0.2816110	0.4177646	0.3280243	0.4494529	0.3483737	0.2758045	0.1014350	0.4113921	0.5510977	0.5553930	0.5332890	0.4380947	0.6723935	0.3818948	0.5574560	0.2775449	0.4363178	0.1845993	0.2144836	0.6296217	0.6248853	0.0675671
350	0.6809021	0.1324065	0.3302125	0.1962896	0.2758305	0.1430153	0.1558984	0.0540843	0.6233537	0.1744791	0.5243637	0.6022354	0.2366933	0.1881092	0.0496728	0.0238582	0.2635410	0.0758395	0.1298482	0.3465189	0.2756791	0.5986484	0.0695639	0.3463938	0.0062174	0.6488059	0.0722244	0.1374489	0.8196552	0.4036811	0.6195161	0.0109437	0.3019600	0.1901942	0.5431055	0.0247867	0.3451560	0.3019811	0.2982809	0.2621934	0.4726375	0.2348168	0.0131208	0.3916735	0.1824735	0.4732752	0.0922252	0.1267115	0.0845869	0.3452328	0.3182950	0.6238571	0.6189814	0.2411682	0.2383162	0.8122352	0.5698447	0.5866658	0.1413219	0.5277472	0.6581268	0.1397993	0.1050411	0.6103427	0.1247523	0.1191059	0.4459014	0.0764757	0.3349149	0.0157955	0.0959859	0.3862744	0.6703315	0.5238232	0.5240373	0.1477465	0.7637062	0.0458200	0.2390379	0.4538253	0.3285719	0.5207466	0.2834596	0.2136079	0.0961559	0.3061106	0.5032675	0.5351663	0.4354006	0.3198756	0.5144192	0.3524262	0.5837247	0.2522076	0.4768289	0.1571036	0.3109718	0.5661635	0.5866134	0.0172282
400	0.6042299	0.1006240	0.3405772	0.1533514	0.1933144	0.2181394	0.1376032	0.0654525	0.6595448	0.1819516	0.5302279	0.5721399	0.3772009	0.2139492	0.0363219	0.0200353	0.3509289	0.0392861	0.1129707	0.3190276	0.1980934	0.4726826	0.1150400	0.2941411	0.0167958	0.5960312	0.0758415	0.0887897	0.5779565	0.4910192	0.6722698	0.0003474	0.2161228	0.2587479	0.6310833	0.0085858	0.3767562	0.2930379	0.2441314	0.2452259	0.3874980	0.1926815	0.0516469	0.4729364	0.2658421	0.4566403	0.0968633	0.1187753	0.0381032	0.3547657	0.3134728	0.4678875	0.6511146	0.3428073	0.3444642	0.5450228	0.4484625	0.5651150	0.1236756	0.4262854	0.5609343	0.1138848	0.1062786	0.6583261	0.1099545	0.1633682	0.4758062	0.1022783	0.3026977	0.0305320	0.0583579	0.4579911	0.7441282	0.5706470	0.4612722	0.1285056	0.6893515	0.0640560	0.1710800	0.4386356	0.3297752	0.4316161	0.2597406	0.2225773	0.0988799	0.3055445	0.5398856	0.5055878	0.4415973	0.4290432	0.5101990	0.3327816	0.5576590	0.2318530	0.3969851	0.1358487	0.2287704	0.4416969	0.6931073	0.0515234
450	0.6397416	0.1169601	0.3575848	0.1090889	0.2964112	0.1812665	0.1271680	0.0716643	0.6675117	0.1470413	0.6664606	0.5765172	0.2559896	0.1998115	0.0573981	0.0044726	0.3499369	0.0593437	0.0826804	0.3649243	0.3021166	0.4453950	0.1379795	0.2626286	0.0121672	0.6942704	0.0492259	0.1522169	0.5853426	0.4677340	0.5922671	0.0052030	0.3137372	0.2167770	0.5987635	0.0132179	0.4027040	0.3135918	0.2288194	0.3156306	0.3928505	0.2625488	0.0619171	0.4745541	0.2268083	0.4797649	0.0893990	0.1343425	0.0606633	0.3307723	0.4168038	0.6597439	0.7207655	0.2801000	0.3337963	0.6783913	0.6455384	0.5113395	0.1552544	0.4801562	0.5496576	0.0974298	0.1212572	0.7727783	0.1197209	0.1182536	0.3161783	0.0778959	0.4150747	0.0262056	0.0533686	0.5761871	0.6197967	0.5224893	0.5420219	0.0988088	0.6200284	0.0518392	0.1451247	0.5154175	0.3450472	0.4041858	0.2888886	0.2086102	0.0605819	0.4131939	0.5542509	0.4554669	0.5417774	0.4168925	0.6493059	0.3415063	0.6820469	0.1853102	0.4560514	0.1613742	0.2992301	0.4884392	0.5062730	0.0823966
