"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G56A	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4412003	0.9112418	0.2023896	0.8284611	0.7968153	0.4482826	0.2533631	0.6424983	0.4561432	0.7411862	0.8786100	0.8700432	0.9673215	0.3646308	0.7381263	1.0950206	0.5856950	0.6766802	0.5084899	0.0306041	0.1083555	0.4676944	1.1498832	0.7731531	0.4834169	0.5038323	0.3712251	0.4521300	0.9552562	0.5798413	1.0042745	0.1301228	0.4343921	0.6201575	0.8568023	0.9543382	0.3359440	0.6562078	0.6520483	0.2903313	0.2713450	0.8234881	0.8828804	0.9862671	0.2586206	0.6360107	0.9749390	1.0469372	0.7201127	0.6552124	0.8331310	0.6392947	0.0047441	0.3630521	0.0480002	0.0336116	0.0648613	0.9756410	0.3807626	0.2215478	0.7509054	0.6107213	0.6908153	0.0000846	0.9409879	0.5406369	0.9292284	0.1632785	1.0218334	0.0312633	0.2549469	0.3058393	0.5185663	0.8812689	0.3963521	0.4790223	0.9469850	0.0090423	0.1645939	1.0374636	0.8833750	0.7479314	0.2785813	0.2115441	0.6793446	1.0548765	0.3915226	0.8180720	0.3631636	0.3493717	0.4885003	0.0184125	0.6528128	0.5267995	1.0237250	0.2663137	0.9488510	0.7588696	0.0846707	0.2255016
50	0.5665197	0.8861542	0.1270951	0.8453304	0.7671376	0.4209013	0.2735619	0.6698484	0.4671333	0.8191922	1.0083522	0.8344312	1.0924024	0.3095590	0.8068169	1.0389339	0.5995518	0.6386510	0.4652626	0.1855384	0.0951509	0.4651611	1.1685990	0.7909324	0.4286866	0.6605130	0.3683861	0.4134793	1.1476182	0.5193990	0.6999288	0.1564646	0.4543311	0.6987945	0.8153942	0.6409222	0.3834096	0.7886731	0.6012769	0.3044555	0.1604474	0.8730005	0.9180367	0.9308686	0.2944976	0.7109302	0.9739147	0.6761575	0.7435041	0.5669177	0.8239796	0.5975572	0.0004986	0.3356244	0.1098964	0.0357575	0.0449492	0.9642796	0.4446180	0.1655989	0.7231407	0.5357552	0.7037222	0.0003787	0.9671379	0.5903355	1.0226192	0.1954448	1.0436084	0.0435422	0.1443064	0.3571428	0.5133947	0.8554770	0.3715369	0.5087372	0.7487300	0.0313524	0.2684443	0.9111177	0.9260539	0.6620220	0.3023784	0.1611506	0.7683588	0.7730516	0.5411242	0.7558960	0.4707445	0.3007363	0.5509229	0.2577024	0.8089832	0.4624509	0.9969753	0.2084774	0.8496934	0.6253594	0.0513990	0.2170007
100	0.5849088	0.8786125	0.1537584	0.8453074	0.7233467	0.5171733	0.2126505	0.6429213	0.5427508	0.8959586	0.9711603	0.6246198	1.1009645	0.2978725	0.7226024	1.0770290	0.6571809	0.6451260	0.4222311	0.2581383	0.1133494	0.5262980	1.0940408	0.7631829	0.3553195	0.7871418	0.3443669	0.4537080	1.0736538	0.4588845	0.4584773	0.1518913	0.4173367	0.6292964	0.8687356	0.4211603	0.3939016	0.8871297	0.4289262	0.3346583	0.1374071	0.8251284	0.8977741	0.7406726	0.2881919	0.5946652	0.9820425	0.4713174	0.7250291	0.6265554	0.6845613	0.5675601	0.0014527	0.3683148	0.1904738	0.0316631	0.0404188	1.0797435	0.4332799	0.1902250	0.8294795	0.4830370	0.6233649	0.0004494	0.8743567	0.5182676	1.0020327	0.1690496	1.0373546	0.0346939	0.1059831	0.4473878	0.5054872	0.8333162	0.3404603	0.4684010	0.8344403	0.0457374	0.3987251	0.8587205	0.9270614	0.7350293	0.3265115	0.1569951	0.6384795	0.5893902	0.5722186	0.8238055	0.3282167	0.2723549	0.7055312	0.4698187	0.9467328	0.5169111	1.0392698	0.2467922	0.8149865	0.5658320	0.0312320	0.2457312
150	0.6867809	0.9165416	0.1186296	0.9758095	0.6370492	0.5073420	0.2892755	0.6631725	0.4831150	0.8570248	0.9196058	0.5330535	1.0187018	0.3306296	0.6508667	1.0211302	0.6806496	0.6404778	0.5069177	0.3259660	0.1076468	0.4983716	0.9121674	0.6148179	0.3423124	0.7685762	0.3143524	0.4068499	1.0899652	0.3890080	0.2768107	0.1240287	0.3729877	0.6275252	1.0159120	0.3679456	0.3158819	1.0085647	0.3437804	0.3117378	0.1216933	0.6935924	0.9239827	0.6056516	0.2910694	0.5811175	0.9956477	0.3611923	0.7013112	0.5138439	0.5834843	0.5546614	0.0012161	0.4820903	0.2790002	0.0290579	0.0260887	0.9346090	0.4686675	0.1555734	0.8147555	0.5507253	0.6614747	0.0003575	0.8887770	0.5158773	1.0717350	0.1677338	1.0447163	0.0088435	0.0514315	0.4164557	0.4682937	0.6984847	0.2894872	0.4376006	0.8516979	0.0576348	0.5560212	0.9700677	0.8665783	0.6913123	0.3270845	0.1073250	0.7349454	0.5188105	0.4693128	0.8975498	0.2632574	0.2613477	0.6068091	0.4973012	0.9216237	0.5003844	1.0114258	0.3980612	0.7817620	0.6822522	0.0173841	0.3879425
200	0.7196953	0.8903641	0.1644707	0.8923304	0.5660444	0.4120176	0.2354184	0.6304795	0.4975350	0.7492371	0.8262915	0.4591181	1.0356710	0.3462150	0.7263767	0.9129229	0.6889337	0.6467347	0.4763485	0.4071665	0.1207109	0.5315222	0.9414584	0.6465627	0.3339299	0.8231526	0.3613029	0.4566880	0.9910740	0.2658008	0.2122704	0.1239241	0.3863351	0.5875308	1.0062049	0.3770687	0.4255228	0.9874272	0.4390928	0.2695884	0.1511012	0.6904565	0.7694236	0.5666528	0.3878278	0.6776842	0.9549004	0.2987013	0.7503326	0.5687623	0.4535233	0.6176035	0.0026751	0.5548922	0.2452671	0.0210779	0.0231761	0.9564569	0.3587884	0.1558428	0.7616754	0.4356949	0.6630259	0.0002078	0.8613769	0.5406049	1.0873130	0.1851379	0.9916399	0.0415535	0.0290189	0.6217918	0.4428654	0.7816718	0.3418788	0.3885412	0.5994652	0.0656062	0.5889705	1.0820288	0.8715813	0.7023446	0.3389044	0.0709939	0.7797271	0.4324901	0.5441144	0.8682529	0.2664701	0.2085296	0.6275489	0.5049223	0.8294221	0.4690419	0.9179770	0.4778717	0.8128706	0.5872380	0.0074014	0.3905749
250	0.7281084	0.8498592	0.1498109	0.8504001	0.5310955	0.4850389	0.2282879	0.6421172	0.4952436	0.7600549	0.8918484	0.4922575	1.1317307	0.3569517	0.6993382	0.9153477	0.7073347	0.6997195	0.4972841	0.3695260	0.1589683	0.5376565	0.9252590	0.5539741	0.3305131	0.9356739	0.4318689	0.4103085	0.9802221	0.2651698	0.1998500	0.0921922	0.4897956	0.5572826	1.0118435	0.3928134	0.4506373	0.8656683	0.5293151	0.3175297	0.1240553	0.6622815	0.7568503	0.5273354	0.4616314	0.6211645	1.0231760	0.3370055	0.7734234	0.5696323	0.4432855	0.6640251	0.0021377	0.5624401	0.2862159	0.0381939	0.0104014	0.9323328	0.3344652	0.1462734	0.8576108	0.5309464	0.6431497	0.0006405	0.8499983	0.5986302	1.1240105	0.1755040	1.1164022	0.0537873	0.0577524	0.6939956	0.4541200	0.7077519	0.2973845	0.4266008	0.5388519	0.0496770	0.8072964	1.0418868	0.8781316	0.6704485	0.3639240	0.0795129	0.7650744	0.4639736	0.4464499	0.9084634	0.2494342	0.2213724	0.6434890	0.4021917	0.8336145	0.5130067	0.8954072	0.5858481	0.8635916	0.5606194	0.0098442	0.4048228
300	0.7063189	0.7396077	0.1445686	0.8902196	0.4928231	0.4317827	0.2402034	0.6299831	0.4640103	0.7821882	0.9776994	0.4415147	1.0264489	0.3803243	0.7327346	0.9261702	0.6899654	0.5543103	0.4502337	0.3125272	0.1605736	0.5229963	0.9257499	0.6051346	0.3573172	0.9325593	0.4420471	0.3919455	0.9488551	0.2357380	0.1960381	0.0833306	0.4400805	0.5641697	0.9564579	0.4163201	0.4070356	0.7693831	0.6781392	0.3043790	0.1464489	0.6665034	0.6960565	0.4588334	0.3658532	0.5552239	0.9092411	0.3275708	0.7675331	0.6103356	0.4753138	0.7526463	0.0014412	0.5922322	0.2547437	0.0323066	0.0122252	1.0181532	0.2471069	0.1727917	0.7905677	0.5113475	0.5856427	0.0010098	0.9500843	0.6278172	1.0103876	0.2017568	1.0459712	0.0682199	0.0589303	0.7809005	0.4850165	0.7276558	0.3488060	0.4114219	0.4021250	0.0567309	0.8192696	1.0087230	0.9233679	0.6795405	0.2928564	0.0738237	0.6424537	0.4819229	0.5365614	0.8360860	0.2823798	0.2443679	0.6258339	0.4491106	0.8917366	0.4354314	0.9973129	0.7139640	0.7399544	0.5728819	0.0097480	0.3668504
350	0.6417512	0.9012503	0.1619290	0.9094339	0.5269825	0.4045214	0.3144288	0.6874871	0.4505852	0.7144775	0.9266641	0.5173672	1.0729952	0.3401521	0.6830379	0.9714363	0.7150041	0.6776709	0.4851990	0.3101469	0.2058491	0.5213264	0.9307737	0.5779922	0.4006584	0.8666657	0.4768958	0.3964485	1.0159635	0.2091837	0.2136150	0.0868960	0.5327043	0.5046443	0.8333675	0.3423186	0.3306815	0.6281692	0.5953270	0.2500299	0.1861410	0.6398435	0.7125990	0.5385233	0.4459299	0.6233219	0.9394397	0.3207925	0.7896218	0.5608523	0.5350640	0.7993467	0.0019104	0.7118502	0.3096367	0.0254598	0.0010182	0.8885943	0.2528560	0.2053949	0.7896983	0.5859344	0.6218075	0.0006875	0.9567005	0.6022034	0.9370389	0.1774814	0.9611229	0.0815451	0.0914971	0.7093061	0.4892664	0.7073271	0.3524899	0.3290966	0.4381339	0.0461705	0.7362139	0.9276450	0.8806951	0.6728121	0.3146333	0.0587478	0.5735408	0.4407430	0.5145720	0.9005632	0.2683456	0.2399666	0.5581738	0.4304312	0.8835121	0.5101941	0.9598482	0.6705254	0.7359128	0.5963739	0.0138331	0.4206808
400	0.6414757	0.9624179	0.1669932	0.9328032	0.5570231	0.3759431	0.1936050	0.6242393	0.4503628	0.7593671	1.0929733	0.5090782	1.0257800	0.2974134	0.6806313	0.8742250	0.6040522	0.7107564	0.4984927	0.3130652	0.1587768	0.5019014	0.8849273	0.5710098	0.4113566	0.8481098	0.5136113	0.4367053	0.9933430	0.1812458	0.1827845	0.1010180	0.5419647	0.4323501	0.8824660	0.3729923	0.3484032	0.5522420	0.6908845	0.2103670	0.1668185	0.7218397	0.6679109	0.4644662	0.3700104	0.6713303	0.9434643	0.3829749	0.6690295	0.4957117	0.5993353	0.6445049	0.0093419	0.7206583	0.3179348	0.0286062	0.0212289	0.8674090	0.2950354	0.2284808	0.9533904	0.5364854	0.5845427	0.0007455	0.9954038	0.5385825	0.9636512	0.2344124	0.9399965	0.0962983	0.0735305	0.6277125	0.5443851	0.7486739	0.4348910	0.3669495	0.3989403	0.0455791	0.7130890	0.8440708	0.8809501	0.6846108	0.2775328	0.0560428	0.6064847	0.4491846	0.5201203	0.8354266	0.2949625	0.2243718	0.6144512	0.4243189	0.8804841	0.4421993	1.0116488	0.6712399	0.8065550	0.5266086	0.0186606	0.3907164
