Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G64A	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
450	0.3213029	0.6698133	0.2887220	0.1929230	0.3849068	0.0430074	0.1376081	0.1489957	0.3369883	0.2736738	0.0239871	0.3796734	0.0867470	0.7291663	0.1252157	0.4519592	0.3434459	0.2984158	0.1577893	0.0900214	0.2357951	0.3950554	0.6808818	0.6400559	0.0224408	0.0024204	0.0053791	0.3518970	0.2833510	0.1909929	0.2782355	0.6002102	0.4856874	0.6718188	0.2927808	0.5282291	0.1490984	0.0137047	0.5311268	0.3023354	0.6907345	0.4537545	0.3950902	0.3708835	0.0043622	0.4727119	0.7050240	0.3071969	0.5588778	0.5174122	0.0303206	0.5223911	0.7177187	0.4720683	0.2135163	0.2477754	0.1840635	0.5651067	0.1707448	0.4143114	0.4218598	0.5883612	0.3088396	0.1831710	0.0866139	0.2576061	0.3914082	0.6419709	0.4860052	0.3838788	0.4662721	0.4939705	0.2453095	0.4125016	0.6790103	0.3150370	0.2296199	0.8115477	0.3838006	0.2485821	0.0038896	0.6092805	0.7598329	0.6554768	0.0636821	0.6992955	0.2824793	0.1583734	0.6246974	0.3228642	0.2007271	0.2759411	0.0028314	0.7542317	0.1032627	0.0495305	0.0000032	0.5120154	0.1044359	0.4832008
500	0.3307433	0.6144750	0.1807695	0.1584301	0.3326280	0.1007198	0.1931864	0.1480890	0.4875738	0.4013463	0.0082980	0.3220863	0.0789543	0.6145785	0.1367673	0.3752074	0.3508722	0.2747666	0.1568613	0.1532681	0.1483583	0.2649819	0.5775207	0.5470952	0.0258473	0.0333616	0.0014069	0.3576600	0.4292041	0.2200186	0.3811908	0.7052759	0.3856156	0.4133967	0.3736789	0.5207404	0.0881364	0.0077994	0.4746273	0.3672826	0.6157398	0.4287191	0.5219590	0.2764148	0.0148534	0.5811388	0.7096556	0.4462019	0.5495394	0.4553320	0.0242653	0.4139475	0.7282171	0.5138858	0.1488537	0.3220857	0.0873328	0.5624169	0.1893281	0.5565489	0.2470632	0.6094434	0.3608341	0.1788158	0.0796237	0.3065910	0.3006789	0.5922928	0.4002846	0.3864916	0.4930670	0.7175408	0.2289287	0.3801437	0.7627001	0.4215175	0.1447379	0.6682996	0.3916483	0.1822106	0.0114839	0.3779148	0.6533833	0.7920269	0.0686338	0.6240262	0.4171064	0.1291839	0.7432795	0.3502193	0.1878663	0.2459450	0.0086809	0.5961083	0.0635188	0.0461764	0.0070056	0.5360954	0.0540150	0.4218617
550	0.2359693	0.6874672	0.1635415	0.0844319	0.3921426	0.1270171	0.3692989	0.0873874	0.4976109	0.3525597	0.0333018	0.4425400	0.0431933	0.6295503	0.1739671	0.4173584	0.2487060	0.3908306	0.2473304	0.2559491	0.0507478	0.1795517	0.5852811	0.6478913	0.0200756	0.0163999	0.0004199	0.4289474	0.4307877	0.3569531	0.4437443	0.5483127	0.2153237	0.5816276	0.3442745	0.1642930	0.2807193	0.0015175	0.5507015	0.4821773	0.4564646	0.5426177	0.3916436	0.4373795	0.0621386	0.5741390	0.7223812	0.4431142	0.3876098	0.5677031	0.0496709	0.4125114	0.7566803	0.5554463	0.2365248	0.3037094	0.0627725	0.4952167	0.2113045	0.5460306	0.2873664	0.6283054	0.2896912	0.1867876	0.0690157	0.3437230	0.3619732	0.5919814	0.4670422	0.3564309	0.4722825	0.6074376	0.2964472	0.3882017	0.6324454	0.5105408	0.1813008	0.6779301	0.3466883	0.1568613	0.0103376	0.3715625	0.5950359	0.7474010	0.2027599	0.5409564	0.4915397	0.1432402	0.8565637	0.3304704	0.1808701	0.3459799	0.0141018	0.6611326	0.1005781	0.0321765	0.0007562	0.4915679	0.0753507	0.3278930
600	0.2375819	0.6420823	0.2132707	0.1140655	0.3001390	0.1296506	0.4002276	0.0623233	0.5444830	0.2573495	0.0315680	0.5137139	0.0433135	0.6252062	0.1809192	0.3985873	0.2162646	0.5311083	0.3401640	0.5004213	0.0255175	0.2561756	0.3817863	0.5174624	0.0383130	0.0068970	0.0004696	0.4454011	0.3702933	0.4087058	0.5289637	0.6126976	0.2928445	0.6084639	0.2899628	0.0474748	0.5553349	0.0000999	0.6029486	0.4869654	0.1709463	0.4234738	0.3145787	0.5208041	0.0431620	0.5504458	0.7110203	0.5550413	0.4329618	0.7433355	0.0239783	0.5020269	0.7212282	0.4908196	0.1404329	0.1606799	0.0315383	0.4231341	0.2460722	0.5309319	0.2376362	0.6301968	0.3980033	0.2283893	0.1897639	0.3658869	0.3048605	0.6293388	0.5305988	0.4012073	0.3789394	0.6195113	0.2116470	0.2632388	0.6911734	0.5010673	0.2369507	0.5508600	0.3185268	0.1088960	0.0104846	0.3987565	0.6297770	0.7530999	0.3835250	0.6397140	0.4357632	0.2575483	0.7287575	0.2082640	0.1290826	0.3108466	0.0145250	0.6929484	0.0698613	0.0737708	0.0008060	0.4486243	0.0420094	0.2184914
650	0.2357292	0.6349024	0.3595503	0.0557069	0.3404319	0.1013262	0.5379947	0.1284052	0.4074775	0.2694842	0.0681007	0.5920545	0.0983428	0.7217184	0.1587351	0.5858316	0.1414024	0.7588067	0.4965808	0.6004861	0.0920968	0.1915224	0.2815141	0.3725408	0.0635744	0.0005303	0.0017553	0.4130930	0.3256969	0.5368742	0.4366450	0.3828171	0.1184658	0.5844821	0.4726689	0.0066047	0.6470718	0.0007680	0.6161795	0.7867301	0.1848447	0.3876271	0.3654288	0.6410675	0.0615932	0.5535391	0.7231577	0.7013083	0.4013238	0.6113217	0.0107318	0.4096273	0.6426279	0.5863001	0.0872627	0.1617192	0.0841364	0.4804329	0.1366503	0.3686609	0.1740149	0.5588124	0.4012290	0.2387343	0.0970950	0.3055439	0.2394444	0.4489406	0.4389153	0.3348230	0.3638059	0.6916943	0.2026278	0.2173013	0.6448831	0.5159998	0.2805529	0.6143909	0.5553357	0.1129602	0.0275822	0.2192579	0.6930301	0.7986953	0.5362632	0.5594911	0.5182774	0.2008951	0.7232070	0.1965942	0.2020111	0.3993668	0.0747766	0.7691608	0.2030200	0.1077626	0.0038831	0.3627793	0.0112953	0.2892727
700	0.1060120	0.5849265	0.3157262	0.0841200	0.3525175	0.0608293	0.4514844	0.0629199	0.3432570	0.2493735	0.1174483	0.6913356	0.1098878	0.6430948	0.2144836	0.6507905	0.2024626	0.6695623	0.6751598	0.5719803	0.0574038	0.2460361	0.1832758	0.2704288	0.0782848	0.0106856	0.0002192	0.4036808	0.2316679	0.6642749	0.5134459	0.5493764	0.1228891	0.6047603	0.6501314	0.0037976	0.6164134	0.0006563	0.5982706	0.6593833	0.1762091	0.4195771	0.3968727	0.6232857	0.0718090	0.6809977	0.5873135	0.7020588	0.3808769	0.7482958	0.0102643	0.4332391	0.7581715	0.5302573	0.0801391	0.1628923	0.1201535	0.4782567	0.1155040	0.2940926	0.2227197	0.5276917	0.3799437	0.1883707	0.1176421	0.3556902	0.2134044	0.4115569	0.4118020	0.3155318	0.4755736	0.4975004	0.1596649	0.2210729	0.6086807	0.5926080	0.2707936	0.6592294	0.4710335	0.0920264	0.0369518	0.1970861	0.7973811	0.6789525	0.5711659	0.6634209	0.6998958	0.3043382	0.6407447	0.1565448	0.2769943	0.3960442	0.1279036	0.6446678	0.2116600	0.1530536	0.0062283	0.3383782	0.0088221	0.3212095
750	0.1683527	0.6338922	0.2783467	0.0645949	0.3211432	0.0214506	0.3822185	0.0532927	0.4616309	0.1329028	0.1057151	0.6316653	0.1230259	0.3761164	0.2120220	0.4413298	0.1115436	0.7275266	0.6840395	0.6609773	0.0673790	0.3953064	0.0494287	0.1584594	0.0584269	0.0161771	0.0003297	0.3081560	0.1938228	0.5250345	0.4455565	0.3805180	0.0508019	0.6249359	0.6188646	0.0098490	0.5481808	0.0008146	0.7259287	0.6216090	0.2045988	0.4636426	0.3389359	0.6843830	0.0903635	0.6203249	0.5862059	0.7100377	0.3492219	0.6241479	0.0025258	0.3510468	0.6653553	0.5557453	0.0338248	0.1514271	0.0894894	0.4550695	0.1249110	0.1880573	0.2825761	0.5633122	0.2792597	0.2321415	0.1842712	0.4626444	0.1592413	0.2428388	0.3060794	0.4117369	0.3426212	0.6231799	0.1827594	0.1542609	0.5837280	0.5334534	0.3740602	0.6766347	0.5751696	0.1247968	0.0334901	0.1439961	0.6601443	0.7904440	0.5691488	0.5987626	0.6677474	0.3434337	0.6799863	0.1262810	0.3578899	0.2767418	0.3175549	0.6555755	0.2764998	0.2461068	0.0011371	0.2101061	0.0105242	0.2294423
800	0.1224629	0.6879658	0.3267594	0.0397875	0.3039046	0.0430947	0.4483383	0.0437143	0.4296316	0.1300083	0.1117818	0.6853506	0.2165142	0.3095267	0.4261254	0.4393690	0.1726492	0.7036018	0.6285803	0.6699509	0.1022209	0.4666969	0.0396702	0.2235586	0.0667213	0.0138258	0.0000178	0.3689688	0.2426840	0.5929246	0.3615080	0.2991156	0.1026401	0.5673682	0.6043036	0.0022751	0.7067257	0.0000203	0.6740518	0.4696246	0.3121460	0.5042703	0.3543962	0.4707747	0.0744061	0.5967102	0.5497723	0.5678980	0.4284084	0.5946107	0.0025878	0.3774735	0.6206121	0.5772187	0.0737960	0.1092196	0.0637060	0.4238689	0.1750519	0.1043052	0.3448130	0.5444388	0.2843854	0.1512744	0.1676054	0.4033334	0.1895221	0.1700308	0.3109340	0.3887492	0.4374960	0.5783244	0.1147604	0.2275182	0.6252312	0.5592577	0.3554573	0.6458921	0.5825133	0.0833205	0.0225636	0.1499901	0.6750197	0.6592514	0.5806431	0.7884083	0.5816790	0.4680461	0.7298631	0.1075129	0.4253536	0.4077060	0.3466792	0.7197395	0.2244077	0.2271044	0.0031376	0.3161719	0.0072885	0.2299626
850	0.1009431	0.6927955	0.2399087	0.0782487	0.2751425	0.0449292	0.3447367	0.0848526	0.4105682	0.0966821	0.1254729	0.7844572	0.3567378	0.2850012	0.3689987	0.4154889	0.1620499	0.6073952	0.5995164	0.7184946	0.1548930	0.5425973	0.0612473	0.1510851	0.0388193	0.0134475	0.0012774	0.4496709	0.2125263	0.4346824	0.2574381	0.2593586	0.1527025	0.7143284	0.6170553	0.0138050	0.6752287	0.0017149	0.8408878	0.6180058	0.2425990	0.5394252	0.2720305	0.4681683	0.0761912	0.5983945	0.6745493	0.6743948	0.4159395	0.7605075	0.0027989	0.3962107	0.6223250	0.5144615	0.0755973	0.1530465	0.0196191	0.3382571	0.1641927	0.1143769	0.4351059	0.4433397	0.2163730	0.1096838	0.1388159	0.4239833	0.2381821	0.0669889	0.2350670	0.3765195	0.5072019	0.5468732	0.1016071	0.2923984	0.5812883	0.4327802	0.5205311	0.7714373	0.6365372	0.1477330	0.0322596	0.0720323	0.6039675	0.6086876	0.7402078	0.5541952	0.6481556	0.3392984	0.6673953	0.2104982	0.5511733	0.4638993	0.3576559	0.5962647	0.2405772	0.1654469	0.0041025	0.2981839	0.0147936	0.2925247
900	0.0887015	0.6682139	0.3444110	0.0748063	0.3104993	0.0503778	0.2931556	0.1455588	0.3948900	0.0376565	0.2065039	0.6560699	0.5341648	0.3006602	0.3724304	0.3100003	0.1770899	0.7264520	0.5855645	0.5877484	0.2388747	0.5828298	0.0515681	0.2534038	0.0486214	0.0038359	0.0015093	0.2181236	0.2478425	0.3153721	0.2060852	0.2789961	0.1740390	0.6415325	0.6310393	0.0101473	0.7406912	0.0005305	0.7176541	0.6192696	0.3736127	0.4680810	0.2041842	0.4744574	0.0445676	0.5531933	0.7075887	0.6358529	0.3627603	0.6175648	0.0031855	0.3673790	0.5185703	0.4817664	0.1203436	0.1237988	0.0068564	0.3677307	0.0779410	0.1357296	0.3033525	0.3678839	0.2659684	0.2012929	0.2106502	0.3977837	0.1883249	0.0741080	0.3499784	0.3846212	0.4058966	0.5061500	0.0894223	0.3788082	0.3943910	0.4564691	0.5504191	0.5620806	0.5157037	0.1483801	0.0820894	0.0751812	0.5189512	0.6660818	0.7224630	0.5554829	0.7058696	0.2518856	0.5844285	0.3081479	0.6824880	0.3409779	0.4125222	0.5410006	0.2450423	0.1447450	0.0255230	0.3237474	0.0132645	0.2200442
