G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G64A	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0998769	0.5345899	0.6009313	0.5313879	0.2320421	0.2283569	0.2442123	0.3945158	0.4084487	0.0237067	0.0470363	0.7033693	0.5119589	0.2388979	0.2772104	0.2430549	0.4119253	0.5571893	0.1992993	0.0866771	0.4771957	0.7273103	0.0979148	0.1437555	0.0623580	0.0037691	0.0058592	0.3108384	0.2926615	0.1550215	0.1022339	0.7274575	0.4444950	0.7855515	0.7783807	0.0093522	0.5985549	0.0018564	0.4595421	0.0408783	0.0401315	0.6520302	0.4359957	0.6890382	0.0554527	0.4365157	0.5872611	0.6359926	0.3944622	0.5547685	0.0408943	0.6626426	0.4532145	0.5111617	0.1817532	0.0891232	0.0450046	0.3763990	0.0509738	0.1788899	0.3860918	0.4977004	0.1994856	0.3049361	0.2206004	0.4023079	0.1084614	0.0852234	0.5189007	0.5159573	0.5015217	0.2380805	0.0012188	0.5523707	0.4749372	0.3716202	0.4831428	0.7364165	0.5351726	0.5781466	0.0036066	0.2135211	0.5172530	0.5844430	0.0912852	0.6704952	0.5537191	0.1001458	0.5708916	0.3928548	0.3958939	0.4465602	0.5285493	0.7301370	0.2377810	0.1188534	0.0177049	0.5699476	0.0445576	0.3310615
0.1362135	0.6251182	0.3390067	0.3959205	0.2942206	0.3206147	0.2329108	0.2493236	0.3336274	0.0350563	0.1561782	0.3116406	0.2286237	0.3626104	0.3692810	0.2923835	0.3196644	0.5713275	0.2007656	0.1581200	0.2604010	0.6948184	0.0589235	0.1995319	0.0495000	0.0070938	0.0006291	0.3864651	0.3628047	0.1081842	0.1792667	0.5815434	0.4128626	0.6427900	0.6460984	0.0160854	0.7749532	0.0044250	0.4316211	0.0097071	0.0188550	0.6899686	0.5197768	0.5533934	0.1880748	0.4098528	0.6646849	0.7472311	0.3635260	0.5002755	0.0195255	0.5680877	0.4866978	0.5118557	0.1377879	0.0465919	0.0489756	0.4182199	0.1019576	0.0504800	0.4424743	0.4988575	0.1538729	0.3111449	0.2134140	0.3323474	0.1659835	0.1498896	0.5448965	0.5584758	0.5148305	0.2907460	0.0259361	0.5445262	0.4762654	0.4467716	0.3169862	0.5726476	0.5199428	0.3957779	0.0029153	0.1527526	0.5969263	0.4323246	0.1384616	0.5221320	0.5021650	0.0564810	0.6640494	0.3378166	0.2858618	0.4049345	0.5812237	0.6500280	0.2149879	0.0989257	0.0104038	0.4128129	0.0383544	0.3177533
0.0732584	0.6595891	0.5751701	0.5228570	0.2097868	0.1888078	0.2587441	0.4299106	0.3785941	0.0100178	0.0618794	0.7554748	0.2862594	0.2570213	0.3673306	0.2311303	0.4361738	0.5931402	0.2636203	0.1632453	0.3478165	0.6678487	0.0275552	0.2809837	0.0656349	0.0089244	0.0002018	0.2667373	0.2203949	0.1833051	0.0770006	0.6339250	0.5143041	0.5580867	0.7359585	0.0097787	0.6686093	0.0055292	0.6635004	0.0110244	0.0171101	0.5524455	0.4079205	0.6646400	0.0384521	0.4261494	0.7236728	0.6316586	0.4221920	0.6371882	0.0408204	0.5794738	0.4147795	0.6635284	0.1848242	0.0293367	0.0432694	0.3301454	0.1068175	0.0612524	0.4356208	0.5295767	0.2134054	0.3054097	0.2324184	0.3302363	0.1605404	0.1008900	0.6072242	0.5289262	0.4844945	0.2822224	0.0005006	0.5773650	0.4657550	0.3679242	0.4916132	0.5763577	0.4613868	0.4178802	0.0005227	0.1860249	0.6555888	0.5275134	0.1341159	0.5857332	0.4540167	0.0596936	0.5596752	0.3801847	0.4020325	0.3470462	0.3996904	0.7218102	0.2732936	0.0957699	0.0059179	0.4132325	0.0166697	0.3124856
0.0827188	0.4841508	0.5780483	0.4006964	0.2153839	0.2819510	0.1781606	0.3373368	0.3106532	0.0170800	0.1474798	0.7505127	0.6056250	0.1403104	0.4128178	0.3299903	0.4025881	0.5374946	0.2323031	0.1553323	0.3222206	0.7470953	0.0871953	0.3191805	0.0443261	0.0139472	0.0013289	0.3418635	0.2519623	0.2797809	0.1224741	0.6903053	0.4200781	0.5663644	0.4850816	0.0085732	0.8151781	0.0035497	0.6695541	0.0056008	0.0216043	0.6917685	0.4882509	0.5140087	0.0634526	0.5058671	0.7283242	0.6077067	0.4086979	0.4614320	0.0307034	0.7924586	0.4988912	0.6238621	0.1737748	0.0365122	0.0475733	0.2926875	0.0855912	0.3742291	0.3494657	0.4693425	0.1813522	0.2061939	0.2268629	0.4872626	0.1361657	0.0840291	0.6033919	0.6093953	0.6206710	0.4528359	0.0131259	0.5152397	0.4042184	0.3935105	0.4273242	0.6443822	0.4957891	0.6188651	0.0088359	0.0822525	0.7765680	0.5909340	0.1599235	0.6196626	0.5254798	0.0872334	0.5237865	0.3291192	0.3708102	0.5268296	0.4263293	0.6164214	0.2171995	0.1133053	0.0082168	0.3845550	0.0645645	0.2549659
0.1697047	0.7508191	0.5422242	0.5662029	0.2314544	0.2719088	0.2161553	0.3187470	0.3382406	0.0260939	0.1231854	0.7318843	0.6907916	0.2919329	0.2093403	0.3659660	0.3935114	0.6186414	0.3537675	0.1832535	0.4079257	0.6339637	0.0542900	0.2020787	0.0581815	0.0022912	0.0003753	0.4170165	0.3071270	0.1681055	0.1067880	0.5833774	0.3432135	0.7149843	0.7579499	0.0189982	0.6036073	0.0032984	0.6094631	0.0184698	0.0268150	0.5835572	0.6261200	0.6833308	0.0711784	0.5239273	0.6479401	0.8238363	0.4118702	0.5930086	0.0220869	0.6334254	0.5392647	0.7670676	0.1336239	0.0650181	0.1930386	0.3772589	0.0651185	0.3114514	0.3817300	0.4321900	0.1760052	0.3192081	0.1453708	0.4005706	0.1828816	0.0947632	0.5949366	0.4708158	0.6059957	0.3009179	0.0031042	0.6568902	0.5470461	0.4291288	0.5578089	0.7264242	0.4282614	0.4793310	0.0034638	0.1479015	0.6804599	0.5684127	0.2127082	0.6558998	0.4275606	0.1360722	0.6403381	0.3970311	0.3955714	0.4094674	0.3449852	0.6248553	0.1823569	0.0858096	0.0128248	0.3556988	0.0340192	0.2985279
0.1322875	0.5686664	0.5540220	0.4765937	0.1950364	0.2904232	0.3419381	0.3373839	0.3257608	0.0812229	0.0838493	0.6722779	0.3718614	0.4110728	0.2605227	0.0815376	0.3150397	0.5708668	0.1781307	0.1066967	0.4060691	0.6862080	0.0819385	0.3883424	0.0438577	0.0005400	0.0077197	0.3288998	0.3743878	0.2722749	0.1560068	0.4995764	0.4155133	0.7275505	0.7138652	0.0028936	0.7377180	0.0025759	0.6061864	0.0185833	0.0112108	0.6070540	0.4910201	0.5825518	0.0344561	0.4490259	0.7095742	0.7297953	0.5206423	0.4540168	0.0558126	0.4897471	0.5043383	0.5366172	0.1368270	0.0665758	0.0818819	0.4952154	0.0398741	0.1255945	0.4737241	0.5862243	0.1847023	0.4094919	0.3394437	0.3363797	0.1316211	0.1689288	0.5534028	0.4376763	0.5051095	0.4023381	0.0024456	0.7106976	0.4068905	0.4687858	0.4809790	0.6796274	0.5328908	0.5414234	0.0006015	0.2584088	0.6153055	0.5266492	0.0557420	0.6946841	0.4041639	0.1119634	0.5856098	0.3501243	0.3774557	0.5123639	0.3332631	0.6411743	0.1966244	0.1739941	0.0021153	0.6508197	0.0156886	0.4177576
0.1532826	0.5419390	0.4364014	0.3555758	0.3387288	0.2320752	0.2452401	0.2775127	0.3718924	0.0726942	0.0971489	0.6462906	0.2910825	0.4274543	0.3752112	0.3486676	0.2414697	0.5635410	0.2860239	0.1955255	0.2508276	0.6298266	0.1363572	0.2812256	0.0884574	0.0039613	0.0060559	0.2982943	0.2279873	0.1058948	0.1016643	0.5977812	0.3447499	0.6621875	0.6810848	0.0243385	0.7623188	0.0006889	0.5454031	0.0491307	0.0473044	0.6093812	0.5068940	0.6171664	0.0686161	0.4237389	0.7366212	0.6164869	0.3576158	0.4827691	0.0102996	0.5408074	0.5559607	0.6468949	0.1948231	0.0536992	0.0929333	0.3443282	0.0614898	0.2089179	0.3744533	0.6132810	0.2940887	0.3177244	0.1329125	0.3375548	0.1423843	0.1261798	0.4716630	0.4575930	0.5593799	0.1748760	0.0037720	0.4296193	0.4512272	0.4049118	0.4359484	0.5895380	0.4851094	0.4880752	0.0279097	0.1075009	0.7256250	0.5834089	0.2493044	0.6100445	0.5313869	0.0905402	0.5115112	0.2914112	0.3969874	0.4885245	0.4075956	0.6487663	0.1843463	0.1064207	0.0075541	0.4385226	0.0220928	0.3096676
0.0927892	0.5220946	0.4787299	0.5229907	0.2554845	0.4459599	0.2492769	0.3643674	0.3269486	0.0227068	0.0666859	0.7170939	0.5011357	0.2253190	0.3008525	0.3098227	0.3742517	0.2997601	0.2099653	0.1123536	0.3179070	0.6063308	0.0090424	0.1831438	0.0346370	0.0192241	0.0037089	0.2610200	0.2607463	0.1998263	0.1375696	0.5232524	0.3380564	0.6599966	0.6788564	0.0282435	0.7192209	0.0017411	0.6220705	0.0046954	0.0294476	0.8067728	0.4238968	0.5882472	0.0369091	0.3922615	0.6244120	0.7348267	0.3294297	0.6016570	0.0137381	0.7170402	0.6280468	0.6639538	0.1815437	0.0662847	0.0568658	0.2773635	0.1296242	0.5123535	0.2868570	0.3557140	0.2396393	0.4758562	0.1625356	0.4256688	0.1420758	0.1363871	0.6708431	0.4831918	0.5373769	0.3404177	0.0070666	0.5508561	0.3094402	0.4668871	0.4627055	0.7241240	0.4714836	0.5262852	0.0065757	0.0907539	0.6718468	0.4020232	0.2072726	0.7593844	0.4599708	0.1043326	0.6915484	0.3406992	0.3094569	0.5360326	0.4463550	0.6455886	0.3191423	0.1035340	0.0046671	0.4915569	0.0294952	0.2522099
0.1196777	0.5306026	0.4500555	0.3845876	0.1913701	0.1855848	0.1958647	0.3453167	0.3052490	0.0553960	0.0958488	0.6696962	0.3349547	0.3466550	0.3261456	0.2662509	0.3882302	0.4453454	0.1003725	0.1388199	0.3938617	0.7201140	0.1360008	0.1700656	0.0695386	0.0114027	0.0033382	0.2332721	0.2937313	0.1611808	0.1254457	0.5123451	0.3669274	0.6519531	0.7843251	0.0089926	0.6217307	0.0020817	0.6380404	0.0221673	0.0215684	0.7259109	0.4357623	0.8169397	0.0416220	0.4793233	0.6064159	0.7341655	0.4697376	0.5262509	0.0223866	0.5871479	0.6161033	0.5334721	0.1598209	0.0739596	0.1695354	0.3441886	0.1167360	0.1103192	0.5490621	0.6280148	0.1736273	0.3539602	0.1495562	0.3153762	0.1572979	0.1247686	0.6568977	0.4663628	0.6593895	0.3550416	0.0064720	0.6162665	0.6854675	0.4231783	0.4743055	0.7247701	0.4700694	0.5252698	0.0024319	0.3136022	0.5403322	0.5470366	0.0382967	0.6773403	0.4270887	0.1003365	0.6439124	0.2632436	0.3671216	0.4517384	0.4061665	0.6226397	0.2428309	0.3529497	0.0032307	0.4595129	0.0090929	0.3960020
0.1572398	0.6642379	0.3473165	0.4288228	0.3818745	0.3876868	0.2435094	0.2633371	0.3018350	0.0204222	0.1040224	0.7931483	0.6198564	0.2519030	0.4057814	0.4437057	0.2587624	0.5193921	0.1700780	0.1109993	0.2958311	0.4990812	0.0351613	0.1953839	0.0825035	0.0053739	0.0015822	0.4524373	0.2162468	0.2155014	0.1213573	0.6960742	0.2878802	0.7576758	0.6672250	0.0092722	0.7598662	0.0134756	0.6832606	0.0081572	0.0079016	0.7061528	0.6233305	0.6124157	0.0413181	0.4151098	0.6613828	0.6797321	0.4722631	0.4726194	0.0199440	0.5901146	0.3931189	0.5639845	0.2365304	0.0415597	0.0546328	0.2253392	0.1149679	0.2277706	0.3451496	0.5907062	0.1985766	0.2373577	0.1306444	0.3222790	0.1404746	0.0692471	0.6539271	0.5085519	0.5523189	0.2692524	0.0048329	0.5387491	0.5892952	0.4714906	0.3476101	0.7134577	0.4072616	0.4858845	0.0123509	0.1848549	0.6571462	0.4459864	0.0463923	0.7125664	0.4324195	0.1282828	0.6918732	0.3233796	0.3905945	0.5752726	0.4679266	0.8340230	0.3288416	0.2704779	0.0224228	0.3372470	0.0292201	0.2700573
