"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G67A	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.9982997	0.1272682	0.4186439	0.8112989	0.0735132	0.8286182	0.5275258	0.6180513	0.1534905	0.9082949	0.7060207	0.0224440	0.2250672	0.0905667	0.5327390	0.3164914	0.6005318	0.5423599	0.6252161	0.7039958	0.8378423	0.4640753	1.0000000	0.9997456	0.0074844	0.6889324	0.5105869	0.5012106	0.2492469	0.6325287	0.9999430	0.0138657	0.9982122	0.2201319	0.8738232	0.1732073	0.5545398	0.5706201	0.9920358	0.3591586	0.2881715	0.8039536	0.3181750	0.9470212	0.0330091	0.4401874	0.4381478	0.0633304	0.2329590	0.5537382	0.9858537	0.6276599	0.3074106	0.2314184	0.9997940	0.5133760	0.1352991	0.2778204	0.4388081	0.3456222	0.0061802	0.0565245	0.1570098	0.3909505	0.4002671	0.9730996	0.3953525	0.2716267	0.4368245	0.3107543	0.7180968	0.0294262	0.9474213	0.1534842	0.5176233	0.8601100	0.4466397	0.9999319	0.3537381	0.1280267	0.0897809	0.1717400	0.9785227	0.0920863	1.0000000	0.6769177	0.9143901	0.2186873	0.3043882	0.9999960	0.9762107	0.9919486	0.4733339	0.9562079	0.4577462	0.0298488	0.9635509	0.8719160	0.8430164	0.4133728
50	0.5138283	0.1271920	0.4194042	0.8234006	0.4732843	0.8516147	0.4095385	0.3725726	0.1535604	0.9046236	0.7491982	0.0056219	0.2250672	0.0280386	0.5081877	0.3168044	0.4257088	0.5439045	0.6566940	0.6888892	0.6316874	0.4652965	1.0000000	0.9493404	0.6158645	0.4474977	0.5103781	0.5191273	0.5450091	0.6314189	0.9999357	0.0282354	0.9982232	0.2171992	0.3727130	0.1737239	0.5416634	0.7582681	0.9922491	0.3982597	0.0952447	0.8046581	0.3183690	0.9383936	0.0333851	0.4401490	0.4361184	0.0633284	0.2330569	0.5245768	0.6680085	0.9651349	0.3070571	0.2436402	0.9998420	0.5241709	0.1457423	0.3074966	0.4273555	0.3647793	0.0053877	0.0475332	0.1593843	0.4251828	0.4002691	0.8219974	0.3952010	0.2773880	0.4684419	0.3078284	0.7174766	0.0317982	0.9506100	0.1587335	0.3197868	0.8730385	0.4430673	0.9999483	0.3533790	0.1273744	0.0816305	0.1606312	0.9797234	0.1045718	1.0000000	0.6756108	0.7149715	0.2142002	0.2845711	0.9999966	0.9933102	0.9887213	0.4754247	0.9876319	0.4577462	0.2770071	0.9609328	0.9429696	0.6556920	0.4133727
100	0.1580205	0.1248884	0.4328473	0.8952564	0.5947374	0.8660219	0.3718812	0.2740492	0.1550865	0.8957992	0.8515903	0.0014091	0.2250672	0.0086805	0.4469550	0.3207865	0.3623500	0.5587126	0.7162697	0.6480445	0.5920283	0.4751969	1.0000000	0.7508894	0.8334527	0.2326584	0.5072355	0.5729458	0.6503138	0.6198047	0.9996068	0.1043533	0.9983284	0.2090638	0.2515274	0.1790148	0.5041129	0.8188401	0.9877290	0.5692264	0.0526782	0.8130530	0.3209026	0.9111356	0.0361108	0.4376181	0.4057255	0.0632912	0.2309808	0.4548274	0.6019958	0.9700733	0.3055754	0.2553803	0.9999229	0.5451850	0.1638001	0.3872297	0.4051578	0.4152929	0.0065766	0.0256611	0.1825686	0.2884412	0.4002849	0.7598536	0.3941232	0.3021992	0.5533704	0.2946266	0.7211735	0.0397397	0.9627251	0.1898920	0.2654604	0.8712307	0.3972034	0.9999199	0.3519167	0.1287012	0.0909919	0.1350931	0.9821749	0.1767245	1.0000000	0.6721533	0.6588448	0.2063332	0.2268847	0.9999967	0.9981054	0.9679044	0.5042383	0.9904939	0.4577464	0.3853487	0.9650303	0.9629973	0.5963966	0.4133688
150	0.0453893	0.1189225	0.4688557	0.9477700	0.6318839	0.8852681	0.3580043	0.2381356	0.1606374	0.8875179	0.8993694	0.0003540	0.2250672	0.0026874	0.4011740	0.3308931	0.3462293	0.5862112	0.7574564	0.6146014	0.5903116	0.4910928	1.0000000	0.5898830	0.9112287	0.1161212	0.4989251	0.6259981	0.6940873	0.5959145	0.9962056	0.1993890	0.9985429	0.2008452	0.2246765	0.1962445	0.4638606	0.8399122	0.9649876	0.7103104	0.0414474	0.8319001	0.3273066	0.8868324	0.0393934	0.4228075	0.3490138	0.0626408	0.2238975	0.4016568	0.5609551	0.9686083	0.3023830	0.2595983	0.9999651	0.5033899	0.1715049	0.4586134	0.3947977	0.4607158	0.0079099	0.0139147	0.1924823	0.2543778	0.4003108	0.7335233	0.3893111	0.3432185	0.6232486	0.2746246	0.7233306	0.0382147	0.9746058	0.2445504	0.2690537	0.8217538	0.3233551	0.9998645	0.5758878	0.1396979	0.1074759	0.1152245	0.9841032	0.2734945	1.0000000	0.6641068	0.6463310	0.2001108	0.1706477	0.9999965	0.9994483	0.9203704	0.5523446	0.9907575	0.4577764	0.4434536	0.9730812	0.9682958	0.5597880	0.4133443
200	0.0135308	0.1131964	0.5029375	0.9707361	0.6438443	0.8980709	0.3494960	0.2372599	0.1700899	0.8804123	0.9012245	0.0000898	0.2250672	0.0008320	0.3796025	0.3439117	0.3490126	0.6139266	0.7814626	0.5974835	0.5911769	0.5053194	1.0000000	0.5079794	0.9390043	0.0797669	0.4893389	0.6606423	0.7177271	0.5711588	0.9854776	0.2635259	0.9987778	0.1941250	0.2239703	0.2229679	0.4404003	0.8494457	0.9297051	0.7811388	0.0370056	0.8526147	0.3351186	0.8744693	0.0408811	0.3943122	0.3069885	0.0608565	0.2154382	0.3736288	0.5208209	0.9675130	0.2987021	0.2621017	0.9999824	0.3176326	0.1759941	0.5068612	0.3953638	0.4813211	0.0089433	0.0102500	0.1894398	0.2590641	0.4003600	0.7202186	0.3780723	0.3756258	0.6632231	0.2584114	0.7239848	0.0337506	0.9820353	0.2764609	0.2936955	0.7678699	0.2712744	0.9997828	0.7847866	0.1619969	0.1259427	0.1037263	0.9854395	0.3244906	1.0000000	0.6516105	0.6426393	0.1954705	0.1318962	0.9999961	0.9998227	0.8689361	0.5847700	0.9907817	0.4582064	0.4745437	0.9780848	0.9690227	0.5297018	0.4132842
250	0.0045885	0.1095173	0.5211771	0.9798291	0.6484815	0.9027791	0.3424447	0.2542352	0.1808606	0.8744573	0.8814417	0.0000237	0.2250672	0.0002576	0.3713621	0.3555212	0.3568397	0.6352975	0.7950880	0.5903980	0.5909572	0.5153108	1.0000000	0.4720689	0.9489171	0.0701073	0.4818563	0.6789860	0.7324680	0.5535469	0.9696280	0.2988411	0.9989761	0.1889186	0.2302592	0.2478523	0.4335262	0.8553399	0.9030030	0.8158980	0.0344752	0.8685046	0.3414683	0.8697615	0.0411143	0.3630131	0.2820129	0.0583142	0.2080505	0.3620886	0.4921089	0.9662937	0.2957860	0.2638620	0.9999890	0.2114386	0.1750662	0.5382347	0.4001130	0.4877574	0.0097191	0.0096448	0.1847108	0.2691156	0.4004113	0.7106730	0.3615615	0.3825704	0.6842692	0.2526266	0.7240008	0.0293346	0.9860226	0.2641622	0.3218896	0.7290772	0.2501022	0.9996850	0.8328735	0.1889832	0.1431929	0.0971278	0.9863420	0.3243231	1.0000000	0.6386962	0.6381415	0.1927484	0.1078818	0.9999959	0.9999259	0.8358013	0.5933056	0.9907836	0.4597313	0.4911142	0.9800380	0.9682224	0.5091125	0.4131959
300	0.0020659	0.1075515	0.5290833	0.9833724	0.6508341	0.9017113	0.3365836	0.2741810	0.1905348	0.8698851	0.8596518	0.0000071	0.2250672	0.0000797	0.3683510	0.3637932	0.3639668	0.6497274	0.8028057	0.5876162	0.5905718	0.5216028	1.0000000	0.4572278	0.9524554	0.0681380	0.4769850	0.6872571	0.7415886	0.5437780	0.9543106	0.3178405	0.9991251	0.1851962	0.2362259	0.2634222	0.4365200	0.8595526	0.8893116	0.8336523	0.0328118	0.8784496	0.3454889	0.8682182	0.0408415	0.3367306	0.2661616	0.0556799	0.2026042	0.3582052	0.4752515	0.9650613	0.2940329	0.2649466	0.9999913	0.1685023	0.1689184	0.5596417	0.4050552	0.4890025	0.0102347	0.0099624	0.1818551	0.2761695	0.4004519	0.7024407	0.3437833	0.3719514	0.6959947	0.2555833	0.7220883	0.0260028	0.9881120	0.2312782	0.3461621	0.7037280	0.2501130	0.9995953	0.8469203	0.2119571	0.1557571	0.0928476	0.9869059	0.2957434	1.0000000	0.6282872	0.6323123	0.1917671	0.0929110	0.9999958	0.9999537	0.8211319	0.5845613	0.9907834	0.4621463	0.5004915	0.9803488	0.9670443	0.4973080	0.4131027
350	0.0013439	0.1065990	0.5323805	0.9847786	0.6521811	0.8979380	0.3319630	0.2892536	0.1980190	0.8666988	0.8440611	0.0000029	0.2250672	0.0000247	0.3671840	0.3689103	0.3689422	0.6588009	0.8072127	0.5864856	0.5904160	0.5253703	1.0000000	0.4512838	0.9537212	0.0681014	0.4740621	0.6904667	0.7469619	0.5393528	0.9425210	0.3283432	0.9992291	0.1828198	0.2399881	0.2691769	0.4429763	0.8625481	0.8838971	0.8430489	0.0316964	0.8838588	0.3476583	0.8677651	0.0404433	0.3169627	0.2548450	0.0534260	0.1991246	0.3571455	0.4670367	0.9640017	0.2932874	0.2655262	0.9999919	0.1524324	0.1614609	0.5747977	0.4083305	0.4886865	0.0104983	0.0104568	0.1809794	0.2801385	0.4004796	0.6954549	0.3282024	0.3579067	0.7031369	0.2620401	0.7072782	0.0239215	0.9892796	0.2008610	0.3636618	0.6880765	0.2594436	0.9995298	0.8537225	0.2272218	0.1633351	0.0897527	0.9872340	0.2604593	1.0000000	0.6210679	0.6265209	0.1919767	0.0831024	0.9999958	0.9999609	0.8173695	0.5681590	0.9907831	0.4645942	0.5062952	0.9800467	0.9659869	0.4912393	0.4130241
400	0.0011313	0.1061625	0.5338013	0.9853592	0.6529142	0.8939047	0.3286263	0.2983244	0.2032742	0.8646427	0.8349350	0.0000019	0.2250672	0.0000076	0.3667225	0.3718030	0.3719962	0.6642881	0.8097531	0.5860227	0.5904416	0.5275778	1.0000000	0.4489533	0.9541775	0.0683694	0.4723550	0.6916506	0.7499913	0.5377505	0.9344932	0.3342354	0.9992972	0.1814870	0.2418623	0.2683748	0.4490146	0.8645741	0.8824701	0.8481549	0.0309664	0.8864687	0.3487082	0.8676795	0.0400654	0.3024627	0.2463050	0.0517443	0.1971713	0.3569157	0.4637743	0.9631979	0.2931895	0.2658042	0.9999920	0.1467401	0.1554200	0.5855181	0.4096383	0.4880901	0.0105700	0.0108868	0.1813184	0.2822562	0.4004967	0.6898661	0.3162071	0.3471283	0.7077025	0.2682899	0.6106319	0.0228010	0.9899966	0.1800181	0.3747201	0.6788702	0.2698606	0.9994890	0.8583402	0.2358214	0.1675094	0.0874312	0.9874248	0.2307291	1.0000000	0.6164950	0.6218083	0.1927544	0.0763669	0.9999959	0.9999626	0.8181881	0.5515994	0.9907829	0.4665399	0.5101122	0.9796523	0.9652106	0.4883619	0.4129677
