"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G67A	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.5914595	0.1056772	0.2252294	0.5482622	0.0309310	0.4832700	0.2651193	0.4279628	0.0869226	0.6073312	0.4507677	0.0292796	0.1387974	0.0668295	0.4012035	0.1803260	0.4784160	0.3717318	0.4502865	0.3946887	0.5594404	0.3028369	0.5546555	0.5479275	0.0036156	0.4220951	0.2357768	0.3478596	0.1642605	0.3692957	0.6638989	0.0275616	0.6128118	0.1345600	0.5321724	0.0995169	0.3389829	0.3651809	0.6780871	0.2281026	0.2176218	0.5041895	0.2105161	0.5623025	0.0201407	0.2438710	0.2707584	0.0198117	0.1230153	0.3379893	0.6706648	0.4207852	0.2737492	0.1474234	0.7360413	0.3464868	0.0658754	0.2117797	0.2834404	0.2846197	0.0067178	0.0286056	0.1034606	0.2633445	0.4003412	0.6238238	0.2802927	0.2193402	0.2739721	0.2976181	0.5771487	0.0278614	0.4701779	0.0954167	0.2860203	0.6750210	0.2445077	0.6911214	0.2359967	0.0610862	0.0589915	0.1346873	0.6131657	0.0437457	0.6791854	0.4976158	0.6393029	0.1419636	0.1826491	0.6119239	0.5741364	0.6369262	0.3160582	0.6005086	0.2560524	0.0275658	0.5923857	0.5732313	0.5057087	0.2664891
50	0.5578496	0.0706848	0.2518507	0.5018296	0.1487296	0.5970399	0.2751326	0.3012819	0.1462275	0.5275969	0.4105484	0.0122847	0.0948745	0.0298707	0.2917739	0.2607868	0.2766926	0.3886059	0.3557610	0.3651820	0.5008916	0.3942311	0.6472243	0.7023988	0.1934089	0.3326332	0.2406012	0.4006048	0.2287176	0.3804997	0.6606547	0.0128833	0.5964730	0.1238967	0.3933511	0.1161858	0.3228268	0.4077599	0.6204907	0.2473431	0.1697212	0.5424666	0.2090809	0.5542850	0.0110830	0.2351921	0.2798315	0.0522930	0.1289977	0.3504655	0.4561104	0.5112525	0.1668839	0.1201545	0.6952527	0.3268749	0.1179430	0.2077479	0.2522686	0.1340732	0.0018164	0.0345443	0.1130779	0.2929436	0.2573069	0.5323301	0.1977345	0.1955220	0.3023949	0.1846769	0.5013933	0.0264948	0.6661424	0.1381138	0.2184471	0.4830895	0.2818216	0.6281998	0.2910620	0.0620022	0.0521813	0.1365707	0.6286698	0.0227469	0.6694300	0.3701118	0.4940221	0.1184036	0.2470015	0.6832020	0.6973394	0.6670257	0.2204201	0.6002877	0.3646877	0.0806189	0.6576522	0.5674746	0.4070094	0.3824097
100	0.4058193	0.0663467	0.1958745	0.5088941	0.2938600	0.5345904	0.1726210	0.1862774	0.2131192	0.5518044	0.4387576	0.0011538	0.1270273	0.0436438	0.2843222	0.1538138	0.2696145	0.4231014	0.3838072	0.3806732	0.4075293	0.3706272	0.6793450	0.5491196	0.3426056	0.2403000	0.2879272	0.3062493	0.3522704	0.3853991	0.5248813	0.0346492	0.6371860	0.1655716	0.2425252	0.2122360	0.3326248	0.5060413	0.5182986	0.2537947	0.0711392	0.5786473	0.2429253	0.5402159	0.0276280	0.2117470	0.2104224	0.0309855	0.1272263	0.3525574	0.4326583	0.5803002	0.1697460	0.1217138	0.7284460	0.3331472	0.1606423	0.2274824	0.2169534	0.2043225	0.0038872	0.0209764	0.1267408	0.2530568	0.2885020	0.5628075	0.2236661	0.2084088	0.3292251	0.1620025	0.4833271	0.0337598	0.6553476	0.1567123	0.1916210	0.5823518	0.2977908	0.6796730	0.3213767	0.1080717	0.0351359	0.1062507	0.6695706	0.0494090	0.6851725	0.4244537	0.5420632	0.1024376	0.1722268	0.4756447	0.7744854	0.6521288	0.2682025	0.5174269	0.2752664	0.1778510	0.6077709	0.5359559	0.4151795	0.4037536
150	0.1603445	0.0995970	0.2683805	0.4892287	0.3603348	0.5814334	0.2905785	0.1729674	0.1379897	0.4458964	0.4828853	0.0005605	0.1746278	0.0036315	0.2799091	0.1888357	0.2206376	0.4336988	0.5019301	0.4435900	0.4084143	0.3031858	0.6552382	0.5265078	0.5546604	0.1613994	0.2725994	0.3757593	0.3850013	0.3432204	0.6496655	0.0813603	0.8117922	0.1466772	0.2388286	0.1849903	0.2885316	0.5494909	0.6185512	0.3010912	0.0886644	0.6158838	0.2338574	0.5807907	0.0403502	0.2925290	0.2579563	0.0301120	0.1442423	0.3734051	0.4257559	0.6101435	0.2109334	0.2696140	0.7353851	0.3187778	0.1048695	0.2437617	0.2680497	0.2305023	0.0038268	0.0087310	0.1452105	0.1424865	0.3103587	0.4651295	0.2981056	0.1503186	0.3399997	0.1710785	0.4122246	0.0216745	0.4702387	0.1876655	0.1797773	0.5203781	0.3278346	0.6087570	0.2797145	0.0825927	0.0564402	0.1194870	0.7356725	0.0798119	0.7943527	0.3601076	0.4267926	0.2020229	0.1398382	0.5451329	0.6467124	0.5553877	0.2189810	0.6088528	0.2354332	0.3174100	0.5089683	0.6097477	0.3097112	0.4057083
200	0.0568122	0.0443572	0.3364673	0.5986228	0.4716914	0.5537589	0.1977011	0.1150979	0.1359551	0.5211016	0.6806070	0.0011158	0.1797485	0.0066035	0.3735551	0.2741320	0.2632986	0.4646382	0.5344486	0.3393860	0.4328765	0.3769411	0.6206692	0.3230388	0.5912710	0.0579300	0.2924420	0.4975509	0.4629679	0.3577787	0.6247061	0.0914532	0.5725883	0.2369588	0.1630548	0.1447755	0.3215966	0.6036967	0.6197947	0.4267383	0.1312727	0.6259286	0.2410083	0.6148727	0.0182542	0.2635777	0.2213419	0.0242408	0.1440768	0.3252210	0.4504275	0.6351658	0.2458356	0.1519046	0.6290846	0.2657975	0.1336932	0.2934842	0.1720539	0.3604529	0.0072274	0.0057693	0.1365409	0.1328783	0.3257326	0.4430795	0.2394476	0.2229194	0.3783561	0.1040002	0.4915683	0.0122968	0.6362179	0.2188417	0.2245184	0.4868043	0.2732084	0.6755807	0.4201001	0.1266542	0.0738882	0.0644001	0.6297162	0.0613060	0.6507926	0.3954035	0.4718241	0.0794320	0.0513593	0.6336272	0.6282611	0.5910854	0.3089492	0.5490291	0.2537411	0.2341470	0.6164028	0.5041309	0.3485991	0.2542902
250	0.0226491	0.0446662	0.2029392	0.6789577	0.4788357	0.4526522	0.2286407	0.1335215	0.1722701	0.4258673	0.5261449	0.0072498	0.1746693	0.0014819	0.3228886	0.3100798	0.2755162	0.4853006	0.5498137	0.3737425	0.4171091	0.4824374	0.6141780	0.2705152	0.6456793	0.0848504	0.3487984	0.4770095	0.5225955	0.3068617	0.5901224	0.1082551	0.6537981	0.2214225	0.1613374	0.1604785	0.3414735	0.6491506	0.5082911	0.5783161	0.0456078	0.5508380	0.1955651	0.6207658	0.0126351	0.3509174	0.1710086	0.0281517	0.1781403	0.2644523	0.3802100	0.5819029	0.2649061	0.1739595	0.6383644	0.2549822	0.0943089	0.4209769	0.2564031	0.3271083	0.0056481	0.0029960	0.1169840	0.1552899	0.2685024	0.4379589	0.2201689	0.2576416	0.3538267	0.1470808	0.3779107	0.0238255	0.6972690	0.2004179	0.1882315	0.4917713	0.2133087	0.6178339	0.4730132	0.1741321	0.0498333	0.0650245	0.7175472	0.1554724	0.5570372	0.4836092	0.4288357	0.1852092	0.0692030	0.6210644	0.6492161	0.5813905	0.3605467	0.6946595	0.2363630	0.2555058	0.5891188	0.5948677	0.3729361	0.2124689
300	0.0110318	0.0855643	0.2674935	0.6793140	0.5032387	0.5455986	0.1656202	0.2459431	0.1557066	0.5260367	0.4655935	0.0007824	0.1635639	0.0024373	0.3050040	0.2737173	0.2056617	0.5351344	0.5133609	0.3736209	0.3730161	0.4022528	0.6392168	0.2890958	0.6490000	0.0677397	0.2646735	0.3935166	0.4462307	0.2910328	0.5786696	0.1290851	0.6442271	0.1539646	0.1234550	0.1482647	0.3589545	0.6398331	0.5095922	0.5666961	0.0261148	0.5934484	0.2427712	0.6727892	0.0430780	0.2780811	0.1306118	0.0234502	0.1180577	0.3193779	0.3471762	0.6262364	0.2669597	0.2477363	0.6495156	0.2297617	0.0944365	0.4050056	0.3360842	0.2860077	0.0021828	0.0010513	0.1898815	0.1691963	0.2809794	0.4489547	0.2406463	0.2136126	0.5704728	0.1785240	0.3422646	0.0346790	0.6325486	0.1965527	0.2068298	0.4926340	0.2489843	0.5578267	0.5995425	0.1673281	0.0629370	0.0565685	0.6382578	0.1143600	0.5781312	0.4412062	0.4049164	0.1377251	0.0814374	0.6370838	0.6375613	0.6572105	0.3333999	0.5899928	0.2613747	0.2793397	0.6685700	0.5845861	0.3369668	0.3188266
350	0.0061111	0.0827113	0.3260616	0.5681183	0.4348964	0.5960543	0.2542534	0.2530200	0.1242503	0.4637848	0.5776469	0.0003590	0.1527382	0.0010622	0.2400238	0.2903383	0.3166692	0.4444035	0.4896178	0.3833100	0.4180727	0.3628833	0.6680398	0.3115387	0.6119525	0.0522310	0.3475771	0.4380268	0.3682856	0.3260479	0.7002421	0.1997353	0.5973950	0.1389532	0.1451792	0.1669061	0.3107795	0.5495356	0.4956821	0.5473725	0.0142880	0.6859134	0.1812897	0.5260755	0.0156314	0.1922882	0.1679753	0.0153429	0.0990318	0.2859792	0.3629504	0.7509211	0.2016124	0.1647517	0.5491595	0.1429821	0.1248214	0.4200336	0.2317543	0.2867874	0.0043294	0.0086285	0.1453910	0.1687910	0.2775663	0.4796398	0.2808915	0.2842006	0.4715022	0.1545592	0.3377999	0.0290636	0.7466420	0.1324907	0.2923392	0.5344006	0.2208353	0.5531408	0.5611859	0.1455150	0.0595005	0.0478758	0.6851689	0.1513243	0.7100884	0.4489304	0.3902224	0.1010703	0.0298468	0.5342238	0.6390071	0.5307423	0.4143021	0.6203010	0.2975942	0.2895487	0.5778138	0.5995464	0.2601463	0.2678201
400	0.0012719	0.0601631	0.3404753	0.6435322	0.4870798	0.5455766	0.2301577	0.2411187	0.1642517	0.6061183	0.5568192	0.0026195	0.1330349	0.0005902	0.2533027	0.2748640	0.2606548	0.4214814	0.5071282	0.3585436	0.4095572	0.3802791	0.5628324	0.3055418	0.7033996	0.0841249	0.2902187	0.4840098	0.4982001	0.2950608	0.6701626	0.1641506	0.6051284	0.1642412	0.1540833	0.1136845	0.3122856	0.5840829	0.6562805	0.5815284	0.0212359	0.5336050	0.2179527	0.7341348	0.0293305	0.1710750	0.1133118	0.0293235	0.1520476	0.2394121	0.3985441	0.7230840	0.2348134	0.1902630	0.5981941	0.1802627	0.1932942	0.2784196	0.3808958	0.3740978	0.0042078	0.0183500	0.0947130	0.1787683	0.2530226	0.4354480	0.2653141	0.1892859	0.4070439	0.1341790	0.4386286	0.0269711	0.5633786	0.1145843	0.2211324	0.4272104	0.2249338	0.5899088	0.5424262	0.1561825	0.0662720	0.0606784	0.7962183	0.0925290	0.5923723	0.3823593	0.4472160	0.1135930	0.0615162	0.7050956	0.6257953	0.5984668	0.3516618	0.6012487	0.3681767	0.2746955	0.5459853	0.6280177	0.3229002	0.2226661
