Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G64A	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.1640601	0.8138564	0.7248652	0.7017500	0.3243597	0.4687499	0.3291570	0.4657425	0.4501519	0.0396565	0.1507047	0.9989634	0.7894300	0.3679655	0.5116735	0.4076541	0.5800892	0.7409522	0.2901552	0.1722627	0.4953834	0.9386497	0.0829337	0.3052289	0.0770282	0.0092145	0.0005927	0.4800317	0.3501265	0.2687887	0.1165280	0.8902598	0.5875480	0.9603103	0.9986560	0.0126986	1.0000000	0.0002095	0.8508331	0.0177939	0.0328664	0.9416802	0.6632327	0.8939408	0.0745791	0.6796298	0.9999875	0.9999999	0.6024572	0.7855204	0.0428311	0.8847929	0.7165605	0.8957495	0.2551169	0.0652619	0.0649009	0.4925569	0.1163913	0.4499491	0.4958659	0.6830129	0.2760853	0.4677298	0.2803823	0.5639016	0.1785798	0.1236282	0.8072875	0.7132047	0.8267778	0.4100082	0.0015789	0.8454117	0.6104328	0.6741005	0.7096657	0.9987333	0.7204329	0.8572863	0.0024048	0.1952831	0.9322522	0.6969259	0.1862098	0.9362678	0.6692813	0.1020655	0.9184149	0.5705036	0.4759262	0.6723747	0.5989822	0.9999977	0.3847079	0.1622192	0.0085858	0.6298152	0.0410345	0.4686589
50	0.2374469	0.8135665	0.7034172	0.7011903	0.3830411	0.4827258	0.2327614	0.4657625	0.4500849	0.0668698	0.1507047	0.8791324	0.7346910	0.5160899	0.5113729	0.4076550	0.5800857	0.5725931	0.2844162	0.1402054	0.4953817	0.9386423	0.0831897	0.3245214	0.0607476	0.0092145	0.0005921	0.4800357	0.3427730	0.1660063	0.1184765	0.9278746	0.6156250	0.9603085	0.9977310	0.0165870	0.7171720	0.0002159	0.8452959	0.0873113	0.4513074	0.8258415	0.7324837	0.6359635	0.0780465	0.6714634	0.9999921	0.8201635	0.6027156	0.7769631	0.0453902	0.8798705	0.7228442	0.8939240	0.2688332	0.1935508	0.0615196	0.6037075	0.1533213	0.4463836	0.4972766	0.6832614	0.3346248	0.4242948	0.2421824	0.5641087	0.1786478	0.1241081	0.8074327	0.7123644	0.8267877	0.4148600	0.0015819	0.8542731	0.6852545	0.6693797	0.7103575	0.9989259	0.7167286	0.8507073	0.0025128	0.1976040	0.9368818	0.7033227	0.1832806	0.9701157	0.6713793	0.1006637	0.9186392	0.5664363	0.4744560	0.5932072	0.4326377	0.9999974	0.3841193	0.1467570	0.0081306	0.6343594	0.0433490	0.4686745
100	0.3186703	0.8069460	0.6062321	0.6551318	0.4428389	0.5244643	0.1318410	0.4658141	0.4498429	0.0989580	0.1507015	0.7447781	0.4967897	0.6989761	0.5010466	0.4076853	0.5800829	0.4067069	0.2503869	0.1004225	0.4953393	0.9379959	0.0919405	0.4496122	0.0459678	0.0092145	0.0005805	0.4800578	0.3475854	0.0880334	0.1437106	0.9589767	0.7260069	0.9601764	0.9740113	0.2183627	0.4297098	0.0002766	0.8206276	0.2264602	0.7738270	0.7256181	0.7719518	0.4746376	0.0978096	0.6340349	0.9999855	0.6522126	0.6090465	0.7294614	0.0631912	0.8637877	0.7348878	0.8841071	0.3157731	0.3420874	0.0451846	0.6764701	0.2050932	0.3785092	0.5292672	0.6930490	0.3788933	0.4207812	0.1978971	0.5596066	0.1812223	0.1318706	0.8071269	0.7066760	0.8268504	0.4214721	0.0018241	0.8628340	0.7589649	0.6124762	0.7085444	0.9994562	0.6985261	0.8134182	0.0028690	0.2207632	0.9449352	0.7299322	0.1667212	0.9910599	0.6735798	0.0978339	0.9238790	0.5423178	0.4728484	0.5069729	0.2409441	0.9999933	0.3706179	0.0755300	0.0062248	0.6624156	0.0602309	0.4697048
150	0.3648357	0.7957191	0.4965501	0.5205684	0.4741937	0.4457367	0.0827464	0.4650758	0.4497290	0.1207388	0.1506012	0.6689122	0.2844576	0.8241924	0.4432029	0.4085033	0.5800388	0.3263023	0.2004257	0.0761226	0.4941796	0.9273310	0.1662064	0.6291028	0.0392737	0.0092145	0.0005393	0.4800875	0.3700965	0.0648629	0.2081592	0.9736579	0.8293894	0.9589875	0.8966150	0.6080469	0.2865945	0.0004421	0.7889157	0.3052088	0.8946675	0.6878546	0.7426115	0.4169562	0.0788095	0.5962199	0.9999567	0.5719211	0.6303687	0.6674944	0.0712941	0.8624856	0.7333834	0.8703892	0.3558252	0.4268726	0.0397773	0.7027719	0.2472864	0.2392788	0.6022083	0.7758012	0.3934972	0.4712021	0.1778574	0.5393701	0.2015509	0.1703321	0.7477713	0.6877241	0.8269465	0.4416186	0.0306552	0.8636022	0.8077331	0.4580356	0.6887661	0.9997913	0.6750540	0.7611223	0.0023321	0.2910620	0.9655189	0.7631657	0.1433159	0.9972221	0.6590813	0.1000722	0.9391037	0.4911930	0.4731524	0.4585142	0.1288988	0.9999777	0.3282811	0.0341636	0.0041355	0.7082676	0.0986360	0.4844130
200	0.3878812	0.8126989	0.4298491	0.4098879	0.4699823	0.2914578	0.0690155	0.4569896	0.4502208	0.1518654	0.1462575	0.6328473	0.1740678	0.9010016	0.3351061	0.4165208	0.5793479	0.2942556	0.1576537	0.0647633	0.4827360	0.8682665	0.3571810	0.7644828	0.0366829	0.0092145	0.0004377	0.4801222	0.3987276	0.0742126	0.2822007	0.9804720	0.8881423	0.9555863	0.8012851	0.7686096	0.2276570	0.0006901	0.7537220	0.3405610	0.9331516	0.6771411	0.6986304	0.4165838	0.0359654	0.5796360	0.9999138	0.5384657	0.6617090	0.6231834	0.0644885	0.8739714	0.7562500	0.8570291	0.3789100	0.4669302	0.0830288	0.7278108	0.2686975	0.1451337	0.6382034	0.9044905	0.3993955	0.5159476	0.1805217	0.5080609	0.2588025	0.2736545	0.6716599	0.6417654	0.8261793	0.4985220	0.1237455	0.8521589	0.8763802	0.3196677	0.6483212	0.9999249	0.6530798	0.7101737	0.0014786	0.4231971	0.9836189	0.8098317	0.1213687	0.9984268	0.6111821	0.1106150	0.9575520	0.4234563	0.4657411	0.4335190	0.0698590	0.9999423	0.2755535	0.0284061	0.0022674	0.7517879	0.1417384	0.5471871
250	0.4019525	0.8597474	0.4146773	0.3500640	0.4604000	0.1847381	0.0739808	0.4249948	0.4536539	0.2142067	0.1163847	0.6169210	0.1255464	0.9440604	0.2318250	0.4476167	0.5745266	0.2855147	0.1301336	0.0625096	0.4388230	0.7587723	0.5559521	0.8400749	0.0357381	0.0092145	0.0003087	0.4802103	0.4267283	0.1200359	0.3419930	0.9835543	0.9060662	0.9497689	0.7022401	0.8094291	0.2054623	0.0009421	0.7227311	0.3617020	0.9446654	0.6745976	0.6674307	0.4359831	0.0168644	0.5854520	0.9998763	0.5251475	0.6907678	0.6001316	0.0556713	0.8794478	0.8205626	0.8416372	0.3863917	0.4843758	0.2044156	0.7521143	0.2753610	0.1846586	0.6189599	0.9491801	0.4123737	0.5277647	0.1952987	0.4778492	0.3320083	0.4404177	0.6322443	0.5856406	0.8212049	0.5788152	0.2080557	0.8255404	0.9361124	0.2703880	0.5972183	0.9999602	0.6288909	0.6559711	0.0009514	0.5861606	0.9930692	0.8706301	0.0954242	0.9978412	0.5634587	0.1273692	0.9742476	0.3668219	0.4424893	0.4197472	0.0377286	0.9998850	0.2347572	0.0370494	0.0010206	0.7805836	0.1566903	0.6266501
300	0.4130164	0.9092093	0.4165398	0.3147426	0.4696095	0.1286337	0.0927607	0.3661761	0.4662897	0.2899381	0.0756951	0.6101480	0.1049033	0.9664655	0.1685429	0.5045251	0.5578110	0.2920046	0.1169775	0.0700881	0.3618011	0.6607329	0.6871284	0.8762094	0.0354024	0.0092145	0.0002023	0.4804977	0.4525033	0.2153937	0.3887681	0.9846961	0.8858817	0.9412967	0.6077362	0.8175005	0.1975276	0.0011383	0.7080831	0.3939367	0.9480166	0.6738869	0.6550317	0.4499501	0.0123117	0.6196887	0.9998525	0.5199361	0.7107142	0.5921358	0.0488870	0.8615466	0.8779137	0.8223133	0.3725957	0.4916952	0.2848049	0.7730990	0.2840396	0.3464098	0.5782279	0.9355740	0.4380401	0.5105332	0.2095991	0.4549764	0.4018321	0.6001668	0.6159843	0.5598911	0.8083444	0.6656917	0.2607142	0.7855679	0.9703947	0.3085279	0.5361146	0.9998741	0.5967383	0.5836032	0.0007693	0.7134451	0.9970600	0.9221899	0.0629247	0.9957308	0.5346341	0.1455554	0.9862114	0.3486759	0.4086643	0.4125185	0.0201729	0.9998279	0.2104218	0.0471865	0.0004239	0.7914501	0.1474030	0.6650903
350	0.4198820	0.9461598	0.4008186	0.2797362	0.4984774	0.0982374	0.1324390	0.3015421	0.4941944	0.3532352	0.0514273	0.6073274	0.0959915	0.9775144	0.1478981	0.5671381	0.5234318	0.3096141	0.1181296	0.0940377	0.2825810	0.5959791	0.7569973	0.8919958	0.0352847	0.0092146	0.0001303	0.4813367	0.4743148	0.3056319	0.4350152	0.9845136	0.8189862	0.9303791	0.5370760	0.8133071	0.1947853	0.0012624	0.7064753	0.4530842	0.9489882	0.6728048	0.6601857	0.4557885	0.0129301	0.6760137	0.9998400	0.5179109	0.7206011	0.5983481	0.0419327	0.8140807	0.9032585	0.8002247	0.3313080	0.4949755	0.2874614	0.7920084	0.3005684	0.5090580	0.5321466	0.9008967	0.4696068	0.4730153	0.2144829	0.4408353	0.4622639	0.7108276	0.6109696	0.5697986	0.7877839	0.7588132	0.2865694	0.7363697	0.9869516	0.4450281	0.4602013	0.9995303	0.5599538	0.4828286	0.0007999	0.7736748	0.9985741	0.9550815	0.0404768	0.9924860	0.5243302	0.1632851	0.9931882	0.3697564	0.3722312	0.4088380	0.0109717	0.9997975	0.1982072	0.0532208	0.0001819	0.7847729	0.1319282	0.6630013
400	0.4220628	0.9695879	0.3613760	0.2404677	0.5347804	0.0916379	0.2009352	0.2476234	0.5337773	0.3959399	0.0419057	0.6061670	0.0920554	0.9827571	0.1522750	0.6203221	0.4746682	0.3311446	0.1410189	0.1407792	0.2210834	0.5444297	0.7868344	0.8985087	0.0352436	0.0092146	0.0000865	0.4835927	0.4887237	0.3487853	0.4897457	0.9828712	0.7161420	0.9186988	0.4936319	0.7478418	0.1938597	0.0013273	0.7155936	0.5359879	0.9493096	0.6678936	0.6786493	0.4570584	0.0152380	0.7284339	0.9998342	0.5171257	0.7194814	0.6320240	0.0365052	0.7553720	0.9091337	0.7786606	0.2924368	0.4970488	0.2355598	0.8133607	0.3217416	0.6198619	0.4846520	0.8761837	0.4994292	0.4210631	0.2056630	0.4361314	0.5043189	0.7735273	0.6134344	0.5890594	0.7641174	0.8355542	0.3023282	0.6821029	0.9943161	0.6060745	0.3851038	0.9992891	0.5299165	0.3730056	0.0011158	0.7734166	0.9991012	0.9733076	0.0363374	0.9892503	0.5386936	0.1821940	0.9967894	0.4030813	0.3362350	0.4051475	0.0063880	0.9998066	0.1933079	0.0531322	0.0000897	0.7666825	0.1174490	0.6408442
