Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G71A	G95	G96	G97	G98	G99	G100

0	0.4260815	0.8085027	0.2160190	0.2960335	0.7693707	0.9697285	0.9759881	0.9997272	0.9999586	0.0216117	0.6688260	0.9448055	0.7833108	0.4461421	0.8860420	0.7746155	0.6763328	0.9997117	0.9701820	0.4909607	0.0468947	0.9999563	0.0771239	0.5782613	0.5347444	0.6516063	0.9919563	0.9975484	0.6445151	0.6834519	0.5897851	0.0677579	0.0714069	0.3454216	0.0168901	0.8239775	0.1035683	0.5428800	0.9856827	0.0306405	0.6796158	0.1799099	0.7001021	0.0033131	0.0927565	0.9358665	0.4623352	0.3758568	0.1739552	0.3804681	0.5567191	0.9940778	0.4829398	0.3549975	0.9618501	0.5381912	0.9278534	0.2214306	0.0103136	0.8571648	0.9746011	0.2055782	0.9849484	0.6798929	0.7689296	0.9596632	0.4134878	0.1979409	0.8113203	0.1306273	0.4426856	0.3914678	0.8931400	0.1097058	0.1568842	0.1665386	0.8650809	0.0006330	0.0168870	0.9035227	0.9328887	0.5112456	0.0022983	0.1481761	0.9542743	0.8787356	0.2226054	0.2090930	0.4526728	0.9334592	0.3408241	0.8266014	0.0712015	0.5721880	0.4567987	0.0795212	1.0000000	0.0124632	0.1463727	0.9698363
50	0.4347719	0.8087469	0.2324283	0.3075581	0.8316431	0.9681061	0.9795814	0.9194285	0.9999549	0.0263875	0.6832152	0.9433340	0.7391604	0.4464469	0.8864179	0.8382919	0.6764268	0.9997241	0.9607684	0.4910244	0.0468685	0.9999490	0.1314931	0.5755996	0.5957247	0.6516048	0.9913453	0.8385779	0.6448671	0.7084184	0.5836590	0.1773095	0.0714069	0.3460163	0.0168900	0.6203293	0.3489845	0.5435618	0.9876030	0.0223597	0.6875927	0.1800780	0.7032695	0.0034681	0.0968515	0.6597358	0.4623430	0.3756407	0.1640993	0.4480031	0.4942615	0.9942018	0.4758942	0.3511627	0.9615186	0.5369630	0.9277059	0.2189129	0.0103356	0.8603454	0.9747838	0.2056020	0.9490988	0.6846796	0.7689090	0.9616968	0.4111685	0.1860159	0.8079746	0.0992897	0.4438463	0.3914578	0.9005895	0.1114778	0.1574511	0.1112448	0.8679454	0.0010569	0.0169653	0.9024387	0.9333665	0.5058740	0.0023608	0.1327373	0.6626404	0.8546075	0.2226379	0.2091588	0.3803976	0.9295168	0.3453634	0.7316879	0.0553987	0.6265338	0.4943041	0.2235804	1.0000000	0.0161059	0.1588138	0.9817440
100	0.5098798	0.8117621	0.2941925	0.3560127	0.9071817	0.9437171	0.9775803	0.8179795	0.9994593	0.0471136	0.6747176	0.9341429	0.6870037	0.4474924	0.8838327	0.9143077	0.6764844	0.9997923	0.8685404	0.4910232	0.0468022	0.9998895	0.1943089	0.5598734	0.6660983	0.6516644	0.9853554	0.6667326	0.6449937	0.7347962	0.5781369	0.2565056	0.0714069	0.3499117	0.0168885	0.3297267	0.5214346	0.5438401	0.9841060	0.0330506	0.6909268	0.1818945	0.7075972	0.0034299	0.1393211	0.3772576	0.4622163	0.3791449	0.1315350	0.5059356	0.3317388	0.9947508	0.4746699	0.3347572	0.9581986	0.5244945	0.9247587	0.2083561	0.0105092	0.8865835	0.9781492	0.2056344	0.9092788	0.7085221	0.7690284	0.9635432	0.3924899	0.1276823	0.7918170	0.0619555	0.4660018	0.3911563	0.8904487	0.1203259	0.2368276	0.0553185	0.8730424	0.0064779	0.0173388	0.8971042	0.9358537	0.4824128	0.0027773	0.1202442	0.4483793	0.8068202	0.2368246	0.2098185	0.3131413	0.9143048	0.3680785	0.6686286	0.0382992	0.6813141	0.5618809	0.3711519	1.0000000	0.0430770	0.2587674	0.9921683
150	0.6152746	0.8168296	0.3507403	0.4211163	0.9538447	0.8876250	0.9677680	0.7532165	0.9862692	0.0672179	0.6281434	0.9190568	0.6561271	0.4458586	0.8786052	0.9597017	0.6763425	0.9998745	0.6917174	0.4908578	0.0466754	0.9997709	0.2300081	0.5397340	0.7066294	0.6513373	0.9686885	0.5741070	0.6448682	0.7485311	0.5745629	0.2838882	0.0714069	0.3567199	0.0168884	0.1542687	0.5881512	0.5411385	0.9807695	0.0606461	0.6888248	0.1849089	0.7119827	0.0047878	0.2474732	0.2324029	0.4620790	0.3906732	0.1035937	0.5306228	0.2389812	0.9952403	0.4749278	0.3174881	0.9496065	0.5007074	0.9116549	0.1986673	0.0108852	0.9297912	0.9835368	0.2061826	0.8872233	0.7381349	0.7695879	0.9630441	0.3687536	0.0702118	0.7698077	0.0423666	0.5640572	0.3894440	0.8673478	0.1324790	0.3907868	0.0273050	0.8520220	0.0147823	0.0178628	0.8894623	0.9387046	0.4586757	0.0035442	0.1230562	0.3638383	0.7928663	0.3540133	0.2124725	0.2887228	0.9227094	0.3948899	0.6566600	0.0295148	0.7084958	0.6349599	0.4491414	1.0000000	0.0841927	0.5143940	0.9968995
200	0.6920601	0.8222450	0.3900573	0.4754107	0.9781559	0.8374388	0.9549818	0.7187959	0.9231363	0.0772326	0.5794799	0.9045754	0.6420452	0.4428112	0.8715108	0.9821739	0.6758975	0.9999306	0.5235776	0.4905174	0.0465390	0.9996401	0.2468178	0.5272916	0.7260660	0.6498108	0.9436760	0.5313319	0.6445204	0.7544073	0.5737859	0.2919364	0.0714069	0.3639508	0.0168938	0.0727811	0.6118989	0.5380448	0.9794457	0.0848810	0.6818180	0.1883710	0.7153376	0.0095282	0.3657570	0.1694650	0.4623295	0.4043479	0.0871421	0.5397098	0.2036426	0.9953229	0.4695248	0.3067071	0.9399123	0.4785488	0.8503237	0.1949296	0.0112974	0.9640775	0.9863080	0.2116055	0.8755138	0.7654150	0.7705505	0.9567093	0.3541875	0.0400338	0.7510958	0.0358785	0.7023615	0.3846598	0.8455863	0.1414013	0.4448170	0.0155786	0.7907900	0.0198798	0.0182932	0.8821935	0.9401200	0.4468538	0.0043576	0.1316827	0.3336284	0.8006748	0.5295886	0.2178474	0.2840303	0.9463445	0.4133616	0.6550167	0.0267376	0.7250948	0.6952484	0.4860399	1.0000000	0.1180053	0.6929012	0.9988020
250	0.7351512	0.8277783	0.4154468	0.5112165	0.9899322	0.8063112	0.9437985	0.7019807	0.8287157	0.0796683	0.5484199	0.8945570	0.6375373	0.4403363	0.8612135	0.9923487	0.6752877	0.9999591	0.4071443	0.4900150	0.0464411	0.9995313	0.2540677	0.5234232	0.7347159	0.6466695	0.9183310	0.5119498	0.6440323	0.7566062	0.5759878	0.2942620	0.0714070	0.3698327	0.0169027	0.0391155	0.6200031	0.5362169	0.9791471	0.0999288	0.6716549	0.1914067	0.7168447	0.0171010	0.4451341	0.1438858	0.4629940	0.4149443	0.0786873	0.5427601	0.1928923	0.9951367	0.4617686	0.3016913	0.9338093	0.4639414	0.7476664	0.1951397	0.0116260	0.9835486	0.9867422	0.2304471	0.8677940	0.7905801	0.7715952	0.9454288	0.3475690	0.0283501	0.7394849	0.0352468	0.7981343	0.3769038	0.8290927	0.1454523	0.4577286	0.0111254	0.7199523	0.0208072	0.0185633	0.8774422	0.9400800	0.4450034	0.0049726	0.1388929	0.3231230	0.8109650	0.6386217	0.2243314	0.2838992	0.9621263	0.4231013	0.6526920	0.0269830	0.7627534	0.7340193	0.5028539	1.0000000	0.1387771	0.7484576	0.9995407
300	0.7565812	0.8329435	0.4306582	0.5319359	0.9954285	0.7893627	0.9360421	0.6941243	0.7591291	0.0789698	0.5323687	0.8892953	0.6373039	0.4388577	0.8475659	0.9967160	0.6747102	0.9999683	0.3387287	0.4893064	0.0463865	0.9994487	0.2570311	0.5242227	0.7384795	0.6422951	0.8982070	0.5028433	0.6435232	0.7572636	0.5806383	0.2950076	0.0714071	0.3738104	0.0169109	0.0260779	0.6226715	0.5354760	0.9791405	0.1078378	0.6608979	0.1932381	0.7161397	0.0240516	0.4863673	0.1337841	0.4637883	0.4215618	0.0746268	0.5435873	0.1908188	0.9949071	0.4563489	0.2998051	0.9313927	0.4559145	0.6743305	0.1964928	0.0118890	0.9929458	0.9863524	0.2617621	0.8621161	0.8111996	0.7724715	0.9363427	0.3449356	0.0248519	0.7341015	0.0361945	0.8464557	0.3684064	0.8177389	0.1460144	0.4616984	0.0097341	0.6661123	0.0190864	0.0187169	0.8754897	0.9393495	0.4476112	0.0053418	0.1431717	0.3195281	0.8178573	0.6877627	0.2300976	0.2844694	0.9701868	0.4278153	0.6497388	0.0282153	0.8095142	0.7550624	0.5101130	1.0000000	0.1496962	0.7645883	0.9998244
350	0.7666887	0.8372065	0.4391226	0.5430092	0.9979416	0.7803983	0.9314132	0.6905385	0.7306601	0.0776814	0.5248168	0.8873173	0.6383854	0.4381294	0.8339155	0.9985189	0.6742671	0.9999660	0.3022791	0.4883979	0.0463602	0.9993839	0.2581941	0.5264905	0.7401280	0.6375442	0.8844342	0.4983938	0.6431242	0.7573340	0.5865922	0.2952848	0.0714072	0.3761185	0.0169164	0.0212300	0.6235325	0.5352604	0.9791723	0.1116313	0.6522848	0.1933919	0.7133960	0.0288673	0.5048727	0.1298210	0.4644833	0.4252400	0.0727713	0.5436527	0.1917640	0.9947300	0.4544426	0.2990602	0.9309209	0.4519033	0.6352858	0.1976973	0.0121155	0.9970967	0.9859425	0.2928640	0.8581575	0.8254060	0.7731043	0.9315901	0.3439341	0.0242297	0.7324598	0.0370267	0.8673622	0.3612645	0.8104126	0.1448987	0.4635224	0.0096310	0.6331042	0.0167791	0.0188194	0.8753680	0.9385749	0.4510062	0.0055290	0.1452797	0.3183246	0.8216224	0.7071828	0.2343910	0.2850847	0.9740647	0.4305223	0.6472233	0.0294462	0.8412996	0.7653562	0.5129149	1.0000000	0.1551166	0.7703431	0.9999329
400	0.7714175	0.8403512	0.4435270	0.5486292	0.9990769	0.7755864	0.9289128	0.6889268	0.7296484	0.0766714	0.5213977	0.8870228	0.6395030	0.4378308	0.8242303	0.9992360	0.6739726	0.9999585	0.2840921	0.4874509	0.0463484	0.9993317	0.2586301	0.5286859	0.7408474	0.6331977	0.8758406	0.4961812	0.6429423	0.7572207	0.5923434	0.2953969	0.0714072	0.3772715	0.0169194	0.0194769	0.6238129	0.5352236	0.9791914	0.1133582	0.6480158	0.1918342	0.7092945	0.0317313	0.5123536	0.1282488	0.4650234	0.4271536	0.0719663	0.5435090	0.1936401	0.9946101	0.4551314	0.2985574	0.9311020	0.4499804	0.6160773	0.1984862	0.0123062	0.9988347	0.9857133	0.3134521	0.8556300	0.8339171	0.7735265	0.9297204	0.3435500	0.0243950	0.7324867	0.0373925	0.8755037	0.3562554	0.8059054	0.1434263	0.4645215	0.0099823	0.6151152	0.0151459	0.0189172	0.8760538	0.9380383	0.4537360	0.0056117	0.1461824	0.3179360	0.8234974	0.7145062	0.2372729	0.2855454	0.9758903	0.4325541	0.6454760	0.0303669	0.8576535	0.7700767	0.5137322	1.0000000	0.1579091	0.7729456	0.9999744
