G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G63A	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.1327059	0.7129534	0.3518012	0.1862522	0.1565191	0.0302717	0.3753424	0.5750345	0.6152880	0.6702904	0.3892652	0.1106219	0.2835499	0.4555421	0.2989673	0.2853026	0.4616829	0.2954762	0.0321824	0.6500726	0.0164821	0.0428293	0.0063760	0.4134785	0.1882872	0.2779389	0.3155400	0.8711004	0.6473741	0.1780515	0.2057461	0.3169786	0.3175001	0.4641527	0.4103212	0.0072827	0.2462018	0.0533350	0.4812732	0.3995540	0.2820624	0.7002016	0.6361920	0.1905355	0.2540782	0.2167711	0.4897757	0.4628515	0.8511831	0.7121826	0.6706280	0.0046654	0.2051839	0.0268473	0.2357352	0.6833256	0.3418609	0.6815046	0.6565723	0.7023998	0.2749853	0.1708324	0.0316778	0.1879251	0.5047065	0.0207901	0.0259010	0.2283713	0.2204752	0.5650700	0.2894746	0.0377595	0.1893556	0.4771782	0.4661598	0.0965719	0.6772949	0.1622768	0.1334207	0.2752310	0.4887359	0.4925252	0.7574855	0.6384275	0.5133986	0.2561358	0.4522943	0.2050855	0.1537921	0.6003511	0.1735952	0.0077501	0.2856063	0.2243302	0.3161704	0.1603010	0.5833102	0.3533413	0.7203661
0.6889923	0.0000000	0.5610634	0.3659217	0.1926542	0.4775081	0.0061370	0.3509111	0.5870371	0.6152393	0.5979557	0.3434871	0.2523686	0.3399457	0.7313685	0.4592628	0.3283728	0.3666034	0.2470439	0.0084693	0.6239030	0.0103871	0.0524013	0.0233461	0.4489438	0.2378370	0.2127936	0.3827731	0.5901360	0.7483698	0.1494549	0.2601208	0.2934277	0.3005637	0.4637843	0.3562514	0.0071451	0.0647461	0.1024699	0.5532647	0.4790572	0.2263772	0.5725747	0.5006600	0.4518628	0.4254408	0.1709207	0.3865451	0.5707931	0.5311281	0.6970591	0.6870418	0.0077995	0.3017454	0.4476901	0.3356516	0.6679260	0.3892006	0.6818001	0.6677123	0.6410287	0.1930823	0.2595097	0.0311026	0.2730392	0.5783355	0.0404542	0.0161997	0.1681869	0.3348330	0.7596706	0.1787258	0.0123058	0.2264008	0.2761011	0.4539212	0.1191423	0.6222705	0.1884076	0.3341353	0.2937157	0.4408000	0.6135675	0.7862026	0.6118468	0.6110803	0.2590401	0.4822303	0.3117839	0.1666557	0.7318263	0.1673720	0.0702365	0.3016271	0.2678968	0.3470433	0.2361548	0.7309941	0.2501912	0.6814435
0.4844707	0.2478550	0.0000000	0.3082187	0.1437055	0.3573442	0.0177353	0.3734675	0.1730226	0.6454136	0.7117116	0.2526807	0.1586674	0.1141186	0.5568959	0.0393296	0.3236483	0.3524075	0.7630241	0.0106770	0.7222764	0.0219290	0.0301024	0.0162920	0.5764830	0.2091163	0.1960370	0.4080590	0.6643916	0.6413822	0.2188399	0.2291727	0.1853154	0.1943173	0.4010966	0.3249732	0.0026013	0.1101563	0.1054893	0.5207485	0.5104939	0.2442022	0.6925823	0.6088811	0.2317655	0.3389633	0.3033307	0.3642088	0.4869254	0.6978039	0.6346445	0.6347089	0.0782523	0.2219185	0.4485386	0.0011937	0.6481629	0.3574864	0.6586659	0.7484214	0.5513416	0.2701905	0.3754033	0.4122108	0.1322978	0.4139757	0.0224028	0.2990206	0.1679005	0.3724696	0.6235076	0.5954737	0.3127529	0.1994494	0.6978502	0.3948775	0.0029299	0.6818738	0.0503829	0.2787220	0.1857374	0.2787913	0.6945316	0.7776367	0.6969387	0.2972271	0.3024246	0.5776133	0.0971743	0.2059224	0.5165746	0.0007021	0.3068859	0.4474678	0.2148155	0.1692910	0.2198750	0.6275924	0.3019909	0.6568988
0.5186033	0.5372241	0.7004290	0.0000000	0.1333383	0.3369950	0.0109181	0.3624051	0.2664166	0.7544492	0.5931203	0.3309612	0.1346145	0.0385915	0.6515663	0.3210419	0.3362928	0.3700343	0.2474397	0.0097909	0.7302025	0.0362969	0.0111069	0.0099103	0.4732202	0.2793851	0.1670032	0.5044416	0.6801935	0.5902944	0.2126020	0.2368335	0.2358643	0.1822670	0.3148445	0.4183290	0.0131590	0.1472248	0.0619951	0.4073236	0.3258674	0.2643441	0.7476254	0.6570396	0.1576387	0.2971433	0.2139830	0.3662353	0.5122761	0.5506986	0.6314574	0.7033991	0.0009681	0.2113024	0.5031082	0.2819993	0.5511627	0.3277103	0.6305786	0.6306805	0.6899763	0.1287394	0.2768161	0.4002924	0.1120284	0.5587313	0.0254381	0.2815660	0.1781122	0.3950529	0.3013162	0.3885062	0.0115533	0.2098476	0.3995248	0.5071295	0.1521618	0.6024654	0.1622733	0.4219526	0.1927177	0.5757393	0.7468458	0.6954394	0.7559079	0.5336387	0.2940144	0.4656148	0.1809050	0.2269447	0.6752138	0.4022346	0.0232674	0.3869561	0.3795109	0.1232575	0.1880665	0.5443888	0.4449663	0.6048344
0.4027584	0.3649293	0.6420193	0.3246424	0.0000000	0.2381810	0.0166914	0.3826898	0.2249100	0.6621859	0.6743819	0.3320723	0.1228480	0.0380484	0.5574380	0.2018286	0.2430919	0.4406881	0.3569274	0.0065145	0.7222502	0.0296400	0.0265140	0.0064280	0.4431356	0.2441992	0.1545579	0.3406962	0.6390205	0.6860936	0.1982940	0.2705172	0.2743148	0.3769459	0.3517153	0.4411627	0.0036864	0.1492098	0.0793969	0.4866473	0.4674835	0.2784521	0.7104389	0.6128845	0.1855290	0.4048699	0.3369084	0.3746144	0.5153796	0.7312514	0.6885882	0.7031190	0.0069964	0.2316748	0.4134724	0.3352686	0.4051569	0.3578978	0.4784356	0.6220085	0.8035782	0.1241972	0.2119426	0.0154808	0.1896621	0.4986989	0.0292429	0.0449623	0.1910956	0.4124742	0.5957826	0.4462252	0.0102337	0.1368068	0.4740872	0.5641539	0.1390315	0.7401275	0.1933375	0.3326163	0.2580968	0.4085144	0.6885381	0.6814322	0.5157698	0.5554828	0.2279399	0.4713778	0.1120956	0.1354543	0.7796467	0.1130937	0.0262638	0.3383013	0.3722784	0.2981763	0.3150395	0.5045973	0.3097368	0.6638920
0.5351891	0.5419756	0.7168495	0.3528723	0.1228752	0.0000000	0.0093087	0.2843285	0.2577967	0.5971809	0.7271322	0.4280943	0.1040335	0.0391752	0.5065636	0.3030235	0.2488151	0.4084428	0.2822227	0.0129551	0.5769998	0.0617530	0.0466213	0.0136615	0.5218237	0.2584537	0.1607228	0.3931810	0.6333178	0.6331594	0.1699051	0.2810105	0.2396857	0.1894404	0.4803914	0.4782036	0.0335033	0.1123747	0.0512465	0.5302565	0.3206452	0.2438268	0.6706467	0.6441252	0.1964443	0.3481159	0.2239262	0.3675794	0.5166903	0.7552961	0.6551752	0.6256520	0.0008939	0.1679799	0.4070939	0.2582040	0.5932323	0.4480247	0.6523700	0.7190579	0.6362067	0.1046073	0.2942958	0.0180291	0.1879069	0.5912604	0.3827040	0.0169277	0.1816477	0.4072428	0.6632789	0.4267917	0.0038168	0.0928577	0.4521408	0.4412270	0.1191310	0.7097792	0.1574469	0.5070144	0.2631289	0.4184940	0.6861983	0.4579410	0.5832784	0.4393734	0.2879451	0.2587288	0.2028916	0.1159108	0.5572579	0.1773126	0.0315255	0.3435425	0.2792200	0.2704084	0.2313759	0.6430681	0.4799493	0.6964236
0.5875600	0.5468693	0.7059098	0.2700309	0.2672464	0.4146560	0.0000000	0.3347059	0.4096863	0.6751820	0.6831388	0.3431404	0.0982654	0.0451976	0.5716128	0.3409771	0.2387994	0.4353168	0.2847570	0.0021566	0.7197940	0.0232086	0.0433561	0.0043513	0.4505876	0.2185484	0.1864499	0.2827438	0.5526409	0.6666058	0.1931960	0.2730677	0.2843958	0.1369855	0.5124243	0.4960839	0.0155475	0.1215308	0.0351117	0.3538743	0.4609599	0.2182806	0.6307489	0.6536715	0.1360741	0.2793363	0.1703678	0.5702545	0.5283364	0.6794916	0.5994041	0.9121269	0.0019938	0.2127805	0.4678356	0.3476862	0.6130636	0.4350980	0.5660119	0.7259890	0.7570240	0.0982125	0.1903609	0.0150606	0.1349938	0.5002340	0.0274623	0.0156634	0.1831394	0.4262905	0.5723176	0.3275163	0.0497469	0.1799439	0.4702130	0.4133207	0.2106468	0.5625152	0.1857661	0.3437992	0.2555890	0.3925007	0.6737997	0.7941702	0.6766737	0.5533617	0.1912205	0.5157194	0.2876804	0.1466643	0.6027040	0.2289544	0.0263736	0.2820701	0.2368448	0.3507862	0.2150247	0.7495828	0.3097194	0.6213530
0.5923138	0.5348831	0.6650261	0.3004964	0.1988467	0.2289793	0.0208741	0.0000000	0.3689136	0.6175306	0.6831572	0.3617240	0.1023264	0.0870782	0.6457946	0.3709739	0.3066542	0.4059119	0.3082819	0.0052641	0.6327712	0.0384178	0.0214042	0.0070065	0.5017064	0.2528829	0.1829864	0.4132689	0.5147769	0.6356976	0.2387001	0.2963425	0.1566364	0.2078832	0.4480471	0.4361660	0.0057018	0.1674341	0.0443481	0.4744948	0.5901136	0.2219736	0.7348982	0.4838968	0.2361490	0.3322828	0.1048403	0.4455138	0.5007707	0.6287205	0.6312943	0.6983912	0.0059770	0.2015242	0.4034980	0.3582691	0.5983013	0.2864505	0.6822593	0.7200079	0.7667491	0.1084802	0.2240232	0.0107753	0.1819048	0.5500657	0.3632309	0.0115252	0.2707412	0.1856203	0.5905910	0.4731675	0.0125802	0.1186863	0.3396687	0.4509078	0.1077226	0.6702269	0.1555393	0.2697798	0.2509687	0.3513580	0.6133144	0.6612281	0.6836719	0.5264493	0.5387848	0.3625613	0.2837263	0.1650320	0.7661063	0.1990407	0.0532513	0.3736044	0.2737475	0.3004419	0.2106173	0.4558578	0.2828912	0.7389567
0.5422274	0.5295647	0.8424330	0.3735335	0.5954890	0.3832217	0.0152415	0.4069065	0.0000000	0.6235154	0.7148077	0.3828213	0.1556379	0.0194117	0.5175964	0.4228743	0.3617280	0.4000768	0.2511635	0.0058486	0.6993817	0.0262845	0.0132165	0.0022470	0.4196111	0.2724432	0.2043002	0.3547448	0.6706413	0.7469565	0.2093480	0.2481208	0.1689605	0.2407455	0.5103346	0.5151759	0.0062934	0.1724264	0.0611736	0.4333686	0.4419038	0.2032126	0.5158589	0.5407356	0.1808399	0.3789926	0.2577124	0.3916619	0.4688286	0.7606904	0.4837638	0.7090831	0.0017716	0.2108030	0.4581574	0.2633726	0.5744908	0.3974403	0.5801721	0.6558515	0.6564181	0.1522084	0.1772101	0.0411057	0.2786934	0.5364614	0.0394542	0.0552653	0.2173744	0.2542831	0.6199008	0.3642614	0.0119696	0.1559204	0.4075937	0.4383756	0.0706475	0.7840017	0.1976636	0.2934961	0.2321343	0.4644326	0.8019893	0.5881561	0.6687962	0.5345943	0.1917237	0.4977618	0.1281464	0.0988204	0.6675735	0.2319323	0.0377169	0.3890992	0.3654289	0.1918602	0.2687231	0.6926553	0.3499511	0.6545877
0.4302959	0.4171332	0.6732804	0.3724995	0.1321190	0.2759350	0.0119673	0.3231271	0.3159602	0.0000000	0.7966475	0.3302081	0.1108292	0.0750520	0.5333960	0.3599205	0.3886596	0.4440499	0.2751069	0.0196295	0.7984953	0.0199074	0.0500545	0.0082742	0.5007655	0.2604367	0.1873531	0.2619003	0.6865381	0.8243514	0.1787181	0.2057870	0.2504084	0.2478029	0.3741307	0.3535694	0.0169233	0.1271119	0.7234270	0.5061783	0.4332942	0.1697229	0.6286156	0.5321847	0.1714759	0.3379474	0.1637217	0.3118942	0.5684352	0.5994869	0.6443404	0.6502728	0.0038566	0.2134528	0.3722122	0.2899954	0.6167084	0.3228526	0.5162430	0.7265702	0.6673015	0.1299788	0.1521677	0.0373903	0.1702008	0.5470247	0.0396053	0.0504182	0.3724413	0.5371851	0.6079306	0.3039140	0.0063291	0.1048954	0.3317901	0.3942640	0.1180098	0.8957035	0.1170105	0.3949358	0.2575395	0.4065464	0.5224789	0.7544857	0.7899590	0.5832575	0.2177587	0.4051009	0.1715702	0.0949074	0.6783492	0.2066176	0.0123850	0.2366551	0.2738364	0.2524143	0.3436126	0.5855643	0.3408242	0.5611694
