"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G77A	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.9837998	0.0288125	0.9983006	1.0219431	0.0435733	0.4065830	1.0707053	0.8385051	0.1330733	0.2517505	1.0099636	0.8564744	0.4799662	0.9299792	0.9120643	0.2966966	0.3495682	0.2356338	1.0143880	0.4697161	0.4263601	0.0963301	0.6009234	0.0855189	0.2438481	0.8711704	1.0286219	0.5685666	0.5571444	0.4726373	1.0502030	0.6465676	0.1823975	0.9690539	0.9324460	0.4132495	0.3314785	0.9330149	0.7656158	0.5862662	0.9852450	0.8772302	0.8278266	0.1978186	0.8688959	1.0483053	0.2802439	1.0402727	0.7702226	1.0612716	0.6462390	0.3790422	0.1846281	0.3026603	1.0575458	1.0641466	0.2049016	0.2251324	0.0085712	0.0358565	0.8473086	0.3965434	0.0055530	0.6110981	1.0208351	0.4124379	0.7821681	0.5529564	0.7920636	0.3813731	0.2027849	0.4075422	0.5256807	0.8298380	0.2193598	0.9043144	0.0317418	0.1121110	0.0020466	0.5141246	0.1009717	0.7080954	0.5973717	0.4025589	0.0718934	0.6117033	0.0522403	0.5223939	0.7607502	0.4963140	0.0617389	0.1865289	0.8137976	0.5818046	0.0993771	0.8955293	0.0411783	0.6261514	0.2823957	0.2503217
50	0.9160932	0.0216223	0.9292772	0.8189387	0.0298684	0.3030056	0.9024826	0.7876360	0.2515920	0.1302560	1.0859732	0.7693852	0.4865952	0.9142962	0.9800058	0.2042318	0.3254228	0.2633215	0.7865811	0.4442802	0.4340213	0.1036751	0.5811004	0.2548036	0.2228749	0.8244294	1.0415797	0.6315214	0.6433436	0.4940302	1.0145787	0.5701730	0.0968573	1.0360765	0.8603888	0.2693950	0.2886459	0.9328529	0.7907550	0.5743546	0.9098625	0.8458572	0.8804676	0.2337090	0.9196594	0.8689168	0.3345552	0.9682400	0.5685063	0.7059822	0.5914609	0.4137523	0.1209632	0.1869704	1.0657316	1.0530617	0.1656377	0.2808697	0.0031597	0.0145521	0.8555454	0.4044805	0.2155847	0.6055858	0.9670114	0.5489353	0.8085597	0.5254355	0.7696467	0.2978281	0.2141507	0.4624851	0.7602827	0.7551115	0.2220646	0.9798908	0.0213305	0.1301740	0.0067859	0.4040628	0.1170738	0.6575491	0.6487633	0.4116616	0.2755864	0.5689599	0.0478587	0.4481829	0.7106405	0.3862452	0.1598028	0.1221258	0.9318491	0.5098330	0.1119360	0.9113828	0.1023933	0.6642962	0.1781855	0.2014859
100	0.9986481	0.0203179	0.9130133	0.5271669	0.0420086	0.2936973	0.9483959	0.8478825	0.3804074	0.1396093	1.0924374	0.7772855	0.5067745	0.8248974	1.0140514	0.1990216	0.3044432	0.2481019	0.6755888	0.4043328	0.3577751	0.0934459	0.5693532	0.4822392	0.1871439	0.8984201	1.0058782	0.5995978	0.6576844	0.4939076	0.9848125	0.5783300	0.0515811	0.9077790	0.8229419	0.3023069	0.3285786	0.8983970	0.8028679	0.6012285	0.9232919	0.8100862	0.8281561	0.2395461	1.0238238	0.7278683	0.3090286	0.9548090	0.4517478	0.6703511	0.6759161	0.4574756	0.1203023	0.1611894	1.0483485	0.9888729	0.2586570	0.3018352	0.0036884	0.0238091	0.8689389	0.4542308	0.3832553	0.5545792	0.9944842	0.6084013	0.8766854	0.7335522	0.9010374	0.3503169	0.2206174	0.5963211	0.7548404	0.7080785	0.2135118	0.8353962	0.0231318	0.1154866	0.0106802	0.5201888	0.1200860	0.6531657	0.6534920	0.4332590	0.4803083	0.5646260	0.0665353	0.3909002	0.7323359	0.4423869	0.3876533	0.0871774	0.9134965	0.4278929	0.0874465	0.8471819	0.2338493	0.5571420	0.1814861	0.1806342
150	0.9576902	0.0248047	0.8890083	0.4049131	0.0331680	0.2869004	1.0000750	0.9599319	0.4620667	0.1245633	1.0889657	0.7856248	0.4906922	0.7446990	1.0064975	0.2151347	0.3479585	0.2271804	0.6608324	0.3901130	0.3935741	0.0900401	0.6580492	0.6604956	0.1930549	1.0269278	1.0497567	0.6577714	0.6345766	0.4739877	1.0544239	0.6131135	0.0473716	0.8775867	0.8716180	0.3921315	0.2618166	0.9121836	0.7760929	0.6584608	1.0394547	0.9656212	0.8703884	0.2048440	1.0740633	0.6091856	0.2721832	1.0054157	0.4173356	0.5959024	0.6492274	0.4427867	0.1477678	0.0871555	1.0222315	0.8719013	0.2484835	0.3995006	0.0047268	0.0250056	0.8226962	0.4142247	0.4317115	0.5881019	0.9021280	0.6060552	0.7556057	0.7131941	0.8955385	0.3692342	0.2180181	0.6065550	0.9434943	0.6584922	0.1772439	0.8284730	0.0342637	0.0940024	0.0037205	0.6551595	0.0697471	0.6319613	0.6188790	0.3988240	0.5634612	0.5746552	0.0372996	0.4127492	0.6978156	0.5037928	0.6104783	0.0696586	0.8413625	0.4631628	0.0585703	0.7616839	0.3041325	0.6484216	0.2292405	0.1562350
200	1.0015183	0.0164270	0.9032885	0.3684284	0.0375179	0.3371241	0.9606061	0.8561053	0.4136244	0.1392534	0.9978766	0.9000286	0.4424435	0.7128480	0.9158043	0.1702136	0.3581480	0.1700060	0.5681641	0.3736416	0.4180545	0.0872195	0.6926104	0.8032193	0.1851268	0.9243669	1.0191583	0.6676666	0.6346725	0.4290321	1.0078040	0.6376412	0.0477683	0.8956914	0.7708750	0.4062606	0.2658486	0.8299214	0.8774087	0.5925014	1.0599275	0.9098411	0.8214626	0.1579137	0.9801017	0.6788058	0.2403019	0.9879216	0.4345077	0.5890791	0.6558238	0.3946058	0.1873096	0.0398822	1.1568687	0.9392496	0.2718082	0.4881323	0.0045317	0.0242334	0.9215572	0.3538249	0.4683765	0.6970225	0.8664916	0.6397983	0.7915357	0.7735345	0.9720191	0.4269708	0.1840842	0.6751059	1.0207794	0.6331143	0.1837077	0.8981724	0.0360622	0.0737183	0.0013859	0.7430688	0.0829709	0.6366416	0.5978635	0.3961310	0.6035367	0.5326303	0.0176819	0.4637110	0.6316227	0.4322504	0.7268414	0.0707682	0.9301021	0.4855128	0.0627736	0.6949236	0.3055231	0.5586674	0.1847356	0.1213990
250	0.9873307	0.0254036	0.9913851	0.3185803	0.0551913	0.3396802	0.9871816	0.8117602	0.3721362	0.1746237	0.9993610	0.7903770	0.4978330	0.6894886	0.9053397	0.1171806	0.3672812	0.1716451	0.5340340	0.3289790	0.3712077	0.0455836	0.7007493	0.8501727	0.2683871	1.0811036	1.0552443	0.6093785	0.5801950	0.4088985	1.0025084	0.6188112	0.0317282	0.9322104	0.8956005	0.5554901	0.3069928	0.8914007	0.7891560	0.5940578	0.9474600	0.8354718	0.8025146	0.2399299	0.8986981	0.6034427	0.2284650	0.9720776	0.3771005	0.5821909	0.6633222	0.4708224	0.1892531	0.0432347	1.0941809	1.0383746	0.2687836	0.5825758	0.0046200	0.0306050	0.8856486	0.2625824	0.5828547	0.6507685	0.8395408	0.5828476	0.8500153	0.8448061	0.9640342	0.5825106	0.1654067	0.6328345	0.9562999	0.6294083	0.2328697	0.7957991	0.0261640	0.0800210	0.0013287	0.7633715	0.0907351	0.6583895	0.5422157	0.3830058	0.6438453	0.5239629	0.0311381	0.4415668	0.6484242	0.5046737	0.8382064	0.0508068	0.8088399	0.5034677	0.0619667	0.7146171	0.4007247	0.5364387	0.2134174	0.1899854
300	0.9408436	0.0216515	1.0414777	0.3301003	0.0298057	0.4190312	1.0651710	0.7050905	0.4477066	0.1714487	1.0071615	0.7700381	0.4986554	0.8036087	0.9747963	0.1178426	0.3451425	0.1458168	0.5249000	0.3088613	0.3703182	0.0537146	0.6761579	0.9185817	0.2463642	0.9703798	1.0160659	0.6225264	0.6941175	0.4557398	0.9521472	0.6240279	0.0624583	0.8904412	1.0262970	0.4552999	0.3794152	0.9972759	0.7609725	0.5408561	1.0474841	0.8393762	0.8886967	0.3110344	0.9657549	0.5441784	0.2107831	0.9671720	0.4062683	0.5887492	0.6847963	0.5163781	0.2077930	0.0631940	1.0393537	1.0327461	0.2303325	0.5720499	0.0041238	0.0241497	0.8245838	0.2811233	0.5202662	0.6294134	0.9989931	0.4866511	0.8190387	0.8338328	0.9991304	0.5787745	0.2233562	0.4942252	0.8770568	0.5397417	0.2329729	0.6536442	0.0521235	0.1895655	0.0002989	0.7427419	0.0752612	0.7162432	0.5714175	0.4255665	0.6935171	0.5577885	0.0431218	0.4504995	0.5997610	0.4722670	0.8768980	0.0389658	0.7635530	0.5654136	0.0634575	0.6566978	0.3098260	0.4723070	0.2181592	0.2221472
350	0.9355567	0.0211245	0.9676701	0.2597146	0.0534209	0.4551735	0.9808088	0.7935135	0.4683341	0.1668896	1.0103647	0.8258261	0.4947516	0.6537748	0.8773017	0.0988898	0.4123162	0.1312075	0.5520933	0.3290882	0.4375673	0.0511657	0.7509760	0.8833982	0.2687883	0.9742921	1.0242960	0.6672055	0.7885743	0.4858100	1.0500656	0.6032212	0.0437294	0.9539745	1.0164159	0.3917190	0.3574365	1.0585866	0.7490834	0.4582365	1.0748507	0.7903561	0.8703256	0.3070864	0.9110515	0.5835673	0.2480295	0.9396241	0.3698584	0.6180584	0.7297260	0.4715963	0.1679865	0.0305357	1.0649388	0.9859559	0.2022309	0.5961537	0.0037669	0.0388638	0.7539766	0.3354422	0.4408798	0.6278882	1.0099664	0.4769544	0.7414917	0.8165192	0.9868971	0.5114151	0.1800989	0.5535849	0.8376912	0.6074976	0.2102466	0.7380149	0.0443176	0.1914104	0.0031861	0.7051701	0.0899930	0.6680774	0.6497864	0.3590176	0.7094712	0.5002929	0.0348415	0.3875345	0.5551161	0.5389269	0.8540922	0.0541607	0.7390396	0.4714945	0.0921081	0.6436429	0.3742373	0.5257501	0.2475153	0.2269196
400	0.8765062	0.0203321	0.9285038	0.3165625	0.0542655	0.4195181	1.0029105	0.7891778	0.4443388	0.1787618	0.9380307	0.9352276	0.4906740	0.6565220	0.9259907	0.0617848	0.4484529	0.1077423	0.5430330	0.3812894	0.4416760	0.0689547	0.7519393	1.0092625	0.3377500	0.9827020	0.9146345	0.5649081	0.8410942	0.3886621	0.8926219	0.6176926	0.0319908	1.0214724	1.0596004	0.3919644	0.3810688	1.0901801	0.6300219	0.6161022	1.0734474	0.8843819	0.8485699	0.2223586	0.9069041	0.6337864	0.2470497	0.9849531	0.4686570	0.5965557	0.7684225	0.4711553	0.1622193	0.0232415	0.9921507	1.0309396	0.2091769	0.6189256	0.0018343	0.0244659	0.8083399	0.3394141	0.5096145	0.6511983	0.9853463	0.5003506	0.7251735	0.7951731	0.9776966	0.6035856	0.1628407	0.5176293	0.8894254	0.6616797	0.1995434	0.7325422	0.0525152	0.1335934	0.0018747	0.7095987	0.0867000	0.6576470	0.5963368	0.3545650	0.6359299	0.4957464	0.0235590	0.4066407	0.4839408	0.5158638	0.8158412	0.0283764	0.7943574	0.4789776	0.0793785	0.7081720	0.4088107	0.5355903	0.2732927	0.1948029
