Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G76A	G94	G95	G96	G97	G98	G99	G100
450	0.0438828	0.8077986	0.8740104	0.3494006	0.9975521	0.0826762	0.0023938	0.3811646	0.2435611	0.9524521	0.0271898	0.9897135	0.6203727	0.5526520	0.0330202	0.8215336	0.4138254	0.7040346	0.7112824	0.9996123	0.1207846	0.6293114	0.9869337	0.2365678	0.3920212	0.4400444	0.3686116	0.0361752	0.1533534	0.0170408	0.8448039	0.5968232	0.9851800	0.4913617	0.3278796	0.0000111	0.8753137	0.1972289	0.2067431	0.2114325	0.6631342	0.7287207	0.3249583	0.5129426	0.8839795	0.9783515	0.9734004	0.8544245	0.8958083	0.4568390	0.6788986	0.4295935	0.1210877	0.9371923	0.6263218	0.0997422	0.1661199	0.0076891	0.0002882	0.0594799	0.8041679	0.2507008	0.0815203	0.1705169	0.2712605	0.8530031	0.2080647	0.6337107	0.0206542	0.1244849	0.7996119	0.3071941	0.2015374	0.6051289	0.5103778	0.1309507	0.5650415	0.9744599	0.5043070	0.0000194	0.9994112	0.6803486	0.0185702	0.8772227	0.4699391	0.0451694	0.6044015	0.9998821	0.4065582	0.6998355	0.7066532	0.5503670	0.5614489	0.9162287	0.0864840	0.2552929	0.9962385	0.8782412	0.5754636	0.9727556
500	0.0429765	0.8098812	0.8741651	0.3473354	0.9976377	0.0817094	0.0021975	0.3787588	0.2432460	0.9523121	0.0266218	0.9907160	0.6255033	0.5518013	0.0329992	0.8241847	0.4136950	0.7083864	0.7120057	0.9995960	0.1205306	0.6297043	0.9872169	0.2357699	0.3920086	0.4414476	0.3686086	0.0361745	0.1574595	0.0172458	0.8454969	0.5970241	0.9853978	0.4958763	0.3269338	0.0000048	0.8753184	0.1972244	0.2067401	0.2128657	0.6628825	0.7288419	0.3293747	0.5113825	0.8841332	0.9784789	0.9735235	0.8551710	0.8942063	0.4573936	0.6717928	0.4302251	0.1253124	0.9371928	0.6236628	0.1006910	0.1627430	0.0075415	0.0002802	0.0594498	0.8094341	0.2519321	0.0820233	0.1695695	0.2687462	0.8526980	0.2097408	0.6359744	0.0197864	0.1215420	0.8090116	0.2983356	0.2061552	0.5954024	0.5116510	0.1309253	0.5658394	0.9729127	0.4961695	0.0000187	0.9994181	0.6804868	0.0177391	0.8753364	0.4699851	0.0445421	0.5921179	0.9999578	0.4055457	0.6998418	0.7066925	0.5504031	0.5626681	0.9148999	0.0891439	0.2583722	0.9966764	0.8789940	0.5843839	0.9729875
550	0.0454760	0.6324047	0.6304777	0.3161633	0.9976521	0.0811994	0.0020592	0.3774149	0.2431409	0.9509633	0.1351009	0.9882531	0.6075769	0.5642316	0.0329890	0.7479419	0.4136125	0.7109216	0.7117283	0.9995447	0.1203311	0.6300693	0.9868131	0.2469072	0.4778020	0.4421325	0.3686062	0.0361739	0.1600514	0.0173826	0.5935489	0.5967872	0.9777677	0.4997218	0.3262114	0.0021389	0.8753221	0.1972207	0.2067377	0.2137265	0.6632934	0.7137456	0.3329543	0.5097298	0.8842199	0.9783680	0.9448693	0.8549861	0.8944388	0.4341621	0.6681711	0.4726136	0.1383909	0.8199126	0.6191810	0.1011173	0.2882598	0.0179236	0.0002732	0.0594343	0.7299296	0.3087118	0.1484605	0.1712211	0.2666760	0.8569880	0.2141117	0.6365041	0.0236709	0.1200714	0.8372562	0.3242639	0.2114430	0.5724733	0.5128325	0.1308362	0.7199835	0.9000723	0.4923475	0.0000209	0.9994019	0.6805824	0.0171518	0.8508382	0.4708145	0.0481440	0.6199368	0.9468586	0.6596693	0.6998482	0.6393974	0.5495428	0.5717217	0.9145478	0.0916368	0.2614033	0.9969067	0.8354260	0.5894810	0.9730751
600	0.0732283	0.4648788	0.3463935	0.2843949	0.9974985	0.0816582	0.0020434	0.3768069	0.2432614	0.9422782	0.2786779	0.9733605	0.4980966	0.6198729	0.0329897	0.6944697	0.4136909	0.7092898	0.7033220	0.9990816	0.1201921	0.6305673	0.9845753	0.2577290	0.5634336	0.4391062	0.3686043	0.0361734	0.1548586	0.0174571	0.3409421	0.5946998	0.9713015	0.5028211	0.3258057	0.0047447	0.8753251	0.1972178	0.2067358	0.2139812	0.6666454	0.6884734	0.3359225	0.5075156	0.8841512	0.9772469	0.9252389	0.8475098	0.9076726	0.3469496	0.6777791	0.5077965	0.1952323	0.7474323	0.6061400	0.0998465	0.4275105	0.0367234	0.0002676	0.0594765	0.5332317	0.3595479	0.2151793	0.1852130	0.2636254	0.8597266	0.2247226	0.6255324	0.0668154	0.1232814	0.8674287	0.4763297	0.2248248	0.5323943	0.5138859	0.1305210	0.8249691	0.8236788	0.5063347	0.0000615	0.9992379	0.6805807	0.0168322	0.8240872	0.4775141	0.0769804	0.6585639	0.8842291	0.8568088	0.6998491	0.5674700	0.5462382	0.6195334	0.9205160	0.0957159	0.2664577	0.9967554	0.7742659	0.5765202	0.9727101
650	0.1287681	0.4369959	0.1802382	0.2674045	0.9972934	0.0834551	0.0023185	0.3769602	0.2440036	0.9209002	0.3748946	0.9526158	0.3652961	0.6817909	0.0330229	0.6926683	0.4141255	0.7050794	0.6827847	0.9970093	0.1201659	0.6312671	0.9821282	0.2643005	0.6055603	0.4260118	0.3686028	0.0361730	0.1320311	0.0174873	0.2158730	0.5916854	0.9687637	0.5047937	0.3264362	0.0063894	0.8753275	0.1972155	0.2067343	0.2127333	0.6727520	0.6673903	0.3361366	0.5045536	0.8836670	0.9743706	0.9178488	0.8306385	0.9346328	0.2697386	0.7115996	0.5161557	0.2559651	0.7340740	0.5989055	0.0954324	0.5267493	0.0522135	0.0002631	0.0596897	0.3064447	0.3720010	0.2411979	0.2097278	0.2574207	0.8582395	0.2200964	0.6101502	0.1368277	0.1359852	0.8371148	0.6366814	0.2400680	0.5066398	0.5148290	0.1286835	0.8601583	0.8129237	0.5649318	0.0002043	0.9989275	0.6803036	0.0167664	0.8152039	0.4876850	0.1165534	0.6689051	0.8386658	0.9359947	0.6998383	0.5295891	0.5432814	0.6741929	0.9345665	0.1047833	0.2718228	0.9955261	0.7308618	0.5332979	0.9718874
700	0.1681598	0.4963450	0.0994540	0.2602907	0.9970832	0.0863417	0.0029778	0.3785065	0.2457378	0.8934657	0.4284881	0.9332926	0.2816865	0.7259310	0.0331117	0.7076142	0.4148320	0.7005568	0.6591768	0.9917328	0.1203897	0.6318693	0.9801808	0.2693644	0.6228609	0.4015552	0.3686016	0.0361727	0.1002875	0.0174918	0.1640653	0.5891359	0.9679731	0.5041505	0.3290219	0.0072666	0.8753293	0.1972137	0.2067331	0.2086988	0.6793309	0.6542763	0.3333264	0.5014435	0.8824052	0.9691538	0.9137487	0.8136836	0.9578496	0.2270723	0.7556951	0.5147065	0.2731495	0.7376573	0.6033524	0.0874963	0.5843149	0.0601037	0.0002605	0.0602646	0.1687544	0.3647632	0.2435255	0.2323715	0.2439560	0.8548901	0.1987480	0.6115161	0.1665265	0.1539830	0.7621092	0.7361250	0.2497393	0.5243062	0.5156306	0.1233214	0.8693200	0.8550703	0.6626006	0.0003152	0.9987007	0.6796112	0.0167474	0.8196377	0.4895023	0.1374151	0.6692782	0.8020489	0.9596045	0.6998157	0.5130857	0.5415878	0.6943825	0.9472424	0.1207520	0.2732885	0.9919933	0.7051833	0.4871103	0.9707423
750	0.1686880	0.5706494	0.0634694	0.2587737	0.9968552	0.0899537	0.0036111	0.3820915	0.2482844	0.8685779	0.4558765	0.9182298	0.2522603	0.7517186	0.0332496	0.7213120	0.4155631	0.6958478	0.6410023	0.9842900	0.1210007	0.6320368	0.9785430	0.2739751	0.6294184	0.3748938	0.3686007	0.0361724	0.0760576	0.0174764	0.1434794	0.5874653	0.9676407	0.4989385	0.3332432	0.0076987	0.8753308	0.1972122	0.2067321	0.2016485	0.6846131	0.6473717	0.3320211	0.4991611	0.8801647	0.9633495	0.9105514	0.8020069	0.9711858	0.2076140	0.7900947	0.5151244	0.2528410	0.7429465	0.6094128	0.0757151	0.6116644	0.0614934	0.0002618	0.0612433	0.1046076	0.3544082	0.2384160	0.2448268	0.2265965	0.8514357	0.1731514	0.6337215	0.1462749	0.1689029	0.7027188	0.7757972	0.2468032	0.5740892	0.5156556	0.1182866	0.8702406	0.8940651	0.7526994	0.0002900	0.9986820	0.6786263	0.0167493	0.8277010	0.4839880	0.1339510	0.6683890	0.7732644	0.9593947	0.6997809	0.5065138	0.5406027	0.6868276	0.9541416	0.1408479	0.2707075	0.9844187	0.6910374	0.4577495	0.9693513
800	0.1464854	0.6187600	0.0483030	0.2603452	0.9966123	0.0938389	0.0039009	0.3875783	0.2510867	0.8499428	0.4692344	0.9082443	0.2541042	0.7649112	0.0334013	0.7297012	0.4161504	0.6906518	0.6300345	0.9779807	0.1219387	0.6315887	0.9770322	0.2781153	0.6318002	0.3578502	0.3685999	0.0361723	0.0636227	0.0174346	0.1336167	0.5864796	0.9671771	0.4892125	0.3370761	0.0079041	0.8753320	0.1972111	0.2067314	0.1933718	0.6881137	0.6441047	0.3319053	0.4985382	0.8775472	0.9602315	0.9081818	0.7953196	0.9773680	0.1995337	0.8096528	0.5190438	0.2216413	0.7465950	0.6126543	0.0649877	0.6216438	0.0588333	0.0002691	0.0621513	0.0822421	0.3470339	0.2332146	0.2473570	0.2166187	0.8487775	0.1538058	0.6646543	0.1092021	0.1778683	0.6724258	0.7799525	0.2301397	0.6245488	0.5140284	0.1151908	0.8686952	0.9148207	0.8071906	0.0002110	0.9987935	0.6777221	0.0169758	0.8337429	0.4779128	0.1172110	0.6676648	0.7547386	0.9507338	0.6997390	0.5040305	0.5399243	0.6748167	0.9567347	0.1559660	0.2665918	0.9731283	0.6835827	0.4435872	0.9680557
850	0.1223231	0.6365903	0.0422545	0.2634741	0.9963795	0.0973401	0.0039367	0.3940533	0.2536264	0.8375477	0.4755975	0.9027395	0.2646345	0.7709767	0.0335308	0.7335853	0.4165599	0.6851020	0.6243940	0.9742338	0.1228642	0.6306413	0.9756604	0.2813881	0.6326448	0.3525480	0.3685993	0.0361721	0.0593570	0.0173567	0.1262838	0.5858387	0.9663986	0.4782458	0.3389691	0.0080050	0.8753330	0.1972102	0.2067308	0.1865155	0.6901410	0.6426754	0.3307069	0.4997488	0.8756902	0.9602757	0.9066501	0.7918365	0.9798870	0.1963513	0.8180786	0.5237655	0.1975294	0.7484379	0.6140577	0.0596684	0.6237429	0.0551496	0.0002826	0.0625689	0.0824871	0.3429253	0.2298013	0.2445162	0.2178486	0.8474650	0.1436787	0.6921063	0.0819077	0.1820833	0.6596306	0.7738662	0.2093137	0.6575743	0.5108592	0.1134534	0.8665000	0.9251758	0.8304360	0.0001438	0.9989249	0.6771630	0.0175498	0.8367506	0.4740118	0.1017418	0.6670974	0.7459131	0.9425445	0.6997054	0.5031236	0.5394394	0.6700711	0.9572688	0.1612337	0.2622819	0.9626218	0.6797835	0.4381322	0.9671034
900	0.1053897	0.6371904	0.0400822	0.2670538	0.9961861	0.0999292	0.0038667	0.4004075	0.2556263	0.8300151	0.4786137	0.9001271	0.2721843	0.7736087	0.0336220	0.7345865	0.4168380	0.6797247	0.6218226	0.9721798	0.1234365	0.6296179	0.9745472	0.2835529	0.6329408	0.3536250	0.3685988	0.0361720	0.0589896	0.0172346	0.1195244	0.5852823	0.9654302	0.4697490	0.3393260	0.0080632	0.8753337	0.1972094	0.2067303	0.1824446	0.6912026	0.6420897	0.3286484	0.5021023	0.8750670	0.9615740	0.9057651	0.7901217	0.9808283	0.1951397	0.8203005	0.5271261	0.1846500	0.7489949	0.6148396	0.0588243	0.6239282	0.0524999	0.0002987	0.0625899	0.0913034	0.3408253	0.2280188	0.2404764	0.2258191	0.8476613	0.1403716	0.7107008	0.0687668	0.1835639	0.6547500	0.7704446	0.1944894	0.6733610	0.5072762	0.1124983	0.8643532	0.9313937	0.8361895	0.0001029	0.9990209	0.6769356	0.0184408	0.8377598	0.4721156	0.0930520	0.6666244	0.7431912	0.9381629	0.6996922	0.5028005	0.5391174	0.6720146	0.9571508	0.1597465	0.2579466	0.9565354	0.6777754	0.4367394	0.9665278
