Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G68A	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0	0.0100128	0.3880579	0.0195658	0.7484977	0.2233156	0.2885741	0.0525043	0.3291615	0.6494833	0.0142993	0.2898336	0.6266841	0.0078064	0.5102292	0.0109412	0.4399871	0.5972385	0.1236614	0.0572041	0.3492343	0.0001824	0.0245492	0.1086637	0.2900647	0.6527766	0.1645323	0.3775306	0.3844945	0.5170581	0.4569798	0.3795031	0.0891810	0.6467560	0.0520422	0.5351700	0.0838352	0.6366652	0.3176938	0.1089494	0.6075388	0.1511275	0.4450109	0.7011745	0.2233908	0.3960991	0.2862145	0.3844094	0.7002418	0.4154924	0.1063965	0.4108236	0.0121515	0.5146712	0.6211134	0.3584830	0.1304659	0.0937765	0.2279535	0.2970012	0.1751498	0.2130968	0.2894780	0.0586348	0.1214210	0.1379409	0.3301524	0.6376564	0.5245029	0.7204681	0.3608279	0.4921617	0.1260349	0.1536036	0.1822133	0.4681537	0.3464297	0.4068807	0.3492394	0.6107255	0.6016118	0.3490630	0.3657305	0.1877850	0.3946232	0.1963620	0.0615178	0.4073948	0.6089441	0.4411621	0.2748030	0.4401922	0.2029349	0.0781591	0.6610841	0.5401851	0.3795781	0.3877132	0.0017006	0.3304731	0.3499828
50	0.0000417	0.3472311	0.0490605	0.5181582	0.2989406	0.5373596	0.0073172	0.3126839	0.6056779	0.0277076	0.3591077	0.6655184	0.0231807	0.2753488	0.0145723	0.4813437	0.5135275	0.1154668	0.5210657	0.2973590	0.0005004	0.0277436	0.0737025	0.2039993	0.6891704	0.0465020	0.4236923	0.2445321	0.6156441	0.4774110	0.4704169	0.2748208	0.6330627	0.0517157	0.5081890	0.0706476	0.6101972	0.3446769	0.1428907	0.4756272	0.3436984	0.4255004	0.5870617	0.1616340	0.3473238	0.2701410	0.3619369	0.6146006	0.3433054	0.3441657	0.4602393	0.0326937	0.5299652	0.5958990	0.2862717	0.0953688	0.0284086	0.2908332	0.2611395	0.3096774	0.1460546	0.1749250	0.0150650	0.0787447	0.2094629	0.3418281	0.6494377	0.5559593	0.3851662	0.4338475	0.4263215	0.0525901	0.3598692	0.2482758	0.4019153	0.3656379	0.4090920	0.2264775	0.5214735	0.6161714	0.4294362	0.3531164	0.4669642	0.4029234	0.2272843	0.1677773	0.4835099	0.3703279	0.3664523	0.1891859	0.4756394	0.1623590	0.1984006	0.6477912	0.6494571	0.4408907	0.4480293	0.0025554	0.3822915	0.5426547
100	0.0044960	0.4379041	0.0428258	0.5879192	0.3948178	0.6280616	0.0171753	0.3514350	0.6088250	0.0274325	0.4147366	0.5716683	0.1122081	0.2099017	0.0179557	0.4981399	0.4318871	0.1311513	0.5516619	0.3991532	0.0215685	0.0513118	0.1713458	0.0761444	0.6902474	0.0054980	0.4371330	0.3541034	0.7464471	0.3978457	0.4987694	0.1388374	0.7086600	0.0737442	0.6346250	0.1175441	0.5421966	0.2796681	0.0752856	0.4414450	0.3014272	0.2921613	0.3904694	0.1772937	0.4208262	0.3936282	0.3617142	0.6268347	0.5345077	0.2979945	0.3155877	0.0191465	0.5892365	0.6579207	0.2972073	0.0850496	0.0330609	0.2929983	0.1314294	0.3094358	0.1332354	0.2357199	0.0693049	0.0655513	0.2057643	0.3079199	0.7210332	0.5535837	0.2590048	0.4857916	0.4323481	0.0241245	0.3732223	0.2348825	0.4785134	0.4245589	0.3135325	0.1772428	0.4262062	0.6223151	0.3539773	0.3364562	0.5589159	0.3603132	0.2381130	0.0833010	0.4593261	0.3524955	0.4908031	0.1876428	0.4749920	0.2391385	0.1475912	0.5235345	0.6072162	0.4105843	0.3042826	0.0030687	0.4556905	0.4473777
150	0.0079672	0.3485088	0.0863342	0.4140592	0.3864523	0.6317513	0.0176612	0.3929781	0.6591219	0.0174963	0.3419851	0.4470299	0.2400913	0.2010002	0.0120765	0.4266990	0.4236964	0.1550102	0.6170423	0.3399396	0.0234426	0.0600576	0.4508675	0.0565007	0.6152775	0.0031946	0.4308662	0.3316282	0.6949549	0.5631405	0.5312761	0.1434126	0.6439958	0.0953035	0.7251994	0.1214496	0.4939275	0.2808377	0.1100326	0.6086907	0.2554207	0.2597130	0.3946491	0.1856822	0.4547176	0.4021642	0.4038224	0.6385994	0.4724333	0.4089628	0.3822446	0.0527583	0.5928349	0.7729016	0.2122001	0.0915185	0.0297410	0.2960472	0.0760142	0.4025810	0.1636333	0.1572665	0.0379190	0.0218808	0.2765223	0.4066323	0.7219975	0.5257583	0.1805498	0.4318787	0.4693996	0.0105533	0.3751509	0.2498967	0.4921697	0.3719435	0.3109545	0.1143242	0.4694688	0.5410778	0.3097518	0.4381615	0.4913493	0.3230315	0.2566897	0.0510879	0.4863582	0.1912257	0.5113650	0.2371009	0.5418220	0.1701474	0.1306587	0.6266319	0.5726707	0.4924043	0.4682026	0.0000000	0.5065700	0.5550697
200	0.0143580	0.1221920	0.1410962	0.2885913	0.2504988	0.6872742	0.0266319	0.3733139	0.5894748	0.0350822	0.4862725	0.3568047	0.3942540	0.2098540	0.0520620	0.4099488	0.4721361	0.1594621	0.5286446	0.4516123	0.0394243	0.0791872	0.6271585	0.0725976	0.6236181	0.0217813	0.4757135	0.3046102	0.7928897	0.5337415	0.6493010	0.1517676	0.6761762	0.0451339	0.5518548	0.1351132	0.4664935	0.2491561	0.0960878	0.4892943	0.2292644	0.1015770	0.1809527	0.1757975	0.3977539	0.3298509	0.3562734	0.6187179	0.4176897	0.4305860	0.3082101	0.0164648	0.5997231	0.6778655	0.3526583	0.0982624	0.0399363	0.2567942	0.0373386	0.4573140	0.1277672	0.1944983	0.0396883	0.0039130	0.1981987	0.3883278	0.7264711	0.5668752	0.1382409	0.4084691	0.4506358	0.0016638	0.4432167	0.2726189	0.3730124	0.4047866	0.3454307	0.1471750	0.6233743	0.5372326	0.4090278	0.3613245	0.5173113	0.3965151	0.2761175	0.0222018	0.4244403	0.1234437	0.5139880	0.2228374	0.5233196	0.2029998	0.1160152	0.5242392	0.5491797	0.3943371	0.3858259	0.0010172	0.4853993	0.6359246
250	0.0014032	0.1192791	0.1547331	0.3684708	0.3094670	0.6497631	0.0187774	0.3703791	0.6232347	0.0322466	0.4564252	0.3463757	0.4516130	0.2246086	0.1154572	0.4898581	0.4078656	0.1702617	0.6124587	0.4582398	0.0382946	0.0587273	0.7337155	0.0575066	0.5943980	0.0009603	0.4330264	0.3441083	0.6475243	0.5906556	0.5862095	0.1454254	0.6315569	0.0550910	0.4947119	0.2101701	0.4229703	0.2092020	0.1156477	0.6469304	0.2633263	0.0313678	0.1070198	0.1266804	0.4938580	0.2999560	0.4263935	0.6418345	0.3857765	0.4583352	0.4524422	0.0227105	0.5471840	0.6998137	0.2993544	0.1378964	0.0193571	0.3866985	0.0509305	0.4785532	0.1784068	0.2855081	0.0627253	0.0060203	0.1561501	0.3681610	0.6137848	0.5292687	0.1446668	0.4311863	0.3502663	0.0009042	0.3427819	0.2325294	0.2889986	0.4295459	0.4214099	0.0856807	0.4148480	0.6451093	0.3344869	0.4155922	0.5125837	0.4302373	0.2240207	0.0068860	0.5506005	0.1230036	0.5162001	0.2663013	0.5030181	0.2441267	0.1324883	0.4408708	0.5368240	0.5001966	0.5999664	0.0008576	0.5455374	0.6833406
300	0.0082711	0.1391263	0.2184893	0.3040112	0.4093033	0.6536267	0.0075929	0.3222737	0.6548563	0.0174159	0.4692936	0.3834365	0.4255475	0.2052083	0.2453417	0.5873713	0.4022230	0.2361470	0.6305620	0.5307750	0.0142301	0.0208675	0.5561170	0.0448809	0.6127528	0.0027841	0.4497124	0.2942858	0.5248603	0.4744691	0.5836204	0.1175229	0.6178018	0.1134983	0.7870654	0.1740225	0.2636074	0.1729993	0.1288624	0.7003691	0.2270740	0.0066633	0.1027621	0.1072030	0.5090420	0.3165264	0.4935763	0.6089028	0.4639109	0.3734055	0.3201075	0.0214429	0.5995494	0.7277820	0.3462976	0.0902316	0.0263932	0.2718219	0.1400853	0.5376396	0.0920356	0.3799750	0.0757604	0.0021920	0.2573646	0.3777347	0.6224229	0.5142834	0.1707335	0.4309582	0.4023160	0.0008982	0.2827676	0.2433377	0.2625069	0.4204370	0.3835144	0.1340155	0.4596723	0.5389155	0.2960639	0.4204209	0.4907837	0.3670756	0.1557766	0.0478252	0.5599207	0.1008896	0.5145919	0.2236135	0.5625299	0.2770870	0.1725123	0.5432465	0.4960890	0.4467872	0.4205775	0.0001473	0.4770492	0.7264552
350	0.0096653	0.1115483	0.2612614	0.3593088	0.4640146	0.6987042	0.0078338	0.3647700	0.7129750	0.0225838	0.3713263	0.4602711	0.4065468	0.1889528	0.4186793	0.6815250	0.3903794	0.1967516	0.5777794	0.6874932	0.0132814	0.0521687	0.6158251	0.0403441	0.6229998	0.0008247	0.4313457	0.2736746	0.7161093	0.4661189	0.6266004	0.0757526	0.7116545	0.1068098	0.6650741	0.3357886	0.3372954	0.1587690	0.1918287	0.6373851	0.1889450	0.0075096	0.0575981	0.1720109	0.5377087	0.2388175	0.3438881	0.6867784	0.4110476	0.4092702	0.3799758	0.0245113	0.6373864	0.6114901	0.3571818	0.0728156	0.0351153	0.2884947	0.2449805	0.4470862	0.1777258	0.2443771	0.1132622	0.0020522	0.2280585	0.2820554	0.4533774	0.5380127	0.1358774	0.3383577	0.4785822	0.0006764	0.3653720	0.2714324	0.3502588	0.4646070	0.3904043	0.1277393	0.4323774	0.5896206	0.2745646	0.4829802	0.3746440	0.3950934	0.1346249	0.0461955	0.6056969	0.1429483	0.5302081	0.2324095	0.5846519	0.3106801	0.0813909	0.6577771	0.5273311	0.4281119	0.5525011	0.0039944	0.5110622	0.6312419
400	0.0301937	0.1162340	0.3528604	0.3727101	0.3963388	0.5338837	0.0266460	0.4075395	0.6190205	0.0534971	0.4071081	0.5249228	0.5206945	0.2550289	0.4819644	0.6284080	0.4093328	0.1611496	0.6758720	0.6683914	0.0147289	0.0608794	0.6088617	0.0520894	0.5838118	0.0023395	0.3927217	0.3506563	0.6121764	0.4938437	0.5862391	0.0875040	0.6751632	0.0514950	0.6648389	0.2791559	0.2114877	0.1728573	0.1350704	0.5101768	0.2468121	0.0139700	0.0583572	0.1128987	0.4130749	0.2820827	0.3527930	0.5957895	0.3767305	0.3881208	0.4031620	0.0203449	0.7484718	0.5917292	0.3457137	0.0516080	0.0328407	0.4477428	0.2868687	0.5545821	0.1922564	0.2236638	0.0744900	0.0028778	0.1643820	0.3571274	0.7078238	0.6879329	0.2024404	0.3134766	0.4102061	0.0013132	0.3025545	0.2502022	0.2482364	0.3509201	0.3273790	0.0931036	0.5474907	0.7023298	0.2496290	0.3918421	0.3771877	0.4390174	0.1835292	0.0387795	0.6490141	0.0928622	0.5506650	0.2404456	0.5281605	0.2443691	0.1070710	0.5169662	0.4892914	0.4532979	0.4323737	0.0013769	0.5595115	0.5991903
450	0.1119010	0.1846177	0.3642422	0.3828254	0.4160940	0.5686635	0.0210773	0.3318425	0.6638784	0.0576852	0.5578837	0.3899940	0.5042132	0.1617996	0.5187732	0.6143156	0.3970356	0.2073819	0.5769978	0.6449015	0.0042783	0.0659115	0.6156314	0.0370844	0.6383283	0.0047848	0.4238176	0.3118386	0.6104129	0.6683478	0.5301620	0.1367822	0.6988480	0.0734829	0.6903017	0.3453861	0.2322486	0.1897024	0.1568977	0.7019518	0.2376149	0.0090744	0.0650803	0.0881715	0.4810323	0.2907942	0.4208323	0.6545195	0.4269381	0.3503205	0.3539979	0.0044430	0.6262689	0.6210512	0.4492721	0.0884596	0.0677722	0.2829697	0.2928081	0.4596837	0.1771773	0.1880267	0.0719254	0.0049751	0.1598970	0.2778956	0.7974063	0.7198683	0.1298592	0.3339369	0.5631121	0.0038929	0.4053674	0.3860431	0.2537766	0.5366088	0.4191540	0.1196522	0.6284795	0.6537645	0.2002217	0.4404204	0.3754402	0.4520455	0.2875674	0.0612577	0.5470889	0.0644063	0.4476532	0.2672871	0.5327521	0.2612055	0.0923359	0.4050462	0.4794007	0.4118988	0.4725904	0.0019569	0.5093601	0.6411746
