Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G71A	G95	G96	G97	G98	G99	G100
450	0.7464931	0.7721069	0.4369298	0.5112907	0.9817558	0.7181111	0.9136312	0.7333760	0.3857728	0.0969285	0.4941962	0.8148150	0.5634087	0.4214453	0.7726811	0.9876449	0.6532237	1.0497551	0.2398130	0.5055700	0.0531028	1.1133990	0.2669291	0.5420586	0.7340983	0.5966878	0.8320795	0.5520947	0.6367145	0.7250470	0.5265230	0.2946898	0.0715311	0.3492607	0.0241873	0.0164745	0.6536079	0.5882636	1.0632462	0.1038901	0.7635604	0.1780936	0.7868964	0.0301517	0.5685024	0.1056800	0.4845982	0.4069312	0.0417458	0.6055327	0.2592626	1.0134864	0.4909987	0.2733110	0.9533280	0.4297830	0.6019650	0.1407287	0.0237063	1.0470584	1.1135773	0.4515113	0.8587685	0.9503159	0.8186062	1.0111342	0.3072982	0.0468663	0.6367612	0.0315256	0.8210456	0.4119476	0.8230519	0.1918478	0.5221153	0.0230379	0.5641601	0.0053381	0.0326720	0.8217537	1.0072170	0.4635721	0.0077426	0.1819222	0.3229339	0.7870839	0.6263584	0.2808234	0.2506592	0.9956004	0.4715445	0.6719281	0.0433480	0.8713244	0.8162316	0.5298524	1.0046292	0.1428550	0.8320762	0.8958448
500	0.7556205	0.7380651	0.4404251	0.5038913	0.9457222	0.7566267	0.9053335	0.7433546	0.3834871	0.0822479	0.5438726	0.8240683	0.5895883	0.4439075	0.7210248	1.0007479	0.6761815	0.9690076	0.2563926	0.5097728	0.0718732	1.1100660	0.2352869	0.4301735	0.7690751	0.7048154	0.9181871	0.5271665	0.6494485	0.6891084	0.6098796	0.2513531	0.0798565	0.3500932	0.0200962	0.0149638	0.6066403	0.6396413	1.0886319	0.0981514	0.7122822	0.1750919	0.7926069	0.0336090	0.5796275	0.1532982	0.4509386	0.4105373	0.0720160	0.5261317	0.2165759	1.0076847	0.4181329	0.2821490	1.0389468	0.4301405	0.5933799	0.1598853	0.0273329	1.1111368	1.0100727	0.4416614	0.8250558	0.9931185	0.8555269	0.9720208	0.3683033	0.0459953	0.7663113	0.0467365	0.8894431	0.3722820	0.8609507	0.1809013	0.4921698	0.0180997	0.6039965	0.0074743	0.0372895	0.7597846	0.9836123	0.4019139	0.0062906	0.1410642	0.3359782	0.8587243	0.6861646	0.2591330	0.3220241	1.0299514	0.4405992	0.6297971	0.0211044	0.8198999	0.8433423	0.5686351	0.9634195	0.1547160	0.6469722	1.0161636
550	0.7423734	0.7422490	0.4587498	0.5260432	0.9714275	0.7853954	0.9291268	0.7247247	0.5896298	0.0505253	0.5118649	0.8150543	0.6778997	0.4207477	0.6852854	0.8738665	0.6760873	1.0528793	0.2397654	0.5750171	0.0631052	1.0833183	0.2414501	0.4245195	0.7025689	0.6771795	0.8942949	0.6028116	0.6528984	0.7199938	0.5585947	0.1832432	0.0441575	0.3677730	0.0175860	0.0667884	0.3861096	0.5614611	0.9227503	0.1116821	0.6490413	0.2200961	0.7579313	0.0195564	0.5210615	0.4270519	0.4095583	0.3989325	0.0593677	0.4284340	0.2242405	0.9762413	0.5179745	0.3612139	0.9381000	0.4430154	0.5901497	0.2036778	0.0320671	1.0085583	0.9727433	0.4374270	0.8990228	0.9604501	0.8193410	0.9320165	0.3350878	0.0335398	0.7648440	0.1342515	0.9318841	0.2982747	0.8214625	0.1453516	0.4951416	0.0714950	0.5168634	0.0083283	0.0206737	0.8048770	0.9301383	0.4599905	0.0007153	0.2151667	0.5796784	0.7705906	0.7006652	0.2437470	0.4206304	1.0067058	0.3938677	0.7964881	0.0767863	0.8421935	0.7986039	0.3972209	0.9788881	0.1328332	0.6034625	0.9007022
600	0.6326341	0.8356050	0.3994166	0.4699442	0.9233859	0.8302955	0.8958280	0.8409617	0.6551989	0.0436946	0.5446339	0.7962253	0.7358781	0.4761797	0.7655257	0.8042770	0.7147639	1.1118119	0.2952441	0.5576393	0.0680732	1.0576206	0.1728507	0.5135727	0.6228425	0.6576514	0.8548564	0.8622460	0.6501982	0.6072597	0.5452520	0.0946723	0.0659024	0.3733728	0.0181994	0.1315609	0.1853170	0.4597743	0.9323336	0.0943625	0.5771503	0.1662086	0.7647722	0.0377633	0.3481917	0.7501383	0.4645472	0.4272376	0.1092156	0.3916368	0.1862127	0.9855090	0.4395508	0.3552124	0.9291192	0.4414074	0.6048275	0.1934473	0.0078812	1.0085900	0.8604113	0.3775648	0.9038893	0.9264960	0.8672138	0.9258007	0.3256590	0.0784098	0.7818126	0.1587132	0.9048357	0.3474350	0.8641562	0.1309193	0.5048341	0.1256264	0.5757450	0.0106771	0.0196850	0.7790896	0.7855333	0.4578772	0.0012952	0.2532988	0.9256841	0.7955698	0.7697507	0.2189753	0.4519582	1.0744825	0.4013117	0.8593276	0.0865515	0.8463084	0.7145843	0.2197044	1.0421510	0.0994187	0.5646863	0.9169949
650	0.5314363	0.8713799	0.3997963	0.4613006	0.8788768	0.8136385	0.8969467	0.9358885	0.8405047	0.0314615	0.6592166	0.9066323	0.7987702	0.4471060	0.7539565	0.8023073	0.7041023	0.9968096	0.4739193	0.5283292	0.0637756	1.0227965	0.1016536	0.5825763	0.5459671	0.5864845	0.8213818	1.0256295	0.5622895	0.6747260	0.6267151	0.0404212	0.0773836	0.4251321	0.0193678	0.3408959	0.1256985	0.4962340	1.0102339	0.0712731	0.6098010	0.2119893	0.7508711	0.0166812	0.2522075	0.7487345	0.5580387	0.4981818	0.1124345	0.4149531	0.3469379	0.9464403	0.4875037	0.4039535	0.9541760	0.4539645	0.6486995	0.1851575	0.0201542	0.9667637	1.0241025	0.3735496	0.8615174	0.7922483	0.8310099	0.9492954	0.3615542	0.1462261	0.7812017	0.2202660	0.8495631	0.3833620	0.8950213	0.1130288	0.5146482	0.1647363	0.5764297	0.0099279	0.0073400	0.8626827	0.8816965	0.4910221	0.0056278	0.2534251	1.0086886	0.8826468	0.6637185	0.2374236	0.4921811	0.9440409	0.3560970	0.8153916	0.1264810	0.7158886	0.6841783	0.1441908	1.0280855	0.0894814	0.3926081	1.0016605
700	0.4745043	0.8155252	0.3407456	0.4834791	0.8741074	0.9347135	0.9566531	0.9205409	1.0203912	0.0152667	0.6208886	0.9526604	0.7746384	0.5004283	0.8044138	0.8163265	0.6372463	0.9727757	0.7115963	0.4966836	0.0543649	0.8765226	0.1192069	0.5663663	0.5231832	0.6329869	0.9089659	1.0209789	0.6866866	0.7014853	0.6611070	0.0541768	0.0437112	0.3632152	0.0226495	0.5452956	0.0665162	0.5299088	1.0365415	0.0517978	0.5736350	0.2101847	0.7422729	0.0138897	0.1170359	0.9216188	0.4973579	0.4650860	0.1174881	0.4418590	0.4471880	0.9489100	0.5054767	0.4036793	1.0974755	0.5834324	0.7538004	0.1737765	0.0051462	0.9433771	1.0089678	0.3305138	0.9686652	0.7896539	0.7755247	0.9692994	0.4044122	0.2095943	0.7603528	0.1714970	0.9337755	0.3670889	0.8690394	0.1042939	0.3542773	0.1894904	0.7722865	0.0024444	0.0158588	0.9171865	0.8705361	0.5223825	0.0040517	0.2567049	0.9784617	0.9513841	0.6319295	0.2226870	0.5199876	0.9172939	0.3384053	0.7310117	0.1216607	0.5931977	0.5404580	0.0961878	0.9959846	0.0368089	0.2116862	1.0617027
750	0.4056830	0.8454029	0.2888854	0.4384567	0.8297504	0.9407696	0.9789368	0.9514746	1.0287142	0.0355358	0.7289720	0.9543264	0.7589152	0.4567451	0.8535850	0.8516845	0.6356337	1.0416824	0.8620910	0.4600782	0.0372335	0.9008728	0.0859531	0.6431529	0.4153555	0.6514428	0.9998693	0.9558108	0.6560079	0.7171700	0.6733767	0.0672314	0.0663761	0.4111310	0.0180183	0.6778945	0.1063965	0.5771859	0.8901497	0.0452576	0.5138563	0.1948285	0.6887884	0.0107036	0.1004694	0.8692456	0.4532428	0.4326991	0.1233403	0.3864576	0.5174726	1.0251911	0.5100547	0.3253835	1.0292308	0.5986022	0.8569152	0.2294720	0.0097875	0.9292835	0.9229841	0.2691039	0.9643227	0.8178209	0.7785269	0.9960511	0.3922478	0.2509085	0.8554641	0.1839735	0.7296895	0.4355868	0.9174153	0.1022321	0.2448738	0.2295663	0.7966835	0.0079000	0.0094466	0.9887284	0.9741978	0.5591570	0.0089824	0.2424187	0.9541971	0.9557115	0.4762909	0.2252290	0.4928493	0.9641995	0.3559563	0.7292488	0.1041292	0.5231705	0.5844434	0.0789756	0.9363023	0.0283837	0.1907182	0.9471468
800	0.4240131	0.7366672	0.2443688	0.3361653	0.6719177	0.9819240	0.9431963	1.0040545	1.0373695	0.0221808	0.6613656	0.8784858	0.7171195	0.5087859	0.8901351	0.7956161	0.6693031	1.0146827	0.9551819	0.4498261	0.0494253	0.9195479	0.0894848	0.7026937	0.4572966	0.6596490	1.0065133	0.9283462	0.6224317	0.6608602	0.6311683	0.0769153	0.0648692	0.4231130	0.0111604	0.6441229	0.0918041	0.4246528	0.9710341	0.0254545	0.6072405	0.1772371	0.6416016	0.0264888	0.1237508	0.8381494	0.4156825	0.4018535	0.1476197	0.3395761	0.6007330	0.9350539	0.4051933	0.3296687	0.9495092	0.5577726	0.8350532	0.2244433	0.0153631	0.9368476	0.9459236	0.2430421	1.0329456	0.6817941	0.7675306	0.9279440	0.3737575	0.1517445	0.8305578	0.1904488	0.5936678	0.3547570	0.9154752	0.1005498	0.2083131	0.1670838	0.8428955	0.0066383	0.0079246	0.9061738	0.8576290	0.5717631	0.0000000	0.2169894	0.8692426	0.9372777	0.3311764	0.2252973	0.5104188	0.8981491	0.3276005	0.8423480	0.0803915	0.5204117	0.5579817	0.0612549	0.9998026	0.0141619	0.2083668	0.9651498
850	0.4695844	0.7777975	0.2285799	0.2517899	0.7760211	0.9310867	0.9972806	0.9446161	1.1139707	0.0184242	0.6551795	0.9286846	0.8272864	0.5348494	0.8676850	0.7528820	0.5850323	0.9426581	0.9366906	0.4607924	0.0698487	0.9855266	0.0893189	0.6202286	0.5195381	0.6184450	1.0399879	0.9682980	0.6962055	0.7492524	0.6659936	0.0715694	0.0709922	0.4215560	0.0075512	0.7643510	0.1063335	0.4651189	0.9551978	0.0352034	0.7690709	0.1347243	0.6931703	0.0091471	0.1054641	0.9847110	0.4257493	0.3959498	0.1539660	0.3459483	0.6077641	0.9068304	0.4458824	0.3764400	0.8235401	0.5259040	0.8995691	0.2293212	0.0154557	0.9151738	0.9904185	0.2012021	1.0066643	0.6380618	0.7216365	0.8948289	0.3815348	0.1688841	0.8127929	0.1134197	0.5428286	0.4467597	0.9068057	0.1071221	0.1770127	0.1956478	0.9607926	0.0002190	0.0164162	0.9370959	0.8635865	0.5010756	0.0037751	0.2064439	0.9125646	0.8773239	0.2802385	0.1905130	0.5789384	0.8536356	0.2757076	0.8579432	0.0743852	0.4972062	0.4361808	0.0666100	0.9572840	0.0247037	0.2166409	1.0034509
900	0.5009248	0.8582782	0.2344160	0.2727685	0.6730034	0.9737905	1.0840009	0.8993860	1.0679776	0.0145874	0.6966672	0.9282237	0.8071343	0.5860306	0.8833765	0.7561492	0.5569766	0.9938539	0.9307476	0.4644183	0.0489711	1.0330149	0.0866464	0.6001284	0.5032064	0.6829291	1.0242188	1.0404139	0.6999995	0.7483320	0.6822268	0.0917680	0.0636487	0.3616617	0.0187167	0.8342604	0.0997247	0.5473377	1.0345912	0.0344391	0.7655302	0.1558448	0.6917026	0.0074274	0.1041571	0.9940257	0.4199425	0.4432455	0.1886942	0.3282478	0.5518539	1.0099011	0.4939406	0.3924308	0.9095998	0.4780270	0.9271005	0.2397087	0.0099945	0.8397768	1.0367538	0.2135994	0.9562432	0.5709099	0.7371706	0.9469329	0.3847707	0.1204309	0.8880941	0.1246663	0.4942684	0.4430979	0.8877733	0.1888045	0.1927231	0.1402087	0.8765808	0.0009623	0.0237189	0.9878080	0.9171614	0.5468554	0.0085883	0.1562352	1.1061358	0.7377300	0.2801066	0.2063023	0.5432626	0.8546576	0.2915576	0.8369566	0.0913905	0.4845480	0.3894172	0.0757784	0.9154236	0.0274139	0.1930737	0.8558650
