G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G64A	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4719067	0.7478330	0.9972871	0.7108547	0.0862246	0.5441802	0.6890460	0.0328419	0.7304853	0.4628601	0.1953570	0.0264288	0.1955880	0.5335703	0.3380541	0.9026517	0.0542981	0.9984798	0.8776229	0.6935589	0.0300917	0.2642073	0.4632246	0.0000031	0.9999997	0.6536731	0.4202266	0.2633130	0.5951819	0.6952627	0.0458174	0.1986121	0.0760388	0.9751944	0.8434420	0.0237845	0.6301990	0.2803579	0.8377720	0.9737258	0.2164382	0.5295924	0.3913329	0.3729689	0.8478289	0.9884977	0.9992476	0.4896824	0.4126458	0.9450669	0.0530357	0.3691135	0.8564942	0.7715109	0.4168391	0.2090276	0.2290662	0.6204762	0.0010790	0.9951565	0.0083726	0.9626331	0.8718691	0.6490388	0.0199506	0.6323767	0.5172706	0.2422959	0.1230945	0.4828334	0.6563118	0.7734631	0.0000633	0.8023672	0.6599349	0.6956722	0.1896221	0.9542727	0.9180677	0.1035584	0.2098228	0.0558784	0.1018697	0.9624522	0.4940785	0.2807737	0.6942738	0.0085279	0.4616450	0.4276669	0.1507642	0.4765158	0.1732101	0.9999999	0.4872730	0.2318787	0.0010180	0.1809206	0.1053341	0.1555798
0.0582650	0.3146410	0.0916981	0.4289961	0.6761422	0.1881020	0.4692576	0.2167675	0.5698595	0.1174686	0.2100682	0.3624845	0.8448280	0.0151502	0.4836978	0.8171446	0.1777990	0.9832155	0.8388184	0.9704171	0.1031646	0.3769370	0.2935029	0.0901689	0.9999610	0.3263357	0.3385280	0.2712033	0.7464464	0.1103977	0.4894963	0.1282742	0.0037109	0.9550466	0.8834715	0.5169072	0.6204799	0.0225608	0.9944427	0.7274357	0.4471057	0.6412431	0.1755392	0.2372848	0.2352822	0.5542209	0.9623133	0.9998838	0.4881099	0.8912080	0.1970466	0.9267556	0.5211382	0.7046082	0.5396965	0.1577852	0.0359495	0.6767429	0.2968881	0.4265630	0.1771879	0.9651423	0.4306170	0.1076070	0.3125216	0.9678313	0.4107375	0.2329183	0.5270674	0.6502646	0.8227524	0.0458175	0.6758265	0.5743370	0.5457750	0.2992379	0.3788098	0.6142748	0.8427520	0.9583384	0.1274757	0.0276897	0.6439619	0.1955207	0.8795995	0.3816031	0.8509181	0.1238446	0.9999491	0.6602921	0.5866166	0.2631150	0.3057329	0.9482467	0.5697930	0.2176447	0.1814259	0.2180034	0.1373655	0.0489196
0.0635876	0.8530654	0.8186716	0.5786453	0.1321985	0.3286750	0.9964453	0.0809604	0.5864760	0.2212783	0.0927097	0.4388682	0.9999811	0.0353593	0.5007167	0.3619657	0.5759098	0.4742481	0.2739447	0.0666969	0.5972393	0.9999999	0.0000555	0.1221938	0.9837792	0.1378377	0.0894427	0.7775258	0.3876400	0.0608814	0.4809279	0.4829429	0.1883949	0.9503547	0.9338834	0.0041190	0.7850375	0.0075636	0.9283410	0.9360314	0.2660309	0.6630437	0.3831201	0.4493652	0.3134345	0.7176006	0.9999887	0.9998383	0.3616496	0.9991288	0.0105694	0.5108850	0.8542598	0.9643381	0.5596079	0.3643512	0.2748262	0.7296437	0.1307742	0.7441499	0.0773885	0.3876530	0.3633065	0.0023591	0.1334532	0.7149451	0.0795632	0.1987807	0.8282124	0.5728356	0.9142580	0.2758404	0.2098879	0.5455707	0.5507647	0.8013382	0.7026812	0.9997888	0.5729686	0.9635077	0.3116899	0.2942438	0.3376604	0.2021327	0.0022944	0.3007048	0.5206179	0.1202579	0.9968764	0.8327341	0.4336442	0.1552013	0.0858618	0.9983516	0.4708738	0.0185753	0.3230369	0.7091959	0.3013999	0.1866144
0.1172721	0.8192682	0.3682580	0.6338573	0.4408663	0.4624337	0.3241571	0.4626875	0.4054255	0.3849362	0.1643772	0.4315735	0.9008750	0.2958558	0.2494484	0.5484683	0.5315889	0.8999625	0.9422933	0.8631782	0.2702673	0.7113149	0.0000108	0.1222449	0.5222164	0.0785513	0.2671303	0.2343355	0.9441458	0.2675058	0.5403985	0.5497010	0.2260090	0.9467971	0.7684834	0.0723325	0.7758280	0.0511430	0.1172346	0.6237618	0.6933488	0.7691954	0.6509536	0.2867163	0.5560832	0.8298512	0.9999891	0.9405537	0.5335659	0.9916016	0.0005024	0.7575821	0.7162673	0.9379903	0.4003069	0.4411199	0.1438107	0.8977752	0.4457111	0.9236956	0.5037420	0.6300650	0.4771624	0.5704867	0.4564075	0.4190365	0.3163284	0.1359967	0.3482143	0.5943358	0.7588738	0.2263207	0.1077407	0.7567116	0.5601972	0.9029649	0.1035733	0.8557825	0.2097143	0.2555858	0.1800490	0.1323284	0.5531088	0.7863848	0.2889059	0.2864970	0.7109166	0.1496981	0.7975466	0.4523833	0.9085010	0.7054147	0.7812566	0.9933009	0.6328031	0.2553887	0.0000082	0.5199622	0.0433698	0.4328574
0.5041307	0.6966590	0.7913939	0.3227598	0.2605428	0.4828017	0.9965326	0.0288943	0.0317440	0.2996016	0.0648428	1.0000000	0.1127516	0.9017469	0.1338781	0.8502380	0.7285196	0.8702499	0.5923955	0.2696478	0.3153622	0.3363776	0.7047324	0.9012585	0.0000000	0.0000000	0.1686350	0.0933520	0.3150838	0.8840434	0.6161093	0.6153883	0.0707149	0.9534088	0.9868417	0.0000225	1.0000000	0.0000692	0.7975385	0.4296216	0.0158718	0.4257228	0.2113192	0.9121121	0.0624889	0.8720485	0.9999769	0.8967304	0.5419228	0.9305098	0.0796009	0.3583959	0.9548105	0.9997072	0.4747085	0.2222934	0.1339643	0.3627328	0.0685094	0.7343051	0.5403542	0.8870033	0.4207190	0.3355851	0.0774562	0.9576089	0.6898742	0.8227143	0.2400625	0.5596603	0.2255078	0.9945935	0.3364798	0.6381037	0.4932808	0.8456664	0.7038175	0.9992816	0.7707050	0.5560019	0.2447131	0.2883113	0.9987095	0.9968282	0.4028571	0.9999992	0.7340511	0.2527185	0.8663761	0.2637987	0.2959081	0.7512447	0.1191513	1.0000000	0.1747118	0.2289443	0.0000043	0.2889389	0.0334135	0.2416408
0.0599436	0.9402742	0.5567799	0.5286198	0.3966050	0.2876130	0.9226517	0.0993998	0.8104505	0.3422854	0.0114220	0.3209968	0.7994654	0.0353603	0.8735240	0.3547157	0.6458405	0.2777056	0.6289441	0.3092761	0.5865624	0.9999999	0.0000434	0.1221950	0.9154017	0.1571902	0.0113194	0.0793428	0.7764681	0.2690496	0.2218203	0.6867238	0.3461390	0.9268641	0.6705178	0.0000315	0.9375753	0.0290340	0.4550301	0.8486316	0.1494731	0.6672384	0.5199480	0.5864791	0.3568348	0.6481572	0.9680120	0.9999945	0.5813085	0.9689203	0.0496646	0.6156060	0.9742870	1.0000000	0.2297474	0.1823211	0.4628507	0.8854643	0.0215774	0.7004280	0.4503074	0.2155569	0.6475308	0.2732071	0.1563460	0.6895032	0.0562226	0.0010302	0.9571627	0.7261858	0.6137137	0.7406468	0.8745979	0.8955573	0.7642022	0.9862884	0.1316466	0.7089448	0.2550208	0.9569663	0.0615685	0.0111622	0.2735088	0.0873717	0.7562399	0.7350323	0.6977654	0.0420151	0.7398364	0.7057070	0.5491718	0.8976237	0.9964505	0.9993518	0.4708813	0.1266742	0.0616500	0.5400877	0.4738969	0.2004675
0.3186992	0.9859867	0.8839533	0.6805240	0.2372974	0.1627851	0.0772696	0.3267579	0.5645090	0.1106445	0.0252754	0.5693962	0.9280627	0.2714591	0.7621479	0.4772458	0.7802182	0.6196189	0.8602996	0.4108678	0.3135339	0.7449955	0.0000001	0.0398698	0.9579063	0.1672113	0.4568265	0.2821403	0.6730769	0.4628402	0.1934679	0.8400500	0.3510933	0.9532557	0.9840228	0.9915337	1.0000000	0.0009365	0.7089514	0.5387325	0.1079848	0.6197223	0.0725913	0.6965161	0.2304090	0.7588711	0.9623133	0.9999986	0.6573977	0.9269273	0.0073529	0.6535163	0.9618076	0.9344054	0.0211556	0.3896018	0.0083472	0.3683898	0.1864352	0.6791182	0.2980785	0.7724549	0.4420266	0.8657951	0.3303719	0.4644371	0.2211787	0.0055981	0.5835602	0.6233725	0.9674012	0.1078314	0.7851381	0.8614337	0.0160447	0.0718103	0.2895803	0.9964655	0.4649812	0.2946462	0.0277422	0.0001885	0.8885994	0.7050748	0.6178049	0.3441704	0.8137177	0.4449326	0.7639108	0.6785288	0.1132670	0.8871104	0.2618848	0.8430384	0.5063921	0.0089624	0.2360319	0.5881044	0.0189903	0.2557144
0.3114403	0.6530838	0.9380007	0.8535160	0.2027102	0.6486046	0.3292118	0.4845531	0.8401343	0.0023507	0.1485294	0.9829250	0.9671526	0.2217047	0.4016926	0.3767808	0.7760674	0.6797249	0.6528997	0.1520072	0.5835486	1.0000000	0.0000318	0.1113896	0.2255686	0.0000000	0.0196611	0.7866176	0.6412435	0.0314223	0.2325146	0.9382285	0.8471050	0.9476042	0.7387979	0.0172036	0.6579437	0.0002613	0.7815981	0.3205606	0.2533849	0.6488105	0.6283760	0.5052779	0.4871769	0.5607607	0.9623133	0.9999952	0.7846311	0.8229974	0.1708426	0.9902870	0.6411406	0.8598087	0.5558356	0.9647041	0.3896262	0.7819097	0.1089555	0.7333902	0.2367707	0.5188537	0.5083003	0.8595910	0.7434526	0.4541842	0.0575445	0.1709898	0.6920571	0.4627976	0.9101195	0.6887432	0.3345042	0.7659278	0.5851801	0.6357075	0.7479835	0.7983595	0.8277200	0.9289251	0.0004668	0.1642122	0.7316831	0.6352366	0.0891606	0.7268652	0.8542958	0.0370910	0.9776288	0.5319939	0.4152280	0.4117794	0.2008824	0.9538391	0.5702147	0.0005112	0.1285949	0.8726392	0.1335561	0.0272614
0.0811157	0.7713243	0.8867196	0.1097508	0.2419403	0.3029237	0.3603978	0.1485591	0.5838149	0.2046604	0.0391381	0.6108290	0.9579796	0.0000000	0.6777081	0.7741247	0.3164811	0.9926695	0.7707551	0.7014380	0.0672821	0.4290138	0.2051326	0.0000146	0.6370176	0.0891052	0.1983637	0.8457270	0.7098504	0.3097208	0.0000000	0.6771138	0.3345569	0.9529040	0.9776203	0.0164521	1.0000000	0.0012862	0.7460221	0.8892868	0.3472185	0.7007026	0.7694896	0.5164608	0.2803226	0.9975753	0.9999830	0.8816932	0.4374857	0.9869721	0.2220141	0.6685808	0.8453787	0.7166595	0.3040526	0.1771481	0.0010175	0.5071520	0.0731383	0.7738487	0.1169161	0.6415900	0.5225050	0.1441988	0.3652777	0.9018157	0.1878993	0.5451982	0.8509615	0.6309964	0.8511071	0.2539445	0.0000002	0.6914425	0.9028924	0.7873875	0.1297313	0.4094232	0.6759268	0.5970578	0.0814032	0.0045963	0.2688818	0.0810315	0.0005580	0.2904773	0.8736461	0.4958281	0.9996480	0.3093802	0.2517570	0.3631087	0.5637903	0.9997948	0.5304135	0.0000419	0.3258199	0.4902909	0.0053667	0.1365301
0.2491609	0.9254270	0.7229284	0.1546316	0.3241214	0.3146710	0.4239603	0.1986870	0.4715613	0.0837438	0.1714997	0.9999966	0.0972577	0.9530110	0.2050411	0.6444703	0.2831484	0.9856679	0.8518977	0.9196867	0.1791391	0.7679641	0.1629205	1.0000000	0.0000000	0.0044804	0.0000392	0.4344806	0.5642564	0.7341394	0.5379543	0.6600003	0.3260150	0.9386335	0.6857346	0.0025844	0.9549974	0.0001637	0.9694768	0.9351254	0.3092851	0.5577768	0.4247286	0.8102254	0.1336600	0.9180098	0.9623133	0.9999911	0.7692063	0.9969308	0.1828288	0.5704351	0.7275887	0.6555017	0.0128360	0.2395977	0.3575143	0.8071413	0.2100535	0.1368238	0.1909103	0.5830719	0.5054220	0.5007057	0.3848556	0.5729169	0.8613367	0.3979522	0.2373187	0.7832027	0.4626982	0.9172406	0.1220911	0.9281050	0.6759178	0.7279117	0.6126453	0.9995138	0.6887631	0.5580135	0.0039446	0.2818278	0.9967133	0.7085736	0.5847369	0.9647846	0.4694447	0.6261776	0.6807328	0.0571315	0.2807939	0.4507351	0.0407290	0.9513777	0.5865611	0.5681318	0.4969836	0.2165168	0.1973202	0.7458578
