Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G77A	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
500	0.8158594	0.0169262	0.7428284	0.2411725	0.0318015	0.3140667	0.7429999	0.5938678	0.3495771	0.1210502	0.5852255	0.6397441	0.3676482	0.5312666	0.7718890	0.0558617	0.3266810	0.0725394	0.3673973	0.2660056	0.2429521	0.0357112	0.4590285	0.6374108	0.1430033	0.7431926	0.7166175	0.4302509	0.5300488	0.3756282	0.6256309	0.4411280	0.0270621	0.7391845	0.6549692	0.2828350	0.2318403	0.6818584	0.5972990	0.4857169	0.6274681	0.5895059	0.5460654	0.1259434	0.6100304	0.3426736	0.1455050	0.6997091	0.2686501	0.4223278	0.4642869	0.3720814	0.2006610	0.0138248	0.8359452	0.7535791	0.0980587	0.4610556	0.0000349	0.0312743	0.6071159	0.1860358	0.4855939	0.4492596	0.7361607	0.3629873	0.4035624	0.5300949	0.5892101	0.5367876	0.0909825	0.3562440	0.5762778	0.4622646	0.1672676	0.6191242	0.0313928	0.1104613	0.0011927	0.6011303	0.0613321	0.5633160	0.4191294	0.1888386	0.3966986	0.4814555	0.0139956	0.4053089	0.3736432	0.3410854	0.6186442	0.0110818	0.5308486	0.3914480	0.0642270	0.4281026	0.3325894	0.3860407	0.1350136	0.1503310
550	0.6568351	0.0242448	0.6014429	0.4933920	0.0392537	0.2863934	0.8119489	0.4760321	0.1303132	0.1985154	0.5698336	0.5228606	0.2993720	0.6221895	0.6072850	0.0592703	0.2709672	0.1560504	0.7622965	0.3027512	0.4002928	0.0177205	0.4813347	0.2848742	0.2789789	0.5044867	0.6701571	0.4307714	0.5165010	0.3352405	0.6109623	0.3257191	0.0996143	0.5203695	0.5976941	0.2783626	0.2744841	0.5867748	0.4562916	0.4244089	0.6112485	0.6746705	0.4830859	0.2147305	0.6365346	0.6723617	0.1926305	0.7203001	0.2822956	0.5909365	0.4568619	0.3192830	0.1074656	0.0257174	0.6535378	0.7071669	0.0802433	0.3501480	0.0012075	0.0384182	0.4602098	0.1711243	0.1429121	0.3335568	0.6524707	0.2807386	0.6080421	0.3494147	0.7328221	0.4794635	0.1337148	0.2452838	0.6247081	0.4997491	0.1066916	0.5200223	0.0280513	0.1286329	0.0002988	0.4150563	0.0824916	0.5383333	0.4355426	0.1957765	0.1599842	0.3979096	0.0036292	0.2851599	0.3476128	0.2661472	0.4188301	0.0538705	0.6135677	0.3480020	0.0436957	0.4739408	0.1352289	0.4122981	0.0856393	0.2548828
600	0.8294048	0.0158139	0.5176960	0.5379838	0.0339805	0.2644083	0.8625186	0.5117634	0.1957213	0.2188042	0.7144169	0.5602526	0.2675424	0.6332654	0.7613650	0.1181671	0.1816093	0.2001980	0.6313906	0.2965611	0.2921703	0.0423230	0.5131689	0.2555908	0.2352971	0.4506295	0.5883676	0.3580659	0.4840755	0.4131526	0.7474672	0.4362500	0.1231083	0.5781261	0.7127690	0.2578724	0.2018321	0.5556635	0.4763808	0.3920767	0.5160333	0.6400043	0.5825860	0.1750331	0.5697824	0.6682594	0.2200410	0.6859884	0.3493463	0.6895787	0.4327466	0.2474240	0.1217909	0.0463623	0.7385096	0.8735176	0.0534269	0.2843942	0.0016532	0.0505520	0.5564568	0.2127181	0.0877147	0.3596532	0.6191366	0.2258126	0.5184106	0.3770797	0.6650063	0.3599619	0.1023302	0.2226710	0.6869572	0.5152552	0.1297262	0.4439170	0.0302585	0.0925414	0.0010165	0.4465705	0.0615165	0.5366210	0.4512511	0.3279084	0.1002367	0.3493924	0.0102862	0.3426442	0.4085312	0.3567862	0.3156232	0.0587419	0.6641717	0.3036294	0.0270160	0.5151125	0.1095263	0.4091430	0.1536561	0.2105160
650	0.6710547	0.0123604	0.5311535	0.7731795	0.0366836	0.2709032	0.6393486	0.4993903	0.1410190	0.1408424	0.8079119	0.6057485	0.3200727	0.6067038	0.7289707	0.2313081	0.1947750	0.1742817	0.7321844	0.3158132	0.3708101	0.0422435	0.4762035	0.1638663	0.1793095	0.5209384	0.6281040	0.4369071	0.4552482	0.3656867	0.6703937	0.5385895	0.0986235	0.6041287	0.6723332	0.2652026	0.1998647	0.5673463	0.6627225	0.5697564	0.7783771	0.6753832	0.5083901	0.2602878	0.6932346	0.8055387	0.1632128	0.7486964	0.4481811	0.7000313	0.4123414	0.2817976	0.0636457	0.1084573	0.6336485	0.8167798	0.0660283	0.1446340	0.0029192	0.0944885	0.5716939	0.2099396	0.0220494	0.5003187	0.6228070	0.2538151	0.5659912	0.3245859	0.6787813	0.2676737	0.1208244	0.2384019	0.6643374	0.4050886	0.1378448	0.6055221	0.0279571	0.0728449	0.0097477	0.4733187	0.0562718	0.3895428	0.4638216	0.2837443	0.0774335	0.4160053	0.0551496	0.3677350	0.4068483	0.3278997	0.2304139	0.0723284	0.7136041	0.3533167	0.0332857	0.6009431	0.0449613	0.3444358	0.0994695	0.1518300
700	0.8414675	0.0206328	0.6503768	0.5662299	0.0537539	0.2713425	0.6104629	0.5415729	0.1266404	0.0869345	0.7024292	0.6027759	0.3591771	0.6223191	0.7473645	0.1977775	0.2607895	0.2201985	0.7314347	0.2716518	0.4494264	0.0661850	0.3929032	0.0728879	0.2254269	0.5046905	0.6773317	0.5040527	0.3311895	0.3727346	0.7625843	0.4637227	0.1452061	0.6730508	0.6525526	0.2540250	0.1822411	0.4690476	0.6559136	0.4584096	0.5942221	0.5504889	0.6657955	0.1556364	0.5326523	0.6074093	0.2171913	0.7292003	0.4121050	0.6338953	0.4873953	0.2475452	0.0741073	0.1661587	0.7859865	0.7255659	0.1347701	0.1568066	0.0021589	0.1078942	0.5559823	0.2103473	0.0119619	0.4744033	0.5943252	0.2643792	0.7264660	0.2836226	0.7358253	0.2462304	0.1712259	0.2260969	0.5437736	0.4685772	0.1976506	0.6235407	0.0089716	0.0695403	0.0005378	0.3390627	0.0688213	0.4784524	0.4903665	0.3297888	0.0745812	0.3401789	0.0349303	0.3411198	0.6355627	0.2511846	0.1636963	0.0915597	0.5677995	0.5138737	0.0490773	0.6511623	0.0439976	0.3621380	0.1469743	0.1208353
750	0.5691624	0.0135168	0.6417576	0.6520127	0.0324950	0.2440541	0.6280870	0.5309036	0.0869000	0.1265053	0.7233808	0.6658926	0.3075562	0.5960848	0.5969616	0.1284806	0.2030217	0.2304827	0.5520104	0.2847518	0.2702424	0.0919499	0.4527112	0.0662736	0.1848775	0.6130552	0.5300474	0.4970101	0.3663947	0.3268888	0.5166348	0.3546228	0.0802461	0.5313600	0.5541848	0.1976638	0.2618498	0.5645852	0.5590741	0.4042602	0.6756471	0.6499004	0.6757290	0.1355909	0.5808659	0.6696013	0.2531282	0.6897331	0.4406504	0.6480928	0.3781437	0.3209646	0.0658404	0.2024053	0.6972001	0.7149744	0.1688306	0.1776058	0.0000056	0.0678646	0.6121787	0.2191604	0.0064890	0.4007997	0.6521919	0.2222855	0.5994172	0.2714013	0.7122898	0.2096834	0.1753800	0.3051855	0.4556622	0.6130083	0.1028304	0.6862755	0.0218794	0.0524180	0.0039440	0.3125361	0.0281272	0.3421429	0.3695250	0.2944293	0.0895920	0.3056573	0.0371337	0.3299731	0.5222458	0.3397633	0.0538287	0.1093694	0.6990773	0.3030128	0.0626972	0.5889066	0.0384357	0.5102739	0.1778833	0.0845064
800	0.6709404	0.0295667	0.6023920	0.6593805	0.0350782	0.1775673	0.5843757	0.5690108	0.0355187	0.1339196	0.6632316	0.5256531	0.3529155	0.7921548	0.7202722	0.1501084	0.2480072	0.1586252	0.6466776	0.2686000	0.3588151	0.1020888	0.4675652	0.0375213	0.0965687	0.5604085	0.7190190	0.4280311	0.3483399	0.3315448	0.6377055	0.4709094	0.1008083	0.5840938	0.4650979	0.2989886	0.2516954	0.5940028	0.5240964	0.4680733	0.7072838	0.4625706	0.6405301	0.1073529	0.5757992	0.6566574	0.1977574	0.7392747	0.4935106	0.6130107	0.4899131	0.2735992	0.1361731	0.1762054	0.5779444	0.7376370	0.1482080	0.1636151	0.0004095	0.0254537	0.5639798	0.2485341	0.0010183	0.4547050	0.7604908	0.2585019	0.6336630	0.3680738	0.6117117	0.2343668	0.1640922	0.3430407	0.4786690	0.5621911	0.1490758	0.5556446	0.0034405	0.0646242	0.0020496	0.3232620	0.0559123	0.4834978	0.3352338	0.2361382	0.0857819	0.3908656	0.0734366	0.3197521	0.4732584	0.2885201	0.0333368	0.1580406	0.5881215	0.3493079	0.0621368	0.6409041	0.0222532	0.4196623	0.1858663	0.1247313
850	0.6134358	0.0318397	0.5419045	0.6905246	0.0173735	0.2016302	0.6817979	0.5208281	0.0806052	0.1511490	0.7023630	0.5606709	0.4461678	0.6589175	0.5919650	0.1960847	0.2091681	0.2367939	0.6463461	0.3001225	0.2371889	0.0842653	0.3930441	0.0211023	0.1395430	0.5870729	0.7127062	0.3571789	0.4224027	0.3280401	0.6238550	0.4401681	0.0935305	0.5273683	0.5756554	0.2167776	0.2272953	0.6687188	0.5463771	0.4947945	0.6805203	0.6692080	0.6353314	0.1680662	0.7119488	0.7583211	0.2318338	0.6763506	0.4323672	0.6413203	0.5134120	0.3372512	0.0936456	0.1291840	0.6715611	0.7009977	0.1249215	0.1510555	0.0002229	0.0195882	0.5678873	0.2505421	0.0009554	0.4730420	0.6179791	0.2037040	0.5818628	0.3269975	0.5089308	0.1983780	0.1687018	0.2455112	0.3723645	0.4606531	0.1042919	0.5837961	0.0099801	0.0827880	0.0000416	0.3918760	0.0820478	0.3555644	0.3955533	0.2552065	0.0444590	0.3192490	0.0975962	0.3705567	0.5354078	0.3775520	0.0230470	0.1018132	0.5987594	0.3691143	0.0762724	0.7562280	0.0206207	0.3644911	0.1094473	0.1146095
900	0.8509739	0.0224559	0.6251528	0.6370075	0.0279493	0.3951053	0.6890702	0.4819906	0.1070650	0.1323115	0.7654915	0.5616421	0.3264937	0.6548348	0.6426355	0.1873030	0.2511786	0.1429575	0.6568701	0.3274838	0.2277765	0.0864354	0.5402068	0.0133760	0.1685604	0.6261921	0.6736390	0.3616905	0.3153140	0.3344509	0.7663385	0.3637171	0.0547199	0.5724048	0.5486207	0.2292177	0.1497358	0.5715020	0.6023960	0.6050496	0.6872734	0.6137424	0.5025653	0.1595144	0.6705554	0.6654343	0.2144611	0.6208816	0.5827499	0.6689072	0.4614540	0.2508589	0.1513418	0.1673664	0.6814746	0.6664939	0.1237386	0.1904136	0.0001858	0.0049840	0.5477877	0.3358832	0.0039552	0.4420311	0.6698545	0.2887920	0.6569561	0.4444435	0.6072538	0.2389133	0.1232706	0.2381365	0.4109286	0.4488114	0.0703629	0.5717218	0.0047090	0.0837858	0.0018607	0.4600840	0.0996494	0.4045062	0.4598022	0.3157587	0.0541101	0.2907921	0.1313548	0.2712615	0.5996989	0.3026828	0.0066597	0.1144925	0.5401012	0.3599471	0.0420595	0.5878216	0.0173813	0.3438759	0.2277675	0.1227096
950	0.6709126	0.0200403	0.6978558	0.6934373	0.0221509	0.1882486	0.5726405	0.5731309	0.1276946	0.1626185	0.5648059	0.6123939	0.2972814	0.6730928	0.6684205	0.1801666	0.2302034	0.1576408	0.6381065	0.3554609	0.3539076	0.0553534	0.4787070	0.0249289	0.1601017	0.5611657	0.7202448	0.3878566	0.4276042	0.3939260	0.7010486	0.4843334	0.0857159	0.5920593	0.6133283	0.2580461	0.2835269	0.5437103	0.6182536	0.4938551	0.6459379	0.6483283	0.5496077	0.1343930	0.5635011	0.7064077	0.2099425	0.8191676	0.6216057	0.8461696	0.3939665	0.3267530	0.0776071	0.1335756	0.8018582	0.7055701	0.1088752	0.2163561	0.0002771	0.0037696	0.5420383	0.3136185	0.0003877	0.4847879	0.6206073	0.2098558	0.5550501	0.4041602	0.5135373	0.1617413	0.1565015	0.4056044	0.6243593	0.4780696	0.0998518	0.5524939	0.0094536	0.0756191	0.0011038	0.3565181	0.0330242	0.4880351	0.5369642	0.3762618	0.1295571	0.3607539	0.0470758	0.3225015	0.5442733	0.3709682	0.0068233	0.1492556	0.6104982	0.2547687	0.0993206	0.5897461	0.0362118	0.4328556	0.1560476	0.1437740
