Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
450	0.0113128	0.5798888	1.1408465	0.1264725	0.1377738	0.0016750	0.0508721	0.1550727	0.6421689	0.5764896	0.1492708	0.4735436	0.0027579	0.1348650	0.8785957	0.4184677	0.4499109	0.9450533	0.9817021	0.8891973	0.2456737	0.9968873	0.9839017	0.8463874	0.6281755	0.9035102	0.8588755	0.0772120	0.0326948	0.0176372	0.0226747	0.2391968	0.6125068	0.5078049	0.4604232	0.9377787	0.2220774	0.4699852	0.6534693	0.6861693	0.8037656	0.3179133	0.2626761	0.3029715	0.5190525	0.2225759	0.6180015	0.8025002	1.0273032	0.2179037	0.1407124	0.5606875	0.8635308	0.0061652	1.0420243	0.1292004	0.6758006	0.2657509	0.6361728	0.9843450	0.5110991	0.9042132	0.4786718	0.3734335	0.4860674	0.4891571	1.0104760	0.6845864	0.4405384	0.2767654	0.0659046	0.4079054	0.6487406	0.9195628	0.0989795	0.1021294	0.5170542	1.0102612	0.2334995	0.5349942	0.7000794	0.9832497	0.3760039	0.3566812	0.9354839	0.5660795	0.5359472	0.4659514	0.5433928	0.9334112	0.4368036	0.3938117	0.3852399	0.4499475	0.3199070	0.4894009	0.2895530	0.0173553	0.0502286	0.7500000
500	0.0107417	0.5911127	1.0112344	0.1150160	0.1559653	0.0005185	0.0373099	0.1496120	0.6057366	0.5166785	0.1972746	0.4484575	0.0032523	0.0937148	0.9682582	0.3649843	0.4552228	0.8805131	0.8725239	0.9240379	0.2490399	1.0130420	0.9600996	0.9494961	0.5851869	0.8457923	0.8271148	0.0694787	0.0459183	0.0188643	0.0258175	0.2459365	0.5348799	0.4668798	0.4529071	0.9647504	0.1623527	0.5000640	0.7089674	0.7288891	0.7902367	0.3440723	0.3581720	0.3226265	0.5618350	0.1842700	0.6827680	0.8834402	0.9424279	0.2291085	0.1217343	0.5744816	0.8676033	0.0047602	1.0906549	0.0680882	0.6411372	0.3189541	0.6102333	1.0110979	0.4677043	0.8891162	0.4441345	0.3413320	0.5428741	0.4783024	0.9028427	0.7275104	0.5226208	0.2638862	0.0991561	0.4374222	0.6239773	0.8391975	0.1105005	0.1149385	0.5163835	0.8539896	0.1765174	0.5153038	0.7987178	0.9783216	0.3976359	0.3475599	0.9252258	0.5549382	0.5119204	0.4167581	0.5241949	0.9885762	0.4066473	0.4483513	0.3925485	0.4187441	0.3102918	0.4396681	0.2399365	0.0282446	0.0590491	0.6652197
550	0.0097624	0.5941448	1.0430005	0.1597202	0.2394759	0.0006398	0.0392513	0.0800569	0.6815869	0.5372064	0.2394937	0.3167840	0.0030534	0.0766931	0.9130199	0.3820768	0.5941879	0.9966032	0.8454682	0.9122744	0.2445210	0.7625160	0.9572847	0.9681498	0.7271515	0.8183696	0.6923211	0.0595369	0.0433210	0.0147566	0.1835962	0.2251747	0.6223122	0.5044705	0.4543958	0.7617438	0.1096390	0.6384549	0.5804239	0.5208812	0.8346529	0.3352107	0.3884753	0.2041623	0.6518644	0.3192962	0.6985512	0.8489563	0.9205422	0.2053588	0.1163586	0.4983602	0.8471400	0.0054004	1.0220002	0.1123023	0.6772181	0.3244887	0.6282268	1.0896214	0.4195931	0.7562518	0.4528604	0.4301902	0.5422057	0.4225230	0.8110053	0.8409263	0.5326162	0.2151749	0.1901427	0.2677003	0.5890176	0.8886412	0.1085559	0.0989904	0.5266590	0.5028199	0.1590978	0.5527835	0.8373052	0.9691365	0.3553135	0.3683482	0.9357118	0.5197102	0.5325992	0.4171936	0.6207413	0.9187894	0.4891052	0.4937484	0.4562627	0.6094217	0.3539094	0.4877833	0.2241035	0.0356155	0.0438278	0.6549375
600	0.0137578	0.6584685	1.0222358	0.1635179	0.4308393	0.0000000	0.0410421	0.0503388	0.7203747	0.5022992	0.2028639	0.2032769	0.0015905	0.1117575	0.9137984	0.4684220	0.5063664	0.9536128	0.8828456	0.8519561	0.1908386	0.7625409	0.9448214	0.9278125	0.7630714	0.7637120	0.7087114	0.0851111	0.0785108	0.0310587	0.3335435	0.1625506	0.5931746	0.7044924	0.3586872	0.6355359	0.0931500	0.6659314	0.3921157	0.3064681	0.7525981	0.2828619	0.2361570	0.1410922	0.8163403	0.3764151	0.6683297	0.7643013	0.8937269	0.2794269	0.1067309	0.3900021	0.7651817	0.0091246	0.8111654	0.1584134	0.6524282	0.4189859	0.5952538	1.0189082	0.4822473	0.5886655	0.4841328	0.3163804	0.5259073	0.3786027	0.6274915	0.7310557	0.4865129	0.1723616	0.2628555	0.2236451	0.5466238	0.9483560	0.1304458	0.0883123	0.6063663	0.2082495	0.1988471	0.5654947	0.7317416	0.9443903	0.2315366	0.3253494	0.9905205	0.5053531	0.4464612	0.3997268	0.6100007	0.9544049	0.4356141	0.4631602	0.4814056	0.5502933	0.3788556	0.4682596	0.2470925	0.0352164	0.0555136	0.7382723
650	0.0174593	0.6550793	0.8982537	0.2321560	0.4766205	0.0015959	0.0354642	0.0330627	0.6482249	0.5091696	0.1222520	0.1319893	0.0002002	0.1145346	0.8720452	0.4865438	0.4648474	1.0916484	0.8750135	0.8530054	0.1537456	0.7213980	1.0011426	1.1010860	0.7689099	0.6779301	0.8138829	0.0974383	0.1346007	0.0260783	0.2814541	0.1553056	0.5953873	0.8164356	0.4324416	0.7054370	0.1262763	0.6660030	0.3038714	0.1398041	0.7014824	0.3626071	0.1297521	0.0735047	0.7336594	0.4170536	0.5107665	0.7345129	0.8066081	0.2959164	0.1185615	0.3843870	0.7641187	0.0073033	0.7851401	0.2208841	0.6670897	0.3976384	0.5270216	0.9742337	0.6151656	0.5125891	0.5237029	0.3602070	0.5628173	0.4031372	0.6064986	0.8203740	0.4774516	0.1048634	0.3127518	0.2323644	0.5235557	0.9231246	0.1759165	0.1001514	0.6773475	0.0596417	0.1690154	0.6118472	0.7378249	0.9386753	0.1402344	0.3158673	1.0362061	0.4069174	0.4491589	0.3130121	0.7551155	0.9306202	0.4333100	0.4822699	0.4143464	0.5561505	0.3396786	0.4426398	0.2961618	0.0406655	0.0497836	0.8470384
700	0.0102394	0.7320207	0.9593748	0.1645151	0.4505719	0.0000324	0.0255171	0.0259523	0.6621437	0.4734114	0.1483668	0.0992378	0.0075686	0.1048882	0.8661737	0.4859830	0.4649536	0.9869289	0.9742125	0.8976279	0.1296826	0.6267657	1.0294322	1.1084451	0.8581160	0.6940076	0.9104909	0.0806255	0.1765700	0.0324562	0.3618392	0.1363235	0.5061230	0.8645876	0.3589820	0.7432349	0.1657438	0.7194786	0.3415225	0.0651942	0.7498304	0.4227871	0.1096079	0.0719734	0.8104099	0.5038306	0.5364280	0.7910984	0.7656256	0.2729148	0.1301778	0.4315540	0.8069088	0.0065729	0.8095927	0.3319165	0.7315667	0.4018175	0.6123837	1.0203369	0.5687856	0.5105948	0.5495915	0.2892515	0.5982320	0.4882726	0.8787453	0.8617961	0.4399875	0.0743254	0.3982393	0.1925923	0.5135183	0.9888994	0.2209670	0.1594800	0.7804750	0.0607049	0.2120734	0.5958260	0.8058840	0.8865029	0.1319862	0.3129375	0.9687182	0.3869203	0.4396517	0.2978988	0.5871963	0.8780543	0.5383659	0.4083971	0.4238563	0.5834606	0.2996634	0.5796520	0.2918658	0.0238100	0.0740759	0.9399687
750	0.0107422	0.7074170	0.9356247	0.1264199	0.4400408	0.0018095	0.0283285	0.0290577	0.7671208	0.4192175	0.1077911	0.1048296	0.0070040	0.1069765	0.8157378	0.4542383	0.4835187	1.0312860	0.9360553	0.8892227	0.1166277	0.6261519	0.9983015	0.9358481	0.9346709	0.7114161	0.9184263	0.0804466	0.1889356	0.0325120	0.3582627	0.1160256	0.6652982	0.8771862	0.3490466	0.8566879	0.2054944	0.7837113	0.3639238	0.0285172	0.9079101	0.3992524	0.0583446	0.0408376	0.7735909	0.5311431	0.6221999	0.8746171	0.8842691	0.2712510	0.1098303	0.4511834	0.9185495	0.0075747	0.7821043	0.3743365	0.7289004	0.3365595	0.5898706	1.1126524	0.6748026	0.5960721	0.4417627	0.2668759	0.5883386	0.5156148	0.8521951	0.8785593	0.4685927	0.0800827	0.3567608	0.1709814	0.3751261	0.9793259	0.2437700	0.2668514	0.8653152	0.1604506	0.2573664	0.6841470	0.8429815	0.9231816	0.1366169	0.3661072	1.0341477	0.3693304	0.3467677	0.3796344	0.6155783	0.7619577	0.5397663	0.4294377	0.3623943	0.6221499	0.2440399	0.5313569	0.2724341	0.0350351	0.2163872	0.9421685
800	0.0067170	0.6173724	0.9269150	0.1334490	0.4441476	0.0004430	0.0190176	0.0137200	0.7557476	0.4230710	0.0881919	0.1010463	0.0047025	0.1165959	0.8864085	0.4419159	0.3931042	0.9814473	0.9645139	0.8536144	0.0747447	0.5628607	0.9899475	0.9365792	0.8932830	0.6689153	0.8753397	0.0761621	0.2110190	0.0364410	0.4132205	0.1151707	0.6261640	0.8295396	0.3653805	0.9318987	0.1938214	0.7444887	0.3470526	0.0119790	1.0153110	0.4844220	0.0904441	0.0518015	0.7335399	0.4010678	0.5854057	0.8287614	0.8692775	0.3049475	0.0942641	0.3456634	0.9864771	0.0032732	0.7657062	0.3892168	0.7956683	0.2984583	0.5395337	0.9453078	0.7234790	0.5469589	0.2516025	0.2877536	0.5909059	0.6035596	0.9689377	0.8850548	0.4704410	0.0413465	0.3267469	0.1640897	0.3717812	0.9597193	0.2928605	0.3379743	0.8946397	0.2968291	0.2439204	0.6185688	0.8045806	0.9927477	0.1201710	0.4558512	1.0535512	0.3584195	0.3286691	0.4369418	0.5144356	0.8182031	0.5533041	0.3717382	0.4254472	0.5392279	0.1501988	0.5689291	0.3017021	0.0298061	0.3336040	0.9446548
850	0.0133199	0.6443682	1.0005247	0.0999390	0.3870868	0.0000936	0.0305100	0.0072891	0.7453674	0.4401342	0.1065930	0.0985225	0.0008803	0.1103665	0.9288442	0.3381958	0.4005651	0.9309262	0.9872243	0.9325810	0.0720407	0.6156135	0.9801608	0.9267221	0.8811447	0.7148036	0.9072098	0.0922400	0.1782542	0.0460076	0.3502379	0.1324342	0.6886449	0.8435923	0.2965903	0.7452171	0.1750848	0.6827995	0.3711093	0.0202041	0.9943087	0.4756258	0.0877756	0.0751064	0.7341721	0.5439907	0.5962833	0.7592013	0.7422463	0.2821473	0.1004005	0.3617189	1.0481789	0.0021249	0.7837180	0.4367677	0.7887876	0.2703126	0.4634047	0.9359437	0.7117115	0.6540753	0.1549016	0.2872691	0.5036411	0.5456519	0.9112771	0.7807487	0.4200995	0.0367331	0.3255341	0.1696678	0.3325417	0.9486373	0.2561068	0.2706259	0.9127014	0.1821708	0.2574114	0.6354412	0.7410681	0.9898886	0.1256476	0.5661295	1.0355670	0.4206202	0.3536120	0.4739170	0.4645598	0.8268040	0.6327774	0.2128972	0.4139251	0.5999957	0.1153149	0.6722129	0.2634745	0.0258061	0.4693009	0.8513570
900	0.0225302	0.6889377	1.0994100	0.1079429	0.4401853	0.0017467	0.0370921	0.0148953	0.7756800	0.3962142	0.1336458	0.1165533	0.0012884	0.1116645	0.8706482	0.2950871	0.5432714	0.9667921	1.0484889	0.9275763	0.0628997	0.6155786	0.9615279	1.0215814	0.9759919	0.8126369	0.9867513	0.0706084	0.1905769	0.0323847	0.4134320	0.0941135	0.6949698	0.8871708	0.2612231	0.8297910	0.1645448	0.6486421	0.4204201	0.0370948	0.9829260	0.4479298	0.0810194	0.0435915	0.6932018	0.4994315	0.4845783	0.8046452	0.8008900	0.2481881	0.1017697	0.2970025	1.0581583	0.0025012	0.7177866	0.4531430	0.7720920	0.3118339	0.5055748	0.9478710	0.7992897	0.5690828	0.1583481	0.2670743	0.4594618	0.5211440	0.8646292	0.7525071	0.4387772	0.0336722	0.4304575	0.2351048	0.3060058	0.8809275	0.3014856	0.2179345	0.9074977	0.2121520	0.2410217	0.7717126	0.6594840	0.9466245	0.1009544	0.4982813	0.9415750	0.3827937	0.3562587	0.5541945	0.5164631	0.8430041	0.5353130	0.1956764	0.4320308	0.5517923	0.0662943	0.6552945	0.2532770	0.0322405	0.5508191	0.8230032
