G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G68A	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.8468703	0.9278903	0.8350567	0.0173412	0.9906689	0.5940441	0.9999994	1.0000000	0.9339266	0.0609596	0.0000001	0.8767529	0.0088151	0.5134273	0.0154541	0.2987778	0.4587797	0.0030120	0.3075593	0.1620007	0.5386996	0.0212646	0.9542892	0.9877674	0.0098221	0.0525466	0.0285755	0.7746765	0.5822601	0.2101845	0.5179260	0.0034265	0.0227368	0.7532082	0.1821387	0.9904890	0.9922298	0.8323622	0.5906862	0.7633687	0.0355704	0.7978982	0.9063305	0.3564753	0.8168298	0.3179446	0.5839701	0.0973348	1.0000000	0.0546213	0.6700819	0.2071607	0.4396853	0.7510839	0.7822277	0.0310865	0.5151764	0.9737302	0.5355945	0.9759170	0.3441065	0.8058805	0.4219917	0.4856945	0.6692789	0.0579180	0.9125258	0.3573709	0.2010658	0.8344538	0.0000001	0.8662230	0.9932802	0.6668248	0.5423781	0.9595095	0.2338746	0.9221238	0.3202570	0.9502241	0.4286038	0.8927219	0.6083874	0.3828570	0.3750136	0.1915486	0.9866134	0.2483679	0.0821284	0.9665495	0.4638592	0.5691222	0.9524161	0.9225476	0.5685352	0.8352050	0.0498207	0.5316703	1.0000000	0.3262351
0.2834297	0.9089349	0.8515582	0.0105360	0.3305410	0.0347229	0.2321263	0.2519467	0.1508345	0.6049960	1.0000000	0.0000000	0.3481692	0.5912128	0.0104939	0.2685878	0.1711861	0.1898017	0.2963835	0.2164281	0.5414206	0.0220955	0.7091433	0.9877674	0.0098220	0.0607481	0.0251799	0.8436368	0.6748978	0.9740064	0.0664963	0.0034265	0.0225039	0.6346245	0.2275461	0.8806213	0.9192058	0.1654597	0.7912620	0.2322097	0.3348527	0.7383948	0.8089632	0.4943366	0.8198753	0.2822068	0.5528109	0.3232470	1.0000000	0.0546213	0.5531119	0.4575580	0.7092655	0.6812867	0.8021417	0.4278525	0.5010216	0.7505373	0.8039661	0.9957625	0.1712319	0.9938307	0.4314970	0.6351639	0.3437542	0.3611072	0.7632709	0.3847150	0.2043987	0.7392456	0.0180988	0.2690487	0.9966166	0.6664084	0.4798490	0.9422821	0.0754637	0.9448950	0.5361848	0.7416307	0.4367110	0.8616286	0.8605231	0.0663499	0.3515107	0.1923466	0.8782158	0.3684817	0.0214379	0.9810972	0.9814378	0.4163949	0.9988299	0.7518449	0.5339019	0.8595693	0.0000141	0.5282147	0.9999999	0.4831717
0.8468730	0.9278819	0.8350576	0.0173386	0.9999999	0.5940453	0.4568149	0.9947417	0.5457936	0.1749808	0.2128824	0.8767567	0.0000000	0.5134570	0.0154514	0.2987617	0.4587502	0.0442258	0.3075529	0.1620170	0.5391192	0.0212646	0.9542896	0.9877674	0.0098221	0.0525495	0.0285736	0.7747077	0.5822936	0.2106347	0.3699172	0.0034265	0.0227390	0.7531693	0.1821556	0.9904658	0.9908055	0.7430840	0.5929925	0.7586690	0.0355716	0.7978667	0.9062639	0.3565864	0.8173770	0.3179489	0.5839701	0.0973333	1.0000000	0.0546213	0.5541915	0.3076049	0.5069403	0.7509077	0.7822242	0.0310605	0.5151752	0.9738123	0.5356010	0.9759126	0.3440976	0.9239737	0.4219995	0.4857409	0.6823971	0.0803320	0.9122488	0.3577726	0.2010110	0.8345861	0.0004568	0.7222145	0.9932848	0.6668247	0.5424507	0.9595933	0.2334656	0.7498405	0.5229250	0.9501747	0.4284818	0.8924447	0.9096096	0.2865789	0.3748109	0.1916905	0.9864131	0.2541265	0.0586547	0.9692991	0.8874891	0.5153321	0.9524115	0.8793639	0.5685346	0.8352001	0.1562639	0.5316700	1.0000000	0.2367409
0.4771389	0.9814110	0.3263291	1.0000000	1.0000000	0.5623905	0.3452568	0.9719902	0.3720036	0.2466617	0.3124378	0.7401070	0.4684672	0.0000000	0.1351407	0.5554018	0.3998946	0.0998165	0.3418949	0.0309444	0.5375154	0.0212907	0.9397441	0.9877674	0.0098221	0.0781185	0.0204674	0.8930112	0.7786865	0.2141119	0.2658325	0.0034265	0.0227185	0.9118395	0.1138612	0.9999019	0.9433161	0.2132509	0.7727716	0.3291426	0.0707566	0.8050162	0.9201383	0.3331606	0.6412676	0.2396632	0.5837646	0.0993368	1.0000000	0.0546214	0.5255737	0.3339401	0.5513056	0.7341990	0.7812606	0.0676501	0.6824850	0.9304481	0.2359649	0.9865361	0.3080006	0.9641167	0.4394354	0.4817893	0.2611397	0.0998832	0.9207303	0.3762319	0.2042719	0.6683348	0.0365937	0.6516006	0.9819311	0.7549578	0.5336878	0.9576675	0.2337708	0.7926440	0.5450658	0.9963125	0.5174995	0.9327527	0.9115504	0.2341985	0.3638063	0.1911389	0.8441091	0.2808090	0.0384392	0.8492558	0.9657423	0.4756033	0.9784670	0.8702517	0.5618600	0.8478037	0.7022654	0.4805708	1.0000000	0.1603855
0.8456413	0.9314029	0.8358576	0.0023785	0.5424625	0.5912679	0.4583325	0.9948189	0.5477967	0.1743360	0.2121730	0.8779642	0.0510533	0.9999992	0.0000000	0.3054866	0.4312102	0.0407273	0.3132177	0.4383283	0.5390921	0.0212641	0.9546071	0.9877674	0.0098221	0.0514243	0.0293798	0.7617086	0.5685062	0.2106262	0.3709356	0.0034265	0.0227709	0.3484667	0.3757643	0.9926126	0.9891055	0.6618097	0.6422734	0.6585791	0.0339188	0.7974388	0.9053125	0.3582073	0.8257888	0.3149059	0.5900022	0.0970246	1.0000000	0.0546213	0.5324047	0.3565629	0.5121986	0.8012795	0.7844117	0.0391243	0.5067517	0.9125676	0.5331723	0.9391937	0.3437465	0.9258110	0.4214545	0.4831108	0.8127195	0.0636157	0.8994929	0.3583795	0.2011122	0.9342507	0.0000416	0.7692939	0.9969638	0.6683050	0.5392862	0.9483306	0.2322570	0.6008711	0.5250236	0.6544108	0.4277593	0.9266625	0.9244717	0.3674795	0.3954225	0.1916767	0.9814829	0.2589715	0.0589215	0.9414115	0.8249531	0.5151049	0.9518651	0.7938674	0.5711383	0.8359448	0.1529971	0.5302031	1.0000000	0.2382859
0.9428533	0.4825306	0.8391499	0.0024164	0.9561827	0.5946338	0.4627349	0.9947175	0.9335593	0.0611205	0.2131034	0.8763807	0.0060443	0.9920889	0.0001083	0.0000000	0.4516639	0.0006451	0.0601862	0.4333236	0.5634436	0.0212648	0.9541913	0.9877674	0.0098220	0.0402043	0.3824069	0.1975908	0.0510096	0.2101840	0.5178460	0.0034265	0.0225039	0.2610636	0.4611125	0.9904652	0.9805914	0.4475226	0.7571508	0.3858537	0.0359601	0.7917759	0.8947907	0.3748654	0.9110131	0.8243995	0.5826334	0.4255609	1.0000000	0.0546213	0.6108621	0.3785615	0.4965509	0.8165265	0.8281192	0.0709069	0.5065889	0.8073840	0.9795568	0.9345112	0.3301291	0.9079560	0.2654127	0.5954125	0.7309872	0.0824210	0.8349133	0.3554757	0.1942280	0.9918326	0.0013143	0.8881613	0.9484444	0.6664973	0.5470781	0.9592189	0.2123450	0.3842739	0.3166058	0.9472589	0.2024334	0.9283671	0.9331493	0.4203812	0.2004068	0.1998090	0.9407551	0.0913260	0.7174714	0.6317302	0.7664122	0.5726147	0.7741539	0.5969598	0.8803424	0.8350759	0.0283851	0.7805245	0.9998223	0.3274016
0.8466658	0.9278801	0.8350584	0.0173376	0.8967999	0.5939369	0.4563611	0.9947080	0.5451440	0.1751948	0.2131919	0.8762271	0.0544080	0.5134651	0.0154507	0.2987584	0.0000032	0.0004848	0.3075722	0.1620215	0.5391218	0.0212647	0.9542433	0.9877674	0.0098221	0.0525502	0.0285732	0.7747142	0.5823007	0.2106373	0.3695897	0.0034265	0.0227384	0.7546405	0.1815928	0.9904648	0.9907888	0.7421591	0.5934497	0.7577382	0.0356617	0.7978481	0.9062277	0.3566454	0.8174573	0.3179071	0.5839694	0.0973980	1.0000000	0.0546213	0.5371969	0.3076556	0.5070187	0.7507340	0.7822288	0.0318807	0.5151738	0.8378713	0.5353206	0.9759596	0.3440961	0.9241192	0.4219745	0.4857725	0.6042950	0.0582408	0.9147712	0.3577778	0.2010152	0.8315961	0.0004588	0.7315768	0.9932874	0.6669548	0.5424250	0.9585349	0.2334666	0.7368220	0.5230698	0.9501115	0.4300283	0.8926206	0.9096076	0.2984225	0.3765820	0.1916912	0.9863729	0.2483502	0.0586082	0.9694445	0.8962803	0.5152168	0.9525134	0.8776024	0.5684983	0.8352290	0.1562884	0.5316326	1.0000000	0.2364935
0.8466657	0.9278807	0.8350587	0.0173383	0.8968020	0.5939368	0.4563533	0.9947080	0.5451424	0.1751951	0.2131920	0.8762270	0.0544084	0.5134582	0.0154511	0.2987583	0.4587516	0.0000027	0.3075731	0.1620182	0.5391218	0.0212647	0.9542433	0.9877674	0.0098221	0.0525502	0.0285731	0.7747155	0.5823020	0.2106373	0.3695886	0.0034265	0.0227384	0.7546316	0.1815910	0.9904651	0.9908027	0.7429127	0.5929168	0.7588237	0.0356616	0.7978557	0.9062436	0.3566194	0.8173311	0.3179078	0.5839694	0.0973977	1.0000000	0.0546213	0.5371956	0.3076574	0.5070332	0.7507368	0.7822288	0.0318807	0.5151741	0.8378987	0.5353202	0.9759597	0.3440982	0.9241201	0.4219726	0.4857720	0.6043213	0.0581960	0.9147718	0.3577727	0.2010145	0.8316052	0.0004587	0.7315438	0.9932877	0.6669548	0.5424250	0.9585348	0.2334655	0.7370313	0.5230706	0.9501241	0.4300275	0.8926205	0.9096078	0.2982841	0.3765834	0.1916912	0.9864198	0.2483508	0.0586081	0.9693389	0.8962937	0.5152163	0.9525149	0.8776021	0.5684986	0.8352301	0.1562901	0.5316327	1.0000000	0.2364916
0.8466273	0.9278804	0.8353738	0.0173382	0.8967616	0.5942461	0.4562116	0.9946971	0.5450067	0.1752557	0.2133070	0.8760137	0.0544362	0.5134606	0.0154509	0.2987581	0.4587485	0.0004892	0.0000035	0.1623085	0.5391226	0.0212648	0.9542007	0.9877674	0.0098220	0.0525504	0.0285731	0.7747152	0.5823015	0.2106375	0.3695280	0.0034265	0.0225039	0.7546143	0.1816003	0.9904062	0.9908009	0.7427832	0.5929907	0.7586436	0.0358408	0.7978524	0.9062341	0.3566368	0.8173383	0.3178979	0.5832269	0.1353377	1.0000000	0.0546213	0.5369631	0.3076816	0.5065634	0.7506306	0.7882439	0.0315766	0.5058818	0.4602411	0.9973930	0.9878419	0.3444999	0.9243076	0.4036152	0.6023945	0.6042487	0.0581622	0.9206683	0.3577729	0.2009833	0.8315895	0.0004592	0.7312928	0.9720247	0.6667805	0.5427970	0.9584975	0.2336187	0.7369555	0.5227882	0.9981821	0.4300260	0.8930541	0.9096002	0.2982638	0.3765968	0.1916919	0.9864156	0.2478627	0.0585992	0.9693418	0.8963102	0.5151952	0.7697355	0.8775818	0.4825066	0.8352415	0.1529663	0.7840998	0.9998284	0.2362829
0.8466600	0.9278801	0.8351073	0.0173376	0.8967827	0.5939852	0.4563267	0.9947061	0.5451047	0.1752075	0.2132099	0.8761964	0.0544155	0.5134651	0.0154507	0.2987584	0.4587511	0.0443486	0.3074511	0.0000000	0.5391219	0.0212647	0.9542370	0.9877674	0.0098221	0.0525503	0.0285732	0.7747142	0.5823007	0.2106374	0.3695697	0.0034265	0.0227377	0.7546173	0.1816017	0.9904064	0.9908016	0.7428514	0.5929493	0.7587568	0.0357186	0.7978546	0.9062411	0.3566234	0.8173388	0.3179064	0.5838600	0.0974132	1.0000000	0.0546213	0.5335237	0.3065609	0.5066594	0.7507222	0.7821898	0.0315672	0.5151733	0.7691313	0.5371690	0.9793618	0.3440986	0.9236381	0.5648726	0.4858353	0.6043005	0.0515693	0.9207123	0.3577730	0.2010101	0.8315908	0.0004588	0.7317585	0.9597825	0.6674595	0.5424824	0.9585305	0.0529672	0.7370226	0.5230336	0.9981982	0.4300275	0.8827881	0.9095978	0.2982813	0.3765961	0.1916914	0.9734951	0.2540847	0.0586056	0.9693394	0.8962998	0.5152089	0.9525215	0.8845916	0.5682888	0.8352278	0.7306650	0.5315325	1.0000000	0.2364600
