Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G71A	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.3776922	0.7966989	0.9019470	0.2412282	0.4959689	0.3946628	0.4768374	0.2412104	0.4032205	0.0928540	0.3028279	0.9950810	0.0530799	0.7245830	0.9071994	0.2079861	0.9847457	0.0753515	0.1117977	0.8870829	0.5010722	0.9900949	0.0060603	0.1776665	0.8203037	0.7250238	0.0609295	0.0385987	0.4792078	0.4182279	0.7486564	0.8139399	0.6638789	0.3676741	0.3122576	0.4991452	0.5514322	0.6991374	0.2515967	0.4878634	0.1433397	0.9886214	0.1647022	0.8905460	0.4696916	0.1392359	0.4017716	0.0706346	0.5296407	0.1589215	0.9897316	0.6598945	0.8185795	0.9500554	0.9282905	0.5993982	0.2831042	0.0688085	0.7353999	0.4223857	0.0719945	0.2917803	0.3787311	0.5400934	0.4477955	0.0964003	0.3995084	0.0593052	0.0327068	0.7305248	0.9900632	0.7547081	0.1202036	0.0023497	0.9771846	0.9847368	0.8366979	0.6433373	0.1735011	0.9877098	0.5572556	0.2889900	0.5341483	0.3308240	0.2867971	0.6569167	0.0015009	0.1148095	0.4402883	0.8680353	0.3181622	0.1722271	0.4741381	1.0000000	0.9364688	0.8145002	0.4181529	0.5697416	0.3809525	0.0002199
50	0.3912084	0.7968723	0.9021199	0.2404074	0.4867829	0.3748027	0.4818706	0.2015428	0.5575996	0.0839147	0.3055208	0.6085669	0.0531137	0.6967828	0.9108170	0.2207200	0.9822649	0.0833170	0.1163435	0.8859232	0.4999768	0.9902873	0.0061241	0.1775131	0.8281992	0.8076947	0.0609295	0.0386433	0.3064423	0.4183471	0.7488858	0.8150120	0.6625570	0.2997564	0.3142485	0.4979607	0.5523681	0.6941329	0.3816016	0.4875427	0.1578376	0.9836735	0.1649917	0.8917624	0.4709845	0.2842882	0.2933514	0.0709733	0.5297101	0.1763560	0.9894629	0.6523774	0.8960710	0.9493344	0.9137216	0.4744105	0.3156548	0.0798759	0.7340640	0.4221512	0.0738001	0.2907156	0.3650807	0.6179750	0.4876478	0.0995821	0.3940679	0.0638420	0.3882176	0.7297555	0.9929934	0.6600363	0.1271395	0.0024149	0.9771697	0.9848139	0.7004334	0.6432371	0.1648268	0.8219058	0.5574052	0.3358603	0.6214819	0.2575237	0.3035384	0.5131215	0.0018363	0.2260678	0.6260651	0.7684593	0.3260593	0.1735145	0.4733416	1.0000000	0.9352649	0.8096393	0.2303215	0.5695410	0.3808257	0.0002324
100	0.3968987	0.7969842	0.9022732	0.2355196	0.4753083	0.3777879	0.4088693	0.1235312	0.7389579	0.0777337	0.3255151	0.3017300	0.0531812	0.5817610	0.9216139	0.2316916	0.9756691	0.1106069	0.1401330	0.8851429	0.4995185	0.9900193	0.0061739	0.1773394	0.8543841	0.9011704	0.0609295	0.0387134	0.1640037	0.4184595	0.7490595	0.8143613	0.6625089	0.2527438	0.3152033	0.4987850	0.5538556	0.6250103	0.5404694	0.4845618	0.2528262	0.9426644	0.1641978	0.8838156	0.4968176	0.4035397	0.1966509	0.0702648	0.5298999	0.1953435	0.9878535	0.6156225	0.9366379	0.9500851	0.8857663	0.4796102	0.4632178	0.1159881	0.7335957	0.4351330	0.0756833	0.2884404	0.3314109	0.6838476	0.5324909	0.1326837	0.3551062	0.0877556	0.6915262	0.7170092	0.9958928	0.5684451	0.1419747	0.0025724	0.9744205	0.9849909	0.5248798	0.6429047	0.1414557	0.6496400	0.5605892	0.3973358	0.7087639	0.1752737	0.3600252	0.3617381	0.0040155	0.3657894	0.6673096	0.6869189	0.3694136	0.1860074	0.4715051	1.0000000	0.9307647	0.7867575	0.0884776	0.5695149	0.3759325	0.0001839
150	0.3947738	0.7970652	0.9025083	0.2284861	0.4735098	0.4440329	0.2780700	0.0650713	0.8452004	0.0952434	0.3684262	0.1845091	0.0534915	0.4889495	0.9315448	0.2382787	0.9594388	0.1451901	0.1679381	0.8846929	0.4994292	0.9903857	0.0062067	0.1770871	0.8752900	0.9533421	0.0609295	0.0387182	0.1003982	0.4185477	0.7490680	0.8118875	0.6665468	0.2431687	0.3151068	0.5007627	0.5549767	0.5574414	0.6381786	0.4714572	0.3675363	0.8720027	0.1587151	0.8649456	0.5361153	0.4489166	0.1475185	0.0686988	0.5301598	0.1887331	0.9856589	0.5743114	0.9511609	0.9514815	0.8895827	0.5401606	0.6078329	0.1621046	0.7420821	0.4739220	0.0737734	0.2823390	0.3031333	0.7080706	0.5567006	0.2309278	0.2948420	0.1154597	0.8157052	0.6509560	0.9973979	0.5154366	0.1580352	0.0026123	0.9637631	0.9850721	0.4093833	0.6425451	0.1389770	0.5581248	0.5683512	0.4984403	0.7569041	0.1521070	0.4177622	0.2835234	0.0103898	0.4738621	0.6719747	0.6551307	0.4188782	0.2184901	0.4698566	1.0000000	0.9243244	0.7607327	0.0363381	0.5700966	0.3554664	0.0001220
200	0.3872583	0.7971502	0.9029615	0.2259730	0.4969714	0.5358212	0.1720467	0.0324777	0.8971388	0.1467233	0.4189344	0.1469880	0.0546562	0.4418028	0.9379489	0.2424452	0.9314880	0.1637981	0.1866904	0.8844615	0.4990960	0.9920041	0.0062281	0.1768137	0.8860480	0.9780502	0.0609295	0.0385998	0.0664394	0.4185676	0.7487287	0.8066541	0.6738169	0.2375449	0.3143477	0.5020800	0.5528832	0.5892568	0.6882185	0.4457509	0.4421907	0.8092203	0.1512766	0.8434108	0.5650292	0.4625299	0.1241473	0.0672104	0.5301781	0.1468572	0.9837402	0.5502190	0.9543272	0.9522187	0.8984669	0.5772527	0.7014899	0.2042681	0.7649138	0.5247291	0.0698842	0.2709113	0.2896822	0.7204392	0.5678075	0.3324656	0.2579065	0.1336527	0.8579594	0.4935001	0.9980760	0.4796308	0.1595388	0.0025355	0.9479853	0.9849519	0.3456135	0.6422649	0.1603169	0.5160498	0.5761496	0.6101339	0.7845102	0.1584920	0.4609826	0.2501917	0.0185636	0.5573541	0.6833246	0.6449241	0.4509139	0.2596535	0.4688459	1.0000000	0.9195961	0.7433129	0.0207425	0.5713368	0.3322251	0.0000758
250	0.3821865	0.7972728	0.9035114	0.2365632	0.5405403	0.5938187	0.1153170	0.0164037	0.9205203	0.1984858	0.4584278	0.1358571	0.0573676	0.4215628	0.9420039	0.2465546	0.9054055	0.1609257	0.1964462	0.8842492	0.4981641	0.9939605	0.0062471	0.1765549	0.8908989	0.9891875	0.0609295	0.0384682	0.0454786	0.4184622	0.7480845	0.7975760	0.6795939	0.2133761	0.3139807	0.4983579	0.5435335	0.6416906	0.7117235	0.4161819	0.4817010	0.7684924	0.1493420	0.8268816	0.5793655	0.4674753	0.1132797	0.0661892	0.5299269	0.1046187	0.9821728	0.5409623	0.9522733	0.9509799	0.9036878	0.5967967	0.7532215	0.2469199	0.7962806	0.5677177	0.0733346	0.2528213	0.2912528	0.7368778	0.5737444	0.4012629	0.2495202	0.1440335	0.8714749	0.2962862	0.9983656	0.4487287	0.1413242	0.0024234	0.9365625	0.9847518	0.3121773	0.6420515	0.1920171	0.4977070	0.5787382	0.6809606	0.8006229	0.1677314	0.4870197	0.2372723	0.0237814	0.6179900	0.6989683	0.6419801	0.4670413	0.2916975	0.4683248	1.0000000	0.9182918	0.7341586	0.0163399	0.5727392	0.3245073	0.0000449
300	0.3907514	0.7974196	0.9036964	0.2620017	0.5880898	0.6184333	0.0910741	0.0089401	0.9305456	0.2286789	0.4813346	0.1326890	0.0617706	0.4142005	0.9452998	0.2513395	0.8952503	0.1482844	0.2007001	0.8838967	0.4968716	0.9956298	0.0062694	0.1763324	0.8930893	0.9941241	0.0609295	0.0383865	0.0337338	0.4182360	0.7474977	0.7863392	0.6777806	0.1735565	0.3162019	0.4840070	0.5256851	0.6757166	0.7222196	0.3912916	0.5011283	0.7455908	0.1523863	0.8172057	0.5812823	0.4701609	0.1086245	0.0655929	0.5296814	0.0790952	0.9808915	0.5373213	0.9482104	0.9470018	0.9060079	0.6102889	0.7790989	0.2951903	0.8270988	0.5961778	0.0837778	0.2320138	0.3062907	0.7551577	0.5784156	0.4430688	0.2561780	0.1502652	0.8763208	0.1527006	0.9984883	0.4181333	0.1167426	0.0023232	0.9317273	0.9847919	0.2948818	0.6418387	0.2197863	0.4898819	0.5751594	0.7095104	0.8075917	0.1715542	0.5000655	0.2324666	0.0260630	0.6573226	0.7115394	0.6412536	0.4742433	0.3101604	0.4680900	1.0000000	0.9191152	0.7299615	0.0149989	0.5738621	0.3259173	0.0000261
350	0.4189745	0.7975088	0.9031502	0.2963214	0.6293899	0.6270478	0.0818875	0.0055860	0.9346806	0.2423968	0.4922866	0.1318139	0.0672397	0.4131216	0.9484998	0.2563005	0.8997599	0.1381968	0.2021139	0.8833908	0.4955829	0.9968769	0.0062946	0.1762032	0.8940957	0.9962910	0.0609295	0.0383479	0.0279069	0.4180058	0.7475886	0.7757947	0.6596230	0.1344816	0.3240097	0.4562559	0.5018730	0.6923559	0.7267594	0.3738895	0.5104306	0.7333295	0.1567795	0.8130511	0.5733969	0.4717176	0.1072751	0.0652743	0.5295385	0.0668377	0.9799805	0.5329211	0.9441049	0.9401241	0.9067483	0.6188047	0.7902325	0.3408145	0.8519503	0.6117378	0.0955413	0.2157200	0.3307366	0.7696478	0.5828997	0.4676527	0.2668416	0.1532190	0.8792774	0.0800268	0.9985413	0.3868975	0.0975929	0.0022446	0.9308032	0.9852939	0.2874359	0.6415795	0.2383485	0.4865507	0.5679933	0.7163683	0.8078455	0.1711303	0.5064812	0.2305726	0.0265460	0.6797754	0.7198998	0.6411694	0.4773418	0.3190250	0.4680120	1.0000000	0.9204072	0.7283063	0.0145407	0.5745923	0.3286040	0.0000156
400	0.4629980	0.7974433	0.9018907	0.3317079	0.6610914	0.6298008	0.0786169	0.0041073	0.9363115	0.2479584	0.4968135	0.1315806	0.0727480	0.4156674	0.9515150	0.2607178	0.9094402	0.1330802	0.2021546	0.8828166	0.4945032	0.9977566	0.0063152	0.1762335	0.8945481	0.9972328	0.0609295	0.0383327	0.0252603	0.4180136	0.7492447	0.7641616	0.6192044	0.1065359	0.3401416	0.4177294	0.4769990	0.6987587	0.7286833	0.3630620	0.5148509	0.7268292	0.1604235	0.8126195	0.5593456	0.4725317	0.1076931	0.0651128	0.5294709	0.0616218	0.9794927	0.5264576	0.9408755	0.9309717	0.9067178	0.6233050	0.7932901	0.3741278	0.8697677	0.6180203	0.1047416	0.2064374	0.3567484	0.7787555	0.5870459	0.4808080	0.2778392	0.1533051	0.8824519	0.0489927	0.9985644	0.3583422	0.0862592	0.0021824	0.9314081	0.9861855	0.2885058	0.6412767	0.2502457	0.4850954	0.5604706	0.7166091	0.8043494	0.1690465	0.5109964	0.2295486	0.0261661	0.6903475	0.7254290	0.6412322	0.4787371	0.3228161	0.4680119	1.0000000	0.9214534	0.7278808	0.0144302	0.5749963	0.3302359	0.0000100
