Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G65A	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.2495212	0.2220628	0.6197727	0.5952761	0.5332925	0.4848422	0.2982434	0.5541804	0.0588634	0.5332823	0.6091092	0.6099279	0.0705790	0.6004788	0.1068787	0.2400364	0.0230596	0.1861800	0.3358756	0.5459777	0.5547211	0.1615334	0.4808600	0.2535289	0.1964353	0.6633600	0.0557506	0.2117780	0.1493873	0.0569374	0.4588783	0.2642042	0.0412947	0.3070847	0.1411996	0.2827195	0.4097485	0.5588756	0.1367506	0.4934000	0.3039064	0.5807916	0.2792757	0.6953133	0.1917008	0.0195186	0.1188316	0.3050579	0.4505584	0.0648095	0.2555868	0.4755424	0.2754082	0.5585033	0.5295544	0.4448404	0.5105159	0.7843914	0.5625550	0.6845069	0.0221413	0.3034950	0.4738409	0.0845892	0.0413263	0.6121999	0.1619909	0.1467169	0.6138982	0.1910211	0.1825013	0.0711272	0.5274450	0.1794364	0.4382788	0.6528012	0.3384514	0.0429171	0.6933052	0.0427953	0.2071437	0.0192989	0.1327808	0.7302996	0.0028823	0.2846616	0.2426706	0.4857020	0.3178955	0.0988703	0.4130392	0.4102406	0.5243830	0.2895023	0.0231198	0.1616012	0.6611343	0.2314600	0.3060036	0.3349565
50	0.2745034	0.1792962	0.5740082	0.4376402	0.5914709	0.3696538	0.3365141	0.2635582	0.0771572	0.3023609	0.6326033	0.8182911	0.1487896	0.5742474	0.1438547	0.3235875	0.0316532	0.2398118	0.3418284	0.4812138	0.5083084	0.1260941	0.3839593	0.2914690	0.1548311	0.6002011	0.0592545	0.2043777	0.2224021	0.0692766	0.4753490	0.2507853	0.0972979	0.2760265	0.1870175	0.2541092	0.4134335	0.6293141	0.1112017	0.6356753	0.3907436	0.5702830	0.2389547	0.6454631	0.1494464	0.0228175	0.1343547	0.2812775	0.4076988	0.0082675	0.2115932	0.5880277	0.2176968	0.7110198	0.5462324	0.4971198	0.5346542	0.6242236	0.5481236	0.6450621	0.0114951	0.3106167	0.5431674	0.2655745	0.0505492	0.4488388	0.1974279	0.2419610	0.5668748	0.1920274	0.2445438	0.0539768	0.6504424	0.2526973	0.3954121	0.6649398	0.4079760	0.0523558	0.6441291	0.0316291	0.1729047	0.0359611	0.0978442	0.9145831	0.0103625	0.2622387	0.2334787	0.4796705	0.2931444	0.1202097	0.4807908	0.4545445	0.4444789	0.4004272	0.0616245	0.3170674	0.5675115	0.2813880	0.3081447	0.4959008
100	0.2312604	0.1319566	0.6592317	0.4960885	0.6354870	0.2651479	0.4198090	0.1353372	0.1004094	0.2797889	0.6693701	0.6311668	0.0774802	0.6849162	0.1534009	0.2314297	0.0056226	0.2458948	0.3599229	0.4949365	0.5325598	0.2270317	0.4798084	0.3374121	0.1711198	0.5366273	0.1091000	0.1889545	0.1650276	0.0639213	0.5604973	0.3519634	0.1988180	0.2370284	0.1633413	0.2963905	0.4074121	0.7505214	0.0864619	0.5345032	0.3399183	0.5363317	0.2004773	0.6196999	0.2137672	0.0702163	0.2492489	0.1666854	0.5630889	0.0481078	0.2561072	0.4304279	0.2408823	0.5766610	0.5448334	0.5193168	0.5682648	0.8266125	0.5523510	0.6847461	0.0018180	0.3561463	0.4939385	0.3519922	0.0618042	0.3586500	0.2710984	0.2619795	0.6742049	0.1887366	0.1686451	0.0405499	0.6582280	0.2618986	0.5731895	0.5761251	0.4325666	0.0357573	0.7155434	0.0537771	0.1236078	0.0378526	0.1435463	0.5930539	0.0058537	0.3536721	0.3239087	0.5424232	0.3339940	0.1346328	0.5706682	0.4442678	0.3660059	0.4083994	0.1544250	0.6337114	0.6093444	0.3323609	0.4772621	0.4062502
150	0.2734787	0.2076490	0.6458894	0.5405885	0.5446472	0.2601340	0.3976035	0.0501512	0.0693735	0.2185624	0.6504740	0.6563781	0.0502785	0.5533151	0.1304464	0.2314941	0.0035221	0.3018724	0.2781834	0.2478099	0.4878713	0.1531298	0.4452266	0.3191900	0.1872554	0.7019297	0.0482019	0.2243374	0.1498461	0.0480451	0.4779038	0.3201650	0.1553249	0.2888275	0.1683172	0.2193663	0.4309694	0.6110067	0.1091233	0.4216013	0.3760922	0.6614743	0.1788051	0.6559558	0.3016291	0.1460238	0.2551494	0.1194363	0.5590039	0.1015102	0.2710094	0.3302422	0.2492953	0.6088072	0.5124943	0.4306545	0.5964605	0.7436583	0.5694492	0.6228067	0.0016478	0.4035124	0.4949096	0.3121959	0.2002035	0.2971699	0.3782221	0.2711447	0.5725114	0.3171823	0.1667358	0.0496008	0.7117846	0.2901651	0.5775508	0.5600381	0.2940366	0.0376486	0.6209749	0.0909690	0.1611465	0.0306530	0.1082330	0.7234256	0.0045196	0.3456050	0.2379316	0.4994157	0.2896844	0.1774038	0.5840934	0.5015438	0.4698492	0.3680909	0.1819593	0.5434902	0.5613548	0.2309213	0.2957644	0.3108817
200	0.2126812	0.2195817	0.6424522	0.4549439	0.6310899	0.1579641	0.3478392	0.0196735	0.0453001	0.2214347	0.6754691	0.6423500	0.0456382	0.5437282	0.0899558	0.2161982	0.0027073	0.3679158	0.2098281	0.2222544	0.5858252	0.1164414	0.5531909	0.2757402	0.1503602	0.6984934	0.0514790	0.2711298	0.1802269	0.0584510	0.5777116	0.4011691	0.1874071	0.2746319	0.1343940	0.2895000	0.4140561	0.6556099	0.0977345	0.4448833	0.2998561	0.7081565	0.1174795	0.7280610	0.2735711	0.1591315	0.2732031	0.1543671	0.4924038	0.1321555	0.2574660	0.2941167	0.1969206	0.7232528	0.6136381	0.3815346	0.5884238	0.7021107	0.4421669	0.5194980	0.0022483	0.3288760	0.4510339	0.4850920	0.2449077	0.2425138	0.2913539	0.3076397	0.5147107	0.2881707	0.2741842	0.0536978	0.7076668	0.3760529	0.4864988	0.5117879	0.2057461	0.0329426	0.5684807	0.1732261	0.1886394	0.0167671	0.1238141	0.5936596	0.0068798	0.3218607	0.2114084	0.5409151	0.2720716	0.2025661	0.5488468	0.4095151	0.4549484	0.3223102	0.2306484	0.5558509	0.7552101	0.2819940	0.3104327	0.3384844
250	0.2612235	0.2544543	0.5889741	0.5214116	0.6704530	0.1754846	0.2867121	0.0451913	0.0239234	0.2970199	0.6868896	0.6263359	0.0505873	0.6023581	0.0620212	0.1691208	0.0017074	0.3763169	0.1062817	0.1775740	0.6112299	0.1887531	0.5047979	0.2645929	0.2076399	0.6362284	0.0541273	0.2655816	0.1536111	0.0473712	0.5054958	0.4691923	0.1991173	0.3839088	0.1361974	0.2698974	0.4607641	0.5626748	0.1088054	0.3936524	0.3589542	0.5831510	0.1443118	0.6942911	0.3551396	0.0933750	0.2176924	0.1180541	0.4886139	0.1436832	0.2911846	0.3259686	0.2092073	0.6564774	0.5778469	0.3463963	0.6509371	0.7344588	0.4349695	0.6834925	0.0045678	0.3016883	0.5122998	0.4615951	0.2096398	0.2713740	0.3524710	0.2433452	0.5141894	0.3015947	0.2674606	0.0561674	0.7092830	0.2711523	0.5509423	0.4753694	0.0594565	0.0630089	0.7476116	0.2140419	0.1210346	0.0432983	0.1042961	0.6214693	0.0027925	0.3584543	0.2119393	0.6962450	0.2973819	0.2141516	0.5480464	0.3468726	0.4607022	0.2362310	0.2959257	0.5927048	0.5890658	0.1985112	0.3134843	0.3054138
300	0.2777428	0.3702299	0.7099789	0.5798139	0.6076238	0.1420448	0.2414642	0.0342685	0.0527168	0.2361498	0.6963955	0.4774815	0.1132708	0.6771355	0.0436495	0.2501823	0.0025355	0.5791802	0.0411957	0.2048942	0.5405286	0.1770005	0.4108933	0.2162848	0.2001676	0.7087595	0.0340877	0.2685078	0.2015040	0.0749495	0.4852351	0.4807967	0.1651989	0.2968981	0.1901407	0.2343144	0.3757556	0.6107672	0.1128506	0.3495637	0.3512550	0.5775706	0.1449346	0.7512790	0.3081112	0.0737650	0.2248451	0.0947683	0.5702160	0.1546777	0.2162487	0.2926161	0.1806229	0.6059040	0.5494885	0.3586744	0.6845886	0.6433569	0.4396653	0.5780639	0.0006802	0.3384846	0.5154232	0.4404830	0.3864341	0.1596376	0.2622804	0.2398667	0.4797034	0.3199209	0.2774193	0.0567122	0.6611442	0.3031726	0.4903194	0.4589932	0.0690496	0.0850066	0.6887820	0.1881911	0.1313554	0.0232746	0.2114241	0.6038304	0.0018326	0.4078691	0.2086827	0.4718689	0.3198010	0.2956873	0.4474662	0.4004890	0.6348265	0.3264127	0.2460059	0.6445003	0.5705647	0.2264356	0.2474430	0.2838424
350	0.3080553	0.3359223	0.7110677	0.5319365	0.5784782	0.1724421	0.3906126	0.0113328	0.0647594	0.2087913	0.7501172	0.5762793	0.0873273	0.6822902	0.0513233	0.2005017	0.0000545	0.5496675	0.0888626	0.1988892	0.6546276	0.1911383	0.3722738	0.1340405	0.1645514	0.6159066	0.0813663	0.3092265	0.2379203	0.0822749	0.5795303	0.4239639	0.2384784	0.3101631	0.1847466	0.1926840	0.3138725	0.4775046	0.1187900	0.3737165	0.3032200	0.5998651	0.1270874	0.7486535	0.2580690	0.1271428	0.2020163	0.1249936	0.6303481	0.1291387	0.2063039	0.2797853	0.2023857	0.5188791	0.6145902	0.3516293	0.5660326	0.5999097	0.3375387	0.6923660	0.0145610	0.4064580	0.6080456	0.4814350	0.3380413	0.1793256	0.2546666	0.3552304	0.4421620	0.3568068	0.3939274	0.0406920	0.5923958	0.3605765	0.4629771	0.6208035	0.0909467	0.0708127	0.5917248	0.2136226	0.0726650	0.0529626	0.1138119	0.6491945	0.0007263	0.3222110	0.1698495	0.6310195	0.2498509	0.2760851	0.5175228	0.4442444	0.6169632	0.3001854	0.2501347	0.6298949	0.6379062	0.2089087	0.2355369	0.3561066
400	0.2883105	0.3903940	0.6476080	0.5725199	0.6619690	0.2000316	0.3245892	0.0433227	0.0486021	0.2018258	0.5834360	0.5141219	0.0821828	0.5850825	0.0637625	0.1735435	0.0003637	0.5279603	0.0616198	0.1952116	0.6870592	0.1508569	0.4747072	0.2112597	0.2090758	0.5059944	0.0498127	0.2680172	0.1874969	0.0356165	0.5654711	0.3638333	0.1489779	0.2520381	0.1757198	0.1462539	0.3320308	0.6494089	0.1227932	0.3003043	0.3132827	0.6261517	0.1329656	0.6692036	0.3387130	0.0678511	0.2052332	0.1001283	0.4673109	0.2296167	0.2066875	0.2415319	0.2642006	0.5741049	0.6153925	0.3367562	0.6009905	0.7426722	0.2819104	0.7710588	0.0009287	0.3612459	0.4829934	0.5091876	0.4232745	0.2310988	0.3219542	0.3928249	0.5631593	0.4447781	0.3911895	0.0441533	0.6664017	0.3883674	0.4972169	0.5535723	0.0513840	0.0377098	0.5886891	0.1748629	0.1107686	0.0362922	0.1962394	0.6449646	0.0001541	0.2540336	0.2013937	0.4301158	0.2543108	0.4142630	0.5034168	0.3964441	0.6077577	0.3284793	0.2725935	0.5049223	0.7329652	0.2238685	0.2152238	0.2881729
