G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G64A	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.1640897	0.8139674	0.7249691	0.7017403	0.3243311	0.4687196	0.3291570	0.4657397	0.4501542	0.0393450	0.0000000	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.5800815	0.7409612	0.2902244	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005927	0.4800313	0.3501206	0.2688112	0.1165270	0.8903765	0.5877478	0.9603118	0.9986855	0.0126921	1.0000000	0.0002095	0.8508330	0.0177948	0.0328722	0.9416505	0.6632087	0.8939408	0.0745791	0.6796265	0.9999875	0.9999999	0.6023839	0.7855682	0.0428708	0.8859979	0.7144374	0.8959674	0.2551131	0.0652517	0.0649932	0.4923808	0.1166435	0.4498244	0.4959062	0.6830508	0.2759194	0.4679794	0.2805929	0.5639838	0.1785811	0.1236311	0.8072671	0.7130951	0.8267752	0.4103658	0.0015790	0.8454082	0.6102549	0.6741528	0.7097438	0.9987333	0.7204250	0.8572481	0.0023965	0.1951729	0.9322521	0.6970146	0.1862788	0.9362678	0.6693298	0.1020673	0.9184042	0.5705005	0.4758627	0.6723452	0.5989822	0.9999977	0.3847079	0.1621466	0.0085902	0.6298109	0.0410360	0.4686576
0.0622521	0.5632911	0.2884991	0.7027276	0.5428887	0.7516830	0.8758389	0.0105746	0.7707141	0.0370560	0.1504638	0.0000000	0.9996371	0.0729200	0.5434345	0.4040286	0.5830497	0.7368007	0.2870440	0.1706040	0.5012173	0.9455720	0.0743000	0.1221935	0.9999999	0.8064836	0.1087461	0.4352315	0.6474250	0.0155766	0.1768892	0.5606613	0.1827150	0.9603063	0.9985792	0.0041221	0.9506317	0.4574931	0.8422205	0.0183059	0.0324891	0.9439194	0.7579075	0.4625504	0.5766362	0.5755098	0.9999875	0.9999999	0.6055635	0.7802632	0.0027819	0.8275234	0.4988920	0.7116878	0.8692089	0.1008177	0.0326530	0.8221644	0.0173606	0.9066831	0.0023934	0.6719698	0.2516426	0.3855966	0.0683392	0.6941598	0.1260051	0.0872307	0.9117867	0.6271980	0.8545508	0.4220174	0.0059341	0.4726484	0.8498372	0.6883609	0.4461652	0.9996477	0.7921225	0.9140184	0.2689786	0.2685947	0.0192086	0.2063838	0.6279665	0.6070154	0.6630235	0.1060516	0.7226058	0.9850308	0.3882086	0.6541915	0.6026423	0.9990576	0.0105393	0.2064166	0.0104142	0.2905973	0.0424441	0.1174393
0.1777183	0.9834460	0.8207504	0.7017651	0.2794551	0.1737357	0.3291570	0.4657397	0.4501543	0.0396564	0.1507049	0.9989634	0.0000000	0.3679660	0.5116734	0.4076558	0.5800815	0.7409612	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0000485	0.4800502	0.3501206	0.2688130	0.1165491	0.8992816	0.6230938	0.9603103	0.9986560	0.0124034	1.0000000	0.0002095	0.8508330	0.0177948	0.0328722	0.9416501	0.6632163	0.8939408	0.0745791	0.6796274	0.9999875	0.9999999	0.6023836	0.7855684	0.0558350	0.8735272	0.7202834	0.6021762	0.2551173	0.0438330	0.0676204	0.4669759	0.1309031	0.0362179	0.7594317	0.7092202	0.2760869	0.4914174	0.2922821	0.5639841	0.1785811	0.1240444	0.8083166	0.7112567	0.8268245	0.4352631	0.0015798	0.8454045	0.6102599	0.6775736	0.7097434	0.9987200	0.7204252	0.8572474	0.0018178	0.1951725	0.9322501	0.6970150	0.1862790	0.9362679	0.6496484	0.1020712	0.9255258	0.5705005	0.4733057	0.6626110	0.5989822	0.9999977	0.3847079	0.1621464	0.0085902	0.6298104	0.0410360	0.4686576
0.1612803	0.7881352	0.6905150	0.7017306	0.3393163	0.4988483	0.3291570	0.4657397	0.4501543	0.0396564	0.1507049	0.9989634	1.0000000	0.0000001	0.5116734	0.4076558	0.5800815	0.7409612	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005927	0.4800318	0.3501204	0.2687492	0.1116186	0.8881991	0.5797877	0.9603103	0.9986560	0.0127639	1.0000000	0.0002095	0.8508330	0.0177948	0.0328722	0.9416499	0.6631966	0.8939408	0.0745791	0.6795939	0.9999875	0.9999999	0.6023837	0.7855683	0.0385473	0.8889608	0.7170840	0.8943816	0.2551574	0.0816127	0.0636978	0.4988880	0.1133228	0.6548739	0.3804237	0.6742500	0.2760774	0.4632238	0.2778529	0.5639838	0.1785811	0.1235549	0.8084230	0.7132827	0.8268545	0.4031090	0.0013767	0.8461062	0.6102600	0.6726641	0.7097435	0.9987389	0.7204183	0.9790158	0.0025549	0.1951725	0.9322526	0.2866258	0.1862790	0.9362677	0.6793562	0.1012625	0.9165413	0.9349145	0.4765072	0.6726793	0.5989822	0.9999977	0.3847079	0.1613382	0.0085902	0.6298284	0.0410360	0.4686576
0.1650346	0.7984319	0.7637942	0.7117447	0.3069186	0.4869293	0.3290909	0.5056310	0.4389244	0.0396712	0.1484324	0.9989634	0.7894267	0.3679660	0.0000000	0.3767808	0.6044160	0.7055895	0.2623308	0.1576067	0.5456382	1.0000000	0.0830394	0.3052289	0.0770282	0.0092145	0.0006862	0.4801486	0.6834799	0.1457056	0.1857599	0.9133112	0.6896542	0.9603102	0.9986546	0.0119799	1.0000000	0.0002338	0.8113305	0.0176426	0.0296952	0.9555883	0.8080272	0.8939407	0.0745791	0.6484440	0.9999875	0.9999999	0.6192899	0.7576890	0.5372903	0.8899080	0.5283102	0.6449676	0.2929999	0.2720518	0.5285514	0.6782641	0.0721137	0.4182263	0.5077838	0.6657523	0.2603356	0.5371217	0.2684400	0.4404370	0.1643029	0.1253542	0.7979392	0.7098723	0.8672144	0.4455052	0.0069073	0.8446736	0.6248043	0.6893834	0.4133453	0.9998590	0.7220736	0.8098526	0.0010870	0.3987533	0.9322532	0.8905057	0.0570235	0.9362785	0.6299251	0.1083241	0.9297511	0.5720333	0.4750377	0.6737072	0.5989795	0.9999983	0.0105379	0.1822877	0.0022224	0.6756286	0.0419254	0.4796252
0.1646390	0.7949613	0.7594179	0.7117071	0.3089215	0.4909454	0.3290909	0.5056310	0.4389244	0.0396834	0.1484322	0.9989634	0.7894267	0.3679660	0.5116734	0.0000000	0.6044160	0.7055895	0.2512375	0.1517375	0.5456382	1.0000000	0.0830782	0.3052289	0.0770282	0.0092145	0.2270609	0.3654069	0.3632371	0.3050157	0.1126238	0.8918269	0.5933444	0.9603102	0.9986534	0.0126557	1.0000000	0.0002096	0.8507595	0.0176126	0.0285623	0.9588743	0.6226799	0.8939410	0.0745790	0.7073083	0.9999875	1.0000000	0.6354589	0.7317275	0.0494317	0.8791725	0.7428769	0.9020126	0.2188509	0.0718188	0.0629505	0.5227114	0.0594822	0.4975206	0.5063939	0.6836514	0.2601150	0.4668235	0.5182123	0.5292647	0.1635419	0.1226953	0.8024878	0.7127788	0.9992814	0.4275840	0.0014165	0.9966651	0.6380146	0.1141195	0.6709888	0.9977704	0.7465766	0.8590243	0.0021904	0.2449686	0.9320240	0.6906021	0.1264921	0.9362843	0.6459193	0.1081604	0.9237516	0.5720333	0.4831697	0.7924443	0.5989785	0.9999974	0.3847090	0.1931171	0.0078745	0.8326692	0.0438734	0.5813502
0.1640868	0.8139676	0.7249692	0.4436463	0.3243310	0.4687195	0.3291570	0.4657235	0.4501587	0.0396564	0.1507049	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.0000004	0.7409612	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005927	0.4800318	0.3501159	0.2688195	0.1165259	0.8903737	0.5877345	0.9603103	0.9986560	0.0126922	1.0000000	0.0002095	0.8508330	0.0177948	0.0328722	0.9416500	0.6632089	0.8939408	0.0745791	0.6796284	0.9999875	0.9999999	0.6023837	0.7855683	0.0421433	0.8849045	0.7166380	0.8958417	0.2551107	0.0652501	0.0689358	0.4923949	0.1166442	0.4498255	0.4959014	0.6830118	0.2760868	0.4679720	0.2805902	0.5639860	0.1785818	0.1236307	0.5908416	0.1612374	0.8267750	0.4103670	0.0015789	0.8454083	0.6102600	0.6741520	0.7097477	0.9987332	0.7204165	0.8572468	0.0023967	0.1951662	0.9322521	0.6970151	0.1862983	0.9362677	0.6823749	0.1020683	0.7036129	0.5705005	0.4758599	0.6990465	0.5989822	0.9999977	0.3847079	0.1621464	0.0085902	0.6298085	0.0410360	0.4686570
0.1640899	0.8139676	0.7249693	0.7017403	0.3243310	0.4687196	0.9999969	0.4657397	0.4501543	0.0396564	0.1507049	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.5800815	0.0000000	0.2902245	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005927	0.4800318	0.3501207	0.2688183	0.1165270	0.8903761	0.5877436	0.9603103	0.9986560	0.0040421	1.0000000	0.0002095	0.8508330	0.0177948	0.0328722	0.9416500	0.6632103	0.8939402	0.0745795	0.6796302	0.9999875	0.9999999	0.6023837	0.7855683	0.0428702	0.7003012	0.7166248	0.8958454	0.2551077	0.0652521	0.0648989	0.4923934	0.1166447	0.4498286	0.4959061	0.6830107	0.2760868	0.4679775	0.1781667	0.5639840	0.1786726	0.1221426	0.8072688	0.7131162	0.8267752	0.5960140	0.0015789	0.8454081	0.6102600	0.6926985	0.7097433	0.9998483	0.9056730	0.8572459	0.0023965	0.1951725	0.9322095	0.6970152	0.1862790	0.9362713	0.6693317	0.1020684	0.7694781	0.5705005	0.4758626	0.6723446	0.5989822	0.9999993	0.3847079	0.1613381	0.0085902	0.6298106	0.0410360	0.4686576
0.1538775	0.7282291	0.5891617	0.4436096	0.3825487	0.5658483	0.3291570	0.4657235	0.4501587	0.0396564	0.1507049	0.9989634	0.7894267	0.3679660	0.5116734	0.4076558	0.5800815	0.7409612	0.0000000	0.1722730	0.4953803	0.9386487	0.0829335	0.3052289	0.0770282	0.0092145	0.0005927	0.4800318	0.3501159	0.2688194	0.1165041	0.8817609	0.5575665	0.9603103	0.9986560	0.0129839	1.0000000	0.0002095	0.8508330	0.0177948	0.0328722	0.9416500	0.6632087	0.8939409	0.0745790	0.6796283	0.9999875	0.9999999	0.6023837	0.7855683	0.0318902	0.8647098	0.7167671	0.5736501	0.2551107	0.0652501	0.0636680	0.5222924	0.1058836	0.4498253	0.4959014	0.6830117	0.2760868	0.4503278	0.2702111	0.2097194	0.1785818	0.1233620	0.9649081	0.7170067	0.8267352	0.3902388	0.0015780	0.8454115	0.6102600	0.6704372	0.7097478	0.9981869	0.7204304	0.8782354	0.0030645	0.4313083	0.9322542	0.6556980	0.0653952	0.9362676	0.5636761	0.1020648	0.9086770	0.5705005	0.4785001	0.6702593	0.5989822	0.9999977	0.3847079	0.5938932	0.0059123	0.6298085	0.0410360	0.4686570
0.1543052	0.7316344	0.5947288	0.6837268	0.3801568	0.5620948	0.3291580	0.4652176	0.4502955	0.0398244	0.1507338	0.9989634	0.7894267	0.3679660	0.5116734	0.4080669	0.5797433	0.7414325	0.0664839	0.0000000	0.4947200	0.9378683	0.0834684	0.3052289	0.0770282	0.0092145	0.0000483	0.4800239	0.3499647	0.2685096	0.1165812	0.8820695	0.5585483	0.9603095	0.9986398	0.0129722	1.0000000	0.0002095	0.8508340	0.0175072	0.0196814	0.9973943	0.6635540	0.8939409	0.0745790	0.6793306	0.9999875	1.0000000	0.7469675	0.5641267	0.0324654	0.8672125	0.7133341	0.8902424	0.2554792	0.0651681	0.0639993	0.5431085	0.1063815	0.4494707	0.4954791	0.6853646	0.2763022	0.4508806	0.2703689	0.4217710	0.1787874	0.1236679	0.9115465	0.7156251	0.8265810	0.3914017	0.0015814	0.8448567	0.7175796	0.6706865	0.5858256	0.9982379	0.7201051	0.8781847	0.0025158	0.6490075	0.9322840	0.6558493	0.0005507	0.9363199	0.5842470	0.1020294	0.9088963	0.5704757	0.4782661	0.6781610	0.5989683	0.9999977	0.3847079	0.5842649	0.0062749	0.6297291	0.0483916	0.4690941
