"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G73A	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.2616796	0.3421277	0.5999759	0.1946719	0.3253316	0.1608377	0.1838304	0.2429450	0.4436416	0.4670161	0.7919230	0.1948918	0.5047047	0.0179472	0.0376643	0.6994745	0.1111395	0.0557557	0.0957255	0.0115561	0.1149232	0.7557500	0.2951165	0.6526959	0.1233981	0.1172831	0.1007551	0.0341063	0.0349253	0.0657235	0.0202466	0.0079345	0.6378280	0.0138266	0.3212629	0.5878024	0.6707088	0.0584022	0.1077954	0.1846043	0.4323955	0.4594394	0.2454327	0.6560158	0.0152273	0.0785657	0.5399578	0.5202440	0.4593087	0.3086802	0.6331600	0.2079117	0.5600604	0.3612045	0.0002478	0.2519391	0.0016803	0.0945015	0.5369722	0.1849529	0.0234429	0.2107548	0.0305963	0.0139589	0.3492139	0.2528320	0.6015068	0.0817336	0.5013356	0.1380804	0.0041538	0.0918683	0.3417487	0.1805098	0.2801911	0.3350550	0.2133999	0.3096760	0.4251168	0.0046896	0.3739530	0.4290741	0.4600295	0.5374517	0.6195906	0.2407419	0.6163439	0.3880106	0.5383183	0.4673461	0.4283369	0.0273607	0.6873675	0.0010114	0.4544679	0.5127409	0.5695822	0.3677511	0.4869837	0.1262998
50	0.2928175	0.3858242	0.5190151	0.2607030	0.3143920	0.1104776	0.1831470	0.2383031	0.4127031	0.3909400	0.6615929	0.1266330	0.6629382	0.0610959	0.0249816	0.5834267	0.1108647	0.0557800	0.1230220	0.0131627	0.0753428	0.6111520	0.2402812	0.5406704	0.1145957	0.0944897	0.1458030	0.1968466	0.0353541	0.0794531	0.0882513	0.0475550	0.4595583	0.0319582	0.3304412	0.5826041	0.5616566	0.1855164	0.0804838	0.4019793	0.5364853	0.4319671	0.1772709	0.5199359	0.0063777	0.1466284	0.5908177	0.5185991	0.4907108	0.2964234	0.6329329	0.1822232	0.5860183	0.3883810	0.0012596	0.1810203	0.0006070	0.0842014	0.4390134	0.1711182	0.0457207	0.3079541	0.0068921	0.0101396	0.3093581	0.2985709	0.3594361	0.0986066	0.6374690	0.0422300	0.0061062	0.0797266	0.2865556	0.2225547	0.0912448	0.3550702	0.3937793	0.4098340	0.5356512	0.0030759	0.3499240	0.4667497	0.4641021	0.4431202	0.5190195	0.1820302	0.4812495	0.3984962	0.6242526	0.5495237	0.5350213	0.0442928	0.7207808	0.0081537	0.3710879	0.5081072	0.5742318	0.4235216	0.5065107	0.1979336
100	0.2217733	0.3741152	0.5334683	0.2424004	0.3331464	0.1252749	0.1642018	0.1281378	0.5234783	0.3209512	0.6919702	0.2112981	0.6255827	0.1572021	0.0493325	0.5181157	0.1309111	0.3304250	0.1831865	0.0162714	0.0609816	0.7428125	0.1764130	0.5960448	0.0649073	0.1152856	0.1223667	0.3781934	0.0423222	0.0914453	0.0248840	0.1394698	0.5114624	0.0851538	0.3932537	0.5391915	0.6022981	0.2443266	0.0464841	0.4982221	0.5322105	0.5829932	0.0698097	0.6626279	0.0167587	0.0891476	0.5298354	0.6804466	0.2731433	0.2609614	0.5722305	0.2784921	0.7024423	0.4996878	0.0032434	0.1577976	0.0084599	0.0870632	0.5338212	0.1622426	0.0597743	0.4821477	0.0274701	0.0123210	0.1135307	0.3823499	0.2250640	0.1135483	0.6691245	0.0909945	0.0058321	0.0334471	0.2524399	0.3240454	0.1138301	0.2856777	0.4259408	0.4006322	0.4285093	0.0026014	0.3027222	0.5553258	0.4939383	0.4729021	0.5434722	0.1550492	0.3960780	0.3259738	0.5499669	0.4797946	0.4383404	0.0680432	0.6497822	0.0062945	0.1722517	0.5003634	0.5069265	0.3875913	0.5510976	0.1340412
150	0.3748539	0.4000203	0.4507431	0.2234355	0.2988289	0.0766392	0.1053816	0.0509928	0.3561964	0.3117939	0.6080491	0.3308483	0.5715600	0.2655461	0.0730931	0.5825708	0.1807930	0.6209027	0.2405022	0.0150361	0.0840961	0.6132963	0.2481204	0.5684014	0.0959707	0.1559070	0.1351533	0.4849337	0.0340723	0.1831113	0.0716361	0.1884317	0.5429392	0.1011957	0.3149453	0.5732603	0.5163109	0.2977029	0.0810508	0.6306422	0.7289100	0.4656168	0.0402269	0.6400695	0.0079840	0.1200089	0.4266712	0.5769429	0.3380342	0.3109818	0.6742508	0.1965408	0.6234280	0.5368600	0.0030633	0.1448427	0.0029936	0.1419969	0.4430170	0.1781907	0.0775755	0.4370202	0.0355558	0.0047546	0.0476763	0.2852303	0.2075529	0.2179657	0.5383107	0.1590322	0.0095859	0.0768374	0.2539572	0.2804575	0.0688484	0.1908809	0.5814629	0.3655502	0.4282800	0.0012413	0.3955058	0.5328151	0.4370606	0.5580857	0.6380066	0.1667438	0.3090349	0.3416702	0.6352324	0.5149366	0.4570106	0.0647042	0.7115838	0.0115354	0.1107525	0.4957967	0.4207850	0.4505574	0.4245335	0.1496006
200	0.3861841	0.4834065	0.4728737	0.1664698	0.2585438	0.1448662	0.1532535	0.0251204	0.4855061	0.3045821	0.5387313	0.3066799	0.4323610	0.1881440	0.1047047	0.7197214	0.1566969	0.5564955	0.3868795	0.0223318	0.1113385	0.6553584	0.2218295	0.5894726	0.1380878	0.1950262	0.2576781	0.5781051	0.0404043	0.2526681	0.1088396	0.2681169	0.6286554	0.1298929	0.1966487	0.7277174	0.5278566	0.2611004	0.0984421	0.6495784	0.6078074	0.5390045	0.0444190	0.6208549	0.0107226	0.0948028	0.5106776	0.6081979	0.4110762	0.2928944	0.6477573	0.2396027	0.7604991	0.5471135	0.0008626	0.1133050	0.0015379	0.1740413	0.5145047	0.2082052	0.0485609	0.4004169	0.0924721	0.0173015	0.0466398	0.2472268	0.0671923	0.2001800	0.6753266	0.2703477	0.0268664	0.0407035	0.2843257	0.1574966	0.0503837	0.1817262	0.5494509	0.2292176	0.5045609	0.0011420	0.3368607	0.5011687	0.2228801	0.5605606	0.5281363	0.1978816	0.2666919	0.2543975	0.5899747	0.4942311	0.4572581	0.1312035	0.5126482	0.0210042	0.0677281	0.4419030	0.3650805	0.4761565	0.4230074	0.1518456
250	0.3305520	0.3975868	0.4241219	0.3143804	0.2359649	0.1289172	0.2024474	0.0139711	0.4831504	0.2282433	0.5146797	0.3368281	0.4552361	0.3377954	0.1058096	0.6112485	0.1048518	0.5780891	0.5445263	0.0446860	0.1139395	0.5685422	0.1580735	0.6000578	0.2756270	0.3523192	0.3946075	0.5777840	0.0705913	0.2585984	0.1382509	0.3563882	0.7609186	0.2558313	0.0895128	0.6432334	0.5570794	0.2681580	0.1985698	0.6493437	0.6788259	0.5961099	0.0467313	0.7090278	0.0078957	0.1025735	0.4147395	0.6162257	0.5590953	0.2625643	0.5904062	0.1513527	0.6109695	0.5190936	0.0014049	0.1176659	0.0030385	0.1424384	0.5402745	0.2602977	0.1171214	0.4888687	0.1626918	0.0023762	0.0863302	0.3823845	0.0252471	0.3103964	0.5438431	0.3256422	0.0431439	0.0282898	0.3476994	0.1474656	0.0584121	0.1380773	0.5710542	0.1364625	0.4296071	0.0014600	0.3589073	0.4958431	0.2178555	0.5832062	0.7595463	0.1864034	0.1700518	0.3600607	0.6522172	0.4563154	0.4606484	0.1257090	0.7078660	0.0200851	0.0367459	0.5922812	0.1213558	0.5319370	0.2793114	0.1297982
300	0.4239990	0.2100675	0.3234600	0.3277352	0.2855203	0.1471269	0.1216993	0.0054026	0.4931418	0.1771882	0.5927911	0.5575447	0.3485158	0.2949333	0.1890114	0.6529267	0.1275759	0.5250508	0.4060954	0.1034909	0.1612845	0.4072250	0.2073052	0.6884853	0.4653396	0.5236054	0.3928776	0.6232262	0.1326715	0.2532970	0.1063278	0.4928625	0.7481411	0.2992420	0.0966035	0.5647987	0.4984674	0.3550993	0.2493282	0.7213926	0.6474979	0.5735202	0.0520183	0.5431005	0.0099635	0.1132118	0.3467602	0.7161066	0.4435410	0.3371747	0.5435727	0.2068147	0.5525675	0.6203898	0.0002007	0.1352661	0.0053523	0.0978680	0.5110745	0.3982733	0.2158246	0.4723083	0.1607612	0.0055967	0.0175943	0.2800747	0.0205022	0.4050618	0.6250515	0.3699154	0.0293344	0.0062155	0.3353087	0.1266496	0.0143623	0.1298015	0.5277939	0.1637734	0.5300938	0.0033038	0.4257492	0.5125782	0.1605649	0.4857438	0.5516172	0.1855394	0.1456245	0.3996063	0.5870326	0.5812518	0.4886043	0.0742021	0.6909830	0.0388480	0.0398803	0.5238929	0.1307358	0.4792995	0.3246958	0.1182051
350	0.4988353	0.3566980	0.2703246	0.2712096	0.2107542	0.1109937	0.1855286	0.0099605	0.5422668	0.1616898	0.5097361	0.4513304	0.2176182	0.2554863	0.2482670	0.7711922	0.1795483	0.6449325	0.5949938	0.1038810	0.2857439	0.3185264	0.1610826	0.6863321	0.5270831	0.5274063	0.3034484	0.5774317	0.1349085	0.3025091	0.1506293	0.5846890	0.5744605	0.2566876	0.0816396	0.6840372	0.6262042	0.4303564	0.4510637	0.6730431	0.7292164	0.5254145	0.0471674	0.5045444	0.0049857	0.1817879	0.3901553	0.5947254	0.5146422	0.2922420	0.5738484	0.2397061	0.5365761	0.4192171	0.0008833	0.1648481	0.0072199	0.1898182	0.4690876	0.2876962	0.2731589	0.3392779	0.1950807	0.0073386	0.0357791	0.3490876	0.0129714	0.5567865	0.5034089	0.2835440	0.0630696	0.0085239	0.3681455	0.1153290	0.0127325	0.0620160	0.5258503	0.1518070	0.5094862	0.0022165	0.3393855	0.6131332	0.1480685	0.4796069	0.6427495	0.1240903	0.1714612	0.4425782	0.5795491	0.4423732	0.3566324	0.0683760	0.5562132	0.0512947	0.0284679	0.5830591	0.0969876	0.4315436	0.1627337	0.1059236
400	0.4412121	0.4562739	0.2107877	0.3107869	0.1251569	0.1719577	0.1115637	0.0025372	0.6342693	0.2466768	0.5721716	0.5756821	0.2257721	0.2817811	0.2318647	0.6034745	0.1224626	0.5606108	0.5378442	0.0878450	0.3417067	0.1889913	0.1850527	0.6674981	0.4716520	0.6056177	0.4260147	0.5441013	0.1837061	0.3294915	0.1430966	0.4959421	0.5931996	0.2732389	0.0625173	0.5693152	0.4952056	0.4392644	0.3743633	0.6039551	0.6337434	0.5428765	0.0965343	0.5937245	0.0323082	0.2800179	0.2918178	0.6647692	0.5644759	0.2765799	0.6296555	0.3188519	0.4990871	0.5095271	0.0024503	0.1401268	0.0211546	0.1557793	0.4962834	0.3441950	0.2407989	0.4848566	0.1659851	0.0125949	0.0385169	0.2892897	0.0158563	0.5243589	0.5909450	0.3802230	0.0440931	0.0078634	0.3443661	0.0509548	0.0032467	0.0554911	0.5155589	0.1725087	0.4427779	0.0004761	0.3545771	0.5567775	0.1906009	0.4961389	0.5039896	0.1485531	0.1349254	0.4353959	0.6274602	0.4671154	0.4169609	0.0403151	0.6168779	0.0995612	0.0270829	0.6048953	0.0660977	0.5499778	0.2174749	0.0580101
