G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G71A	G95	G96	G97	G98	G99	G100
0.0000000	0.8084987	0.2159655	0.2960335	0.7693700	0.9702519	0.9759881	0.9997272	0.9999586	0.0216107	0.6688335	0.9448629	0.7836737	0.4458956	0.8868231	0.7746762	0.6765585	0.9997112	0.9702556	0.4910910	0.0468902	0.9999567	0.0770694	0.5444971	0.5345418	0.6515806	0.9919606	0.9976204	0.6447988	0.6835687	0.5757878	0.0677580	0.0714069	0.3453967	0.0168901	0.8239850	0.1035697	0.5428883	0.9856922	0.0300930	0.6872233	0.1848621	0.7113399	0.0032310	0.0927475	0.9359618	0.4623397	0.3758266	0.1738922	0.3805757	0.4970537	0.9941176	0.4834000	0.3549766	0.7509963	0.5382303	0.9278527	0.2214090	0.0117310	0.8387840	0.9746247	0.2056302	0.9849813	0.6794368	0.7688404	0.9596628	0.3408733	0.1999264	0.8114213	0.1351184	0.4474003	0.3914681	0.8932173	0.1143946	0.1587794	0.1663478	0.8663557	0.0006341	0.0167662	0.9035366	0.9328911	0.5111651	0.0023029	0.1607056	0.0617446	0.7910805	0.2225915	0.2090052	0.4526536	0.9334152	0.3404474	0.8266474	0.0712549	0.5721880	0.4569649	0.0804732	1.0000000	0.0124652	0.5557513	0.9698368
0.0419364	0.0000000	0.2160472	0.2960331	0.7693696	0.9702655	0.7790987	0.5947763	0.0249653	0.2387530	0.6717644	0.9317723	0.7393205	0.4797024	0.4730179	0.7334474	0.6766468	0.9997157	0.9741480	0.4263424	0.0468365	0.9998995	0.0741870	0.5339672	0.5345287	0.6515814	0.9919654	0.9977547	0.6447988	0.6836239	0.5757878	0.0677580	0.0714069	0.3550369	0.0168901	0.8239764	0.1035722	0.5428926	0.9856959	0.0300932	0.6872233	0.1848621	0.7113399	0.0032311	0.0927574	0.9358688	0.4627886	0.3805957	0.1738590	0.3806011	0.3853782	0.9941184	0.4827792	0.0926986	0.9989635	0.5382515	0.9268566	0.2210439	0.0102192	0.8682455	0.9782484	0.5028517	0.9846934	0.6794312	0.7779645	0.9596647	0.4112694	0.2023175	0.7323586	0.1381312	0.5024444	0.3914749	0.8946024	0.1144208	0.1602551	0.1663274	0.8662381	0.0004187	0.0167653	0.9046536	0.9304923	0.5145133	0.0025680	0.1481780	0.9227242	0.8686944	0.2232489	0.2091615	0.4526840	0.9329735	0.4236779	0.8266621	0.0659419	0.5721586	0.4314762	0.0806551	1.0000000	0.0294071	0.1482938	0.9699034
0.2920215	0.5366112	0.0000000	0.2960328	0.7693693	0.9703032	0.9759881	0.9997272	0.9999390	0.0228211	0.6691459	0.9448756	0.7837209	0.4458604	0.8868177	0.7747125	0.6766986	0.9997113	0.9702367	0.4910906	0.0468905	0.9999567	0.0770828	0.5584597	0.5345432	0.6515806	0.9919606	0.9976202	0.6447988	0.6836600	0.5757878	0.0677580	0.0714069	0.3453851	0.0168901	0.8239698	0.1035740	0.5428956	0.9856982	0.0300933	0.6872233	0.1848621	0.7113399	0.0032311	0.0927641	0.9358111	0.4630486	0.3758724	0.1738326	0.3806190	0.4235263	0.9941183	0.4834009	0.3547010	0.9688792	0.5382583	0.9746007	0.2213310	0.0098519	0.8581088	0.9746215	0.2056400	0.9849785	0.6794418	0.7688287	0.9591680	0.7184501	0.1998938	0.8113135	0.1330942	0.4675671	0.3922676	0.8932147	0.1144396	0.1572833	0.1663126	0.8663480	0.0006342	0.0167650	0.9035784	0.9328965	0.5111647	0.0023034	0.1493431	0.8730885	0.8675642	0.2075676	0.2091880	0.4526985	0.9106947	0.3404504	0.8266957	0.0712845	0.5722478	0.4567169	0.0792209	1.0000000	0.0168720	0.5291557	0.9698371
0.4261022	0.8085440	0.2160472	0.0000000	0.7693696	0.9702655	0.7790989	0.5947765	0.0249653	0.2387530	0.6717644	0.9317723	0.7393205	0.4797024	0.4730179	0.7334474	0.6766468	0.9997156	0.9740921	0.4263424	0.0468365	0.9998993	0.0742307	0.5680338	0.5345287	0.6515814	0.9919654	0.9977547	0.6447988	0.6836239	0.5757878	0.0677580	0.0714069	0.3550369	0.0168901	0.8239764	0.1035722	0.5428926	0.9856959	0.0300932	0.6872233	0.1848621	0.7113399	0.0032311	0.0927574	0.9358688	0.4627886	0.3805957	0.1738590	0.3806011	0.4890331	0.9941184	0.4827792	0.3520816	0.9641217	0.5382515	0.9268566	0.2210439	0.0103747	0.8589483	0.9782484	0.5028517	0.9846934	0.6794311	0.7779645	0.9596647	0.4122306	0.2023175	0.7322904	0.1329121	0.4970866	0.3914755	0.8946024	0.1144208	0.1581196	0.1663274	0.8662381	0.0004187	0.0167653	0.9046536	0.9304923	0.5145133	0.0025681	0.1468833	0.9703490	0.8739508	0.2232489	0.2091615	0.4526840	0.9329735	0.4236779	0.8266621	0.0659419	0.5721586	0.4314762	0.0857241	1.0000000	0.0130874	0.1455194	0.9699034
0.4261013	0.8085415	0.2160427	0.0331476	0.0000000	0.9702771	0.8911334	0.7120298	0.0363824	0.1643481	0.6716674	0.9322093	0.7406308	0.4787199	0.4775847	0.7355960	0.6766418	0.9997155	0.9739987	0.4279173	0.0468380	0.9998986	0.0743031	0.5683599	0.5345290	0.6515813	0.9919652	0.9977473	0.6447988	0.6836208	0.5757878	0.0677580	0.0714069	0.3547468	0.0168901	0.8239769	0.1035720	0.5428924	0.9856957	0.0300932	0.6872233	0.1848621	0.7113399	0.0032311	0.0927568	0.9358744	0.4627624	0.3803235	0.1738608	0.3805997	0.4893363	0.9941185	0.4828148	0.2038689	0.9223269	0.5382970	0.9268869	0.2210580	0.0103735	0.8581728	0.9782049	0.5027253	0.9847100	0.6794311	0.7777082	0.9596642	0.4121485	0.2021813	0.7504241	0.1334126	0.4631993	0.3914713	0.8945616	0.1144193	0.1580805	0.1663286	0.8662438	0.0004213	0.0167654	0.9045259	0.9305741	0.5143230	0.0024110	0.1470579	0.9650175	0.8735780	0.2232267	0.2091516	0.4526827	0.9329900	0.4226495	0.8266630	0.0660863	0.5721774	0.4322434	0.0855932	1.0000000	0.0130633	0.1457914	0.9699011
0.4234814	0.8014920	0.2038337	0.2117245	0.6843244	0.0000000	0.9759881	0.9997272	0.9999523	0.0220408	0.6369296	0.9450329	0.7843440	0.4453627	0.8874836	0.7667035	0.6422194	0.9997092	0.9686184	0.4911313	0.0468644	0.9999558	0.0782096	0.5782536	0.5342023	0.6515792	0.9919621	0.9976525	0.6447988	0.6610947	0.5757878	0.0677580	0.0714131	0.3455277	0.0168977	0.8276901	0.1025168	0.5410113	0.9840978	0.0300356	0.6872233	0.1848621	0.7113399	0.0031855	0.0927034	0.9363771	0.4607086	0.3547111	0.2000705	0.3626124	0.5537888	0.9901250	0.4299582	0.1001499	0.9640264	0.4644203	0.9238593	0.4579911	0.0102918	0.8546985	0.9760258	0.0011527	0.9891391	0.8992400	0.9652082	0.9593915	0.4357816	0.7309986	0.8118087	0.2063004	0.4462462	0.3915937	0.8045194	0.1042294	0.1645522	0.1751014	0.5934824	0.0002262	0.0170578	0.8042742	0.9293310	0.1921393	0.0021784	0.1498542	0.9534820	0.8786761	0.2135584	0.4291676	0.4328280	0.9471559	0.3419354	0.4800543	0.3034504	0.5721957	0.4828875	0.0848071	1.0000000	0.0104243	0.1492387	0.9673195
0.4259657	0.8081609	0.2153553	0.2960346	0.7693710	0.9510259	0.0000000	0.9997272	0.9999586	0.0216103	0.6686867	0.9448641	0.7836785	0.4458918	0.8868283	0.7746136	0.6763028	0.9997111	0.9701857	0.4910913	0.0468900	0.9999567	0.0771187	0.5784366	0.5345395	0.6515806	0.9919607	0.9976206	0.6447988	0.6834100	0.5757878	0.0677580	0.0714069	0.3453975	0.0168902	0.8240099	0.1035627	0.5428757	0.9856815	0.0300926	0.6872233	0.1848621	0.7113399	0.0032307	0.0927473	0.9359638	0.4623323	0.3756890	0.1740658	0.3804438	0.5574105	0.9940083	0.4831504	0.3550461	0.9618425	0.5381688	0.9279544	0.2171369	0.0103112	0.8570839	0.9746349	0.7393698	0.9849846	0.6796182	0.7694266	0.9596597	0.4140000	0.2007229	0.8114259	0.1305741	0.8178533	0.3915086	0.8907339	0.1143186	0.1568929	0.1664066	0.8639002	0.0006341	0.0167682	0.8994286	0.9328823	0.5111594	0.0038638	0.1481624	0.9542400	0.8787728	0.2224350	0.2115922	0.4525185	0.9335099	0.3404551	0.8237926	0.0725931	0.5716333	0.4570854	0.0804836	1.0000000	0.0124537	0.1465184	0.9698326
0.4259679	0.8081670	0.2153663	0.2960346	0.7693710	0.9513758	0.0665959	0.0000000	0.9999586	0.0216103	0.6686894	0.9448641	0.7836784	0.4458919	0.8868282	0.7746148	0.6763075	0.9997111	0.9701859	0.4910913	0.0468900	0.9999567	0.0771186	0.5784370	0.5345396	0.6515806	0.9919607	0.9976206	0.6447988	0.6834130	0.5757878	0.0677580	0.0714069	0.3453975	0.0168902	0.8240095	0.1035628	0.5428760	0.9856817	0.0300927	0.6872233	0.1848621	0.7113399	0.0032307	0.0927473	0.9359638	0.4623324	0.3756916	0.1740626	0.3804462	0.5574044	0.9940103	0.4831552	0.3550448	0.9618423	0.5381699	0.9279526	0.2207558	0.0103113	0.8570842	0.9746347	0.3207392	0.9849846	0.6796147	0.7694157	0.9596597	0.4139897	0.2007080	0.8114258	0.1305741	0.8158077	0.3915083	0.8907798	0.1143200	0.1568919	0.1664055	0.8639457	0.0006341	0.0167682	0.8995040	0.9328825	0.5111595	0.0038099	0.1481623	0.9542407	0.8787731	0.2224378	0.2115446	0.4525210	0.9335082	0.3404549	0.8238458	0.0725681	0.5716582	0.4570832	0.0804834	1.0000000	0.0124539	0.1465160	0.9698326
0.4261015	0.8085419	0.2160435	0.2960331	0.7693696	0.9699592	0.4414900	0.4272028	0.0000000	0.0235830	0.6718809	0.9312378	0.7377305	0.4808951	0.4676503	0.7307590	0.6766494	0.9997157	0.9742043	0.4244438	0.0468347	0.9999002	0.0741433	0.5676367	0.5345282	0.6515814	0.9919658	0.9977641	0.6447988	0.6836255	0.5757878	0.0677580	0.0714069	0.3553890	0.0168901	0.8239762	0.1035722	0.5428928	0.9856960	0.0300932	0.6872233	0.1848621	0.7113399	0.0032311	0.0927582	0.9358619	0.4628217	0.3809377	0.1738592	0.3806009	0.4886912	0.9941168	0.4827306	0.3519793	0.9643525	0.5382519	0.9268214	0.2210136	0.0103735	0.8598846	0.9782992	0.5041947	0.9846725	0.6794338	0.7782829	0.9596637	0.4128483	0.2025010	0.7915610	0.1330112	0.6616422	0.3914922	0.8946153	0.1144215	0.1581677	0.1663268	0.8661943	0.0004155	0.0167653	0.9047574	0.9303919	0.5147535	0.0031426	0.1460246	1.0000000	0.8767287	0.2232736	0.2092128	0.4526837	0.9329545	0.4248842	0.8266187	0.0657863	0.5720342	0.4305610	0.0826833	1.0000000	0.0131172	0.1440672	0.9699061
0.4260861	0.8084987	0.2159655	0.2960335	0.7693700	0.9702519	0.9759881	0.9997272	1.0000000	0.0000000	0.6688335	0.9448629	0.7836739	0.4458955	0.8868279	0.7746763	0.6765585	0.9997112	0.9701961	0.4910913	0.0468902	0.9999567	0.0771114	0.5784566	0.5345418	0.6515806	0.9919606	0.9976204	0.6447988	0.6835687	0.5757878	0.0677580	0.0714069	0.3453967	0.0168901	0.8239850	0.1035697	0.5428883	0.9856922	0.0300930	0.6872233	0.1848621	0.7113399	0.0032310	0.0927475	0.9359618	0.4623397	0.3758266	0.1738922	0.3805757	0.5570712	0.9941176	0.4834000	0.3549767	0.9618267	0.5382303	0.9278527	0.2214090	0.0103147	0.8570997	0.9746247	0.2056144	0.9849813	0.6794368	0.7688404	0.9596628	0.4134333	0.1999264	0.8124138	0.1305737	0.4423660	0.3914685	0.8932173	0.1143946	0.1568429	0.1663478	0.8663557	0.0006341	0.0167662	0.9035366	0.9328911	0.5111651	0.0023029	0.1481550	0.9542764	0.8787918	0.2225915	0.2090052	0.4526536	0.9334152	0.3404466	0.8266474	0.0712549	0.5721880	0.4569650	0.0804732	1.0000000	0.0124652	0.1463882	0.9698368
