G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G68A	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.8660023	0.9870518	0.6655299	0.1118541	0.9964284	0.6424797	0.3997020	0.9984153	0.8818899	0.0795090	0.1622552	0.9577598	0.0195583	0.2692275	0.0965846	0.5016687	0.3329971	0.1800578	0.3821865	0.2482504	0.9999999	0.0004511	0.9867419	0.8006631	0.0028676	0.1836672	0.0254500	0.7922222	0.6025494	0.1966295	0.5681521	0.0593688	0.1549784	0.6435540	0.1399655	0.9655354	0.9946851	0.8465758	0.4295626	0.8135532	0.0031506	0.8000935	0.6770353	0.6032486	0.7630698	0.4986510	0.4330977	0.1442631	1.0000000	0.0000001	0.2534101	0.3166832	0.1891709	0.6106863	0.7933155	0.1025334	0.5568347	0.9910752	0.7352945	0.7384234	0.1736266	0.9926151	0.2770960	0.1328032	0.3658532	0.1241143	0.8997867	0.6937689	0.2236176	0.9440968	0.3337172	0.9229353	0.7286546	0.7234836	0.6840493	0.7741835	0.1191829	0.7108494	0.3946232	0.8874997	0.1488203	0.8895851	0.8828503	0.1927590	0.8802830	0.5137090	0.4789009	0.5583900	0.1710047	0.7994634	0.8360884	0.3630514	0.8841103	0.7872610	0.2507993	0.8138501	0.0176072	0.5866238	1.0000000	0.2725873
0.9038475	0.8121504	0.3342717	0.1766827	0.4920455	0.3752356	0.3132955	0.9970183	0.3976174	0.2332476	0.1872124	0.9239069	0.2257037	0.2514344	0.0068900	0.2403032	0.1296396	0.0619122	0.2148349	0.2682109	0.4337128	0.0004818	0.9337246	0.7762332	0.2069198	0.1039733	0.0289783	0.8651738	0.7139640	0.2102921	0.4410194	0.1544893	0.0000288	0.9998438	0.0100164	0.9999523	0.9891239	0.6044929	0.8619237	0.5813747	0.0099928	0.8671943	1.0000000	0.0003752	0.8763727	0.3949517	0.9347371	0.2471588	1.0000000	0.0546213	0.5479223	0.3973070	0.2773691	0.9131447	0.8090058	0.0465589	0.6802183	0.9848185	0.9033496	0.9923816	0.3982341	0.9323328	0.3908708	0.5820513	0.3918968	0.2679761	0.5189741	0.2570233	0.4751512	0.5551055	0.0000007	0.5029266	0.8972572	0.8998440	0.2231356	0.9919134	0.1804233	0.0327503	0.9286490	0.6588603	0.2508853	0.8095046	0.9500541	0.0000000	0.3663867	0.3661023	0.4846945	0.3183816	0.0556483	0.9480995	0.9999997	0.2043868	0.9658209	0.8922408	0.6908112	0.8150900	0.1680708	0.8387705	1.0000000	0.4447337
0.6358259	0.9822432	0.5847204	0.1275708	0.9515983	0.7134539	0.6144806	0.7372885	0.0822169	0.4329053	0.2030511	0.7375573	0.1368613	0.2668056	0.1001207	0.5070847	0.6544247	0.5712220	0.3257133	0.0689054	0.4945276	0.0004438	0.8618794	0.9583220	0.0092824	0.0032175	0.0378941	0.6571156	0.5471814	0.3697841	0.1423362	0.0931494	0.1938683	0.2690274	0.1501484	0.9941433	0.9545717	0.2005902	0.7541452	0.5518878	0.0044572	0.6292917	0.6364790	0.4283174	0.2099439	0.1159093	0.5229512	0.4725649	1.0000000	0.0199760	0.6781959	0.2954891	0.2723466	0.8737077	0.8901063	0.2089409	0.7914301	0.9491395	0.3367363	0.9542197	0.2325452	0.5833140	0.1682582	0.0459315	0.5489202	0.2620360	0.8546420	0.3241309	0.0291889	0.4477941	0.0679802	0.3133415	0.9570716	0.6392601	0.5801635	0.9828771	0.2810670	0.9834224	0.6163164	0.7043100	0.0374350	0.8754841	0.9543680	0.0208332	0.5720059	0.4967434	0.9525973	0.4177881	0.0295184	0.9439466	0.9847215	0.1104701	0.7536715	0.7765580	0.3615144	0.7880852	0.2014676	0.3030251	0.9970808	0.3855982
0.2459149	0.9113644	0.2285633	0.4212388	0.7599462	0.3366487	0.2446882	0.6871970	0.2337107	0.3650764	0.5903988	0.3587626	0.1780346	0.1779226	0.2824216	0.3619766	0.1110019	0.1643954	0.6757330	0.7090109	0.7110424	0.0004811	0.8983206	0.6596870	0.3642146	0.0522887	0.0967176	0.3333679	0.9403621	0.5428811	0.0736608	0.0461917	0.0272506	0.8285109	0.1524184	0.9991415	0.8835617	0.1162231	0.9803502	0.4293269	0.2755292	0.8450892	0.9816490	0.1854814	0.0482437	0.1312609	0.6904754	0.6629986	1.0000000	0.1922079	0.6809744	0.6532108	0.6561955	0.6027477	0.5784608	0.3821844	0.5465739	0.9989038	0.6096700	0.9967252	0.6427637	0.5358290	0.1957354	0.3585230	0.6197109	0.5408707	0.6481893	0.0366549	0.1821971	0.7644501	0.0178694	0.3330853	0.6461089	0.2670506	0.1660392	0.9845677	0.1546657	0.6953540	0.7651796	0.0558300	0.7274632	0.9336800	0.6447972	0.0250884	0.4765325	0.2323551	0.4151675	0.4346240	0.2276795	0.9960032	0.8944574	0.6015409	0.9341673	0.8921661	0.9988648	0.9153601	0.2667689	0.2198345	0.9970808	0.0425170
0.7134890	0.6954822	0.4344046	0.1782646	0.8637503	0.4776601	0.4208180	0.5654209	0.1444118	0.6525647	0.5083993	0.5217456	0.4058950	0.2383558	0.1703757	0.4187054	0.2265407	0.3013695	0.2524975	0.2493202	0.7728906	0.0214031	0.8862802	0.8761597	0.1036799	0.0385661	0.1717078	0.3417502	0.3131282	0.3201420	0.1523876	0.0010964	0.0000288	0.3650734	0.3631491	0.7265884	0.9696231	0.2177709	0.8728691	0.5974676	0.1533301	0.5516222	0.6061659	0.7637044	0.8408260	0.1235092	0.5281164	0.4303865	1.0000000	0.0546213	0.7479272	0.5184398	0.1825397	0.5532175	0.8831894	0.2310764	0.3324337	0.9192064	0.3529109	0.9765256	0.0763037	0.9421948	0.2131858	0.1245329	0.2468132	0.2550129	0.9683577	0.1345224	0.4241965	0.5351846	0.4142516	0.3550464	0.7870050	0.2916226	0.2937999	0.9993708	0.4261983	0.9752929	0.3746873	0.3385524	0.0817551	0.8936412	0.8382756	0.0482460	0.7886519	0.5437203	0.9850396	0.4688893	0.4269859	0.9983103	0.6049694	0.0139611	0.7882923	0.4723232	0.8726412	0.9690522	0.1119296	0.7040792	0.9970808	0.0349708
0.2777497	0.9840171	0.5831913	0.0740661	0.6003196	0.4999146	0.2544063	0.7924869	0.1641500	0.5339689	0.5093198	0.5650975	0.4139420	0.3138839	0.0570685	0.4302288	0.4285965	0.6795934	0.3271490	0.1825083	0.8935042	0.0010945	0.6840641	0.8826245	0.0000000	0.0021213	0.0763582	0.4787876	0.4606641	0.9996743	0.0327301	0.0000000	0.1649076	0.5377769	0.2677592	0.6599383	0.9852418	0.5143782	0.4703430	0.6826652	0.2830428	0.8537680	0.9969358	0.0938095	0.5999733	0.1270082	0.5166015	0.2978581	1.0000000	0.0000001	0.4665676	0.2339154	0.4568452	0.6888094	0.4712437	0.1875299	0.5389424	0.9985943	0.4674174	0.6300508	0.5717866	0.9852490	0.2322362	0.4394082	0.3497258	0.0726672	0.5008598	0.3031338	0.2563048	0.7786970	0.1538354	0.2586835	0.4347893	0.5685508	0.2666377	0.9853674	0.0713664	0.8245249	0.2171378	0.9963486	0.5225992	0.9332810	0.7277565	0.1032944	0.4055123	0.2775384	0.9906484	0.4531975	0.1441615	0.9879521	0.9999796	0.4436672	0.7738794	0.8128433	0.7516861	0.9364706	0.2054901	0.1502329	1.0000000	0.1336442
0.2978961	0.7749457	0.3470531	0.2872083	0.7084283	0.7281356	0.4511279	0.8084792	0.0754977	0.4013677	0.3914211	0.5911332	0.6793398	0.2257510	0.2422385	0.4837467	0.5335273	0.8164616	0.2396149	0.1131644	0.5126257	0.0017219	0.6325399	1.0000000	0.0000000	0.0348381	0.0446218	0.6890706	0.5026921	0.8529402	0.0590073	0.0000000	0.1370782	0.9897041	0.0489084	0.9965279	0.9432922	0.5403213	0.9038197	0.1828243	0.1971480	0.4138809	0.5165538	0.5330751	0.4010463	0.4890537	0.5173676	0.0566923	1.0000000	0.0546235	0.4934806	0.5627937	0.3256132	0.3879955	0.7830603	0.1199385	0.4155220	0.3498044	0.3903871	0.6207410	0.2726401	0.9762192	0.3061843	0.6505701	0.1696257	0.2301190	0.8084918	0.7350170	0.1278360	0.6618000	0.0356991	0.5873477	0.7367932	0.5076538	0.3299617	0.9631075	0.5788212	0.9918280	0.9125130	0.9999473	0.4052181	0.9183754	0.8891013	0.1255682	0.3563546	0.1707872	0.8759151	0.1525764	0.2237429	0.7945555	0.9994537	0.0486186	0.4512834	0.9488542	0.4530519	0.9156962	0.0220064	0.5097666	0.9970806	0.0911781
0.6073006	0.6126170	0.3265380	0.1251464	0.9421655	0.5161879	0.2805014	0.7437275	0.1893178	0.3428287	0.5524973	0.5341770	0.1710607	0.2572278	0.1166504	0.5309363	0.6244757	0.3909943	0.0940564	0.1031683	0.6063075	0.0004566	0.9413596	0.9032611	0.0792460	0.3103551	0.0488797	0.9040144	0.8078859	0.2105292	0.3832201	0.0004873	0.1974865	0.8293764	0.1080961	0.9957126	0.9577251	0.6943205	0.6620932	0.7261545	0.1082104	0.7339055	0.8280178	0.4694049	0.4134380	0.1417668	0.6607119	0.2551152	0.9391733	0.0546232	0.4211321	0.2108335	0.4436022	0.7476045	0.4730109	0.1087570	0.7682342	0.9834821	0.8901434	0.9992577	0.5130037	0.9978389	0.1775746	0.4015169	0.2983743	0.1337060	0.6859589	0.1904031	0.1420623	0.4400619	0.0376314	0.8278462	0.9931227	0.5376083	0.7162523	0.9871367	0.1479551	0.8206034	0.6448617	0.6665467	0.1357242	0.8891138	0.5382874	0.1810907	0.4153083	0.3756924	0.9887736	0.2354559	0.1492975	0.9310438	0.9876367	0.6259463	0.9985508	0.8316582	0.5096274	0.8479869	0.0457448	0.9649998	0.9970808	0.3643140
0.9523970	0.6894032	0.1353318	0.6962944	0.3987994	0.4341448	0.5222172	0.9952046	0.5061657	0.1674551	0.1948706	0.9091042	0.0295051	0.1072831	0.5042634	0.9197024	0.4172761	0.0485317	0.1874854	0.7517206	0.5680880	0.0020599	0.6015321	0.2668163	0.8006844	0.1936976	0.0392549	0.4936405	0.9718008	0.2101285	0.7309400	0.6407158	0.6847208	0.6449716	0.2234912	0.7642756	0.9427321	0.5267565	0.4752239	0.2592906	0.0135838	0.7568069	0.8643462	0.2102177	0.0101777	0.6811068	0.9662692	0.2850978	1.0000000	0.9984568	0.8111467	0.8784335	0.1257986	0.8882939	0.5128330	0.5642990	0.5477035	0.7647174	0.9982069	0.9427238	0.8812979	0.7479041	0.3742617	0.8026706	0.9370041	0.3172838	0.7701949	0.0224751	0.4758283	0.4231829	0.0026940	0.7837273	0.9698132	0.4652239	0.2777172	0.9565001	0.5727773	0.0651241	0.3563749	0.3141064	0.7009539	0.8929950	0.5661558	0.0995063	0.4658414	0.4173535	0.8270659	0.5691251	0.2178491	0.6980887	0.6209597	0.0726366	0.9396057	0.4431051	0.9460464	0.8010872	0.3442962	0.3568645	0.9970656	0.4945846
0.3587865	0.8733068	0.1275873	0.9999882	0.8427149	0.3353451	0.4692226	0.7647803	0.3060799	0.2726393	0.3242834	0.7154647	0.4762112	0.0100288	0.3961428	0.8172915	0.2916847	0.1558067	0.5473170	0.4956526	0.0000339	0.0004569	0.9741601	0.6299962	0.4132210	0.0182280	0.0228540	0.9355539	0.9328971	0.1936479	0.7006350	0.0659907	0.0025709	0.8779051	0.1308293	0.9999470	0.9513480	0.9209831	0.3157032	0.7504116	0.0403385	0.0821635	0.2566541	0.6802251	0.0115482	0.1458566	0.9523703	0.0598376	1.0000000	0.9956582	0.8019077	0.3794325	0.6676513	0.7064267	0.9882168	0.0494489	0.9701476	0.9114000	0.0617522	0.8212529	0.1753519	0.8215525	0.5662104	0.4447520	0.5869527	0.5757554	0.8288206	0.2427050	0.2078867	0.6280411	0.0243266	0.4047930	0.9007034	0.6225073	0.2330162	0.9918553	1.0000000	0.3255458	0.7906970	0.0010757	0.4832198	0.8786633	0.8535726	0.0399969	0.6946027	0.3807634	0.8443260	0.4631953	0.0581611	0.9346082	0.8481021	0.5889990	0.7462735	0.8428384	0.3692525	0.7097057	0.0015836	0.6240124	0.9970807	0.2327933
