"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G73A	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4504984	0.5105983	1.0087692	0.3775308	0.5223548	0.2290704	0.2094727	0.4651150	0.7175717	0.6549941	1.0083597	0.3082482	0.8213174	0.0362803	0.0596284	1.0646099	0.0754296	0.0633423	0.1484667	0.0125289	0.1570169	1.1080664	0.4756865	0.9214755	0.1437656	0.1323785	0.1623676	0.0258815	0.0665022	0.1021834	0.0571528	0.0183250	0.9884542	0.0407338	0.5475313	0.9918551	1.0217315	0.0980720	0.1677212	0.3548798	0.7034544	0.6632860	0.3954841	0.9143467	0.0363293	0.1361098	0.9157393	0.7276699	0.6558442	0.4262722	1.0112715	0.3481465	0.8160794	0.6177655	0.0007870	0.3370587	0.0068986	0.1511764	0.8140203	0.2603691	0.0233860	0.3871862	0.0611859	0.0181265	0.4388927	0.4471186	1.0509120	0.1697489	0.8124756	0.2050062	0.0047595	0.1322862	0.5063590	0.3168428	0.3921551	0.5031988	0.3472859	0.4976706	0.7203629	0.0053980	0.5412704	0.7160621	0.7221293	0.7768509	0.9141983	0.2984563	1.0299486	0.6441137	0.9048418	0.7526006	0.7084041	0.0742135	1.0179880	0.0009248	0.6966946	0.8095229	0.8899548	0.5124583	0.9013276	0.2226676
50	0.4460303	0.5496293	0.8556383	0.4436129	0.5502184	0.1804093	0.2735009	0.3371743	0.7359639	0.6437657	1.0228365	0.2562181	0.8694069	0.1320931	0.0528943	0.9558994	0.1737113	0.0864535	0.1458327	0.0230824	0.1472426	0.9948195	0.4142963	0.8443146	0.1169437	0.1636199	0.2028661	0.2785253	0.0624883	0.1049654	0.0603553	0.0851930	0.8104271	0.0791613	0.4765922	0.9647204	0.9169300	0.2652408	0.1258836	0.5810660	0.8474483	0.7098401	0.2698046	0.9326144	0.0165456	0.1823322	0.9046281	0.8000296	0.5795955	0.4770155	0.9919273	0.3095441	0.9740881	0.6526365	0.0020372	0.2588610	0.0015498	0.0773674	0.7377108	0.2210588	0.0715106	0.4973406	0.0091783	0.0143736	0.3951207	0.5070250	0.6420972	0.1311907	0.8129180	0.0571871	0.0103940	0.0899013	0.4578282	0.3962846	0.2007842	0.5526159	0.6272433	0.5695977	0.8061035	0.0096937	0.5493044	0.7413631	0.7643382	0.8244144	0.9134782	0.2500065	0.7600397	0.5898165	0.8466838	0.8513508	0.7793816	0.0618724	1.0488363	0.0106855	0.4852398	0.7887407	0.9749961	0.5746637	0.8141472	0.2902888
100	0.4183905	0.5069672	0.7338935	0.3341775	0.5649544	0.1950843	0.2683263	0.1872107	0.7495957	0.5867113	1.0084386	0.3267113	0.8733639	0.2856145	0.0730758	0.9137910	0.2270001	0.5259828	0.2229120	0.0219902	0.1281898	1.0909335	0.3297978	0.8975013	0.0931734	0.2028921	0.2123538	0.5762311	0.0668664	0.1528928	0.0425502	0.2053585	0.8349756	0.0898963	0.5138229	0.8751232	0.9389206	0.3897025	0.1118276	0.8212387	0.8822878	0.8148543	0.1280995	1.0038962	0.0163235	0.1332684	0.8198472	0.9358335	0.5218222	0.4275783	0.9693692	0.3308545	1.0170468	0.6988059	0.0084057	0.2269652	0.0128326	0.1464301	0.7866736	0.2412555	0.0602617	0.6843910	0.0498265	0.0131763	0.2343733	0.6008179	0.4329307	0.1842249	0.9225919	0.1182054	0.0069170	0.0802744	0.4243978	0.4051016	0.1576403	0.4468222	0.7277108	0.5406104	0.7194656	0.0056639	0.5125908	0.8489869	0.7390156	0.8460345	0.9585579	0.2619978	0.6887103	0.5977229	0.9467287	0.8225923	0.7695770	0.0799346	1.0852830	0.0081591	0.3344295	0.8506558	0.8257172	0.6214304	0.7711554	0.2229393
150	0.4933432	0.5900014	0.6127351	0.3279959	0.4676152	0.1537609	0.2223686	0.0752127	0.6641597	0.5414250	0.9697008	0.4143966	0.8716160	0.3154332	0.1195794	0.9497904	0.2604808	0.9051361	0.4140113	0.0321830	0.1039020	1.0198515	0.2848516	0.9217691	0.1425178	0.2271123	0.2778300	0.8241387	0.0554498	0.2515516	0.0619488	0.3153167	0.8637427	0.1409490	0.4243696	0.9239871	0.9125495	0.4106823	0.1330376	1.0101521	1.0306576	0.7987553	0.0650915	0.9844735	0.0252515	0.1308304	0.7392755	0.9417412	0.4980868	0.4461680	0.9659953	0.3197357	0.9747483	0.8590037	0.0088606	0.2418861	0.0028183	0.1603430	0.7407583	0.2916654	0.0763549	0.6101198	0.0769948	0.0176418	0.1310570	0.5186497	0.2798223	0.2663381	0.8221259	0.2899349	0.0125627	0.0979547	0.4211640	0.3786431	0.1220341	0.3224890	0.8380589	0.4825456	0.6964789	0.0011226	0.6404241	0.7822341	0.5799695	0.9353634	0.9884017	0.2464886	0.5453966	0.5416477	1.0056225	0.8494588	0.7296545	0.1405151	0.9165632	0.0209322	0.1362016	0.7228193	0.6343060	0.6917297	0.7365943	0.2004146
200	0.5112214	0.6946797	0.8377165	0.3240387	0.4345608	0.2149811	0.2601205	0.0321839	0.6725222	0.4655891	0.9366416	0.4658093	0.6823843	0.3066405	0.1379361	1.0656626	0.2099304	0.9127376	0.5787756	0.0424355	0.1466828	0.9429537	0.2906404	0.9599828	0.2528768	0.3323662	0.4320403	0.9040370	0.0727135	0.3623598	0.1618940	0.4518581	0.9501274	0.2755490	0.2720638	1.1302396	0.9247846	0.4014008	0.1583423	0.9982183	1.0431890	0.9405411	0.0601010	0.9734973	0.0192107	0.1556745	0.7120329	0.8898586	0.5818772	0.4036158	0.9889358	0.3476476	0.9780812	0.8330201	0.0018753	0.1663878	0.0035205	0.2255214	0.7570289	0.3978105	0.0759238	0.6413916	0.2009554	0.0090473	0.0952299	0.4664407	0.1245112	0.3290461	0.9039733	0.3830325	0.0338665	0.0531681	0.4932741	0.3020687	0.0921054	0.2610767	0.9220359	0.3631632	0.7107962	0.0032275	0.5735483	0.7810863	0.3879943	0.8587659	0.9678814	0.2596981	0.4187476	0.5307349	1.0045526	0.8156655	0.6944332	0.1656305	0.9184154	0.0241330	0.1088184	0.7426470	0.5312998	0.7921517	0.6133221	0.2679401
250	0.5131210	0.5048856	0.7306681	0.4039941	0.4227239	0.2062626	0.3132185	0.0319596	0.7611067	0.4293520	0.8842098	0.4968838	0.6490178	0.4649097	0.1996289	1.0158659	0.2053434	0.9990329	0.7766565	0.0586756	0.1698936	0.8366470	0.3284830	0.9419438	0.3740981	0.6130733	0.5421048	0.8677645	0.1236986	0.3759202	0.2098855	0.6059025	0.9703207	0.4320079	0.1687722	0.9010414	0.8775927	0.3970622	0.2860349	0.9726353	1.0851152	0.9169960	0.0891248	0.9044955	0.0100337	0.2165425	0.6687040	0.9914905	0.6564901	0.3956803	0.9143526	0.2718832	0.9192686	0.8352292	0.0008003	0.2324584	0.0032883	0.1942632	0.7618229	0.3822112	0.1254785	0.6688370	0.2524211	0.0132071	0.0924810	0.5180975	0.0749423	0.4711529	0.9532935	0.5058064	0.0581018	0.0383787	0.4993467	0.2361140	0.0677731	0.2237751	0.8428241	0.2285327	0.6721489	0.0041868	0.5673218	0.7257027	0.3116683	0.8506962	0.9849381	0.2949371	0.3276200	0.5967038	0.9872153	0.7727838	0.7542194	0.2068276	0.9894157	0.0391551	0.0571193	0.8182767	0.2653779	0.8264399	0.5177643	0.2372480
300	0.7047135	0.3565310	0.5263644	0.4266011	0.3387980	0.2100325	0.2484603	0.0113008	0.6734608	0.3675647	0.8799355	0.6423718	0.5196774	0.4389285	0.2751689	0.9691394	0.2438636	0.9242255	0.7431598	0.0997732	0.2669043	0.7150719	0.2687958	1.0629438	0.6988103	0.8318826	0.5938484	0.8510390	0.1802214	0.4394539	0.2084218	0.8019082	1.0434120	0.5164778	0.1323967	0.8350525	0.8366154	0.6108845	0.4762901	1.0622963	1.0565005	0.9240598	0.0835797	0.8531511	0.0175469	0.2101821	0.5901625	1.0832193	0.7543319	0.4397990	0.9353425	0.3935256	0.8621226	0.8790332	0.0020866	0.2116842	0.0034330	0.2298833	0.7647233	0.4948167	0.2622186	0.6423542	0.2860863	0.0105544	0.0592783	0.5353225	0.0542728	0.6192055	0.9522020	0.5847573	0.0552038	0.0129807	0.5436852	0.2090533	0.0339768	0.2005028	0.7967706	0.2693475	0.7174850	0.0032485	0.5513276	0.7649084	0.2823544	0.8247009	0.9585195	0.2671605	0.2383929	0.5549959	0.9359977	0.7102632	0.8196885	0.1420738	1.1631095	0.0642221	0.0320124	0.8226931	0.1777648	0.8254533	0.4702595	0.2031825
350	0.7800263	0.5346914	0.4587376	0.3714231	0.2679178	0.1757686	0.2396170	0.0157306	0.8694250	0.3413442	0.8001351	0.7313645	0.4512267	0.4339640	0.3590174	0.9511623	0.2440271	0.9806471	0.8672468	0.1208717	0.4457973	0.5154424	0.2440522	0.9609337	0.8082173	0.8774943	0.5083357	0.9527094	0.2136274	0.4422306	0.2157110	0.8873500	0.9100363	0.5086855	0.1234739	0.8840556	0.8003851	0.6922156	0.6343108	1.1213836	1.1427698	0.9406046	0.0780112	0.7748661	0.0106184	0.3230698	0.5212600	1.0481591	0.7956273	0.4440902	0.9107067	0.4132260	0.7928709	0.6847980	0.0021590	0.2287656	0.0072018	0.2771598	0.7337071	0.5037989	0.3870856	0.6361136	0.2883327	0.0097510	0.0796932	0.4851582	0.0137507	0.7462283	0.7930122	0.4707704	0.0939937	0.0035307	0.5020583	0.1458471	0.0192317	0.1461457	0.7826359	0.2820680	0.7435513	0.0055041	0.5326068	0.8686674	0.2520899	0.8120879	0.9085876	0.2313441	0.2935804	0.6016659	0.8627295	0.6753195	0.7076030	0.0892148	0.8621660	0.0845985	0.0339475	0.7789168	0.1502153	0.8521125	0.3255801	0.1396811
400	0.7523741	0.6945349	0.3784995	0.4307540	0.1883528	0.1834099	0.2377750	0.0034927	0.8823098	0.3884928	0.9351078	0.7296368	0.4251465	0.4841033	0.4300952	0.9503007	0.1868084	0.9435057	0.8186777	0.1650191	0.4744714	0.3411007	0.2475792	1.0038504	0.8941106	0.8654524	0.6410036	0.9337272	0.3173295	0.5328852	0.2368905	0.8325317	0.9513411	0.4520357	0.1160561	0.8357300	0.8243872	0.8234215	0.6612409	0.8660825	1.1166283	0.8809860	0.0899128	0.7911522	0.0200448	0.4156547	0.5054957	1.0650176	0.8219615	0.4538010	0.9700505	0.4891494	0.8398488	0.6901133	0.0041721	0.2197308	0.0282802	0.2272655	0.7418409	0.5555730	0.4058789	0.7557356	0.2161569	0.0060756	0.0669524	0.3802981	0.0099558	0.8233718	0.8058703	0.5934965	0.0916898	0.0103626	0.4904923	0.1120791	0.0066041	0.1147567	0.6704780	0.2587794	0.6951939	0.0028757	0.5002020	0.8945569	0.2978064	0.7583468	1.0365881	0.2197633	0.2973731	0.6549775	0.9033579	0.6432999	0.7285002	0.0733480	0.9355748	0.1137009	0.0580714	0.8401702	0.0737949	0.8687292	0.3238577	0.1159778
