G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G68A	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0049471	1.1159897	0.0276362	0.8638884	0.3255927	0.3757470	0.0303125	0.4849303	1.0894385	0.0613939	0.3150910	0.8239959	0.0186304	0.9851382	0.0365962	0.5773169	0.9491583	0.1903885	0.0000000	0.5553492	0.0058827	0.0316997	0.1540296	0.4989371	1.0331641	0.2771722	0.6805685	0.5390884	0.9537774	0.6921471	0.7385183	0.2226909	0.9668561	0.0974507	0.8693684	0.1904518	0.9744163	0.4744865	0.1392693	1.0207326	0.2487393	0.6745287	1.0513959	0.2742497	0.7376409	0.0000000	0.6057489	1.1563592	0.6093576	0.2017953	0.5949486	0.6754032	0.7586606	0.6795812	0.7984503	0.1646496	0.0911219	0.5564156	0.4974479	0.0790701	0.3100101	0.3611430	0.0148082	0.1675807	0.0986197	0.4275031	1.0241682	0.4571186	0.9772929	0.6355808	0.7522510	0.0082347	0.8198642	0.5675243	0.6981609	0.1014882	0.3811993	0.5645481	0.8243448	0.8412248	0.4173376	0.4608013	0.3369921	0.6371948	0.4026044	0.2018115	0.6297751	0.9472196	0.6978466	0.4232285	0.5905699	0.0610469	0.3201428	1.0694300	0.7903401	0.5555341	0.6807546	0.0019678	0.5585681	0.3733311
0.0066914	1.0274555	0.0518319	0.8749704	0.3798563	0.5442880	0.0298300	0.5161780	0.9631587	0.0563910	0.4092727	0.8006677	0.0137680	1.0572732	0.0135147	0.5478314	0.8810687	0.1889425	0.2732139	0.4931628	0.0046638	0.0752813	0.1536920	0.3535677	0.9588982	0.3016645	0.6504914	0.5022433	0.9020206	0.6802768	0.6685550	0.3950047	0.8305109	0.7182628	0.0000000	0.1739953	1.0377308	0.4542891	0.1362470	0.9094858	0.3408561	0.6183281	0.9684330	0.2919474	0.6463678	0.0000000	0.6299391	0.9962435	0.5851275	0.1928016	0.5662691	0.2089469	0.5823758	0.9931885	0.1674367	0.0180338	0.0733852	0.4602061	0.4924961	0.5041659	0.3643494	0.4588497	0.0217797	0.1728316	0.0115117	0.4017727	1.0145372	0.1217124	0.9292153	0.6853707	0.7592888	0.3030442	0.7420959	0.5127454	0.4877695	0.1018901	1.0074649	0.6283586	0.7850381	0.9017501	0.4643450	0.4825266	0.3263987	0.5835016	0.6207569	0.6512889	0.1495019	0.4749656	0.6711862	0.6066000	0.6918209	0.0363284	0.8784767	0.8176698	0.4922500	0.8112296	0.5429709	0.3988465	0.6491248	0.0694661
0.0059656	0.7383293	0.0492209	0.6744950	0.3512076	0.6181153	0.0214260	0.5521678	1.0955549	0.0428745	0.4459337	0.7748229	0.0257057	1.0611620	0.0350703	0.6750154	0.8778694	0.2055822	0.0000000	0.5691587	0.0026463	0.0349957	0.2039101	0.3515558	0.9923796	0.3463017	0.7489273	0.6255994	0.9628247	0.6689399	0.6576641	0.3535412	0.7604501	0.7216161	0.0000000	0.1756764	1.0136783	0.5019463	0.1524388	0.9994920	0.2314364	0.5317745	0.9744414	0.2625520	0.6714199	0.4579760	0.6476754	0.9917997	0.6268685	0.1626070	0.5496903	0.7404586	0.4447844	0.8483357	0.7563418	0.0160426	0.0431526	0.5177852	0.4864218	0.0757965	0.3101186	0.4547309	0.0372236	0.1825595	0.0265501	0.5119780	0.9800451	0.5920894	1.0952478	0.6044660	0.6741175	0.4444486	0.4351797	0.4575135	0.4757602	0.4794246	0.9076224	0.5267953	0.9038516	0.8323436	0.5225187	0.4731744	0.2676772	0.5803371	0.5674968	0.6343501	0.2025217	0.4127679	0.7421853	0.4884989	0.7501500	0.4064258	0.8208649	1.0617396	0.5618626	0.5383319	0.5877496	0.5256948	0.6309552	0.1069814
0.0132747	1.0490982	0.0469922	0.9441848	0.0000000	0.5006602	0.0334211	0.5236173	1.0988512	0.0459061	0.4100362	0.7839805	0.0111988	1.0076343	0.0144860	0.6470526	0.8815556	0.1782732	0.0544175	0.5329824	0.0028106	0.0416385	0.1189692	0.5170242	1.0404882	0.2632658	0.7394941	0.6247851	1.0067992	0.7104298	0.5968998	0.2502604	0.9514744	0.0842124	0.7872687	0.1855727	0.9760071	0.4942486	0.1600829	0.7540144	0.3657485	0.6248797	0.9853892	0.3127946	0.7106338	0.0000000	0.6533444	0.9581499	0.5710441	0.2187898	0.5700086	0.0387010	0.7832781	1.0469364	0.8207894	0.2077826	0.0708399	0.4950592	0.4961777	0.0490363	0.3013406	0.4082109	0.0384274	0.1745622	0.1766848	0.3611183	0.9175503	0.3569326	0.9845413	0.6876643	0.7272713	0.0052214	0.7794865	0.4533163	0.5943786	0.1716812	0.5389391	0.5900230	0.8582403	0.8793032	0.5459821	0.0677577	0.2642812	0.5662481	0.3200417	0.2683928	0.5907720	0.9481409	0.7449822	0.4617358	0.5958569	0.0641865	0.0073805	0.9469285	0.8476786	0.4950645	0.6612185	0.0012596	0.5357484	0.3586301
0.0080051	1.0027371	0.0291593	0.7649857	0.4580488	0.5610989	0.0312363	0.5018176	1.0880603	0.0442334	0.3467824	0.8530359	0.0169634	1.0594991	0.0300873	0.5601116	0.9360618	0.2376837	0.1862148	0.4765257	0.0004912	0.0000000	0.1069115	0.5916426	1.0452062	0.2907443	0.7178665	0.5528201	1.0172029	0.7580789	0.6838973	0.2635133	1.0353183	0.0759531	0.6040130	0.1400480	0.8381401	0.5027941	0.2082506	0.8976095	0.3307326	0.7323323	0.9982381	0.2716887	0.6355202	0.0000000	0.6150564	0.9905486	0.6025138	0.1828663	0.5233078	0.0683505	0.6317687	0.9860095	0.3993663	0.1697313	0.1168336	0.4032832	0.4927469	0.4481013	0.2736774	0.4058246	0.0382077	0.0100918	0.1442911	0.3480843	0.8998070	0.3917297	0.9057744	0.5062407	0.7022153	0.0028560	0.6781881	0.2636137	0.7189175	0.1473912	0.4878157	0.7125591	0.8578398	0.9620432	0.5517476	0.4634738	0.3282864	0.5719328	0.3683291	0.2556568	0.4842391	0.9300779	0.7312635	0.4410323	0.7273083	0.0673284	0.3651397	0.9516650	0.7888837	0.7550144	0.5854449	0.0000422	0.1766710	0.2805558
0.0075424	0.9603547	0.0399923	0.8046145	0.0024046	0.8514827	0.7947427	0.8739964	0.4468274	1.0503986	0.0000000	0.6331853	0.0121755	0.9703617	0.0291093	0.5433065	1.0049260	0.2306396	0.1654854	0.8248127	0.0197806	0.0424182	0.1567792	0.4434932	0.9780710	0.2771347	0.7757950	0.6776773	1.0435900	0.6314230	0.5095220	0.5449785	1.0336902	0.0027028	0.9642996	0.2071834	0.9139567	0.4810389	0.0478119	0.6841659	0.2148395	0.5953423	0.9251059	0.3584071	0.6269534	0.0000000	0.7361563	0.9629638	0.5611545	0.2725554	0.5682805	0.0344983	0.6224590	0.7338235	1.0087081	0.2583089	0.0414509	0.4948556	0.5591993	0.0775346	0.5033318	0.3040038	0.0502888	0.1731023	0.0048878	0.3776740	0.9703817	0.0406816	1.1056385	0.8901201	0.4825323	0.3003832	0.8390961	0.0402756	0.4837152	0.0067200	0.0467002	0.5462110	0.8430017	0.8713308	0.4497261	0.0474502	0.2573406	0.8167266	0.3325965	0.1819657	0.8628310	0.8725600	0.5360939	0.6391477	0.4338639	0.0568769	0.0015438	1.0679403	0.6810608	0.5395402	0.8223748	0.0000426	0.6809476	0.5002076
0.0072687	0.9690025	0.0542438	0.8080850	0.3460441	0.4748683	0.0440448	0.4844069	0.9694860	0.0628543	0.3695947	0.7963392	0.0309619	1.0805929	0.0266213	0.5415732	0.9622187	0.1607363	0.0839959	0.0000000	0.0008262	0.0492332	0.1246811	0.5565878	0.9004518	0.2846939	0.6252654	0.5564476	1.0319064	0.6698338	0.6783291	0.2595859	0.9733932	0.0743072	0.5801357	0.1747606	0.9259462	0.4950701	0.1865086	0.9851848	0.2431066	0.6340616	1.0270049	0.3341519	0.6397444	0.0000000	0.6711602	1.0054515	0.5660991	0.1967622	0.5361262	0.0397994	0.6613464	0.9661942	0.3796622	0.2024078	0.1478120	0.4193463	0.4772942	0.0656998	0.3192462	0.4277726	0.0133940	0.5012240	0.5656041	0.3468481	1.0235998	0.2115491	0.9520099	0.6745056	0.6908085	0.3761913	0.7690412	0.4095785	0.6890705	0.1501974	0.4366121	0.5829110	0.8738259	0.9014821	0.5815028	0.4327246	0.2972201	0.4878613	0.3601602	0.2425404	0.5978435	0.9295875	0.6227998	0.4660955	0.6189837	0.0667917	0.3051249	0.9604201	0.8603098	0.5378226	0.6420125	0.0007315	0.2361612	0.3230858
0.0082807	0.4477765	0.0387754	0.0000000	0.3864323	0.4224914	0.0321745	0.4799330	1.0747936	0.0394323	0.7434872	0.8087760	0.0159993	0.9503956	0.0242321	0.6100466	0.6534601	0.5741024	0.0958527	0.5038467	0.0051338	0.0622701	0.2576204	0.2862907	1.0633126	0.2780625	0.6783894	0.5105516	0.9715520	0.6811598	0.6796142	0.3160398	0.5649894	0.6908762	0.0000000	0.2026284	0.9913139	0.5077078	0.1738974	0.9406566	0.3028333	0.5632039	0.9325979	0.3065941	0.6362149	0.6249989	0.5869033	0.9655730	0.5082295	0.1698553	0.5566866	0.0034905	0.4985160	1.0333647	0.1372983	0.0048051	0.0267823	0.5842579	0.4268631	0.3638504	0.2231426	0.4901280	0.0008264	0.3219041	0.0139628	0.3604010	1.0558491	0.6514048	0.9631541	0.7047282	0.5092495	0.1307182	0.0398687	0.4526032	0.3386776	0.7810418	1.0102011	0.3189128	0.8109952	0.6451216	0.2921138	0.5407039	0.4134227	0.6129718	0.5241645	0.5033195	0.0041889	0.9077373	0.6459030	0.5486260	0.8945296	0.4548005	0.2670572	0.8656655	0.6143923	0.6088344	0.5469899	0.3990650	0.4868412	0.0524592
0.0113613	0.8945843	0.0421389	0.8207871	0.0000000	0.5639455	0.0336256	0.5029473	0.9400467	0.0350960	0.4391215	0.7868578	0.0099116	0.9862198	0.0197997	0.6430097	0.9365010	0.1873402	0.0992146	0.5434378	0.0042225	0.0399607	0.1051842	0.5791255	1.0454095	0.2869078	0.6624372	0.5559702	1.0264906	0.6666073	0.6670039	0.4242401	0.7734577	0.6219381	0.0000000	0.1854783	1.0598538	0.4915390	0.1555029	0.7498377	0.2732672	0.5905885	0.9856769	0.3389674	0.6616811	0.3054007	0.6462077	1.0158555	0.6398554	0.1939351	0.4879420	0.2570362	0.4622377	0.9335433	0.7297447	0.0286450	0.1032983	0.4226632	0.5150753	0.0322945	0.2433806	0.4894985	0.1246167	0.1493734	0.0215749	0.4928270	0.9993646	0.1458108	1.0366017	0.4570435	0.6873260	0.8864717	0.7448958	0.4256040	0.5798331	0.1395101	0.8145042	0.5522381	0.8112136	0.8892768	0.5101010	0.0263021	0.2891862	0.5087161	0.5157906	0.7218290	0.1603687	0.3812813	0.6731304	0.4122326	0.6236191	0.2555658	0.4943740	0.8225033	0.5239146	0.5898771	0.5359729	0.4412867	0.5966834	0.1506526
0.0093256	0.8903347	0.0621675	0.8520847	0.0002325	0.7689227	0.7881116	0.8303235	0.5506550	1.0331281	0.0000000	0.7461288	0.0228677	0.9233497	0.0186943	0.4838704	0.9480393	0.2231536	0.3402660	0.8629820	0.0195381	0.0773505	0.3324359	0.3656833	1.0126289	0.2912390	0.6548544	0.7052462	0.9916340	0.6859681	0.5415679	0.8935642	0.9368457	0.4652130	0.0000000	0.1890832	0.9449817	0.4194241	0.0448526	0.5475282	0.1958129	0.5331348	0.9871403	0.2807852	0.6455631	0.3224395	0.6959953	1.0314249	0.6817984	0.2542982	0.6182751	0.0961380	0.5145599	0.9908387	0.7578583	0.0126095	0.0527768	0.4685834	0.2844742	0.0604882	0.5540478	0.4965394	0.0001019	0.1431005	0.0103300	0.4863458	1.0355133	0.0065711	1.0576367	0.6070133	0.3049090	0.7382056	0.8814858	0.4705413	0.5701640	0.3573621	0.6311153	0.4533357	0.9088440	0.8307338	0.4565190	0.0755479	0.3382586	0.7328724	0.5912243	0.3032228	0.2797368	0.4003229	0.5365974	0.6384303	0.4416112	0.0571329	0.5764663	0.8930213	0.4037681	0.5160893	0.6122870	0.4210823	0.5951459	0.7809132
