"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G65A	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4060190	0.2651381	0.9257125	0.8220229	0.8915071	0.7412294	0.4869005	0.8276273	0.0823492	0.6995173	1.0000000	0.9845963	0.1100400	0.9699986	0.1917655	0.4643837	0.0148736	0.3908596	0.5250518	0.8150349	0.7297381	0.2703842	0.6609375	0.4046503	0.2885108	0.9951928	0.0855720	0.4286181	0.2404751	0.0930656	0.7749718	0.4279379	0.0964013	0.4776838	0.2016380	0.3283324	0.6239830	0.9771809	0.1060999	0.9511697	0.4874716	0.8715960	0.3007052	0.9988921	0.2777182	0.0190394	0.0947950	0.3806038	0.6200493	0.0609229	0.3858952	0.8884516	0.3714655	0.9183811	0.9142084	0.6489920	0.8049524	0.9995103	0.8973599	0.9999857	0.0149286	0.5480641	0.7932699	0.1792268	0.0663756	0.8909015	0.3051586	0.4469226	0.8687771	0.2656935	0.3567610	0.0670934	0.8340135	0.4366850	0.6279403	0.9408706	0.5782637	0.0748492	0.9997756	0.0540020	0.2296437	0.0324961	0.1947258	0.9980109	0.0023545	0.4986218	0.3854807	0.7634417	0.4810224	0.1962875	0.5359425	0.6021733	0.7013068	0.5943570	0.0191339	0.2745574	0.9678292	0.3961250	0.5031895	0.6616983
50	0.4060442	0.2650893	0.9256865	0.8285075	0.8947868	0.5931528	0.5344888	0.4428939	0.0823492	0.5381308	1.0000000	0.9846234	0.1100411	0.9698799	0.1934594	0.4791493	0.0092047	0.3908753	0.5241643	0.7932502	0.7305076	0.2703930	0.6609527	0.4047622	0.2885183	0.9951930	0.0855055	0.4286097	0.2403716	0.0930257	0.7820916	0.4990981	0.1028711	0.4775814	0.2016619	0.3283390	0.6214086	0.9775195	0.1009714	0.8437133	0.4874577	0.8714570	0.2663882	0.9986780	0.2849423	0.0281674	0.2320549	0.3288138	0.7014864	0.0611711	0.3866544	0.7470597	0.3698885	0.9183724	0.9149788	0.6489315	0.8337760	0.9995089	0.8972554	0.9999857	0.0083165	0.5472711	0.7920449	0.3861537	0.0712112	0.6716468	0.3099886	0.4471894	0.8883222	0.2698968	0.3563613	0.0670960	0.8764110	0.4366514	0.6784084	0.9394827	0.5780779	0.0748546	0.9997610	0.0577847	0.2246176	0.0324638	0.1560589	0.9980281	0.0023721	0.4986201	0.4008316	0.7963543	0.4810159	0.1976680	0.6341956	0.6021738	0.7102942	0.5857279	0.1474830	0.5197429	0.9683376	0.3974976	0.5026399	0.6463247
100	0.4067162	0.2657125	0.9257677	0.8552726	0.9135192	0.4122993	0.5430418	0.1730023	0.0823492	0.3871307	0.9999999	0.9850230	0.1101116	0.9671244	0.1967729	0.4530488	0.0039936	0.3928344	0.5025724	0.6684093	0.7446658	0.2704095	0.6610915	0.4051373	0.2885410	0.9951993	0.0853679	0.4289803	0.2385646	0.0923984	0.8039593	0.5634063	0.1458916	0.4774933	0.2017544	0.3282352	0.6065421	0.9816707	0.0861890	0.7162656	0.4873851	0.8708633	0.2290241	0.9969310	0.3260613	0.0771843	0.3139598	0.2603666	0.7853547	0.0676427	0.3904363	0.5885557	0.3594684	0.9181669	0.9205271	0.6486107	0.8603957	0.9994988	0.8961219	0.9999857	0.0033144	0.5399551	0.7833179	0.5636175	0.1087050	0.5247166	0.3497303	0.4516274	0.9001199	0.2975652	0.3575047	0.0671340	0.9255809	0.4364452	0.7478493	0.9292844	0.5687880	0.0748805	0.9996387	0.1164995	0.2036115	0.0323300	0.1310985	0.9981629	0.0025485	0.4985730	0.3928304	0.8298373	0.4809877	0.2085939	0.7370731	0.6021764	0.7552251	0.5416409	0.2682422	0.7338916	0.9715132	0.4036677	0.4993695	0.5654502
150	0.4083415	0.2737027	0.9301074	0.8810636	0.9364979	0.3106415	0.5073971	0.0842570	0.0823492	0.3378491	0.9999976	0.9852017	0.1106843	0.9575871	0.1846850	0.3912972	0.0016781	0.4114191	0.4242788	0.5159524	0.7888675	0.2704909	0.6614886	0.4043587	0.2886565	0.9952052	0.0859222	0.4310233	0.2352047	0.0911539	0.8079034	0.5907639	0.2193201	0.4781216	0.2023571	0.3277180	0.5843422	0.9867645	0.0942776	0.6418127	0.4871802	0.8701969	0.2077760	0.9948805	0.3839869	0.1257258	0.3332193	0.2115100	0.8213585	0.0967938	0.3956878	0.4989695	0.3404638	0.9174089	0.9304389	0.6478327	0.8615954	0.9995111	0.8923057	0.9999857	0.0014721	0.5226378	0.7727229	0.6354936	0.1855736	0.4501218	0.4094789	0.4576112	0.8860216	0.3507186	0.3699997	0.0673549	0.9511020	0.4361155	0.7967612	0.9095115	0.4613323	0.0749047	0.9993323	0.2177998	0.1876845	0.0324852	0.1495694	0.9984016	0.0027127	0.4981737	0.3670073	0.8480449	0.4809666	0.2350053	0.7907847	0.6021800	0.8079134	0.4927554	0.3243305	0.8212405	0.9763926	0.4089286	0.4941350	0.4708827
200	0.4096240	0.3032408	0.9443467	0.8963152	0.9435336	0.2732799	0.4723488	0.0593501	0.0823492	0.3481107	0.9999843	0.9822671	0.1122625	0.9459127	0.1572479	0.3396300	0.0008237	0.4757365	0.3105714	0.4160729	0.8445210	0.2706902	0.6616472	0.3990302	0.2889081	0.9951583	0.0877119	0.4340115	0.2348155	0.0904039	0.7969136	0.6190950	0.2824175	0.4825115	0.2040095	0.3273067	0.5648933	0.9799471	0.1359681	0.6077106	0.4869125	0.8699398	0.1970236	0.9947837	0.4276386	0.1480953	0.3343583	0.1790793	0.8170861	0.1517996	0.3998797	0.4546433	0.3205328	0.9163066	0.9400023	0.6461768	0.8556229	0.9996010	0.8756024	0.9999856	0.0008421	0.5016974	0.7747909	0.6563451	0.2708326	0.4053690	0.4563951	0.4542476	0.8566743	0.4099929	0.4001000	0.0679106	0.9592983	0.4357957	0.8242734	0.8876855	0.2718616	0.0749149	0.9988588	0.2748091	0.1827163	0.0346098	0.1817682	0.9985522	0.0022620	0.4972567	0.3445816	0.8565220	0.4810032	0.2753411	0.8143430	0.6021827	0.8468021	0.4633299	0.3473702	0.8485549	0.9804092	0.4114585	0.4874807	0.4118223
250	0.4101087	0.3623902	0.9639164	0.9030916	0.9260473	0.2672031	0.4505177	0.0510053	0.0823492	0.3710862	0.9999594	0.9717218	0.1143185	0.9413091	0.1300194	0.3155495	0.0005166	0.5942738	0.2103259	0.3585363	0.8876772	0.2707151	0.6597514	0.3828213	0.2889050	0.9949914	0.0904264	0.4345527	0.2384678	0.0903467	0.7967350	0.6547148	0.3139248	0.4930317	0.2065550	0.3281764	0.5523770	0.9409617	0.1695074	0.5954102	0.4867141	0.8698257	0.1917429	0.9956270	0.4469168	0.1538821	0.3323337	0.1593104	0.7871098	0.2096842	0.4009043	0.4295782	0.3062934	0.9153256	0.9464158	0.6443984	0.8590378	0.9997342	0.8165195	0.9999852	0.0005104	0.4890109	0.7852010	0.6609258	0.3465235	0.3757218	0.4847107	0.4485591	0.8260886	0.4556981	0.4452560	0.0685423	0.9594393	0.4355517	0.8354973	0.8703686	0.1558114	0.0749256	0.9983120	0.2970534	0.1827864	0.0400629	0.2052787	0.9985605	0.0014359	0.4963436	0.3313663	0.8598910	0.4811281	0.3281327	0.8240100	0.6021851	0.8748637	0.4496806	0.3571749	0.8551928	0.9822813	0.4134318	0.4768700	0.3858022
300	0.4101012	0.4364171	0.9800850	0.9041294	0.8915763	0.2714825	0.4390923	0.0457035	0.0823492	0.3869290	0.9999349	0.9498065	0.1155481	0.9450674	0.1122967	0.3120685	0.0003899	0.7302676	0.1414008	0.3225856	0.9164694	0.2694055	0.6521677	0.3501722	0.2872927	0.9946803	0.0932399	0.4316918	0.2419489	0.0901267	0.8125149	0.6849044	0.3126386	0.5049850	0.2092951	0.3301906	0.5458705	0.8952541	0.1641786	0.5934469	0.4865578	0.8691755	0.1893885	0.9963257	0.4493223	0.1538402	0.3306330	0.1509177	0.7537581	0.2492443	0.3982012	0.4068794	0.2989367	0.9139738	0.9495817	0.6438388	0.8671143	0.9998436	0.6977889	0.9999835	0.0002757	0.4974316	0.7936192	0.6651482	0.4140133	0.3488067	0.4999234	0.4544449	0.8022292	0.4816408	0.4967223	0.0689581	0.9571613	0.4353913	0.8359101	0.8595037	0.1110920	0.0749148	0.9978227	0.3045781	0.1844466	0.0456768	0.2193939	0.9985037	0.0007702	0.4958227	0.3260960	0.8611280	0.4813159	0.3896321	0.8279261	0.6021878	0.8969188	0.4449444	0.3614342	0.8563150	0.9822258	0.4161113	0.4590311	0.3799529
350	0.4099231	0.5007996	0.9900568	0.9014988	0.8560131	0.2774873	0.4334671	0.0411089	0.0823492	0.3939524	0.9999190	0.9203593	0.1153619	0.9527776	0.1042311	0.3170818	0.0003258	0.8411183	0.0989468	0.2994876	0.9378954	0.2643923	0.6349459	0.3100657	0.2813940	0.9942646	0.0956800	0.4285131	0.2415721	0.0892858	0.8326272	0.6993036	0.2830353	0.5121831	0.2114329	0.3317310	0.5424376	0.8978710	0.1338792	0.5960146	0.4862739	0.8679517	0.1886887	0.9967143	0.4453800	0.1527287	0.3297595	0.1532023	0.7302480	0.2623650	0.3932170	0.3779299	0.2966719	0.9113111	0.9505242	0.6447011	0.8674595	0.9999083	0.5689487	0.9999786	0.0001377	0.5331665	0.8000665	0.6742966	0.4713197	0.3220882	0.5076179	0.4731805	0.7874059	0.4917777	0.5468920	0.0692098	0.9550389	0.4352996	0.8304491	0.8540739	0.0961852	0.0747689	0.9975229	0.3069445	0.1873378	0.0472559	0.2280002	0.9984360	0.0003942	0.4956592	0.3272962	0.8618691	0.4815042	0.4455778	0.8295637	0.6021902	0.9134972	0.4464732	0.3629885	0.8565992	0.9806988	0.4189917	0.4350841	0.3867112
400	0.4097513	0.5444561	0.9952948	0.8972646	0.8325428	0.2825195	0.4306597	0.0375302	0.0823492	0.3954642	0.9999118	0.8947900	0.1141720	0.9607196	0.1023356	0.3228647	0.0002879	0.9134192	0.0740671	0.2867337	0.9541540	0.2531724	0.6089759	0.2772903	0.2683527	0.9938088	0.0976465	0.4284273	0.2372505	0.0881358	0.8466697	0.6941644	0.2454133	0.5147367	0.2120476	0.3313391	0.5387731	0.9342710	0.1038552	0.5996242	0.4858014	0.8669272	0.1887330	0.9969834	0.4412412	0.1519637	0.3296506	0.1636106	0.7134136	0.2500606	0.3880621	0.3416887	0.2970543	0.9079976	0.9504581	0.6463273	0.8581255	0.9999390	0.4781843	0.9999677	0.0000708	0.5850267	0.8089450	0.6881742	0.5140209	0.2989075	0.5108890	0.4986371	0.7812996	0.4928006	0.5909923	0.0694428	0.9540052	0.4352542	0.8228616	0.8522309	0.0854780	0.0742671	0.9974793	0.3076571	0.1916982	0.0445554	0.2329129	0.9983697	0.0002242	0.4956906	0.3348055	0.8626692	0.4815942	0.4850049	0.8302971	0.6021910	0.9239460	0.4540520	0.3632658	0.8569915	0.9781704	0.4209142	0.4105726	0.4000551
