"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G63A	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.0775026	0.4421717	0.2882492	0.7174238	0.9773761	0.9986062	0.4432541	0.0303148	0.2167458	0.6736899	0.4360025	0.7014531	0.4966043	0.3450999	0.5551055	0.0111733	0.6645574	0.2443236	0.4482153	0.9242772	0.7905294	0.6579837	0.4567946	0.3578689	0.9999994	0.8649099	0.3981046	0.9962756	0.0592025	0.9643113	0.1132231	0.7849787	0.4712322	0.7952016	0.8927271	0.7884165	0.9984114	0.1525135	0.5348330	0.9072774	0.8300389	0.4090271	0.0894637	0.1970378	0.0283063	0.1285167	0.9999985	0.5758141	0.3149016	1.0000000	0.1523706	0.2090608	0.2107032	0.0000596	0.0781265	0.1175940	0.1385715	0.5878901	0.4091067	0.8698800	0.5672304	0.2621206	0.9458638	0.8283260	0.5191431	0.2957441	0.9491129	0.9240017	0.8870483	0.4059881	0.3595895	0.5935234	0.8891349	0.3784876	0.9401453	0.3105019	0.5693121	0.2734291	0.9919643	0.9996796	0.9843668	0.1168711	0.1423157	0.8341632	0.5447555	0.7293695	0.0150672	0.1064269	0.1354158	0.9856325	0.0496488	0.9556020	0.3014942	0.5104500	0.8579725	0.4244323	0.5223544	0.6848274	0.9354099	0.0380324
50	0.2762403	0.3298693	0.2879060	0.7170697	0.9767634	0.9983758	0.4417876	0.0573353	0.2514670	0.6716236	0.4361758	0.7158540	0.1767852	0.3401913	0.5467511	0.0111712	0.6648082	0.2441509	0.4387801	0.9241278	0.8275894	0.6579973	0.4569627	0.3632191	0.7865050	0.8648072	0.4147355	0.8162548	0.0591957	0.9643982	0.0968020	0.7850893	0.4682214	0.8175926	0.9150617	0.7884260	0.9984113	0.1525166	0.5452839	0.9073298	0.8300136	0.4089214	0.0898869	0.2328503	0.1213579	0.1280380	0.9999989	0.5754214	0.3077676	1.0000000	0.1558021	0.2090167	0.2113390	0.0159596	0.0765152	0.1404631	0.1824022	0.5781971	0.5326541	0.9158169	0.5709906	0.2584617	0.9496208	0.8271959	0.4026428	0.2907129	0.9492739	0.9053958	0.8870307	0.4058311	0.3590590	0.5766158	0.8896341	0.1986316	0.9366513	0.2948704	0.5693074	0.2732958	0.9919638	0.9092704	0.9777953	0.1168151	0.1423981	0.7098078	0.5388259	0.5568798	0.0112658	0.1502372	0.0978266	0.9856313	0.0497649	0.9555599	0.3015748	0.5149764	0.8629887	0.3639144	0.5242846	0.5066251	0.9026244	0.0380917
100	0.4842139	0.1966710	0.2794701	0.7101194	0.9623039	0.9686968	0.4052110	0.2120946	0.3779031	0.6460773	0.4375423	0.7749438	0.0783895	0.3258412	0.5001113	0.0111415	0.6370909	0.2731745	0.3720193	0.9197600	0.8694489	0.6586427	0.4592310	0.3999226	0.5425115	0.8719661	0.5551682	0.6376228	0.0594212	0.9643818	0.0590985	0.7864795	0.4415560	0.8398119	0.9368889	0.7886635	0.9984110	0.1525544	0.5526501	0.9085326	0.8306847	0.4285598	0.0939153	0.2990183	0.2249313	0.1234867	0.9999994	0.5733774	0.2753586	1.0000000	0.1608283	0.2083883	0.2256000	0.0494922	0.0670132	0.2520417	0.2668133	0.5312545	0.6493008	0.9617577	0.5941312	0.2627008	0.9479986	0.8246933	0.2495572	0.2808460	0.9500953	0.8294074	0.8876259	0.4049217	0.3585391	0.4856125	0.8951333	0.0729375	0.9161760	0.1986185	0.5688769	0.2633397	0.9919829	0.8044221	0.9227920	0.1153181	0.1444867	0.5200031	0.4997206	0.4846795	0.0101737	0.2812075	0.0563020	0.9855008	0.0528804	0.9543536	0.3029208	0.6845732	0.8812830	0.3187996	0.5448439	0.3851725	0.8619453	0.0379493
150	0.5916310	0.1200496	0.2508773	0.6857718	0.9101518	0.8622925	0.3170697	0.3200677	0.4966774	0.5850799	0.4400269	0.8266010	0.0618236	0.3218832	0.4326948	0.0109318	0.5577404	0.3564514	0.2654494	0.8971643	0.8976545	0.6618669	0.4635476	0.4673510	0.4039008	0.8928518	0.7097902	0.5472032	0.0619156	0.9621595	0.0360787	0.7882363	0.3994934	0.8569945	0.9476539	0.7908117	0.9984099	0.1526466	0.5400005	0.9132350	0.8371374	0.4662470	0.1053970	0.3555257	0.2817353	0.1140101	0.9999996	0.5725314	0.2604799	1.0000000	0.1656487	0.2009209	0.2763930	0.1051853	0.0563525	0.3495985	0.2719403	0.4800040	0.7114888	0.9836898	0.6350509	0.2729578	0.9104878	0.8293225	0.1473483	0.2663716	0.9494705	0.7657355	0.8922447	0.4030869	0.3587637	0.3878574	0.9090315	0.0302463	0.8911062	0.1293224	0.5642585	0.2341008	0.9921502	0.7417254	0.8408613	0.1098576	0.1557848	0.3671205	0.4304424	0.4577974	0.0070969	0.3256559	0.0318289	0.9844865	0.0672259	0.9488377	0.3065981	0.8760734	0.9045969	0.3076094	0.6016412	0.3763975	0.8216762	0.0376451
200	0.6377530	0.0802256	0.2167687	0.6471502	0.8295389	0.8016181	0.2423409	0.2930321	0.5713986	0.5242845	0.4412057	0.8542252	0.0590082	0.3306420	0.3782443	0.0103463	0.4750928	0.4375723	0.1774208	0.8408979	0.9177327	0.6689682	0.4733570	0.5402295	0.3387040	0.9157351	0.8027863	0.5075362	0.0689500	0.9583525	0.0260850	0.7875511	0.3749843	0.8758973	0.9523519	0.7971333	0.9984077	0.1526458	0.5076788	0.9219665	0.8477327	0.4546374	0.1232833	0.3908275	0.3068532	0.1056164	0.9999997	0.5733115	0.2816192	1.0000000	0.1716125	0.1828901	0.3684803	0.1586310	0.0558759	0.4035921	0.2281082	0.4469324	0.7520635	0.9922115	0.6801311	0.2847867	0.8089295	0.8380119	0.0926679	0.2460928	0.9442349	0.7456723	0.9031235	0.4003753	0.3495823	0.3194950	0.9233027	0.0172729	0.8749436	0.0964428	0.5479894	0.2151609	0.9925027	0.7133989	0.7867203	0.1017882	0.1800261	0.2555686	0.3614545	0.4377009	0.0045258	0.3559972	0.0198503	0.9828558	0.0987688	0.9405202	0.3152040	0.9478923	0.9185862	0.3106836	0.6596750	0.4095644	0.7849213	0.0393345
250	0.6559210	0.0575440	0.1945576	0.6105194	0.7525827	0.7969294	0.2109713	0.2298599	0.6092614	0.4873354	0.4387834	0.8663453	0.0589579	0.3439639	0.3461434	0.0095700	0.4199642	0.4873066	0.1254931	0.7531595	0.9325265	0.6850458	0.4961624	0.5987546	0.3106707	0.9327728	0.8470719	0.4906574	0.0796695	0.9554928	0.0222975	0.7844065	0.3665471	0.8949988	0.9546232	0.8062212	0.9984083	0.1523019	0.4734914	0.9317673	0.8491965	0.3980943	0.1424634	0.4129456	0.3154431	0.1022711	0.9999998	0.5727569	0.3140040	1.0000000	0.1737945	0.1651124	0.4696008	0.2014223	0.0657886	0.4337773	0.2139769	0.4253372	0.7843859	0.9952263	0.7137625	0.2962653	0.7061006	0.8440799	0.0672536	0.2253532	0.9378388	0.7546301	0.9173006	0.3970535	0.3337516	0.2811670	0.9320494	0.0136475	0.8667678	0.0799395	0.5163071	0.2271270	0.9928993	0.7029398	0.7615170	0.0941004	0.2070615	0.1719172	0.3142565	0.4144678	0.0031117	0.4460891	0.0143881	0.9817757	0.1435579	0.9357273	0.3315301	0.9572731	0.9229806	0.3161710	0.6980833	0.4405758	0.7558064	0.0438070
300	0.6627311	0.0444284	0.1843703	0.5860583	0.6978123	0.8237846	0.2153055	0.1839813	0.6255916	0.4691497	0.4360632	0.8707773	0.0595580	0.3553939	0.3300120	0.0089138	0.3904674	0.5122897	0.1007504	0.6557411	0.9429739	0.7156776	0.5297298	0.6376390	0.2992349	0.9435374	0.8663471	0.4830474	0.0909610	0.9544702	0.0209643	0.7803948	0.3655447	0.9108024	0.9560448	0.8142039	0.9984173	0.1515929	0.4492060	0.9387710	0.8339121	0.3427006	0.1596944	0.4313442	0.3157049	0.1031904	0.9999998	0.5713177	0.3403455	1.0000000	0.1684293	0.1532924	0.5468100	0.2319551	0.0789336	0.4532192	0.2408731	0.4081252	0.8075771	0.9962446	0.7302734	0.3061827	0.6468090	0.8471634	0.0562800	0.2092688	0.9357774	0.7721503	0.9306060	0.3935813	0.3186436	0.2719719	0.9365001	0.0130972	0.8628694	0.0711659	0.4767147	0.2556004	0.9932222	0.6995499	0.7520880	0.0871927	0.2259614	0.1131308	0.2895845	0.3893890	0.0024087	0.5496895	0.0115754	0.9817578	0.1897863	0.9363660	0.3511328	0.9424204	0.9188931	0.3198983	0.7238705	0.4577918	0.7297111	0.0494888
350	0.6652037	0.0373772	0.1811075	0.5729564	0.6656709	0.8616266	0.2366251	0.1595750	0.6316863	0.4599302	0.4372539	0.8720517	0.0601588	0.3629705	0.3222207	0.0084894	0.3764125	0.5236851	0.0907117	0.5703559	0.9498948	0.7565836	0.5643566	0.6603845	0.2947285	0.9499259	0.8745997	0.4790102	0.1003200	0.9547827	0.0205187	0.7761643	0.3671894	0.9219369	0.9570644	0.8190443	0.9984364	0.1507749	0.4351434	0.9409864	0.8071188	0.3059111	0.1751154	0.4493874	0.3125506	0.1060955	0.9999998	0.5701150	0.3573015	1.0000000	0.1545802	0.1464942	0.5950353	0.2504589	0.0901137	0.4655439	0.2920504	0.3933650	0.8215680	0.9965806	0.7341621	0.3139348	0.6208163	0.8486881	0.0516719	0.1989987	0.9393304	0.7873026	0.9409002	0.3905049	0.3070933	0.2800411	0.9388713	0.0134297	0.8621345	0.0680129	0.4414631	0.2814334	0.9934433	0.6983072	0.7495865	0.0801526	0.2360801	0.0761783	0.2787607	0.3668229	0.0020773	0.6156187	0.0097948	0.9828450	0.2273770	0.9395718	0.3678125	0.9208152	0.9045069	0.3211951	0.7441391	0.4638093	0.6991310	0.0546267
400	0.6660819	0.0339927	0.1810684	0.5663266	0.6492688	0.8939903	0.2596262	0.1486166	0.6336447	0.4544128	0.4412617	0.8725867	0.0605752	0.3672948	0.3181627	0.0082647	0.3700863	0.5286088	0.0869843	0.5066444	0.9542173	0.7970422	0.5923446	0.6725611	0.2929957	0.9536425	0.8783033	0.4764142	0.1070259	0.9556912	0.0203770	0.7715114	0.3693366	0.9289848	0.9577537	0.8210172	0.9984606	0.1501602	0.4277093	0.9386401	0.7789202	0.2851408	0.1897594	0.4658198	0.3089533	0.1093537	0.9999998	0.5693339	0.3671184	1.0000000	0.1347072	0.1426874	0.6218470	0.2593937	0.0978206	0.4721238	0.3459407	0.3812246	0.8289950	0.9966859	0.7325498	0.3195012	0.6113213	0.8494744	0.0500258	0.1931493	0.9460979	0.7974782	0.9479570	0.3881724	0.2992694	0.2919057	0.9402975	0.0138484	0.8640142	0.0694068	0.4173578	0.2976425	0.9935813	0.6974197	0.7496312	0.0727535	0.2412286	0.0552841	0.2742204	0.3495389	0.0019397	0.6437088	0.0085580	0.9846165	0.2532612	0.9426015	0.3791014	0.9008287	0.8828377	0.3206990	0.7607471	0.4635975	0.6624392	0.0584876
