"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G71A	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6455393	0.2846595	0.4792829	0.3532485	0.0902318	0.4102411	0.4881578	0.3639195	0.6358025	0.1626585	0.6675440	0.4447049	0.4719955	0.2517159	0.0522401	0.0722980	0.6538905	0.0319156	0.2180660	0.1304034	0.1793351	0.5060705	0.1548196	0.1782294	0.0129410	0.6050539	0.1195643	0.1668166	0.5219689	0.3830240	0.0597545	0.1178112	0.0695206	0.1615866	0.6807376	0.0526152	0.5446685	0.7792926	0.1130422	0.1821661	0.0091980	0.6948522	0.0537791	0.4462904	0.2514397	0.6204374	0.0463857	0.4856268	0.1096426	0.8230209	0.3716376	0.6258209	0.5568657	0.5191996	0.1941525	0.2559283	0.7304025	0.3700039	0.5302148	0.5925977	0.4238772	0.0103541	0.0901074	0.5952170	0.3307686	0.0420846	0.2946053	0.5741060	0.1234140	0.0312424	0.0092671	0.7497527	0.8134787	0.2165363	0.6548620	0.0090006	0.5273822	0.1226347	0.6146451	0.3743060	0.1587949	0.3809216	0.6494271	0.2253934	0.0056840	0.6899340	0.6454710	0.6492688	0.7051420	0.5095200	0.6408733	0.0451124	0.4121151	0.0757629	0.4421997	0.2266896	0.1696944	0.8329515	0.5889171	0.1729976
50	0.5921506	0.1602368	0.5336367	0.4618413	0.1958943	0.3445642	0.6216305	0.3556044	0.5821169	0.1430789	0.6011378	0.4634539	0.4607876	0.1556505	0.0471587	0.0505497	0.6159428	0.0462703	0.1752189	0.1770799	0.1477879	0.5228770	0.3189228	0.1492746	0.0161301	0.7286012	0.1624226	0.1090050	0.5906768	0.4771883	0.2198008	0.1826511	0.1360425	0.1146036	0.5647236	0.1152839	0.6701078	0.6708234	0.0983847	0.2120920	0.1054238	0.4522375	0.0749262	0.2888511	0.2847758	0.6287537	0.0388266	0.4228750	0.1002720	0.6295591	0.3372695	0.6745449	0.6227647	0.4998800	0.2279760	0.4622435	0.7535915	0.4606745	0.4731003	0.5384844	0.4637010	0.0104631	0.0697221	0.5818919	0.2907162	0.0046701	0.3367242	0.3723123	0.1207540	0.0317009	0.0094621	0.5814788	0.6332728	0.2353571	0.4360218	0.0546455	0.6992020	0.1005262	0.3306395	0.3828347	0.2078202	0.4514846	0.7383997	0.2392246	0.0065283	0.6361687	0.6399925	0.6585112	0.7473142	0.5142903	0.6545030	0.0700511	0.3860483	0.0877999	0.3646713	0.3819106	0.2638873	0.7130094	0.6863097	0.1289749
100	0.7499886	0.2813188	0.5062085	0.5444540	0.2659292	0.2682392	0.4618014	0.2099588	0.5937119	0.1784471	0.5731743	0.5775526	0.3142534	0.1089434	0.0677497	0.0203508	0.5053786	0.0619088	0.1116809	0.1572446	0.1080642	0.4945672	0.3787647	0.2084621	0.0117392	0.6360699	0.1763318	0.1335428	0.6374082	0.3754289	0.4821658	0.0896403	0.1838877	0.0585326	0.5604079	0.1194918	0.5268479	0.6509459	0.0608090	0.1577986	0.3505240	0.4099273	0.0821375	0.2614386	0.1994601	0.5275530	0.0842604	0.2132832	0.1384140	0.3853945	0.2652122	0.7530268	0.6749050	0.4612314	0.3261389	0.5237791	0.6077411	0.3643869	0.2766067	0.4757484	0.4906549	0.0157057	0.0997115	0.6752377	0.2236798	0.0215018	0.2971184	0.2975017	0.1626515	0.0379946	0.0036757	0.4588617	0.5922213	0.1790518	0.5263282	0.0352961	0.6718926	0.1269631	0.2543516	0.3850873	0.1723587	0.6375008	0.7279270	0.1610191	0.0160570	0.5543824	0.7256957	0.6066662	0.7162679	0.4358084	0.7137468	0.1208236	0.3987247	0.0769630	0.3237998	0.3056361	0.2433953	0.6593847	0.5915486	0.0479552
150	0.6004827	0.1741165	0.4218520	0.5142223	0.2226082	0.2673064	0.4022465	0.1660792	0.5828903	0.1849582	0.6633820	0.5828716	0.3542635	0.1832921	0.0758674	0.0181900	0.3827089	0.0456539	0.1348263	0.1894010	0.1225540	0.5124640	0.2531160	0.1654820	0.0239445	0.4822396	0.2005645	0.1560040	0.6379309	0.4065930	0.5533506	0.0446014	0.2792781	0.1020617	0.4156842	0.1512960	0.3527640	0.4929456	0.0751824	0.1903478	0.4244903	0.4165509	0.0733010	0.3725833	0.1726056	0.4431172	0.1354759	0.2796065	0.0886698	0.4331239	0.3400834	0.5096974	0.6609303	0.1530533	0.2813901	0.5711687	0.6232761	0.3816261	0.2940381	0.4425209	0.5101921	0.0168231	0.0697300	0.6128386	0.1275757	0.0249903	0.3769424	0.2318902	0.1933899	0.0371702	0.0358693	0.3946990	0.7446179	0.2964453	0.4020466	0.0513587	0.6014025	0.1108698	0.2559082	0.4002537	0.1319976	0.3881033	0.6042303	0.2784513	0.0177647	0.5697986	0.6113026	0.7444840	0.5500962	0.5453123	0.6813548	0.1436360	0.5291539	0.1479326	0.4651936	0.2802666	0.2507486	0.7130548	0.6338003	0.0730806
200	0.6371226	0.1031886	0.3088570	0.4572986	0.2698019	0.2172457	0.2978643	0.1041695	0.5368811	0.1162734	0.5124575	0.6962004	0.3412439	0.1880357	0.0771364	0.0157492	0.3802909	0.1117765	0.1374120	0.1625883	0.0899530	0.4998752	0.2674989	0.2089880	0.0118230	0.6164626	0.2315356	0.1476125	0.6022956	0.3642027	0.6569611	0.0092123	0.2622961	0.1068739	0.3811649	0.1402256	0.4467522	0.5400473	0.1521687	0.2365465	0.5256438	0.3727729	0.0611388	0.3655627	0.1944047	0.5591535	0.1456444	0.1276105	0.1341446	0.3809694	0.3946376	0.5473596	0.6115686	0.1275806	0.3444663	0.6269512	0.6798391	0.4056010	0.3903713	0.4607541	0.4307882	0.0619745	0.0423876	0.7195153	0.0866368	0.0296124	0.3664067	0.1511952	0.1479647	0.0358146	0.0208356	0.4302323	0.6977197	0.4028614	0.4132281	0.1318118	0.6676078	0.1224776	0.2646660	0.3783459	0.1780897	0.5775014	0.4667537	0.3212037	0.0400940	0.5294058	0.7105745	0.5938973	0.5530335	0.4249542	0.6668417	0.2256548	0.5367052	0.1537856	0.4103720	0.2225013	0.2171704	0.5711415	0.6402594	0.0793516
250	0.5350419	0.0899473	0.2172782	0.2464503	0.2351428	0.1947838	0.2245760	0.0510102	0.4890429	0.1353062	0.6647874	0.5951153	0.2577340	0.1832534	0.0353101	0.0112601	0.4302553	0.1170913	0.1140543	0.1665600	0.1522791	0.4315649	0.2015152	0.2803761	0.0150673	0.6688797	0.1335259	0.1239090	0.6187768	0.3457615	0.6485034	0.0097197	0.2468739	0.1501397	0.3024456	0.2183724	0.3691983	0.4927085	0.2647907	0.3192534	0.5570101	0.2793643	0.0497692	0.3992010	0.1926976	0.5068909	0.1048987	0.1053588	0.0795368	0.4246159	0.3257395	0.7187617	0.5226672	0.1959332	0.3978836	0.6807953	0.7394489	0.4784664	0.3170802	0.4709028	0.4580297	0.0846906	0.0478767	0.6113947	0.0909515	0.0194083	0.4186764	0.0813724	0.1960741	0.0649773	0.0801817	0.4214894	0.6740622	0.5128255	0.4964622	0.0859541	0.5732578	0.0753536	0.2798507	0.4134231	0.1757475	0.6600508	0.3862013	0.2566659	0.0252383	0.3670381	0.6144852	0.5120470	0.5711188	0.3187881	0.7065670	0.2409878	0.5075526	0.2111588	0.4393977	0.1894200	0.3262622	0.6000040	0.6785392	0.0711618
300	0.7902995	0.0954177	0.1869164	0.1878862	0.2874114	0.1615137	0.2627459	0.0734033	0.6533584	0.1381206	0.5667408	0.5783907	0.2900095	0.1783649	0.0440154	0.0202253	0.2888150	0.0691153	0.1471057	0.3810387	0.2263053	0.4513264	0.1507589	0.2719236	0.0153582	0.5977215	0.1639945	0.1421497	0.5238395	0.4103954	0.6368740	0.0050876	0.3299758	0.1545362	0.4641447	0.0650437	0.3518334	0.4106717	0.3586000	0.2735040	0.5162511	0.2462460	0.0401620	0.4168456	0.2780499	0.4744001	0.1366897	0.0934902	0.0676626	0.4718835	0.4032603	0.5787791	0.6001335	0.2054299	0.3553300	0.5417411	0.5972431	0.4422015	0.2958407	0.4638652	0.4543219	0.0896065	0.0838133	0.5679717	0.0950249	0.0867686	0.4509340	0.1580236	0.2818560	0.0463149	0.0822926	0.3970514	0.6525130	0.3940806	0.5636875	0.1033489	0.6041767	0.0753290	0.3018058	0.4627691	0.2788896	0.5216982	0.4024828	0.2176076	0.0559722	0.3616163	0.7290872	0.5204966	0.6948926	0.4088528	0.7015866	0.2786913	0.5745401	0.3412405	0.4226106	0.1977652	0.2581902	0.5304202	0.6959530	0.0665755
350	0.6721663	0.1088824	0.2461185	0.1121508	0.1937661	0.2325590	0.1733438	0.0632159	0.6089400	0.1514875	0.5575632	0.5156382	0.2406574	0.1607803	0.0447014	0.0267303	0.3055909	0.0882253	0.1733189	0.4018006	0.2708383	0.4501697	0.1555707	0.2989069	0.0341818	0.7324620	0.1147587	0.2150138	0.5909744	0.3591810	0.7888719	0.0028185	0.2510403	0.1811073	0.5526891	0.0810329	0.3766921	0.4023298	0.3472492	0.3793576	0.4882286	0.2016270	0.0496477	0.4370647	0.2434983	0.3797794	0.0929583	0.1181255	0.0432900	0.3758642	0.3899996	0.4835433	0.7053063	0.2791095	0.3322503	0.7612816	0.6236355	0.4668617	0.1942566	0.4066236	0.6922412	0.0781020	0.0967136	0.5236973	0.1293263	0.0830704	0.4575809	0.0739050	0.2962696	0.0223910	0.0546792	0.3802928	0.7322640	0.5752482	0.4535698	0.0805698	0.6891465	0.0413636	0.2787206	0.3964301	0.2722358	0.5323241	0.2977045	0.1923414	0.0669663	0.3626643	0.6551768	0.4882636	0.4966422	0.4060078	0.5353176	0.3727532	0.4932325	0.2580614	0.4610695	0.1378273	0.3399361	0.5657583	0.6256466	0.0462818
400	0.5949575	0.1194597	0.3162010	0.1482791	0.2419651	0.1578503	0.1993603	0.0560928	0.6388712	0.1137245	0.5585227	0.4610915	0.2583801	0.2361402	0.0337324	0.0322555	0.3597757	0.0757169	0.1800507	0.4629684	0.1990251	0.4274167	0.1458469	0.2621015	0.0126900	0.6564094	0.0825034	0.1052883	0.7662301	0.4260495	0.7176124	0.0021444	0.2850814	0.2023418	0.6616760	0.0630732	0.3561107	0.3627595	0.2646593	0.2703746	0.4145845	0.1992212	0.0584075	0.3504070	0.2240962	0.4039534	0.0927733	0.1079532	0.0640270	0.4539939	0.3209255	0.5342152	0.6103913	0.3843531	0.3848198	0.8061619	0.5160624	0.6016311	0.1674401	0.4159251	0.4957738	0.0630912	0.1008959	0.7099974	0.1425904	0.1357952	0.4941635	0.1002712	0.4121725	0.0400446	0.0441381	0.3847809	0.6680184	0.6151366	0.4704889	0.1239352	0.6854402	0.0611946	0.1505630	0.4349713	0.3401806	0.4422666	0.3141946	0.2608829	0.0622878	0.3112617	0.5736292	0.4255848	0.4943068	0.4609122	0.5939877	0.3583108	0.4468446	0.2846385	0.4063878	0.1164733	0.2358847	0.5674914	0.5662910	0.0431399
