G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G71A	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.6934268	0.9063565	0.5790063	0.8441881	0.2444139	0.6787530	0.7727992	1.0019007	0.8616454	0.2764415	0.8409938	0.6917375	0.5799527	0.3222349	0.1886477	0.0424110	0.6703230	0.0104588	0.0899890	0.0036850	0.4223894	0.4925340	0.0450670	0.7033014	0.0034651	1.0129275	0.0180680	0.2602849	0.7583338	1.0059631	0.2519677	0.0732589	0.2137308	0.2193118	0.4475754	0.1335614	0.8152135	0.3925349	0.5443803	0.6897761	0.6629685	1.0072742	0.1775321	0.2200186	0.6448590	0.9968635	0.0459935	1.0287957	0.1945689	0.6649124	0.3008098	0.9742120	0.4695191	0.9993893	0.1044200	0.6840398	0.6551700	0.7534581	0.9999807	0.3743186	0.6999820	0.4317481	0.4747941	1.0027356	0.1227531	0.1005626	0.4979240	0.4712058	0.5204642	0.0632196	0.0111310	0.9905299	1.1057021	0.6731213	0.7313942	0.0041114	0.5999710	0.3195865	0.6781888	0.8775609	0.1739633	0.8287029	0.9557635	0.1518372	0.0044702	0.3331330	0.9080151	0.8267708	0.9693733	0.7241507	0.7430614	0.0308308	0.0760307	0.2674348	0.3043674	0.5081818	0.3748224	1.0271878	0.9511853	0.4506290
0.8558182	0.4974327	0.9746891	0.0906901	0.0010845	0.3440284	0.7556081	0.8466721	0.9145532	0.3117454	0.8280278	0.6729675	0.7540755	0.4257717	0.0047841	0.0972966	0.8565188	0.0767956	0.5695897	0.0093611	0.3200063	0.6332987	0.2702849	0.3718505	0.0278954	0.8819754	0.3418643	0.3114128	0.5667692	0.5643815	0.0028943	0.0618762	0.2487618	0.6499073	0.2782913	0.3585629	0.7678871	0.2668261	0.6742856	0.4507568	0.3539196	0.9715501	0.1772617	0.2061109	0.9014438	0.9232705	0.0784522	0.8598684	0.0012576	1.0063228	0.4920241	0.9189007	0.4559277	0.6787755	0.5818472	0.5582881	1.0977952	0.4784483	0.6596414	0.8160514	0.3242414	0.0393742	0.1656759	1.1717714	0.1833481	0.2520617	0.3542051	0.7880262	0.1140554	0.0640586	0.0651067	0.5789007	0.7630298	0.6118335	1.0007777	0.3442721	0.8405512	0.1094288	0.5391226	0.8970696	0.6532625	0.4745339	1.0028908	0.6443487	0.2316107	0.4166495	0.9286443	0.5244918	1.0100200	0.6016470	0.9070790	0.4731889	0.5983301	0.2136115	0.8043347	0.4847158	0.7051338	0.8462277	0.9317043	0.1871556
0.7052098	0.1160018	0.4806088	0.0065008	0.0006602	0.8273341	0.9476418	0.3025602	0.9246524	0.1499542	0.9108769	0.8796255	0.7991952	0.2217329	0.0000646	0.0170077	1.1076130	0.0464553	0.0671194	0.1515460	0.1205533	0.9085472	0.9257050	0.0776848	0.0027980	0.8848516	0.5545604	0.1285520	0.8425967	0.8743218	0.0812671	0.0472709	0.3010480	0.0983821	0.2442017	0.2805728	0.7616759	0.8098212	0.0240165	0.2216198	0.2280332	0.9037009	0.0028403	0.7589083	0.0844541	0.9227014	0.1327703	0.9445331	0.1725420	1.0116892	0.4501536	0.8394013	0.9783302	0.6960709	0.2462693	0.5942677	0.8512998	0.3874520	0.5054243	0.9412733	0.6916301	0.0055778	0.0123570	1.0193044	0.0652896	0.0977183	0.6521808	0.3135253	0.2160391	0.0078543	0.2184395	0.7391847	0.7324307	0.5817979	0.7408389	0.0007975	0.9950137	0.8581655	0.4909486	0.4766331	0.9475850	0.8854508	0.8244455	0.6775138	0.0059505	0.3426438	0.9626571	0.7313849	0.6926342	0.9838213	0.9201978	0.5162451	0.7592800	0.3847523	0.9208033	0.7113203	0.5711848	1.1176123	1.0563914	0.1929253
0.9451816	0.9821648	0.5943959	0.9994256	0.7594447	0.2503637	0.7295991	0.3759256	0.7743108	0.3323000	0.7800943	0.6709214	0.5744430	0.5231934	0.4828744	0.2941424	0.3823138	0.0386816	0.6587000	0.2082124	0.6182420	0.4774518	0.2653966	0.3126828	0.0289252	0.8424494	0.2171991	0.3254468	0.6287188	0.5095799	0.1429824	0.2615394	0.0608505	0.1853879	0.3833908	0.1896755	0.6525596	0.2255385	0.8292384	0.3803934	0.5514526	1.0615836	0.0018982	0.7947221	0.0428692	1.0228368	0.0237802	0.8210981	0.2509702	0.9745030	0.5276165	0.9007012	0.5798081	0.7155690	0.4483416	0.6118230	1.0352335	0.7351010	1.0541453	1.0469951	0.7091672	0.1646767	0.1593739	0.9071359	0.0282576	0.0768977	0.4295881	0.4870169	0.8522588	0.0479972	0.0241002	0.8240492	0.5654458	0.7878850	0.7587974	0.2127810	0.9332939	0.2044695	0.5014763	0.4548936	0.0754894	0.8012842	1.0168667	0.9430275	0.0286648	0.5455771	0.7595317	0.8254647	0.9519449	0.7008609	0.3775660	0.5524224	0.6524594	0.0634999	0.4036192	0.4712987	0.0020641	0.8633467	0.8747604	0.5527850
0.5183545	0.9995450	0.7745767	1.0109957	1.0082260	0.8845727	0.6858064	0.4538963	0.7141789	0.4049425	0.7403654	0.4055804	0.3863314	1.0606274	0.9290616	0.9546344	0.0159498	0.0158918	0.4209353	0.1116119	0.3681006	0.3623955	0.0415774	0.3714468	0.0461681	0.9835444	0.0898693	0.1735234	0.7838099	0.5050064	0.0068714	0.0224312	0.3458783	0.4170615	1.1334797	0.0035423	0.8455993	0.3338198	0.3606592	0.1977049	0.4627242	0.7790354	0.0692403	0.9953953	0.0032175	0.6694613	0.0237610	0.9937819	0.1208471	0.7510347	0.8336723	1.0063664	0.9340794	0.7277963	0.0262779	0.6121841	1.1111788	0.1161762	0.8602846	0.9302120	0.4227761	0.0319527	0.2857173	1.0176952	0.0439682	0.0710308	0.1051289	0.6987200	0.6120647	0.3521057	0.0711001	1.0191565	0.8870413	0.1999894	0.3548786	0.1275568	0.8226673	0.3478506	0.5660407	0.5781292	0.3596591	0.8084875	0.6551222	0.3464254	0.2278219	0.6144133	0.6085964	0.7628154	0.9162161	0.9971107	0.7898710	0.1005494	0.5711347	0.6208687	0.8714937	0.5446912	0.5560059	0.8918657	0.8470047	0.8035797
0.7628347	0.3417822	0.4356478	1.0024971	0.2832272	0.4379096	0.8244118	0.6329212	0.9230806	0.1502897	0.9112906	0.8782493	0.7538820	0.3879476	0.0006890	0.0221895	0.8479211	0.1140651	0.1216951	0.2868634	0.0716439	0.5901013	0.1917698	0.4427656	0.0030094	1.0139749	0.3815669	0.2849252	0.6515997	0.7674464	0.0178479	0.1511744	0.1692464	0.0288431	0.7850569	0.1739419	0.8512427	0.5456361	0.3461122	0.6468753	0.3825434	0.7437598	0.6354880	0.1265338	0.8040743	0.9818332	0.0626207	0.9999013	0.1413717	0.9286630	0.3734615	0.7831072	0.7126806	0.9516541	0.2110858	0.5324780	1.0169994	0.5756283	0.8140575	0.9010559	0.8085363	0.0520171	0.0698777	1.0229721	0.1296214	0.2899004	0.7102988	0.7915192	0.7516023	0.1377031	0.0010421	0.8083026	0.8422925	0.7313811	0.4233499	0.2812520	0.8038162	0.1011014	0.3239992	0.9448445	0.4379005	0.4953012	0.8754314	0.2045075	0.2783566	0.5957061	0.9847283	0.6809527	0.5338248	0.8350149	0.8968732	0.6656428	0.9232552	0.6362913	0.5865504	0.5597257	0.5795880	1.0149091	0.6341646	0.2164705
0.8354204	1.1017857	0.9952773	0.8882527	0.8850113	0.5208613	0.6863080	0.7483388	0.7582222	0.2329285	0.8844584	0.6200215	0.5839739	0.5220728	0.9601280	0.9392241	0.0518250	0.0090246	0.1954376	0.0980299	0.0728977	0.6961601	0.1068171	0.5012946	0.0075923	0.9435007	0.1341708	0.4220496	0.3658893	0.9570202	0.3832488	0.0166369	0.3619322	0.0408426	0.0348187	0.6180766	0.7311160	0.1676189	0.9107559	0.9440375	0.8425301	0.8972177	0.0251344	0.3133945	0.5249536	1.0823594	0.0057326	0.8516267	0.3840325	0.5616649	0.6639278	0.8150995	1.0893408	0.8804650	0.0769534	0.3038495	0.8936681	0.3585391	0.9333749	0.7955393	0.3184998	0.0044998	0.0401618	1.0169284	0.0662285	0.2485638	0.6162079	0.6745565	1.1249525	0.1962332	0.1407093	0.7177681	0.8649550	0.2476395	0.8770727	0.0204034	0.8803869	0.3752548	0.6903107	0.9508393	0.4151655	0.7390698	0.6863631	0.3599022	0.0441474	0.4115568	0.5567563	0.6028669	0.7021235	0.8019198	0.1454556	0.3707907	0.5712118	0.0209300	0.7679885	0.4793134	0.6486361	0.9228412	0.8565686	0.3963115
0.9552314	0.2215240	0.9770371	0.2122533	0.0037185	0.3350677	0.7555754	0.9041298	0.7659520	0.2132979	0.8327318	0.7597594	0.6220808	0.4624715	0.0015937	0.0961328	0.8395076	0.0415609	0.1457813	0.0012907	0.0901969	0.5492827	0.0568011	0.5235083	0.0346130	0.8830289	0.0229298	0.2219362	0.6673431	0.6845247	0.1771927	0.4492812	0.0401298	0.3752208	0.0260208	0.4483836	0.9186401	0.3862125	0.4531339	0.1713007	0.4284014	0.7281440	0.0216841	0.2476310	0.6570506	1.0380509	0.0982045	0.7510013	0.2364239	0.8308878	0.6249593	1.1014578	0.8188055	0.7442538	0.6709144	0.5868443	0.9097515	0.5778519	0.8339332	0.3576877	0.1810743	0.0023637	0.5790612	1.0041818	0.1092140	0.0882128	0.4524426	1.0812325	0.5985224	0.0483962	0.0342391	0.4281926	1.0621581	0.6801839	0.9541412	0.0068207	0.8766336	0.0618253	0.6483010	0.6333942	0.2451465	0.6623208	0.9491758	0.1152464	0.1825735	0.4610689	1.0236463	0.4370602	0.9166079	0.6712049	0.8371685	0.7909087	0.1340043	0.3466869	0.5414606	0.5559031	0.0021498	0.9458480	0.9246952	0.1575023
0.8923166	0.0910408	0.9697284	0.3901802	0.1189078	0.7684116	0.7057567	0.3785808	0.7333897	0.3258395	0.7608903	0.6651333	0.6186008	0.2423894	0.0022290	0.0794119	0.9384391	0.0168645	0.6792034	0.2242678	0.3329973	0.5460801	0.0475084	0.6694883	0.0379785	1.0113717	0.0349851	0.1536007	0.7267114	0.4866838	0.0056347	0.0274853	0.2224554	0.5033633	0.9509578	0.0519123	0.4053360	0.8359614	0.0002970	0.0102274	0.0146192	0.8627130	0.0911969	0.3285833	0.5909710	0.9671516	0.2044692	0.7811670	0.1657781	0.8937811	0.9812932	1.0004787	1.0450040	0.9100462	0.4572534	0.3291431	0.9507105	0.3198474	0.7732737	0.5055075	0.7239692	0.0348184	0.1002925	0.8441651	0.7026291	0.0804639	0.2665230	0.9267017	0.2428992	0.4860064	0.0605945	0.8143766	1.0258810	0.7782228	0.4972543	0.0986632	0.4533390	0.0311966	0.8089050	0.6763341	0.6775955	0.5148240	0.7761646	0.0238720	0.0180696	1.0737657	0.8089559	0.4834295	0.6751286	0.6690781	1.0238025	0.0334539	0.2232948	0.1862946	0.4604808	0.5858127	0.1946597	0.9560766	0.5982889	0.0130980
0.5876348	1.0649774	0.9607911	0.9086337	0.7410042	0.2431285	0.7253326	0.5473747	0.7847425	0.3306263	0.7262945	0.5428826	0.4977594	0.8014376	0.3946862	0.4345177	0.2501976	0.2980754	0.5056388	0.1688242	0.4266889	0.5099402	0.1874345	0.3676124	0.0602685	0.9040580	0.1283996	0.2052079	0.8507056	0.6335499	0.0062256	0.0218044	0.1376717	0.0524902	1.0162907	0.0100471	0.8526008	0.1536364	0.9808568	0.6823481	0.6500770	0.9876656	0.0027407	0.9943676	0.0275997	1.0359150	0.0188649	0.6563063	0.0777677	0.4097454	0.4981851	1.0430518	0.8374423	0.8994261	0.5612217	0.4030773	1.0329518	0.6040395	0.8187153	0.8592043	0.6882794	0.2309711	0.0619798	0.9393936	0.0246291	0.2189873	0.3732798	0.4346834	0.9040570	0.4612948	0.0345873	0.7499167	0.5587753	0.5788491	0.3884889	0.1015692	0.8903419	0.0873508	0.5212001	0.8633242	0.1449511	0.5191947	0.9807807	0.8712018	0.1196677	0.3707508	0.6761791	0.7732544	0.9687857	0.7673797	0.8234101	0.6585811	1.0734507	0.2672925	0.8029571	0.0922085	0.0451084	0.9140989	0.4021407	0.8249600
