Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G71A	G95	G96	G97	G98	G99	G100

0	0.4616313	0.8341268	0.2137017	0.3122990	0.7708578	0.9134576	0.9626092	1.0868831	0.9777318	0.0224725	0.6906423	0.9787841	0.7533445	0.4503868	0.8542691	0.7930729	0.6735012	1.0059856	0.9329610	0.5195994	0.0623491	0.9693677	0.1223400	0.5762474	0.5499653	0.5774504	0.9250965	1.0603064	0.6674725	0.6333429	0.6708443	0.0741676	0.0632983	0.3198835	0.0169828	0.8703975	0.0810300	0.4464897	0.9334919	0.0204387	0.6038307	0.2054171	0.6671286	0.0028640	0.0882313	0.9894002	0.4261388	0.3929683	0.1216487	0.3911159	0.6136838	1.0727650	0.5299163	0.3356117	1.0325758	0.5801285	1.0098543	0.1988294	0.0187994	0.8291195	0.9829654	0.2198256	1.0426922	0.7037664	0.8094021	0.9769464	0.4161847	0.2176823	0.8758015	0.1475034	0.4365961	0.3952448	0.8972063	0.0888935	0.1722915	0.1995079	0.9867773	0.0010524	0.0118918	0.9079081	0.8498061	0.4804488	0.0032635	0.1315320	0.9477101	0.8400075	0.2402590	0.2130520	0.4996406	0.9139282	0.3299365	0.8038753	0.0625227	0.6238185	0.4706580	0.0722606	1.0285629	0.0112092	0.1221791	1.0100492
50	0.4074219	0.8355761	0.2455626	0.3840513	0.8920653	0.9430475	1.0060533	0.7124877	0.9577042	0.0235174	0.7288806	0.8927607	0.6175883	0.4747475	0.9113700	0.8954789	0.6606324	0.9781655	0.8064162	0.4028935	0.0375659	1.0361516	0.2045848	0.5358235	0.6873020	0.5950478	0.9203615	0.6321394	0.6734436	0.7557851	0.5744069	0.2068313	0.0664824	0.3408641	0.0261711	0.4211664	0.4358806	0.6242369	0.9354324	0.0129792	0.8035471	0.1067874	0.6858589	0.0027293	0.0932359	0.2733577	0.4710621	0.3445090	0.1769981	0.4842499	0.5227033	0.9645403	0.4917307	0.3758020	0.9347739	0.5484428	0.9401573	0.2208535	0.0106316	0.7712148	0.8970094	0.1999803	0.9284825	0.7046740	0.7656726	0.9657511	0.3790084	0.1769201	0.8113996	0.0571003	0.4204487	0.3850347	0.9704656	0.0826318	0.1243063	0.0635249	0.8309733	0.0068177	0.0224975	0.9126760	0.9537365	0.6050696	0.0002521	0.1025233	0.5186749	0.8016347	0.2435666	0.2470936	0.2952774	1.0091112	0.3297621	0.6400872	0.0131082	0.7589164	0.4867366	0.3941414	0.9510695	0.0216142	0.1464171	1.0224075
100	0.5914293	0.8442244	0.3752157	0.4261114	0.8908043	0.8914930	1.0580904	0.6601733	0.8898354	0.0433484	0.6779954	0.8624899	0.6615467	0.4061968	0.8572260	0.9092749	0.6697866	0.9567408	0.5751646	0.4879888	0.0510694	1.0251214	0.2315305	0.4734036	0.7643714	0.5826271	0.9920455	0.5022870	0.6402522	0.7135688	0.5480731	0.2634060	0.0901250	0.3476438	0.0163252	0.1458339	0.5710099	0.4632864	0.8933447	0.0427801	0.8740625	0.1542683	0.7087688	0.0031380	0.2069680	0.1599292	0.4890280	0.3950941	0.1312630	0.5303669	0.3195960	1.0091933	0.4858693	0.3554597	0.9324560	0.5251738	0.9341298	0.1787265	0.0093000	0.8994693	0.9532645	0.2126351	0.9125865	0.8240384	0.7985609	0.8263594	0.3463081	0.0914970	0.7123054	0.0496984	0.5300900	0.3792505	0.8792105	0.1606486	0.2728834	0.0331116	0.8021666	0.0194017	0.0334045	0.9093760	0.9248361	0.5451237	0.0008716	0.1008472	0.3727924	0.7493409	0.2654590	0.2086444	0.2227529	0.9101875	0.3873508	0.6260822	0.0240546	0.7126313	0.5679748	0.4732244	1.0238834	0.0863011	0.2813691	0.9803927
150	0.7140394	0.7752970	0.4306104	0.4591896	0.9936473	0.8251077	0.8928028	0.6824305	0.9228318	0.0747429	0.5903977	0.8668963	0.6779181	0.4298545	0.8939225	0.9408497	0.6742726	1.0569650	0.5059846	0.5124597	0.0552585	0.9644903	0.2653285	0.5070219	0.7620489	0.6399545	0.9201381	0.4795651	0.6833383	0.8029837	0.4464370	0.3127357	0.0970997	0.3756810	0.0185202	0.0605722	0.5688246	0.4381464	0.9330439	0.0512888	0.7396351	0.2249077	0.8401228	0.0082658	0.3533004	0.1593017	0.5002076	0.4263550	0.1379531	0.5692167	0.2659359	1.0116836	0.4905740	0.3749247	0.9074461	0.5085218	0.9320134	0.1811806	0.0105171	0.9594951	1.0247861	0.1774677	0.8738330	0.7814795	0.6997046	0.8731985	0.3455575	0.0411542	0.7175608	0.0402459	0.7450810	0.3967754	0.8107370	0.1818579	0.4322874	0.0116138	0.6972596	0.0112180	0.0202430	0.9233651	0.8760620	0.4491726	0.0003334	0.1149289	0.3583136	0.8318817	0.4064914	0.2010679	0.2525175	0.9106110	0.4444635	0.5876235	0.0214771	0.7408883	0.6607902	0.4683499	0.9527529	0.1256817	0.5183839	0.9895327
200	0.8069193	0.7509123	0.4229351	0.4513706	1.0433174	0.8810709	0.9235831	0.7295963	0.6818890	0.0608163	0.4795759	0.8971997	0.5957453	0.3663887	0.8417688	1.0886446	0.6928495	1.0409054	0.3476138	0.4634860	0.0527161	0.9142037	0.2626921	0.4773494	0.7411410	0.6298287	0.8297218	0.4580042	0.6721688	0.7606412	0.4910277	0.2984467	0.0570132	0.4086554	0.0085877	0.0272389	0.5833658	0.5077268	0.9541740	0.0790752	0.5626320	0.2729872	0.7916173	0.0119687	0.4240887	0.0912845	0.5054686	0.4038144	0.1014448	0.5784048	0.2256688	0.9571142	0.4576103	0.3620690	0.8605276	0.4339402	0.7366504	0.1997369	0.0068323	0.9194239	0.9791464	0.2104214	0.9741599	0.8073169	0.7389233	0.9366534	0.3074855	0.0210009	0.7057064	0.0526820	0.8242744	0.3744399	0.8031814	0.1835235	0.4548703	0.0059128	0.8006243	0.0163405	0.0157138	0.9006385	0.8462596	0.3858239	0.0025129	0.1243987	0.3467951	0.8414760	0.6070195	0.1832767	0.3153620	0.9254169	0.3961836	0.5924718	0.0218582	0.7903926	0.7484190	0.5134877	1.0120292	0.1866674	0.7165531	0.8715709
250	0.7303209	0.8072046	0.4604398	0.5786494	0.9905503	0.8282721	0.9063220	0.6800662	0.6824506	0.0946532	0.5194691	0.8500556	0.7026903	0.4178799	0.9108962	1.0142090	0.7027904	1.0079665	0.3016446	0.4599838	0.0567420	0.9648546	0.2672760	0.4762767	0.7254788	0.6190124	0.9255333	0.5346835	0.6863043	0.7948873	0.5775330	0.3251500	0.0706701	0.3909890	0.0167347	0.0123259	0.6108189	0.5814613	0.9335261	0.0826695	0.5307206	0.2433715	0.7040346	0.0245309	0.4396123	0.1196310	0.4594988	0.3917917	0.0616590	0.5616721	0.2483586	0.9527244	0.4840533	0.3179953	0.8767602	0.4541291	0.6471391	0.1677877	0.0196244	0.9760744	0.9021618	0.3149975	0.8897746	0.9359328	0.7629326	0.9881146	0.3882435	0.0273638	0.6954803	0.0417300	0.8724801	0.3659318	0.8603124	0.1849035	0.4576789	0.0030397	0.7431487	0.0276555	0.0134255	0.7984722	0.8754406	0.4271727	0.0054828	0.1184131	0.3159581	0.9147031	0.6632786	0.2367250	0.2674309	0.9902506	0.4605821	0.5172989	0.0378747	0.8098073	0.7678855	0.4596153	1.0258741	0.1767767	0.7943203	0.9437312
300	0.7887770	0.8003637	0.4361214	0.6094576	0.9087936	0.8275995	0.8628384	0.6681921	0.3806761	0.0927294	0.4865513	0.9483113	0.6947228	0.4413397	0.8199274	0.9989700	0.7298237	0.9910952	0.2798101	0.4167616	0.0488871	0.9354452	0.3103745	0.4623794	0.6831156	0.5776368	0.8519145	0.5752587	0.6535707	0.8572523	0.6285914	0.2943124	0.0701458	0.4230407	0.0094287	0.0104595	0.6796395	0.5243360	0.9010124	0.1002322	0.4937312	0.1786038	0.6846513	0.0179573	0.4562456	0.1612758	0.4441285	0.4143967	0.0458998	0.5953379	0.2582771	1.0408123	0.5216950	0.2579786	0.9324795	0.3960042	0.6799756	0.2004666	0.0092617	0.9158826	0.8943379	0.3431243	0.8524348	0.8469848	0.7920014	0.9419386	0.3698353	0.0256582	0.6923186	0.0339129	0.8314900	0.3468286	0.8262606	0.1729501	0.4365860	0.0074833	0.6420106	0.0139566	0.0366241	0.8101278	0.9489779	0.4107511	0.0069964	0.1206324	0.3303254	0.8652954	0.6816446	0.2083430	0.2654585	1.0282848	0.4405774	0.5731787	0.0388877	0.8062663	0.7829988	0.4087274	1.0569241	0.1852459	0.7900386	0.9182026
350	0.8196385	0.8297158	0.3852772	0.5625437	0.9694301	0.8127751	0.9424553	0.6439327	0.3185971	0.0691477	0.5399189	0.8892748	0.6149058	0.4175510	0.7872633	0.9120888	0.6370718	1.0469024	0.2438147	0.4065421	0.0289307	0.9761776	0.2520935	0.4976983	0.6562658	0.6517923	0.8936257	0.5052455	0.6648369	0.8076563	0.6083972	0.2805641	0.0722354	0.3561560	0.0210837	0.0165583	0.6703493	0.3911439	0.9252701	0.1567972	0.6607163	0.1706377	0.7226872	0.0204939	0.5399821	0.1406910	0.4496700	0.4725496	0.0376907	0.6392035	0.2625733	0.9739391	0.5100197	0.2363141	0.9998705	0.4261208	0.6131880	0.1696701	0.0125821	0.9744692	0.9742988	0.4402086	0.7457127	0.8200433	0.8181848	0.8496345	0.3450355	0.0250957	0.7358975	0.0429368	0.7969366	0.3386568	0.8109884	0.1717289	0.4265314	0.0138910	0.5882382	0.0109931	0.0305504	0.8311630	0.8822463	0.4915262	0.0085184	0.1629437	0.3530809	0.8282806	0.6996721	0.2168232	0.2959357	0.9219127	0.4097399	0.6560796	0.0487973	0.9060778	0.7579187	0.4706468	0.9410618	0.1731649	0.7220877	0.9566580
400	0.7445305	0.7763492	0.3982863	0.5232974	0.9697772	0.7344416	0.9103321	0.6458266	0.3619101	0.0756378	0.5022656	0.8759428	0.6231586	0.4029252	0.7209739	1.0189431	0.6301109	1.0509589	0.2528546	0.4792407	0.0411705	1.0342025	0.2704406	0.5762658	0.6966126	0.6114670	0.8605639	0.5014907	0.6824162	0.7560528	0.5773503	0.2631662	0.0790469	0.3521826	0.0196619	0.0174842	0.6340688	0.4941788	1.0358322	0.1433147	0.6991946	0.1608377	0.7104913	0.0416785	0.5458438	0.1148746	0.4501847	0.3685317	0.0422398	0.6228113	0.2837877	0.9181845	0.4524837	0.2940566	0.9431537	0.4140085	0.6662105	0.1717085	0.0189590	0.9669343	0.9692543	0.4423850	0.8646409	0.9032165	0.8120205	0.9846435	0.3048764	0.0407922	0.7021669	0.0397538	0.8415620	0.4118404	0.7018616	0.1652913	0.4163702	0.0195524	0.5815045	0.0101624	0.0315508	0.8119014	0.9739069	0.4850556	0.0045458	0.1376350	0.3248436	0.8196379	0.6630521	0.2538380	0.2933028	0.9481941	0.4545337	0.6122508	0.0268128	0.8449946	0.7777459	0.5297887	1.0457102	0.1460218	0.8227896	0.9422765
