G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G67A	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.9982686	0.1195720	0.4069867	0.8651467	0.0737518	0.5869630	0.5310280	0.7075379	0.2017126	0.7990328	0.9671980	0.0224440	0.2250672	0.0000000	0.4702765	0.3927005	0.4272598	0.5561607	0.7048591	0.5553579	0.6569730	0.7164275	1.0000000	0.9999820	0.0016448	0.8988306	0.7942857	0.2406743	0.0467121	0.7884976	0.9997951	0.0242582	0.7888727	0.5589347	0.9705214	0.2733501	0.4313270	0.6482950	0.7492603	0.0556415	0.7264804	0.2780024	0.3021552	0.9320624	0.3506028	0.7427113	0.9276122	0.1798765	0.1956393	0.7612486	0.9978278	0.7580642	0.1580519	0.0090501	0.9997574	0.4328804	0.0259168	0.1495555	0.6380275	0.0103875	0.0858154	0.4157992	0.1227871	0.7095976	0.1507311	0.9903891	0.8849508	0.5148387	0.2597373	0.5622383	0.5055550	0.4474410	0.8897947	0.1649421	0.0591108	0.1657530	0.2046953	0.9998696	0.4035100	0.4854290	0.0321598	0.3263631	0.6042785	0.1072277	0.7382494	0.9759075	0.4707479	0.3512480	0.3741411	0.4803502	0.9098716	0.9935202	0.4121563	0.9644223	0.6149489	0.0765482	0.5671922	0.8338883	0.9226647	0.8090656
0.0107346	0.1091954	0.4827737	0.9526001	0.4604205	0.8742442	0.5138478	0.5467398	0.2942524	0.8902802	0.7532560	0.0225101	0.1412935	0.0000000	0.6595681	0.2482233	0.5094517	0.0989316	0.1369378	0.8998895	0.9606249	0.5480561	1.0000000	0.9986392	0.0195171	0.9649646	0.1802648	0.3758327	0.0229382	0.4090884	0.9807728	0.1787162	0.9999783	0.0970566	0.5368594	0.0140216	0.9344486	0.1481492	0.7316688	0.0839924	0.2585080	0.2421765	0.4118211	0.7407213	0.0375796	0.6046768	0.9514386	0.4900595	0.0275687	0.5280304	0.9951907	0.8984350	0.4443554	0.2874053	0.9998497	0.1408942	0.1331610	0.1867399	0.3202448	0.1899450	0.3526795	0.0008397	0.3563619	0.7103632	0.6270062	0.3708302	0.2958735	0.0980806	0.4618747	0.2731778	0.3320493	0.3286784	0.9816568	0.1478496	0.2292949	0.3798199	0.6903513	0.9061180	0.1608535	0.7078784	0.0390873	0.4154569	0.9983878	0.1727771	0.7950890	0.9860385	0.8475251	0.1585403	0.0246835	0.7479917	0.9999178	0.9761614	0.1957494	0.5730265	0.6774262	0.0332574	0.9201913	0.7422763	0.8565989	0.4952879
0.9999872	0.0272127	0.6007773	0.9697901	0.0307958	0.7135206	0.4951865	0.5860915	0.1344706	0.8616442	0.7866125	0.0224456	0.2139514	0.0905667	0.5179449	0.2487005	0.5841830	0.2455794	0.2692531	0.7349147	0.6863262	0.3652545	1.0000000	0.6973001	0.3928435	0.7801867	0.7253472	0.6183556	0.5096532	0.3050559	0.5572551	0.4624176	0.6734137	0.5760011	0.9806455	0.2483222	0.3907521	0.4228588	0.9946303	0.3368338	0.6826970	0.8513678	0.1798625	0.9254205	0.2339851	0.3317708	0.4036116	0.0270270	0.2334869	0.3087806	0.9357492	0.8141940	0.3835700	0.2362169	0.9459965	0.0821209	0.2849540	0.2258983	0.5578339	0.2770483	0.0095392	0.0084730	0.0448045	0.7017774	0.8376464	0.8612840	0.1329922	0.1510154	0.2957582	0.0696920	0.9275003	0.0888303	0.9913675	0.0531853	0.9931530	0.7771884	0.4623878	0.9999459	0.5169696	0.0636393	0.3134071	0.1447086	0.6906921	0.1752493	0.8629714	0.9380270	0.9663249	0.7248086	0.0956920	0.9999938	0.9946695	0.9415274	0.8641540	0.9636896	0.3352553	0.5001030	0.9493098	0.9237202	0.1523402	0.4415761
0.9999858	0.1331573	0.4313656	0.7748263	0.0313637	0.9299213	0.5274282	0.7441365	0.1207240	0.8939326	0.8795659	0.0224862	0.1514959	0.0000000	0.5462025	0.1034160	0.2430592	0.6331677	0.8273704	0.7932752	0.8852319	0.5184094	0.9730031	0.9127255	0.2212593	0.8448592	0.8372049	0.4239319	0.1449779	0.4783629	0.9999951	0.0047317	0.8822202	0.4638598	0.7610444	0.4432792	0.2139002	1.0000000	0.9970263	0.2931525	0.3657958	0.9770084	0.2613878	0.6375486	0.2143051	0.3737335	0.4621537	0.1955229	0.3760620	0.6268823	0.9966131	0.4506899	0.2989295	0.1008763	0.9993986	0.5075923	0.1128214	0.2356085	0.9977483	0.1838825	0.0012176	0.0030453	0.3576891	0.0566282	0.7559485	0.6913076	0.2938626	0.3580004	0.3495333	0.3349465	0.3652577	0.2833870	0.9137256	0.0027825	0.6251139	0.8773047	0.2808569	0.7618674	0.2457719	0.1419203	0.1926712	0.2005120	0.9475951	0.0440295	1.0000000	0.7839459	0.8876271	0.1058861	0.5117059	0.9998361	0.8807424	0.9999655	0.6369283	0.9866792	0.9487695	0.3820531	0.9967007	0.9680574	0.9294731	0.5517158
0.9984607	0.1253421	0.3819575	0.8240475	0.0722232	0.8081303	0.5349213	0.6597405	0.2115716	0.5823027	0.6518806	0.0224440	0.2250672	0.0905667	0.6807821	0.2872611	0.6260038	0.1165810	0.2411945	0.6584890	0.9017701	0.3619561	1.0000000	0.9661010	0.0064717	0.6113572	0.4640976	0.3142113	0.3774537	0.3970685	0.9944851	0.1027335	0.7685660	0.1715152	0.2468418	0.0371827	0.5424193	0.4208113	0.7525293	0.2037028	0.2118097	0.6211341	0.5866539	0.4981300	0.0934912	0.6177805	0.7271754	0.3010985	0.2948700	0.8749319	0.9999739	0.9715853	0.1569536	0.1463889	0.8927491	0.4095345	0.2024506	0.4106086	0.4408718	0.1049905	0.0009936	0.0008588	0.2681652	0.5029674	0.5119942	0.4430907	0.5498249	0.0036614	0.7701141	0.3409945	0.7289892	0.1200766	0.8716151	0.0044843	0.3057950	0.4431693	0.2344799	0.8834112	0.4523685	0.2841714	0.1700553	0.5112860	0.8968003	0.1225021	0.8905656	0.9876853	0.5676895	0.2750784	0.2456252	0.9999842	0.9968970	0.9994946	0.1099001	0.9437931	0.1454274	0.0371326	0.9648599	0.9109890	0.6371184	0.8697034
0.6681846	0.0773522	0.5079642	0.7344199	0.2064615	0.6237887	0.1488130	0.7312557	0.2795928	0.7651187	0.8983592	0.0224515	0.1906145	0.0905667	0.4857353	0.4300535	0.7285593	0.5916364	0.4634687	0.4983411	0.5592498	0.7599722	0.9730030	0.6218653	0.4551658	0.3243143	0.2951404	0.8306912	0.1690445	0.1450431	0.9529277	0.2619063	0.7963369	0.3144354	0.8114495	0.3787552	0.3278819	0.6697300	0.9995071	0.3443431	0.3898055	0.8955506	0.4201575	0.6666498	0.0000041	0.5416946	0.5017627	0.1242371	0.4288677	0.4716400	0.8680634	0.7575455	0.5487681	0.1402516	0.9997044	0.2057506	0.5168841	0.5796977	0.3376537	0.3490836	0.5233483	0.3650184	0.1628759	0.0768305	0.4696480	0.6943182	0.5976553	0.2130168	0.2229132	0.1727706	0.8115824	0.2045006	0.9946846	0.1338771	0.4114817	0.3674409	0.1995892	0.7518783	0.9790834	0.1768345	0.1432556	0.0344354	0.9988778	0.0071467	1.0000000	0.6324662	0.9596958	0.0015512	0.2948914	0.7769729	0.9220223	0.9601386	0.1820485	0.8236727	0.6438662	0.0011195	0.8956219	0.9263296	0.5314508	0.1970573
0.1734743	0.1258561	0.1637331	0.8206024	0.4999555	0.9117342	0.1174567	0.6444808	0.2997587	0.6607820	0.6493669	0.0226471	0.1178025	0.0905667	0.5030142	0.3301887	0.4839887	0.5169217	0.6520115	0.6251978	0.8096853	0.8547391	1.0000000	0.9502604	0.0007329	0.7839140	0.2126080	0.5520708	0.1602011	0.2041725	1.0000000	0.0003433	0.9263456	0.1013751	0.6100214	0.0862112	0.5483946	0.9156703	0.9142388	0.3729533	0.1819362	0.4387930	0.1208556	0.9688428	0.2394585	0.6060305	0.9558508	0.5415780	0.7972201	0.8312279	0.9095334	0.8073344	0.2699715	0.2521228	0.6800817	0.7816784	0.2563017	0.6093942	0.4608907	0.0033922	0.3066369	0.1981198	0.0784495	0.1364338	0.2412540	0.3801851	0.2772613	0.2804028	0.3975776	0.2136137	0.0005552	0.2856706	0.9358862	0.1623003	0.5765696	0.5737973	0.2619740	0.9998157	0.1224105	0.8666187	0.0206747	0.1739870	0.9568927	0.0536154	1.0000000	0.5163705	0.8932893	0.1505532	0.0156285	0.9996658	0.9770349	0.5083321	0.5666035	0.4993538	0.1544007	0.2167490	0.9184356	0.8602022	0.6601052	0.3286675
0.3389882	0.1220392	0.3048797	0.8470038	0.2880139	0.9001555	0.5596241	0.5060916	0.3908337	0.4219613	0.9220819	0.0000245	0.1499217	0.0905667	0.3084751	0.0986254	0.6612754	0.5829714	0.6464341	0.5999049	0.4833532	0.4539521	0.9730030	0.9773326	0.0985144	0.3425239	0.3669472	0.4276156	0.1519794	0.5912507	0.9978224	0.0682604	0.8341238	0.1782266	0.9575738	0.2478888	0.4578420	0.5961250	0.8975594	0.6211924	0.1659441	0.5357777	0.3930709	0.5991138	0.0000004	0.1292080	0.1697523	0.0367525	0.2380972	0.6424142	0.9127478	0.5335886	0.1654427	0.3361994	0.9999888	0.1297711	0.1635793	0.3331267	0.0834325	0.8332216	0.2312067	0.0027112	0.5367090	0.3600344	0.1513176	0.8536789	0.1460273	0.2630007	0.8123406	0.3412295	0.7050446	0.4258737	0.8994772	0.0148178	0.1761079	0.4266305	0.3172247	0.9994718	0.4981197	0.4695207	0.0263605	0.2310247	0.9084910	0.0421624	1.0000000	0.1689468	0.8352481	0.0091147	0.4270141	0.8432669	0.8570042	0.7631436	0.4213169	0.4539999	0.6958158	0.3685558	0.9649899	0.9623714	0.7530367	0.2701307
0.8297388	0.1673700	0.4452540	0.6195185	0.1740318	0.7733174	0.5223476	0.5987642	0.3463153	0.6062794	0.6719747	0.0000022	0.2391559	0.0000000	0.5769069	0.2673741	0.5359191	0.0858586	0.2036453	0.8362261	0.9440863	0.4464209	0.9730030	0.9995385	0.0105178	0.6671846	0.1823440	0.6252317	0.1781046	0.7797745	0.8951407	0.3956151	0.9879938	0.3140669	0.7275629	0.1113115	0.5715123	0.5748347	0.9253518	0.0335040	0.3101455	0.8575133	0.5478579	0.5431535	0.2654675	0.6380073	0.2279760	0.0106952	0.1265061	0.6506460	0.5994852	0.6265603	0.4942825	0.2796254	0.9996366	0.0113086	0.1187557	0.1503651	0.1782702	0.0246722	0.2668090	0.0149974	0.0797744	0.7615246	0.6380971	0.5025986	0.5198808	0.0046141	0.2760492	0.5337099	0.0205726	0.0748334	0.8504426	0.1441091	0.7258100	0.4524326	0.2957368	0.8116442	0.3812617	0.0499300	0.0768202	0.1561262	0.8767624	0.1813902	1.0000000	0.9877750	0.8094524	0.0447311	0.0663344	0.9994644	0.8504847	0.9898242	0.0634247	0.6982035	0.2867244	0.0898471	0.7079312	0.8095546	0.9316397	0.9916298
0.9977180	0.2673243	0.2070529	0.3956803	0.0775099	0.6424711	0.2347723	0.2908167	0.2523288	0.8448867	0.6560727	0.0007543	0.0941425	0.0000000	0.6685701	0.1760125	0.3239856	0.6010253	0.6887218	0.7758397	0.8817472	0.6704153	1.0000000	0.9999980	0.0004704	0.6715203	0.1633261	0.7111351	0.1604264	0.5091655	0.7435653	0.0048721	0.8578066	0.0321604	0.6877726	0.0612615	0.5862732	0.5509425	0.8314471	0.5715560	0.1887178	0.2850107	0.2404306	0.9171598	0.0000012	0.1712907	0.1836983	0.0958458	0.3634427	0.5612138	0.9019025	0.6617860	0.3088543	0.0262150	0.9998511	0.6459733	0.2891679	0.4030297	0.5914370	0.2912366	0.0003799	0.0020822	0.1601650	0.0000000	0.1203897	0.7443920	0.2195952	0.5382435	0.8301625	0.0097193	0.1976756	0.3804470	0.9786158	0.1043846	0.1481288	0.6543049	0.3381827	0.6757755	0.3079447	0.1218924	0.1696041	0.0472277	0.7791160	0.3702205	1.0000000	0.8809325	0.9368239	0.4201375	0.0172855	0.9999920	0.8961555	0.9911000	0.0544371	0.8191704	0.3911369	0.0671784	0.9930299	0.9497045	0.7899486	0.5018696
