"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.0037294	0.5180638	0.8600631	0.0541911	0.2962065	0.0006880	0.0425050	0.0208704	0.5569043	0.3561859	0.0805780	0.0830835	0.0084128	0.0860590	0.7379098	0.3017227	0.3594050	0.6484170	0.6515115	0.6169532	0.0371564	0.3944191	0.7372454	0.5671730	0.6091752	0.5425328	0.6600654	0.0418928	0.1452668	0.0141813	0.2138869	0.0497357	0.5619204	0.6090313	0.2053548	0.7084416	0.2299022	0.5184254	0.2070047	0.0054536	0.7581187	0.2698040	0.0604355	0.0535386	0.5734750	0.3830700	0.3966404	0.6291048	0.6954472	0.2986340	0.0222273	0.2981880	0.7776328	0.0014790	0.5657186	0.3248674	0.5356979	0.2048861	0.4191310	0.6016429	0.6183948	0.4194351	0.1768715	0.2858154	0.3882673	0.3142519	0.6213071	0.6484442	0.3531189	0.0372642	0.2935378	0.1571536	0.2043139	0.6551037	0.2075086	0.2695204	0.6798617	0.1267558	0.1702911	0.4339491	0.4238744	0.6548432	0.1036206	0.4308762	0.6285723	0.3109019	0.1518908	0.3048579	0.4097462	0.6258610	0.3106805	0.1063431	0.2847365	0.3252223	0.0479920	0.3995452	0.1818529	0.0493388	0.3809466	0.7110093
50	0.0064654	0.3962936	0.6698772	0.1032070	0.1984944	0.0003030	0.0244408	0.0578040	0.5342050	0.3470193	0.1689229	0.1349260	0.0002415	0.0644268	0.6497964	0.3543717	0.2531286	0.6362252	0.6393524	0.7313574	0.0334759	0.3650708	0.7825331	0.7589266	0.5418672	0.5066500	0.5092637	0.0933229	0.1657887	0.0734195	0.1522135	0.0263531	0.4699823	0.4055330	0.1555340	0.7004418	0.1366566	0.4898712	0.3842619	0.2778781	0.6312763	0.2857779	0.0310724	0.1056231	0.4284439	0.2147251	0.4330333	0.4820941	0.5927791	0.2228431	0.0335333	0.1813867	0.7089692	0.0000376	0.6192007	0.3196744	0.5342575	0.1700857	0.2772749	0.5940474	0.6144030	0.4389204	0.1750768	0.0866088	0.3129965	0.2757665	0.7195012	0.5558364	0.2644740	0.0526100	0.2312294	0.2061591	0.1445428	0.6965687	0.2670200	0.3184497	0.6203756	0.4015696	0.1460521	0.3936294	0.4561327	0.6299879	0.0802633	0.3919930	0.6582857	0.2937392	0.1451674	0.4030197	0.3776386	0.4913671	0.3480573	0.1370073	0.2965311	0.4014687	0.0817751	0.4151420	0.1707019	0.0250476	0.3121281	0.6448879
100	0.0041401	0.4661622	0.7303159	0.0716433	0.1534407	0.0004757	0.0361121	0.0361256	0.5475611	0.3577148	0.1465830	0.2220743	0.0002208	0.1250485	0.6109087	0.3107729	0.3044706	0.6725086	0.5484458	0.6473635	0.0702387	0.5746276	0.7687244	0.6611040	0.3696440	0.3876810	0.6017583	0.0836475	0.1624945	0.0247681	0.0402511	0.0486165	0.5198537	0.4523524	0.1587429	0.5779571	0.1120744	0.3969374	0.4130057	0.4196148	0.6452872	0.3202588	0.0727195	0.1348838	0.5047625	0.1831096	0.4123568	0.6419957	0.7797421	0.2484474	0.0931375	0.2119571	0.5922245	0.0005713	0.6221504	0.2077964	0.4518654	0.1704199	0.3572855	0.7643179	0.5461869	0.6132879	0.2542481	0.0870298	0.2516821	0.4030379	0.6922309	0.4718873	0.3487596	0.0274040	0.2515263	0.2643772	0.1728144	0.6566203	0.2276860	0.2472124	0.4863765	0.5382916	0.1179541	0.2988359	0.4113821	0.6596869	0.1464900	0.3331400	0.8240702	0.2956869	0.3221979	0.3861260	0.3737188	0.5412931	0.4453793	0.2426243	0.3443313	0.3321895	0.0256103	0.4112932	0.1934190	0.0150266	0.1926856	0.7071418
150	0.0117523	0.3823253	0.6424248	0.0703914	0.1052412	0.0014993	0.0162027	0.0574400	0.4321135	0.3804228	0.1177624	0.2644792	0.0062585	0.1175837	0.5758110	0.3564982	0.3543217	0.7430251	0.6253505	0.5943233	0.0746965	0.6199751	0.7445985	0.7050803	0.3874870	0.3683651	0.5843783	0.0634324	0.1047102	0.0201236	0.0243161	0.0796856	0.4004773	0.3655853	0.1284120	0.5893657	0.1244903	0.3414707	0.3590442	0.3749739	0.7855448	0.3186983	0.0865616	0.1369666	0.4406632	0.1411795	0.4506560	0.5007200	0.6971306	0.2504256	0.0734577	0.2237195	0.6605110	0.0028943	0.5550184	0.2428328	0.5450332	0.1502388	0.3944727	0.6182350	0.3674637	0.5456716	0.2613857	0.1003445	0.3202610	0.3184653	0.6368107	0.5276964	0.3365339	0.0858279	0.1505793	0.2841193	0.1950420	0.5964185	0.1383570	0.1426429	0.5793603	0.6290773	0.0983851	0.3669259	0.6124435	0.6150426	0.1446167	0.3264720	0.7836948	0.3161189	0.3011414	0.5611575	0.3769315	0.4828707	0.2842411	0.2964774	0.2923015	0.2975450	0.0406680	0.4370907	0.1449887	0.0387852	0.1269631	0.6789449
200	0.0383231	0.4291556	0.7500898	0.0859373	0.1218168	0.0000274	0.0269821	0.0554097	0.4962649	0.4260543	0.0932860	0.3502876	0.0095771	0.0933537	0.5763006	0.3255836	0.2876372	0.5906494	0.6152593	0.6610725	0.1241121	0.4998500	0.6026750	0.6641088	0.4139994	0.4895198	0.6070366	0.0676065	0.0983921	0.0358325	0.0083174	0.0959305	0.3921662	0.2922544	0.2822798	0.7385324	0.1128028	0.3478832	0.3978166	0.5253881	0.7365437	0.2671251	0.1750586	0.2396910	0.4202341	0.1296743	0.4586369	0.5581385	0.7634495	0.1805405	0.0515137	0.2725179	0.6163484	0.0000051	0.5628232	0.2238586	0.3990660	0.2183489	0.2728137	0.6301950	0.4348113	0.7438471	0.2804289	0.1712198	0.2920152	0.3088078	0.6490902	0.4810991	0.3651065	0.0435326	0.1392958	0.2944240	0.1721554	0.5861967	0.1347516	0.1182892	0.4877455	0.5436938	0.1140240	0.4915809	0.5804345	0.6533483	0.2466041	0.3528007	0.6753960	0.2566782	0.3495641	0.3562375	0.3513775	0.4662519	0.2290418	0.2295506	0.2902350	0.2641794	0.0180003	0.3726060	0.1420476	0.0198629	0.0693479	0.4817535
250	0.0073859	0.3888277	0.7914233	0.0697853	0.1872468	0.0020554	0.0276734	0.0830375	0.3558945	0.3924005	0.1426595	0.3266378	0.0032433	0.0359192	0.5264071	0.3308383	0.4265466	0.7139619	0.5971219	0.7368695	0.1425884	0.6754642	0.6380824	0.8212555	0.3645172	0.4854920	0.6193489	0.0766860	0.0899229	0.0169639	0.0144744	0.1387024	0.3712032	0.3584764	0.2636048	0.7578072	0.0977055	0.3434177	0.3642983	0.5616297	0.6366790	0.2879849	0.2284108	0.1897267	0.5615777	0.1342507	0.4207059	0.5777756	0.6409706	0.1502737	0.0636232	0.3971946	0.6594862	0.0005321	0.6726979	0.1251786	0.4776704	0.1159703	0.3378428	0.7474841	0.3436225	0.5948717	0.2808151	0.1866617	0.3313212	0.3670085	0.7837484	0.5045823	0.2074221	0.1020110	0.0956823	0.2525257	0.3060584	0.5090230	0.1251774	0.0695367	0.3698895	0.5902336	0.1639588	0.2826738	0.5176968	0.6127370	0.2904856	0.4005671	0.5877175	0.2878525	0.3953766	0.4074305	0.2152298	0.5739518	0.2573640	0.2865665	0.3030613	0.3681692	0.0419764	0.3666211	0.1581153	0.0180797	0.0399090	0.5314033
300	0.0008040	0.3268007	0.6684447	0.1319148	0.1241066	0.0003832	0.0344347	0.0681697	0.5319646	0.4243219	0.1769648	0.3342953	0.0026931	0.0795294	0.6260585	0.3039659	0.2829033	0.7645109	0.6373949	0.6131115	0.1837301	0.5368300	0.6935480	0.6792902	0.4238593	0.5432685	0.6777976	0.0485698	0.0881155	0.0258008	0.0147683	0.0911561	0.3658467	0.3723575	0.3227219	0.8543142	0.0966806	0.3523181	0.2485489	0.4546089	0.7554132	0.1966513	0.1756555	0.2900110	0.4822529	0.1444622	0.4925751	0.5327084	0.7322979	0.1594557	0.1009603	0.4709003	0.5826957	0.0040900	0.7467009	0.1094885	0.4958490	0.1599336	0.3792668	0.7093800	0.3896168	0.5285676	0.2252269	0.2321603	0.3484175	0.3854028	0.6955584	0.5305504	0.2724916	0.1148524	0.0929154	0.2532278	0.4835099	0.5129200	0.0381603	0.0570276	0.3748678	0.7969440	0.1321923	0.3161242	0.4647038	0.6146961	0.2772163	0.4142079	0.6689414	0.2956218	0.3032957	0.3395198	0.3261719	0.7588734	0.2590283	0.2500093	0.2996773	0.2532042	0.0927274	0.4441549	0.2227824	0.0069406	0.0995231	0.5011855
350	0.0083744	0.3906834	0.7844955	0.1355361	0.1017961	0.0037041	0.0145357	0.0721674	0.4840480	0.4333893	0.1708439	0.3762274	0.0234422	0.1120972	0.5491770	0.3289430	0.3634519	0.7394989	0.6134505	0.7679960	0.1294541	0.6852794	0.5630710	0.7467311	0.5012361	0.5499319	0.7274627	0.0769160	0.0519614	0.0223682	0.0178006	0.1200601	0.4290554	0.3560431	0.2523314	0.6472778	0.1549175	0.3258174	0.4358451	0.4689525	0.7438808	0.2274833	0.2019790	0.2003229	0.4383318	0.1503565	0.4352141	0.6032417	0.5292443	0.1527333	0.0594457	0.3176217	0.6022395	0.0000509	0.6718134	0.1401056	0.5776539	0.2246963	0.4396392	0.6411591	0.2636100	0.5500524	0.3274838	0.2968296	0.2755606	0.3083514	0.6835035	0.5043603	0.2517678	0.1205694	0.0720545	0.2803785	0.3868996	0.6443628	0.0411464	0.0547861	0.3492750	0.6514751	0.1328237	0.3591850	0.5939024	0.7101062	0.2325727	0.3087767	0.7320477	0.2906492	0.4238864	0.3602271	0.2855959	0.7234336	0.3143888	0.2484087	0.3716093	0.2567251	0.1853598	0.5321181	0.1960414	0.0444982	0.0239149	0.5041915
400	0.0058223	0.3924960	0.7501904	0.0959527	0.0988261	0.0010586	0.0235842	0.1138386	0.4765061	0.4225381	0.1344219	0.2884387	0.0017333	0.1280185	0.5821760	0.3152051	0.3385400	0.6408907	0.6351418	0.5387798	0.1915629	0.6756375	0.6409347	0.7009552	0.3960883	0.5968470	0.5839989	0.0563298	0.0245752	0.0163001	0.0079604	0.1220141	0.3827251	0.3275109	0.3623960	0.6054484	0.1819497	0.3807218	0.3437914	0.5469953	0.7312411	0.1668005	0.1650224	0.1797758	0.3696395	0.2315152	0.4644622	0.6357687	0.6785685	0.1838924	0.0708657	0.4138342	0.7401109	0.0052689	0.7337069	0.1456285	0.4281030	0.2320092	0.4226924	0.5452145	0.2890752	0.5119528	0.3025010	0.3150678	0.2635544	0.3360788	0.7336585	0.5002726	0.3327257	0.1194498	0.0560764	0.2877914	0.4420835	0.6103246	0.0352133	0.1036074	0.3985308	0.7093551	0.1154943	0.3182872	0.5031798	0.5289661	0.3349828	0.3488309	0.6387622	0.3013982	0.2967132	0.3654016	0.3588752	0.7059665	0.3345896	0.2793836	0.3145204	0.2861721	0.3254205	0.4384971	0.1981472	0.0258141	0.0318252	0.5234290
