"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G71A	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.9888840	0.3557741	0.7161737	0.5203194	0.1182880	0.6097424	0.7053916	0.7026253	0.8378506	0.3023996	0.8340534	0.6603461	0.6797425	0.3738714	0.0658408	0.0980649	1.0079584	0.0665591	0.2926931	0.2102005	0.3039603	0.6274367	0.2750664	0.2793507	0.0327197	0.9314297	0.2214413	0.1764164	0.8259256	0.6102119	0.0485175	0.1903259	0.1256789	0.1689318	0.9606019	0.0872343	0.7016977	0.9441439	0.1510472	0.2819864	0.0090659	0.9685959	0.0545246	0.5214707	0.3712949	0.9714283	0.0916655	0.8396772	0.1236899	1.1303003	0.6090854	1.0257982	0.8997391	0.8492684	0.3126291	0.4027137	1.0574127	0.4898871	0.8464930	0.8406540	0.6951276	0.0101850	0.1470891	0.9850568	0.6288567	0.0451084	0.4824702	0.7488940	0.1442342	0.0490285	0.0083960	1.1349236	1.0790973	0.3524346	0.9076958	0.0161159	0.8116850	0.1661941	0.8963127	0.5319068	0.2872330	0.5889899	0.8690830	0.3512442	0.0068182	1.0285022	1.0089484	0.9225599	1.1389149	0.6887216	0.9845776	0.0688761	0.6593649	0.1467877	0.5795629	0.4247471	0.3353111	1.1218831	0.9567246	0.2479036
50	0.8950018	0.2753367	0.8203460	0.7103859	0.3047516	0.5301382	0.7858100	0.4554542	0.9207449	0.2334882	0.8809886	0.8082717	0.6866273	0.2263593	0.0605517	0.0598692	0.8664624	0.0585564	0.2458162	0.2669738	0.1691570	0.7037303	0.4028447	0.2258276	0.0356466	1.0630327	0.2860162	0.1818675	0.8650293	0.6613333	0.3579357	0.2405924	0.1869928	0.1434131	0.7864602	0.1570847	0.8323958	0.9824491	0.1166036	0.2402617	0.1833436	0.7547178	0.0696626	0.4079832	0.4240098	0.8334141	0.0853226	0.6206972	0.1797605	0.8671855	0.5270979	0.9968041	0.9231147	0.7791417	0.3694884	0.6551756	0.9735790	0.5792403	0.7113396	0.7351149	0.7294618	0.0097763	0.0879538	0.9995221	0.4084697	0.0244601	0.4606512	0.5606994	0.2306307	0.0541247	0.0049615	0.8821994	0.9654696	0.3379369	0.6846754	0.0686075	1.0040407	0.1920819	0.5918729	0.5597148	0.3066489	0.7344703	1.0473853	0.3403456	0.0089007	1.0103067	0.9827368	0.8969091	1.0502429	0.7161892	0.9501868	0.0612483	0.5682405	0.1284503	0.5662615	0.4805745	0.4206151	1.0027689	0.9103683	0.1502222
100	1.0019295	0.3295356	0.7453890	0.8040785	0.3602454	0.3886165	0.7778923	0.2912595	0.8942669	0.2225438	0.9163785	0.8362861	0.6074237	0.2010178	0.0682794	0.0363848	0.7913887	0.0693611	0.1461751	0.2443571	0.1667377	0.6830425	0.4362655	0.2802748	0.0324350	0.9454631	0.3260394	0.1914282	0.8256355	0.6697912	0.7674047	0.1569741	0.3263701	0.1085845	0.7374183	0.1819983	0.6979168	0.9495878	0.0921440	0.2093247	0.4601664	0.6282406	0.0730421	0.4295541	0.2906659	0.8023549	0.1252935	0.3766483	0.1450390	0.6010770	0.4619035	0.9882838	1.0214340	0.5166701	0.4191925	0.8066001	0.8569853	0.5776730	0.5098657	0.6669106	0.7253892	0.0231931	0.1313480	1.0219976	0.2668882	0.0350021	0.5059290	0.4219775	0.2356268	0.0720222	0.0029636	0.7241086	0.9559721	0.3312518	0.7103994	0.0811261	0.9300835	0.1992794	0.4671740	0.6338148	0.2458190	0.8080743	1.0561552	0.2864340	0.0150422	0.9645127	0.9523072	0.9590350	0.9506487	0.6732994	0.9730606	0.1340281	0.6424670	0.1292601	0.5380727	0.4479857	0.4037295	0.9184947	0.8644312	0.0814541
150	0.9528343	0.2701587	0.6027981	0.7489729	0.3857809	0.3654342	0.6436173	0.2111267	0.8710342	0.2439729	1.0257265	0.8899622	0.5293578	0.2403346	0.0834928	0.0268543	0.5798544	0.0939489	0.1581735	0.2718117	0.1527499	0.7050807	0.4295785	0.2681248	0.0268520	0.9198223	0.3180407	0.2125018	0.8579403	0.6409822	0.9106518	0.0700340	0.4019744	0.1257901	0.5680950	0.1814196	0.6366966	0.8518438	0.1414456	0.2834824	0.6587459	0.6458743	0.0772773	0.5408849	0.2487394	0.6760129	0.1660309	0.2801533	0.1484636	0.5566999	0.4830730	0.9297033	0.9376830	0.2590463	0.4305846	0.8456191	0.9595790	0.5583272	0.4429957	0.6804177	0.7042250	0.0318397	0.0960472	0.9677430	0.1587619	0.0342157	0.6060527	0.3608884	0.1663899	0.0683172	0.0325408	0.5864783	0.9223662	0.5437227	0.6124235	0.1077625	0.9669866	0.1707960	0.4624431	0.6134776	0.2260276	0.7713316	0.9888197	0.4088470	0.0228763	0.8206396	0.9832540	0.9484904	0.8710988	0.6900292	0.9947189	0.2099802	0.7071629	0.2277327	0.6315758	0.4211682	0.3724500	0.9192010	0.9719644	0.0881620
200	0.9405400	0.1754139	0.4384987	0.6844160	0.4004499	0.3470045	0.5070581	0.1159041	0.9208673	0.2229240	0.8851467	0.9097335	0.4334639	0.2320528	0.0919232	0.0141323	0.5469419	0.1033825	0.2071817	0.3038090	0.1918687	0.6975964	0.3615568	0.3899786	0.0216540	0.9431668	0.3346542	0.1614405	0.8348752	0.6328863	0.9438655	0.0194415	0.3966957	0.1570601	0.5485233	0.1768833	0.6048347	0.8165879	0.2296170	0.3712372	0.7129505	0.5599829	0.0795032	0.5805556	0.2272126	0.6340362	0.1561189	0.2219042	0.1874715	0.5725754	0.4979468	0.8962624	0.9345149	0.2368189	0.4321592	0.9321855	0.9615965	0.6014678	0.5168256	0.6569462	0.6719648	0.0713125	0.0767930	0.9562334	0.1201195	0.0405179	0.6632735	0.2254240	0.1930443	0.0531915	0.0335733	0.6043618	1.0275748	0.6302733	0.6102602	0.1648084	0.8824102	0.1756488	0.4413056	0.5369804	0.2851334	0.8198259	0.6902390	0.4098510	0.0375604	0.6189582	1.0720363	0.8195901	0.8817313	0.5703735	1.1155193	0.2874267	0.6610066	0.2603164	0.6389337	0.3970793	0.3377050	0.8630792	0.9001693	0.1155928
250	0.9315410	0.1537781	0.3408574	0.4047014	0.4330205	0.3349120	0.3737032	0.0841345	0.8827258	0.2157918	0.9118558	0.9206835	0.3866689	0.2618713	0.0809875	0.0154541	0.4894493	0.1111144	0.2214242	0.3367770	0.2534792	0.6632686	0.2901576	0.3776760	0.0222703	1.0419721	0.2504704	0.1522750	0.8261612	0.5249528	0.9665971	0.0137707	0.3951496	0.1870754	0.5324106	0.1650635	0.6577958	0.7422459	0.4021248	0.4294459	0.7767557	0.4115373	0.0697371	0.5772164	0.3034993	0.6793581	0.1833453	0.1790942	0.1202044	0.5445306	0.5428300	0.9243325	0.9089902	0.2947246	0.4643079	0.9498534	0.9440141	0.5884135	0.4785173	0.6533815	0.6966441	0.1403725	0.0607120	0.9294164	0.1143136	0.0453924	0.6441462	0.1597781	0.2419991	0.0686796	0.1401043	0.6166973	0.9626475	0.7048690	0.7712631	0.1620640	0.8442640	0.1392621	0.4806158	0.5538418	0.3015257	0.8162207	0.5689740	0.3984896	0.0575625	0.5778277	0.9883240	0.6350438	0.8663951	0.5410722	0.9672707	0.3746104	0.7443100	0.3114656	0.6079569	0.2996068	0.4283663	0.8711486	1.0074018	0.1003133
300	1.0097415	0.1346863	0.2575216	0.3005515	0.4269708	0.3149972	0.3540101	0.0639584	0.9548950	0.2348431	0.9153556	0.8637076	0.4098079	0.2762634	0.0672751	0.0308706	0.4523413	0.1247578	0.1775329	0.6385207	0.3104704	0.7287651	0.2523558	0.3925098	0.0177752	1.0005309	0.2336422	0.2086576	0.8377203	0.6040707	0.9928073	0.0047094	0.4631490	0.2364482	0.6683000	0.1253329	0.6357720	0.6375697	0.4611710	0.4387974	0.7743630	0.3562780	0.0617025	0.6398664	0.3176605	0.7329079	0.1838886	0.1776018	0.1282802	0.5795750	0.6201875	0.9355670	0.9929099	0.3610765	0.5170962	0.9876507	0.8869422	0.5899168	0.4228866	0.6855065	0.7239753	0.1636870	0.1497586	0.9192089	0.1428301	0.0899497	0.5867806	0.1648468	0.3537000	0.0578133	0.1599590	0.6420748	0.9817317	0.7525749	0.7304238	0.1608388	0.8718338	0.1362994	0.4127968	0.6036193	0.3972407	0.7789884	0.4931629	0.3138325	0.0865722	0.5293225	1.1085195	0.6514847	0.8871836	0.5792359	0.9912837	0.4558737	0.7507723	0.3903506	0.6939203	0.2523744	0.3610035	0.8096450	1.0284683	0.1166858
350	0.9742204	0.1274209	0.3961012	0.2702823	0.3571264	0.2892118	0.2660024	0.0857296	0.8647888	0.2108162	0.8674420	0.7281210	0.3979610	0.3006629	0.0477678	0.0281270	0.4599288	0.1284717	0.2565915	0.6711163	0.3392502	0.7423790	0.1879557	0.4363642	0.0244331	0.9441633	0.1530578	0.2221460	0.8713159	0.6192963	1.0049943	0.0047819	0.4634629	0.2761303	0.7821102	0.1036164	0.5829523	0.4887931	0.4988265	0.4221770	0.7777827	0.2989460	0.0611354	0.6316520	0.3312149	0.6948012	0.1615610	0.2124557	0.1333393	0.5010871	0.6440632	0.8437594	1.0052740	0.4614790	0.4582888	1.0937294	0.9411213	0.6893792	0.2926035	0.6934150	0.8666369	0.1524192	0.1591478	0.9137261	0.1730946	0.1204709	0.6993877	0.1248126	0.4324787	0.0605805	0.0926614	0.5837128	1.0750904	0.7645908	0.7640932	0.1815521	1.0514717	0.0884316	0.4397330	0.6065433	0.5022596	0.7594277	0.4629917	0.3333487	0.0961228	0.5000911	0.9465995	0.7345219	0.8432476	0.6388529	0.9511219	0.4582913	0.7639961	0.3683222	0.6947869	0.2205878	0.3776717	0.8340832	1.0194996	0.0853253
400	1.0116709	0.1479303	0.4156369	0.2572248	0.3309466	0.2389768	0.2657332	0.0863309	0.9079404	0.1688340	0.9140683	0.7846725	0.3485989	0.3228892	0.0636082	0.0389099	0.4778866	0.1144509	0.1958856	0.6263376	0.3457516	0.7469144	0.1806211	0.4127562	0.0288164	0.9642768	0.1213196	0.2053895	1.0164074	0.6890227	1.0364720	0.0033903	0.4088530	0.2455648	0.9796971	0.0554626	0.5279116	0.5165707	0.4698823	0.4183022	0.5819012	0.3309424	0.0741121	0.6394266	0.3399587	0.6170543	0.1437404	0.2006137	0.1152585	0.5626445	0.5763796	0.7826502	1.0332160	0.4995451	0.5218149	1.0709897	0.8009296	0.7487639	0.1926168	0.6703006	0.8582555	0.1331177	0.1754449	0.9778043	0.1954586	0.1602208	0.6948129	0.1764928	0.4816130	0.0538788	0.1002231	0.5907441	0.9837651	0.8159611	0.6604621	0.1880182	1.1071247	0.1047772	0.3252980	0.5854525	0.5312077	0.7444075	0.4743188	0.2973491	0.1047334	0.4997211	0.8753943	0.6943828	0.7192569	0.5853172	0.9362909	0.5171472	0.7275519	0.4035717	0.5941163	0.1881015	0.3389846	0.8833646	0.9187769	0.0657085
