Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G68A	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.5385995	0.6020574	0.6150759	0.0275453	0.7007972	0.4120266	0.3195195	0.6285526	0.3781788	0.1806164	0.0869495	0.6800654	0.0197775	0.3216962	0.0204396	0.1812918	0.2873503	0.0491567	0.2050756	0.0813990	0.3212906	0.0082979	0.6802100	0.7883525	0.0053256	0.0333280	0.0599789	0.5742619	0.3380578	0.1652096	0.3050926	0.0119748	0.0167282	0.5009987	0.1086057	0.5487405	0.6347570	0.4895667	0.5309632	0.4286854	0.0337917	0.5584742	0.6435273	0.2341298	0.5461945	0.2680443	0.4269802	0.1109920	0.7730161	0.0337181	0.3629993	0.1904088	0.2763031	0.5396112	0.6151002	0.0197092	0.3846929	0.6576831	0.3681227	0.8101042	0.2193339	0.5685770	0.2352038	0.3033035	0.4578509	0.0663804	0.4601837	0.2345151	0.1620901	0.5660651	0.0004485	0.4629475	0.4976186	0.4709421	0.4252554	0.6655007	0.1609933	0.5036248	0.3723016	0.7588224	0.2375018	0.4993643	0.5704159	0.2037944	0.3222978	0.1091033	0.8075127	0.1940565	0.0485857	0.7332431	0.6716198	0.4041955	0.6281227	0.6581246	0.3385985	0.5616440	0.1101436	0.3653182	0.6590390	0.1280486
50	0.5428926	0.7153390	0.2908486	0.0174740	0.3368188	0.6068734	0.3582961	0.6673169	0.5447289	0.1148762	0.1291380	0.5700138	0.0168069	0.4018165	0.0098402	0.2785107	0.3252897	0.0152732	0.3983091	0.2085321	0.4600099	0.0192625	0.7054549	0.3842886	0.0118941	0.0079361	0.0472151	0.4579953	0.3644995	0.1195362	0.3480078	0.0349252	0.1065615	0.4314696	0.0832081	0.6885526	0.7189786	0.5526105	0.3937095	0.5089359	0.0284740	0.5690680	0.5270352	0.3697365	0.5478286	0.1874138	0.4120111	0.1934998	0.7115735	0.0257825	0.4172172	0.2196332	0.3949519	0.5460609	0.5708422	0.0122463	0.3717094	0.5980354	0.3171709	0.6685769	0.2430065	0.6372728	0.3333925	0.3811432	0.4233280	0.0219398	0.6234050	0.2425708	0.1528468	0.4609715	0.0732630	0.5058020	0.6725940	0.3869377	0.4121164	0.6155356	0.2083884	0.5746706	0.4895539	0.6241764	0.4212317	0.4592694	0.5877239	0.2207732	0.2432557	0.3039737	0.6166489	0.3047454	0.0924778	0.6097405	0.6024487	0.5407659	0.5525931	0.6556106	0.3243150	0.5057508	0.1194024	0.4007415	0.7009622	0.1946436
100	0.5945425	0.6211217	0.2186241	0.0151377	0.1591277	0.5821514	0.2123117	0.6860462	0.3624677	0.1794642	0.1238840	0.6035087	0.0077290	0.2939481	0.0261989	0.2595728	0.3685334	0.0872766	0.4721304	0.2625812	0.3413350	0.0151364	0.5820066	0.1822929	0.0102483	0.0044541	0.0192403	0.4673682	0.5075443	0.1460421	0.2886879	0.0409258	0.1941221	0.2718502	0.0850601	0.7117099	0.5600842	0.5440185	0.2623047	0.4279448	0.0118729	0.4373242	0.5810146	0.5752460	0.5174159	0.1968785	0.3617125	0.2398411	0.6586366	0.0483039	0.4176628	0.2339515	0.3045371	0.5611761	0.6225266	0.0205493	0.3240299	0.7009129	0.4240421	0.5824731	0.2385116	0.5352907	0.3068291	0.2768932	0.4787433	0.0715551	0.6592338	0.2500160	0.1466759	0.3707413	0.1649348	0.5695917	0.7276544	0.4014573	0.3714382	0.6374079	0.1337242	0.5762131	0.6244841	0.6806825	0.2464123	0.6826082	0.4625649	0.2064208	0.3121855	0.5109397	0.6443501	0.4221251	0.0561405	0.6593486	0.6158337	0.5633479	0.5601435	0.5882550	0.5922693	0.6451349	0.1276213	0.2050912	0.7264020	0.1116553
150	0.4448811	0.6932755	0.1188176	0.0475045	0.0989149	0.6295932	0.2132775	0.8183783	0.3579789	0.1600513	0.1649555	0.5063320	0.0440012	0.2371007	0.0298636	0.2330688	0.3112059	0.1076914	0.6063460	0.2986930	0.3020083	0.0042082	0.6713210	0.1395046	0.0289815	0.0204044	0.0101709	0.5767252	0.4966400	0.0985555	0.2663873	0.0468362	0.1949329	0.1129796	0.1116383	0.6493634	0.6399169	0.4702083	0.2079208	0.4514233	0.0238361	0.4663059	0.3777208	0.4343808	0.4927571	0.1807931	0.6372596	0.2124032	0.7167797	0.0424724	0.3625210	0.2973439	0.2041285	0.4205829	0.6028852	0.0211995	0.3486098	0.5960334	0.3516103	0.5534131	0.3392251	0.3670170	0.2860511	0.3178241	0.5248676	0.0561316	0.4906918	0.2000274	0.1354944	0.2472257	0.2971243	0.6508499	0.7147971	0.2753519	0.3092239	0.5012116	0.1317263	0.5382546	0.5036742	0.6442891	0.4912628	0.5736330	0.4761858	0.2208363	0.2215568	0.6437771	0.6745541	0.6157226	0.0340429	0.6576696	0.4958056	0.6262373	0.4203556	0.4715869	0.6262390	0.6029109	0.1050947	0.1990998	0.7205481	0.2035942
200	0.4795717	0.8140019	0.0334243	0.0478630	0.0474672	0.6465975	0.2627222	0.6462277	0.2495875	0.2104279	0.1962037	0.7106143	0.0659585	0.2902096	0.0253689	0.2142140	0.2300636	0.1810482	0.6992931	0.3755334	0.3979305	0.0016067	0.5817933	0.1608803	0.0326548	0.0174093	0.0059924	0.5674521	0.6334805	0.1648502	0.1996611	0.0333916	0.3176463	0.0703156	0.0899726	0.5720505	0.6658173	0.6228029	0.2014772	0.3565173	0.0058822	0.4108826	0.3511990	0.4841912	0.5279505	0.1862967	0.5230362	0.3105817	0.7609878	0.0700855	0.4278347	0.3738186	0.1849859	0.5589170	0.6087688	0.0089383	0.3577638	0.6533557	0.3480405	0.5828648	0.3338237	0.3746645	0.2484850	0.3625065	0.5418405	0.0427834	0.5019447	0.1761972	0.2594156	0.1995575	0.3241848	0.6331122	0.7901410	0.3888030	0.1805951	0.6294240	0.1410417	0.5588262	0.5899271	0.6304957	0.2936121	0.5512215	0.3353327	0.1730517	0.3777629	0.6077519	0.7028765	0.5974095	0.0167181	0.6575807	0.5666199	0.5625638	0.6205049	0.5117751	0.6760357	0.5412264	0.0901855	0.1645605	0.5013259	0.1539457
250	0.6032889	0.6601547	0.0071501	0.0407098	0.0338422	0.5149199	0.1442024	0.7057476	0.2318344	0.1233459	0.1177243	0.5096209	0.1003710	0.1909566	0.0082321	0.1291040	0.3040266	0.3792007	0.7322691	0.4107574	0.3757500	0.0082008	0.7604092	0.1208668	0.0636674	0.0735996	0.0062493	0.7043321	0.5374231	0.1696729	0.1670531	0.0792773	0.3480591	0.0557899	0.0663629	0.6375482	0.6399086	0.5766248	0.1914212	0.4388767	0.0016709	0.3808499	0.4279181	0.5164473	0.5575421	0.2013083	0.5401723	0.3020377	0.7070971	0.0528855	0.4275234	0.3874717	0.1314040	0.4284965	0.5358522	0.0211315	0.4487397	0.5170821	0.4619025	0.6157495	0.4453175	0.4528907	0.2685303	0.2473105	0.4308240	0.0692204	0.5350187	0.2289206	0.2045702	0.1894300	0.4907167	0.5917145	0.6032522	0.2750049	0.3397867	0.5884976	0.1620819	0.6961533	0.6473975	0.5468455	0.3162481	0.4762848	0.3770407	0.1883952	0.3207456	0.7281894	0.6621492	0.5133560	0.0308592	0.5979328	0.6309399	0.6712576	0.6331557	0.4510267	0.5981435	0.4750800	0.0325678	0.1260549	0.6339219	0.1200717
300	0.5250955	0.6476614	0.0185037	0.1036886	0.0394275	0.5913148	0.2137543	0.6368099	0.2394719	0.2534876	0.1427327	0.6597951	0.1246188	0.2637392	0.0095943	0.1431018	0.2498011	0.3671185	0.7641732	0.3566637	0.3665902	0.0216534	0.6895366	0.1141284	0.1147452	0.0597698	0.0059934	0.6665900	0.6137398	0.1562657	0.1671263	0.0841496	0.3869461	0.0245643	0.0962373	0.5468158	0.9050852	0.5196451	0.1780688	0.4823552	0.0178256	0.3703659	0.4411499	0.5206656	0.4496135	0.2137498	0.7049566	0.3988337	0.6918426	0.0164504	0.3086901	0.4908145	0.0961984	0.4834331	0.6108326	0.0376269	0.4195336	0.6473089	0.3578868	0.6089421	0.5263717	0.4081623	0.2406185	0.3194937	0.5411024	0.0293744	0.4813504	0.3194557	0.2327101	0.0840717	0.5076166	0.6107993	0.6943802	0.2631024	0.2498809	0.6097960	0.1742915	0.6646164	0.6725612	0.4857762	0.3910090	0.5340329	0.2538952	0.1650021	0.3148069	0.7686259	0.7504976	0.4799508	0.0795943	0.5695987	0.4907990	0.5272817	0.5959997	0.4670042	0.7054000	0.5413118	0.0674930	0.1178588	0.6251039	0.0944339
350	0.6398082	0.5562767	0.0153159	0.0603758	0.0244757	0.6555895	0.3200540	0.6516671	0.2548225	0.2258759	0.1399342	0.6835324	0.0989784	0.2781086	0.0102420	0.1552680	0.3800238	0.3053622	0.6653242	0.4473422	0.3885680	0.0109564	0.7536244	0.1547202	0.1922263	0.0805443	0.0145417	0.6292854	0.5469557	0.1319827	0.1832044	0.0785927	0.4358226	0.0232971	0.0834658	0.5532642	0.7066415	0.4838192	0.2089792	0.4275207	0.0133234	0.3285452	0.3355085	0.5067892	0.4959094	0.2453975	0.6751247	0.3164963	0.6223963	0.0492291	0.5058737	0.4332355	0.0508631	0.5045350	0.5660708	0.0227918	0.3919767	0.6212531	0.3771893	0.6798812	0.5817082	0.2891806	0.2092807	0.3370385	0.4311825	0.0380254	0.4397287	0.1595953	0.2011206	0.1002401	0.4591593	0.6091651	0.6493338	0.3633016	0.2442792	0.6778855	0.1654517	0.6641110	0.6961193	0.4886674	0.2494442	0.6366826	0.4037306	0.1811765	0.3707632	0.6462148	0.7771190	0.5437390	0.0426385	0.6770341	0.5959918	0.6219356	0.5237236	0.4656769	0.6568752	0.4869027	0.0563432	0.1653244	0.6431899	0.0732561
400	0.5060503	0.6153332	0.0066208	0.0747568	0.0249738	0.7502065	0.2529718	0.6190591	0.2244232	0.2129973	0.0980469	0.6071646	0.1103708	0.2920741	0.0207258	0.1475617	0.3345987	0.4321505	0.6922263	0.4524437	0.4011038	0.0517204	0.6037504	0.0902318	0.1677274	0.0411926	0.0152300	0.6327074	0.5869865	0.1260614	0.2736415	0.0539490	0.3358731	0.0037767	0.1085213	0.6510779	0.6105050	0.5577181	0.1994773	0.3389163	0.0201309	0.3430764	0.3483903	0.5007261	0.4744952	0.2298490	0.6159402	0.3129990	0.6755431	0.0224754	0.4999648	0.4683933	0.0468702	0.4966027	0.6469230	0.0274311	0.3929731	0.6358252	0.4126659	0.5856891	0.4885179	0.3903785	0.2591398	0.2907557	0.4619329	0.0588949	0.5182036	0.1146446	0.2621748	0.1298553	0.5152718	0.6890511	0.6157268	0.3208039	0.2339837	0.8056518	0.1396643	0.5075674	0.6315861	0.5215090	0.3769499	0.5183530	0.4518541	0.1670554	0.3561218	0.7548359	0.7236647	0.5462694	0.0448205	0.5108320	0.7297742	0.5340166	0.7109423	0.4963384	0.6471844	0.5614518	0.0702460	0.0992284	0.6700463	0.0404946
