G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G76A	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.4478608	0.0437127	0.1574710	0.6718545	0.0474907	0.0017209	0.2943485	0.2204243	0.6102800	0.3270378	0.6134876	0.2152632	0.4543201	0.0126127	0.4309081	0.2725448	0.4360475	0.4722132	0.6775929	0.1034908	0.4598744	0.6485407	0.2222931	0.4241741	0.2594009	0.2141948	0.0169580	0.0263813	0.0139996	0.0420078	0.4610015	0.5810943	0.2108297	0.3172445	0.0424750	0.5776292	0.1145925	0.1325223	0.1104026	0.5124884	0.4763241	0.2747955	0.3008390	0.6639253	0.5968793	0.6576622	0.5985231	0.5913107	0.0807228	0.4954545	0.3080513	0.1987775	0.3681831	0.2964303	0.0307374	0.3848650	0.0184723	0.0046749	0.0714618	0.0574407	0.2551535	0.1348320	0.1429767	0.2628701	0.6365475	0.1641447	0.4300117	0.0232513	0.1093385	0.3985243	0.5187100	0.2017636	0.5407553	0.3694691	0.0881034	0.5812618	0.6054577	0.6971780	0.0000244	0.7882791	0.3419802	0.0069862	0.5075497	0.5374301	0.0351930	0.4501246	0.5088407	0.5575477	0.5835010	0.2844268	0.3278860	0.4688050	0.6936930	0.1213705	0.2248192	0.6962284	0.4795790	0.3748237	0.6077672
0.2409867	0.0000000	0.0243884	0.2384899	0.5735932	0.0705427	0.0105262	0.3224570	0.1731122	0.5788097	0.4210347	0.6113889	0.0666923	0.4439013	0.0090641	0.4423023	0.3678744	0.4501097	0.4196539	0.5358938	0.0822276	0.3548487	0.6544651	0.1846228	0.4107009	0.1745171	0.2133209	0.0080693	0.0293350	0.0099167	0.0275572	0.4088454	0.6819892	0.2238520	0.2508288	0.0048406	0.6793747	0.1466403	0.1289515	0.1265352	0.4012641	0.4796106	0.2706727	0.4226916	0.4731250	0.6573095	0.5809535	0.4793470	0.5221382	0.1481126	0.5871349	0.5705960	0.2753604	0.5122197	0.5832078	0.0036295	0.6143270	0.0624020	0.0019793	0.0680540	0.0153774	0.2601618	0.1394160	0.1774317	0.3330992	0.6072104	0.0759532	0.2433314	0.0966158	0.1598643	0.0216024	0.5650164	0.0865362	0.4219611	0.2552985	0.0580730	0.5904011	0.4846130	0.5906421	0.2166045	0.7871065	0.4394635	0.3438109	0.4741783	0.3683666	0.0956910	0.5315722	0.0746766	0.6635293	0.4270394	0.4021591	0.3147105	0.3817295	0.7190841	0.1490709	0.3239101	0.6237712	0.4920941	0.3141822	0.6480091
0.0803995	0.4904472	0.0000000	0.2088648	0.7206417	0.0553113	0.0022970	0.2961687	0.1312440	0.4658092	0.3419453	0.5670241	0.1715150	0.6339750	0.0456883	0.4334439	0.2767105	0.4306391	0.4120335	0.5777100	0.0572927	0.4386080	0.6835648	0.2111171	0.4056501	0.2315576	0.2941596	0.0233405	0.0329963	0.0118878	0.0373311	0.3629043	0.6356532	0.2927922	0.2257869	0.0055560	0.5910431	0.1364182	0.1432797	0.0710690	0.4956364	0.4805624	0.2518495	0.3273443	0.6101658	0.7033906	0.6193881	0.5337630	0.7195746	0.1149574	0.5710598	0.3400228	0.0672601	0.4939696	0.3242348	0.0249079	0.4588094	0.0379629	0.0080269	0.0490893	0.0465497	0.2071329	0.1379620	0.2150367	0.1435177	0.5529219	0.0855402	0.5177286	0.0810038	0.1232423	0.3690423	0.5918869	0.1789835	0.4566812	0.3560100	0.0747029	0.4440759	0.6310247	0.6457483	0.0012848	0.7305211	0.3954028	0.0102129	0.6238990	0.3777022	0.0850169	0.4601186	0.1088636	0.6065698	0.4171360	0.3592948	0.3720197	0.5470778	0.7813047	0.1234788	0.1139181	0.6669337	0.5177562	0.3545572	0.6109123
0.0872559	0.4708308	0.0265904	0.0000000	0.6076798	0.0720939	0.0024604	0.3642578	0.1660947	0.7103592	0.3440349	0.6297969	0.1603032	0.5791148	0.0284994	0.5529906	0.2555402	0.4497071	0.4587563	0.6678854	0.0742096	0.4486539	0.6834880	0.1867124	0.4737930	0.2175542	0.2324462	0.0486121	0.0617434	0.0133846	0.0925092	0.3980958	0.7137152	0.2943583	0.2380256	0.0112149	0.5087663	0.1433429	0.1890197	0.0953295	0.4678335	0.4589568	0.1849425	0.4298425	0.5625516	0.6097404	0.7395394	0.5195884	0.7023637	0.0759508	0.5101827	0.4200587	0.1750307	0.5615177	0.3500659	0.0460920	0.3858271	0.0368727	0.0001139	0.0325919	0.0460025	0.1459504	0.1635911	0.1089618	0.2483952	0.5911870	0.0808988	0.4384497	0.0637606	0.1199146	0.5408554	0.4439164	0.2303525	0.4557674	0.4309851	0.0676279	0.5650440	0.7136320	0.4384132	0.0002672	0.6663295	0.5557507	0.0476950	0.5169695	0.3525219	0.0847158	0.4795341	0.4291201	0.6661000	0.4281294	0.3249840	0.3093515	0.5012958	0.6721909	0.0663894	0.1072173	0.6670955	0.5985619	0.2191469	0.6920350
0.0506584	0.3732912	0.0183460	0.0370888	0.0000000	0.0470003	0.0005410	0.2758985	0.1895809	0.4421795	0.5985806	0.6785774	0.1446093	0.4986836	0.0293116	0.5619120	0.2745515	0.5364450	0.3557431	0.6531061	0.1108016	0.3902104	0.6407342	0.1643267	0.5458748	0.3253014	0.2553704	0.0255616	0.0622164	0.0060580	0.0927603	0.5297414	0.6091971	0.3434002	0.2632608	0.0020240	0.5093982	0.1570883	0.1858201	0.0955045	0.4906321	0.4534456	0.2974796	0.3442173	0.5182859	0.6076898	0.5512961	0.5467657	0.6607249	0.1038493	0.5503727	0.4402885	0.2963581	0.4806800	0.4891009	0.0351061	0.3940344	0.0916883	0.0003308	0.0264885	0.1157101	0.2122188	0.1713662	0.1298975	0.1336403	0.5366389	0.1261985	0.4888871	0.0601711	0.1708328	0.5350916	0.5789901	0.1037585	0.4762639	0.3785846	0.0605905	0.5376897	0.7005387	0.5141152	0.0001963	0.7382493	0.4350835	0.0151928	0.4388962	0.4115710	0.0391119	0.4834854	0.3971476	0.7224901	0.5423786	0.2625440	0.4392296	0.4290954	0.6090252	0.1645409	0.2759216	0.6014662	0.4732092	0.3166400	0.6541919
0.0568773	0.4031265	0.0133807	0.1411685	0.7008471	0.0000000	0.0030392	0.2107051	0.1570382	0.7019090	0.3083832	0.5973322	0.2290891	0.4916445	0.0361157	0.6221299	0.3455357	0.4635155	0.3997998	0.6450747	0.0778878	0.4613559	0.6298140	0.1779923	0.4135906	0.2023804	0.2291796	0.0165902	0.0274951	0.0093701	0.0734244	0.4841176	0.5113120	0.3473817	0.2489504	0.0018697	0.5760644	0.1482332	0.1381011	0.1933118	0.4493471	0.4394830	0.2224615	0.3267426	0.5976542	0.6882822	0.5895469	0.4858654	0.6907757	0.1666431	0.5842363	0.3004553	0.0810520	0.5158140	0.4589753	0.0348959	0.3612772	0.0304112	0.0008239	0.0269648	0.0523784	0.1817903	0.1761056	0.2156175	0.1354732	0.5556071	0.0999464	0.5070683	0.0566534	0.1899199	0.4733440	0.5853554	0.0636065	0.4345844	0.3734590	0.0716165	0.6076339	0.6043801	0.5794275	0.0000545	0.6783865	0.4436517	0.0128188	0.5115284	0.2801127	0.0839571	0.3972758	0.4589750	0.7320981	0.4220306	0.3409355	0.3526759	0.5013801	0.6141112	0.1186040	0.1793092	0.5932472	0.4568171	0.2886400	0.6921112
0.0530463	0.4802500	0.0326967	0.2194529	0.6741875	0.1003107	0.0000000	0.2978821	0.1636994	0.5475873	0.2925810	0.6737167	0.1776377	0.6208675	0.0376388	0.5973064	0.3390433	0.4663668	0.3890982	0.7746922	0.0692878	0.4999359	0.6974262	0.1615885	0.3111492	0.2298689	0.2164031	0.0314691	0.0275211	0.0392900	0.0409877	0.3293451	0.5959803	0.2788928	0.1691329	0.0081785	0.6238711	0.1574491	0.1588184	0.1334598	0.4617517	0.5086505	0.2668503	0.3851922	0.6169443	0.6320493	0.6391566	0.4859467	0.7278948	0.1321436	0.5481628	0.4330644	0.1194259	0.5115139	0.3929116	0.0147061	0.4354311	0.0150490	0.0002215	0.0207267	0.1231528	0.1786612	0.1378040	0.1303875	0.2719434	0.6740673	0.1135167	0.4312725	0.0179415	0.2461474	0.4837665	0.4911248	0.1715415	0.5432779	0.3164748	0.1125149	0.5721622	0.7257656	0.5301064	0.0014594	0.7070002	0.4918144	0.0152790	0.5677080	0.3639712	0.0740842	0.4825060	0.4680508	0.6580350	0.5058718	0.4184376	0.3398219	0.5503947	0.5484438	0.0862555	0.1252539	0.7410887	0.4674826	0.2909936	0.7501471
0.1073598	0.3111991	0.0185535	0.2011273	0.7462593	0.0423502	0.0505216	0.0000000	0.1459755	0.6481320	0.2902266	0.6350138	0.2531283	0.4051834	0.0199287	0.5225370	0.2863684	0.5480003	0.8704996	0.0013380	0.0575889	0.3974395	0.6505873	0.2209158	0.4417480	0.3081913	0.3220479	0.0458613	0.0962152	0.1882895	0.1302519	0.4733695	0.5513804	0.4004282	0.2289182	0.0163884	0.5323333	0.1178141	0.1955298	0.1433714	0.5371306	0.5294452	0.3343302	0.3226164	0.5112398	0.7456025	0.7103366	0.5515516	0.2904751	0.1987759	0.5568794	0.3330865	0.5883407	0.5289853	0.4777158	0.0986328	0.4392203	0.0293464	0.0004734	0.0447713	0.0566048	0.2139092	0.2393306	0.4342410	0.3034067	0.6315188	0.1643725	0.4107703	0.0398854	0.1307644	0.6232917	0.6359244	0.2037004	0.2459336	0.4344672	0.0836667	0.6595544	0.4309104	0.4004921	0.0011537	0.6322140	0.4772164	0.0007081	0.5475362	0.2964395	0.1420033	0.4492198	0.5289599	0.4955405	0.4726657	0.3065584	0.3419231	0.5172840	0.6554324	0.0905057	0.3780586	0.6616417	0.5170053	0.2512944	0.8158395
0.0760534	0.4766436	0.0265413	0.1851798	0.8312859	0.1161460	0.1257837	0.0185334	0.0000000	0.5471169	0.2785310	0.5464729	0.2584017	0.5545499	0.0161985	0.5349218	0.2877727	0.5260780	0.6417892	0.0011049	0.0448082	0.4092845	0.6081642	0.1977841	0.3943417	0.3092023	0.2731341	0.0218875	0.0800851	0.1577661	0.2901902	0.4202773	0.7933793	0.4798172	0.1934595	0.0066829	0.5568700	0.1547955	0.1638448	0.1231082	0.5506453	0.4288342	0.1820997	0.3599943	0.5126341	0.7801561	0.6086347	0.6616868	0.4276486	0.2142812	0.6027385	0.4361471	0.5437551	0.3989732	0.4419206	0.0426493	0.4332116	0.0060396	0.0014168	0.0298641	0.1914887	0.1642054	0.2059435	0.4085785	0.1841332	0.5458126	0.1384080	0.4470748	0.0111467	0.1470552	0.4106170	0.6022618	0.0698787	0.4020053	0.3871517	0.0633166	0.5807721	0.5618756	0.4567008	0.0001297	0.7594326	0.4196967	0.0004791	0.5282656	0.3430313	0.1003204	0.4178679	0.5829387	0.6147546	0.4621405	0.2866462	0.3694930	0.3906009	0.6904044	0.0899732	0.4890350	0.6023589	0.5987560	0.1676027	0.6134523
0.1072693	0.3303897	0.0353383	0.1293729	0.7908293	0.0632975	0.0263053	0.6037200	0.6278872	0.0000000	0.3417000	0.6206443	0.2241865	0.6109813	0.0150876	0.6030524	0.2441124	0.5141784	0.4537679	0.7377707	0.1181042	0.4065787	0.6668693	0.1701481	0.4014513	0.3384037	0.2411710	0.0078275	0.0734496	0.1403558	0.1140989	0.4755494	0.6682599	0.2762809	0.2408116	0.0030209	0.5303721	0.1983106	0.1548599	0.1367578	0.4126947	0.4742448	0.1919614	0.2965573	0.6373813	0.5806330	0.6092362	0.5523430	0.6042976	0.2296405	0.6174467	0.3364497	0.1981156	0.4042506	0.3755521	0.0825170	0.2944339	0.0045432	0.0073246	0.0245394	0.0564924	0.2841686	0.1880839	0.2826476	0.1149230	0.5768687	0.1881634	0.5682535	0.0321386	0.1492210	0.4373837	0.7176093	0.1387793	0.4457897	0.3765915	0.0880511	0.6162159	0.7008029	0.5329027	0.0001548	0.6359542	0.4334910	0.1779432	0.5789332	0.3837096	0.0466611	0.0596606	0.1323916	0.8142378	0.4114215	0.4677258	0.3384123	0.4338365	0.6227700	0.0776484	0.0573624	0.6992905	0.4224735	0.4020303	0.5373425
