G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G65A	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2030054	0.2651308	0.9257199	0.8219636	0.8914594	0.7412188	0.4869142	0.8276433	0.0823492	0.6995122	1.0000000	0.9845962	0.1100410	0.9699954	0.1917672	0.4643844	0.0148765	0.3908407	0.5250612	0.8150406	0.7301424	0.2704173	0.6609552	0.4046754	0.2885380	0.9951919	0.0855747	0.4285654	0.2405012	0.2061513	0.7749753	0.4279417	0.0964073	0.4773052	0.2017248	0.3283632	0.6240108	0.7272443	0.2146023	0.9511482	0.4873876	0.8714690	0.3005338	0.9982558	0.2777178	0.0190281	0.0947493	0.3805639	0.6200038	0.0609302	0.3813504	0.8884799	0.3714502	0.9183859	0.9141889	0.6489924	0.9455999	0.9995101	0.8867341	0.9999854	0.0149313	0.5480537	0.7930498	0.1792471	0.0664979	0.8918361	0.3051709	0.4468438	0.8687309	0.2656895	0.3567517	0.0670935	0.8183727	0.4366402	0.6279882	0.9408892	0.6289452	0.0749076	0.9996623	0.0540334	0.2297065	0.0324953	0.1942308	0.9991696	0.0023246	0.5067211	0.3980364	0.7634402	0.4806581	0.1962776	0.5359803	0.6023301	0.7013256	0.5942416	0.0191466	0.2745944	0.9676950	0.3958905	0.5031935	0.6617038
0.4059994	0.1325176	0.9531712	0.8219614	0.8913911	0.7412411	0.4869099	0.8276290	0.0823492	0.6995122	1.0000000	0.9845962	0.1100535	0.9699336	0.1917672	0.4643843	0.0148751	0.3908707	0.5250277	0.8150006	0.9091402	0.2759489	0.6664895	0.4040241	0.2937075	0.9951861	0.0856112	0.4284497	0.2405532	0.0930498	0.7752424	0.4281293	0.0966034	0.2504178	0.2019010	0.3284359	0.6277058	0.9772060	0.1060642	0.9516263	0.4874151	0.8715389	0.3009352	0.9993733	0.2777048	0.0190872	0.0951143	0.3810846	0.6201705	0.0610754	0.4105041	0.9151080	0.3681174	0.9183927	0.9140350	0.6474799	0.8045566	0.9995100	0.9947558	0.9999533	0.0023522	0.5178361	0.7894565	0.1770921	0.0665678	0.8889508	0.3050928	0.4468743	0.8690173	0.2656576	0.3616605	0.0670940	0.8392770	0.4366877	0.6274092	0.9409114	0.5783998	0.0756040	0.9997763	0.0539583	0.2294678	0.0325003	0.0964210	0.9980056	0.0023539	0.4986955	0.3829185	0.7590908	0.4810251	0.0639418	0.5360272	0.6021738	0.7010285	0.5904704	0.0189824	0.2732586	0.8703421	0.3466280	0.5289415	0.6591943
0.4060113	0.2696944	0.4625542	0.8219654	0.8914622	0.7412187	0.4869138	0.8276430	0.0823492	0.6995120	1.0000000	0.9845962	0.1100407	0.9699971	0.1917673	0.4643844	0.0148764	0.3908409	0.5250615	0.8150413	0.7275889	0.2699898	0.6604934	0.4047142	0.2881298	0.9951921	0.0855725	0.4285866	0.2404834	0.0930688	0.7749695	0.4279368	0.0964013	0.4808642	0.2017118	0.3283524	0.6237619	0.9771746	0.1061032	0.9511202	0.4874335	0.8715598	0.3007280	0.9988859	0.2777188	0.0190273	0.0947410	0.3805467	0.6200796	0.0609261	0.3850993	0.8869646	0.4218183	0.9160930	0.9141992	0.6490577	0.8049944	0.9995102	0.8886139	0.9999858	0.0037196	0.5503335	0.7935423	0.1794157	0.0663630	0.8910201	0.3051724	0.4468562	0.8687256	0.2656642	0.3564583	0.0670935	0.8339378	0.4366855	0.6280161	0.9408641	0.5782628	0.0748088	0.9997755	0.0539975	0.2297293	0.0324957	0.1967876	0.9980109	0.0023547	0.4986133	0.3856234	0.7635240	0.4810225	0.2006659	0.5359779	0.6021733	0.7013387	0.5945295	0.0191516	0.2746100	0.9684531	0.3972335	0.5023169	0.6619053
0.4085988	0.2649352	0.9739658	0.4109776	0.8915081	0.7411974	0.4869203	0.8276593	0.0823492	0.6995121	1.0000000	0.9845962	0.1100308	0.9700459	0.1917672	0.4643844	0.0148784	0.3908108	0.5250915	0.8150753	0.6749507	0.2782234	0.6676703	0.4253778	0.2947973	0.9956750	0.0825764	0.4683266	0.2116726	0.0924079	0.7747529	0.4277869	0.0962459	0.5579654	0.1716248	0.3078919	0.6275477	0.9786676	0.1042664	0.9411043	0.4946984	0.8851080	0.2912194	0.9982629	0.2776986	0.0169175	0.0817111	0.3628946	0.6159150	0.0608118	0.4208461	0.8965585	0.3683917	0.9204785	0.9221276	0.6490137	0.7282414	0.9978565	0.8977526	0.9999913	0.0157560	0.5473130	0.7866987	0.1766109	0.0656883	0.8886936	0.3088255	0.4468352	0.8563829	0.2672603	0.3500017	0.0670514	0.8331145	0.4365830	0.6345630	0.9398495	0.5779375	0.0757699	0.9997489	0.1507770	0.2088457	0.0323517	0.2621794	0.9978636	0.0023886	0.5010545	0.3890767	0.7635517	0.4809985	0.1960890	0.5291503	0.6021736	0.7003255	0.5511782	0.0204516	0.2493049	0.9815007	0.4336902	0.4993012	0.6626779
0.4065343	0.2650758	0.9388616	0.7001258	0.4457353	0.7412142	0.4869155	0.8276467	0.0823492	0.6995121	1.0000000	0.9845962	0.1100387	0.9700070	0.1917672	0.4643844	0.0148769	0.3908343	0.5250679	0.8150484	0.7142909	0.2723959	0.6627832	0.4103131	0.2902526	0.9953238	0.0847728	0.4393048	0.2322506	0.0929338	0.7749253	0.4279062	0.0963695	0.4993895	0.1935314	0.3228278	0.6248901	0.9775450	0.1056566	0.9485713	0.4896528	0.8757068	0.2979556	0.9987507	0.2777103	0.0183672	0.0909828	0.3756330	0.6188856	0.0609028	0.4005135	0.8907778	0.3706037	0.9189758	0.9164447	0.6489979	0.7856893	0.9992446	0.8974872	0.9999876	0.0151650	0.5478642	0.7914366	0.3420042	0.0661977	0.8903413	0.3061219	0.4468658	0.8654692	0.2660618	0.3547655	0.0670821	0.8337546	0.4366562	0.6297710	0.9406261	0.5781901	0.0751039	0.9997685	0.0623899	0.2240671	0.0324521	0.2111729	0.9979857	0.0023640	0.4991895	0.3866019	0.7634683	0.4810155	0.1962245	0.5340610	0.6021734	0.7010705	0.5899971	0.0194744	0.2676102	0.9723910	0.4051117	0.5019182	0.6619659
0.4034874	0.2681031	0.9298196	0.7992644	0.7626812	0.3733244	0.4848762	0.8230562	0.0823492	0.6995121	1.0000000	0.9845962	0.1220612	0.9200603	0.1917673	0.4643844	0.0148946	0.3988961	0.5175356	0.8068246	0.9162114	0.2929235	0.6826358	0.4684710	0.3086587	0.9947295	0.0882589	0.3416861	0.3239008	0.1037942	0.6733942	0.4670833	0.2605863	0.2421655	0.3056447	0.3814555	0.6334014	0.8905322	0.1614634	0.9146007	0.4499931	0.8047707	0.3322053	0.9996261	0.2777141	0.0147994	0.0643236	0.3364833	0.6975926	0.2242137	0.4039765	0.9293173	0.3557654	0.9227775	0.8934890	0.6470217	0.9126469	0.9994280	0.8844237	0.9999738	0.0141721	0.5307363	0.7812098	0.2329713	0.0691598	0.8798615	0.3206872	0.4586124	0.8335918	0.2710778	0.3225934	0.0671320	0.7993772	0.4369861	0.6549110	0.9321727	0.5987752	0.0779994	0.9996681	0.0510542	0.2651450	0.0425746	0.3587234	0.9979629	0.0023848	0.4961607	0.3254281	0.7552428	0.4828317	0.2525486	0.5335046	0.6021863	0.7517943	0.4762226	0.0260009	0.3197885	0.8742720	0.3455603	0.5117546	0.6403047
0.4060110	0.2651311	0.9257196	0.8219659	0.8914612	0.7412192	0.2435147	0.8276427	0.0823492	0.6995119	1.0000000	0.9845962	0.1100409	0.9699955	0.1917673	0.4643845	0.0148764	0.3908415	0.5250609	0.8150404	0.7301272	0.2704160	0.6609546	0.4046745	0.2885370	0.9951919	0.0855746	0.4285672	0.2405004	0.0930685	0.7749752	0.4279415	0.0964071	0.4773191	0.2017217	0.3283621	0.6240097	0.9771740	0.1061042	0.9511489	0.4874325	0.8715554	0.3007337	0.9988952	0.2777177	0.0190289	0.0947536	0.3805698	0.6200810	0.0609300	0.3866415	0.8884072	0.3703231	0.9183858	0.9141896	0.6494923	0.8049652	0.9995101	0.8973815	0.9999857	0.0177081	0.5497240	0.7932464	0.1792462	0.0663759	0.8908852	0.3051700	0.4468756	0.8687346	0.2657007	0.3567628	0.0670935	0.8340015	0.4366855	0.6279809	0.9408665	0.5782660	0.0748564	0.9997755	0.0539972	0.2297100	0.0324958	0.1944340	0.9980107	0.0023546	0.4986185	0.3854184	0.7634402	0.4810225	0.1962779	0.5359789	0.6021733	0.7013104	0.5942313	0.0191422	0.2745933	0.9677000	0.3958994	0.5031935	0.6617034
0.4090519	0.3862813	0.9698748	0.9041400	0.9715497	0.8461055	0.2183332	0.3397921	0.0823492	0.6995330	1.0000000	0.9845942	0.1079333	0.9806955	0.1917601	0.4643752	0.0047241	0.6616032	0.3287881	0.6199306	0.7414354	0.2334973	0.6229269	0.3697983	0.2525714	0.9951990	0.0855358	0.4654769	0.2137205	0.0896516	0.8074394	0.4327278	0.0623890	0.6485224	0.1682800	0.3078191	0.6042325	0.9966800	0.0649534	0.9634721	0.4944596	0.8845953	0.2902991	0.9937875	0.2777841	0.0206123	0.1029560	0.3909079	0.4947197	0.0396587	0.3318417	0.7980218	0.3788824	0.9144985	0.9221395	0.6547613	0.6866267	0.9996366	0.5892791	0.9999878	0.0024935	0.6674616	0.7970158	0.1516684	0.1237149	0.8803800	0.3915415	0.6216978	0.8751107	0.2681064	0.4048549	0.0670945	0.8395195	0.4365753	0.5838205	0.9433822	0.5663581	0.0705217	0.9997983	0.2036103	0.1692211	0.0324743	0.3373874	0.9978410	0.0028775	0.4995919	0.4267808	0.7667930	0.4807367	0.2888354	0.5306389	0.6021694	0.7108593	0.5914171	0.0184537	0.2547651	0.9862147	0.4492259	0.4819169	0.5403023
0.4060933	0.2651519	0.9257317	0.8219861	0.8913826	0.7412589	0.4869013	0.8276117	0.0411746	0.6995347	1.0000000	0.9845940	0.1100583	0.9699109	0.1917595	0.4643743	0.0148726	0.3908980	0.5250055	0.8149787	0.7273039	0.2308590	0.6199750	0.4094257	0.2497664	0.9952415	0.0852742	0.4302110	0.2392796	0.0930110	0.7753654	0.4282090	0.0966819	0.4811025	0.2004029	0.3275245	0.5999314	0.9777324	0.1054147	0.9472552	0.4878352	0.8722596	0.3002585	0.9988737	0.2778146	0.0185243	0.0917887	0.3765751	0.6198619	0.0611332	0.3719575	0.8859347	0.3739797	0.9184675	0.9383543	0.6489627	0.8071414	0.9995108	0.8986147	0.9999866	0.0149263	0.5478438	0.8294156	0.1964204	0.0647209	0.9040246	0.3059087	0.4469300	0.9172714	0.2171852	0.3265212	0.0670893	0.8334842	0.4326555	0.6325675	0.9346940	0.5782084	0.0702402	0.9999067	0.0540085	0.2314129	0.0324677	0.1971466	0.9980460	0.0009511	0.4980452	0.4050392	0.7529574	0.4810335	0.1964939	0.5356463	0.6021703	0.7047502	0.6210389	0.0207026	0.2761321	0.9687823	0.3978882	0.5026723	0.6618310
0.4068872	0.2671824	0.9245329	0.8303797	0.9357331	0.7411842	0.4869254	0.8276704	0.0823492	0.4728054	1.0000000	0.8553553	0.1062674	0.9896758	0.0986583	0.3112728	0.0146609	0.3907915	0.5251093	0.8150945	0.7041225	0.2705024	0.6609973	0.4054508	0.2885842	0.9935392	0.0945219	0.4314703	0.2382219	0.0929677	0.7746358	0.4277077	0.0961652	0.5141405	0.1888192	0.3240614	0.6264286	0.4729610	0.2852627	0.9654612	0.4891155	0.8747051	0.2996462	0.9978435	0.3751744	0.0158364	0.0736000	0.3510394	0.6196237	0.0607520	0.3844560	0.8725225	0.3738031	0.9194781	0.9021585	0.6490225	0.9445136	0.9999572	0.8662524	0.9999865	0.0151935	0.5499610	0.7932959	0.1667168	0.1503002	0.8493494	0.4151755	0.0770298	0.8468698	0.2907196	0.4324558	0.0673882	0.8547234	0.4366583	0.6336868	0.9437217	0.8032108	0.0748621	0.9997416	0.0793953	0.2451953	0.0322454	0.2233524	0.9980377	0.0000780	0.4987513	0.4083153	0.7673372	0.4791244	0.1982763	0.5329670	0.6021733	0.7009738	0.6049278	0.0288342	0.2736368	0.9832722	0.4119735	0.4969183	0.6632101
