Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G73A	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.3002956	0.3721461	0.6445282	0.2560552	0.3310948	0.1769324	0.1343344	0.3476495	0.5377332	0.3132987	0.5855717	0.2449931	0.5973993	0.0151498	0.0519069	0.5923071	0.0528821	0.0221379	0.0917614	0.0102052	0.1012124	0.5996059	0.2552769	0.6383328	0.0804323	0.0530352	0.1238011	0.0117394	0.0423304	0.0458866	0.0570603	0.0027914	0.6348167	0.0208804	0.3083007	0.6324011	0.6013519	0.0677405	0.0633786	0.2229026	0.5819748	0.4100349	0.2179791	0.6049224	0.0109485	0.1124717	0.6517491	0.4722340	0.4728816	0.1989305	0.7990811	0.2823318	0.5758792	0.4115253	0.0002290	0.2152917	0.0015071	0.0978600	0.4852452	0.1611951	0.0417692	0.2562302	0.0273580	0.0187749	0.3180535	0.2809919	0.5614158	0.1564743	0.6122743	0.1464218	0.0010309	0.0649878	0.3527819	0.1956463	0.1975136	0.3523564	0.2314531	0.3852107	0.4295271	0.0026665	0.4262024	0.4252253	0.4637131	0.5157762	0.6412700	0.1941371	0.6558474	0.4156386	0.6290749	0.5231848	0.4864303	0.0407774	0.6212943	0.0012732	0.4248246	0.5866700	0.5690006	0.3210647	0.6067859	0.1187678
50	0.2442784	0.3283567	0.5457707	0.3138755	0.3279420	0.0845203	0.1456883	0.0761011	0.5658807	0.3644456	0.6170832	0.1267658	0.4732761	0.1648625	0.0850077	0.7486853	0.1268374	0.1753221	0.1245697	0.0252318	0.0674076	0.6942680	0.1633176	0.5337844	0.0931474	0.0991427	0.1092218	0.3537071	0.0635044	0.0725838	0.0292106	0.1039620	0.5054635	0.0539406	0.3355487	0.5606345	0.5827058	0.2167786	0.0817483	0.3974214	0.6786930	0.5302640	0.0554559	0.6445789	0.0211633	0.1225069	0.5418474	0.6848921	0.3350126	0.2321871	0.6944331	0.2656092	0.5864697	0.3976454	0.0000938	0.2764465	0.0009929	0.0497902	0.4996214	0.1924215	0.0349863	0.2464624	0.0229248	0.0078525	0.1361330	0.3436912	0.3480992	0.1136754	0.5516352	0.0659285	0.0016782	0.0490236	0.2662715	0.3163177	0.1554312	0.3152950	0.3672511	0.4198190	0.4271403	0.0009533	0.3261621	0.4907333	0.6045435	0.5010351	0.5597182	0.1760207	0.5141717	0.3873097	0.4615049	0.5340600	0.3899690	0.0180807	0.6430665	0.0059385	0.2754886	0.5081659	0.6530498	0.3988413	0.6289691	0.1414086
100	0.3868713	0.3604283	0.3154936	0.1836351	0.3142120	0.1271904	0.2144113	0.0261358	0.4676865	0.3636616	0.5972563	0.1925435	0.5961800	0.1771993	0.0876625	0.5587574	0.1290146	0.5137331	0.2427524	0.0113984	0.1086077	0.7400360	0.2114597	0.6882728	0.1378923	0.1205978	0.1656951	0.6136969	0.0475602	0.1837632	0.0498213	0.2321151	0.5201693	0.0543304	0.2734119	0.5302206	0.5746062	0.3254892	0.0802588	0.6502428	0.8118062	0.5667511	0.0144314	0.5606234	0.0205239	0.0903865	0.4354993	0.6044023	0.3525058	0.2394772	0.5557208	0.1568160	0.6020368	0.4880743	0.0004665	0.1227040	0.0018143	0.0809181	0.6106522	0.1352341	0.0184063	0.4331025	0.0609494	0.0027173	0.0953783	0.3660317	0.1808484	0.1555094	0.7046839	0.1216468	0.0236998	0.0552454	0.2523722	0.2220789	0.0749033	0.2033296	0.4822590	0.4443045	0.4804770	0.0075150	0.3676281	0.5594298	0.4038784	0.4942134	0.6322651	0.1455591	0.4413308	0.3342371	0.6722533	0.6612121	0.4925206	0.0524017	0.7012719	0.0068352	0.1376872	0.4360636	0.4282095	0.4088838	0.4998505	0.1502070
150	0.3674561	0.5029997	0.4802634	0.2470990	0.2600813	0.0915100	0.1550804	0.0140968	0.4897572	0.3117844	0.6246470	0.2526396	0.4533784	0.2231177	0.0760689	0.6016972	0.1583287	0.6183086	0.3373824	0.0217158	0.1123588	0.5971864	0.1948203	0.6160857	0.1225918	0.2094340	0.2150449	0.5621898	0.0467132	0.2696310	0.0737158	0.2202529	0.6167283	0.1791557	0.1877626	0.6285745	0.4796126	0.2191142	0.1561666	0.6127329	0.6738299	0.4853260	0.0133908	0.5372781	0.0102380	0.1020810	0.5038133	0.5825525	0.3843636	0.3278374	0.5850816	0.1525994	0.6031237	0.5096472	0.0005432	0.1342268	0.0006441	0.1239037	0.5589570	0.2063864	0.0485703	0.3344525	0.0440158	0.0073074	0.0452434	0.2299332	0.0903552	0.1537247	0.4769903	0.2859705	0.0234066	0.0490367	0.3101417	0.2306285	0.0797223	0.1496746	0.5022421	0.2347155	0.4751504	0.0031166	0.4312112	0.5647077	0.1904344	0.5701832	0.5442793	0.1224012	0.2840363	0.2371430	0.5998971	0.5128053	0.4610621	0.1197235	0.6449893	0.0278133	0.0288888	0.4896592	0.2868842	0.4743907	0.4672853	0.1875202
200	0.2704518	0.3493857	0.3550037	0.2760001	0.2956727	0.1342933	0.1824532	0.0113274	0.4129893	0.2320176	0.5797894	0.2997979	0.4103306	0.2021451	0.0884066	0.6699514	0.1032507	0.6024953	0.4425368	0.0529171	0.0913090	0.6257425	0.1315448	0.6122320	0.2657805	0.3693958	0.4145423	0.6043443	0.0583514	0.2173378	0.1097427	0.3342958	0.6556656	0.2465182	0.0932372	0.5774924	0.6434469	0.3521179	0.1385735	0.5726993	0.6227708	0.5719710	0.0369664	0.5367609	0.0120531	0.1681698	0.3936723	0.5589634	0.5204173	0.2792902	0.5575711	0.1507146	0.7185207	0.5080724	0.0000025	0.1763837	0.0000000	0.1683092	0.4582736	0.3313603	0.0509535	0.4257312	0.1271066	0.0023836	0.0567923	0.2957671	0.0462608	0.1933967	0.6852290	0.3083298	0.0189174	0.0131409	0.2738491	0.1147496	0.0236174	0.1284903	0.6263100	0.1501106	0.4216288	0.0038125	0.4269281	0.5731523	0.1556690	0.5311594	0.7370637	0.2241888	0.1641349	0.2551889	0.5893292	0.4799771	0.4069156	0.1202588	0.5355639	0.0138729	0.0324306	0.4643171	0.2625606	0.5710696	0.3355472	0.1519197
250	0.3879097	0.2257208	0.4283093	0.2925179	0.1760605	0.1367730	0.1811004	0.0083021	0.3747539	0.2114225	0.6475565	0.4090062	0.3309731	0.2496304	0.1857730	0.6749445	0.1471018	0.6693326	0.5049669	0.0773069	0.1176499	0.5451926	0.2267213	0.6202531	0.3128420	0.5919490	0.3852850	0.5398664	0.1128417	0.2734928	0.1600770	0.4918149	0.4657345	0.2396543	0.0786947	0.6463765	0.5308757	0.2838596	0.2617155	0.5999815	0.6856249	0.4641450	0.0525669	0.5604126	0.0330536	0.1792553	0.4916760	0.6098601	0.3962072	0.2378538	0.5965296	0.2146691	0.5560804	0.5619695	0.0003346	0.1364411	0.0020287	0.1718223	0.5881657	0.3243971	0.0942017	0.4304829	0.1694198	0.0093169	0.0884082	0.2347930	0.0307028	0.3489121	0.6699552	0.3831021	0.0376367	0.0111498	0.2990703	0.0841215	0.0109055	0.1090473	0.4792485	0.1342852	0.3952523	0.0008229	0.3632317	0.5343956	0.1988388	0.4940467	0.6519491	0.1903812	0.2108700	0.4131949	0.6251026	0.4744563	0.4876738	0.1400689	0.7458542	0.0308785	0.0288896	0.4670475	0.1233192	0.4773985	0.3391884	0.1140115
300	0.4690347	0.2848264	0.2971103	0.2932494	0.2053419	0.0891724	0.1457008	0.0003889	0.5185446	0.1932543	0.5370268	0.5158567	0.2677833	0.3142861	0.2442800	0.7656673	0.1737970	0.6187514	0.5725630	0.0739520	0.2455950	0.4102944	0.2102844	0.5304475	0.5448158	0.6041075	0.4394782	0.4812814	0.1379121	0.3264511	0.1657363	0.5264191	0.6636115	0.3410113	0.0511269	0.5920318	0.4543258	0.5583764	0.3114067	0.6613740	0.6669943	0.5938785	0.0640490	0.6826449	0.0104883	0.2181143	0.3059503	0.6010021	0.4743202	0.2907360	0.6165084	0.4261330	0.5087286	0.5228713	0.0001605	0.1469184	0.0033850	0.1969567	0.5933439	0.4105693	0.2480845	0.4040132	0.1676988	0.0044016	0.0404610	0.3675432	0.0291810	0.6318030	0.5768699	0.2928727	0.0450420	0.0009246	0.3898460	0.0962912	0.0092495	0.1031150	0.5977052	0.1484657	0.4300146	0.0205693	0.3237148	0.6036324	0.1839903	0.4735032	0.6945729	0.1162842	0.2061398	0.3938803	0.5728701	0.4464381	0.4824597	0.0945301	0.5258694	0.0889435	0.0160790	0.4598671	0.1007542	0.4944656	0.2731308	0.1462356
350	0.5522216	0.4259619	0.3246036	0.2349132	0.1200035	0.0781050	0.1426575	0.0030501	0.5005988	0.3190525	0.6706484	0.5505719	0.2296013	0.2207759	0.3270752	0.5905106	0.1235881	0.6351846	0.5014037	0.1072900	0.2385134	0.2792613	0.1072944	0.6934989	0.5628996	0.4898302	0.4611417	0.5755361	0.1482793	0.2845587	0.1842807	0.5747814	0.7296563	0.3292353	0.0607023	0.4617515	0.5339737	0.5421180	0.5053093	0.6483491	0.6395360	0.6317892	0.0455495	0.4564071	0.0137583	0.2356441	0.3814150	0.6066573	0.5102636	0.2761890	0.6419008	0.3430949	0.5666424	0.4062975	0.0000384	0.1046143	0.0155211	0.1560856	0.4922740	0.3242534	0.3018992	0.4096979	0.1409123	0.0025602	0.0491982	0.2202000	0.0154641	0.4765264	0.5304480	0.3476896	0.0577629	0.0066747	0.3254136	0.1376656	0.0045596	0.0691808	0.4412405	0.1621022	0.4776838	0.0007159	0.3699770	0.6038586	0.2053465	0.4836493	0.6615976	0.1100465	0.1489510	0.3712715	0.5217973	0.4248529	0.3996166	0.0197364	0.5897976	0.0888135	0.0194148	0.4022126	0.0668721	0.4427229	0.1355365	0.0885127
400	0.5031011	0.5399882	0.2997436	0.3348220	0.0841849	0.1245097	0.1608036	0.0009921	0.5182827	0.2644305	0.5301449	0.4224251	0.2484946	0.4407937	0.3494844	0.6417160	0.1452810	0.7417967	0.6247625	0.1097727	0.2787396	0.1509617	0.1721078	0.5754859	0.6240148	0.5078603	0.4542602	0.5222930	0.3054441	0.3567312	0.1205817	0.5936456	0.6001196	0.3124509	0.0475638	0.5520417	0.4827136	0.5603347	0.3655057	0.6400253	0.6493186	0.6379106	0.0761791	0.4910741	0.0229851	0.2240290	0.3414433	0.6066826	0.5287577	0.3232586	0.6616120	0.3534404	0.4346188	0.3432047	0.0008827	0.1138494	0.0261804	0.1462889	0.5481269	0.4076105	0.2963716	0.5142476	0.1135196	0.0053952	0.0468315	0.2124072	0.0046738	0.5803022	0.5673579	0.4299779	0.0996591	0.0020414	0.2790312	0.0936995	0.0025320	0.0396570	0.3875519	0.1562324	0.4909400	0.0003454	0.3039789	0.5986043	0.1773698	0.4643702	0.5914247	0.1989615	0.1657192	0.5469595	0.5201160	0.3398834	0.4656391	0.0401393	0.6199662	0.0941490	0.0314419	0.5037993	0.0261989	0.4535096	0.1417593	0.1160859
